prediction,original_score,exp_length,new_scores,original_rank,new_rank,facts,exp,new_ranks,new_score
"(7117, 1, 8643)",0.94145667552948,1,[0.02789853699505329],1,3.0,"[([(8643, 1, 7117)], 0.87920004, 'xrule'), ({(8643, 1, 7117)}, 0.2730494549082863, 'baseline'), ({(25743, 1, 7117)}, 0.007985035836012424, 'baseline'), ({(7118, 9, 7117)}, 0.005952279031702574, 'baseline'), ({(7049, 1, 7117)}, 0.0017099780585309852, 'baseline'), ({(7117, 9, 7118)}, -0.01642050316453047, 'baseline'), ({(7117, 1, 25743)}, -0.02498205477003763, 'baseline')]","[(8643, 1, 7117)]",[3],0.02789853699505329
"(6813, 1, 5175)",0.9172292351722717,1,[0.004079344682395458],1,29.0,"[([(5175, 1, 6813)], 0.69699997, 'xrule'), ({(32633, 1, 6813)}, 0.18709151013953174, 'baseline'), ({(6813, 1, 32633)}, 0.13130037034723982, 'baseline'), ({(5175, 1, 6813)}, 0.10538570121203049, 'baseline'), ({(5176, 1, 6813)}, 0.025312344502360383, 'baseline')]","[(5175, 1, 6813)]",[29],0.004079344682395458
"(4666, 1, 4665)",0.9331414699554443,1,[0.00022900155454408377],1,4035.0,"[([(4665, 1, 4666)], 0.5058, 'xrule'), ({(4665, 1, 4666)}, 0.4830421931273411, 'baseline')]","[(4665, 1, 4666)]",[4035],0.00022900155454408377
"(11813, 1, 30361)",0.9786085486412048,1,[0.00018572728731669486],1,6144.0,"[([(30361, 1, 11813)], 0.2377, 'xrule'), ({(30361, 1, 11813)}, 0.016387383419545865, 'baseline')]","[(30361, 1, 11813)]",[6144],0.00018572728731669486
"(11366, 1, 26527)",0.8748989105224609,1,[0.049905478954315186],1,3.0,"[([(26527, 1, 11366)], 0.3193, 'xrule'), ({(26527, 1, 11366)}, 0.24708203561180203, 'baseline'), ({(42, 1, 11366)}, 0.051904479928472386, 'baseline'), ({(11366, 1, 42)}, 0.027627627326046168, 'baseline'), ({(4958, 1, 11366)}, -0.002332945411529352, 'baseline'), ({(11366, 1, 4958)}, -0.005589981614562084, 'baseline')]","[(26527, 1, 11366)]",[3],0.049905478954315186
"(699, 1, 22618)",0.9501182436943054,1,[3.944939453504048e-05],1,8902.0,"[([(22618, 1, 699)], 0.9681, 'xrule'), ({(22618, 1, 699)}, 0.915019680346867, 'baseline')]","[(22618, 1, 699)]",[8902],3.944939453504048e-05
"(22584, 1, 12684)",0.969196081161499,1,[1.3095174836053047e-05],1,29044.0,"[({(12684, 1, 22584)}, 0.982327869340977, 'baseline'), ([(12684, 1, 22584)], 0.27539998, 'xrule'), ({(22584, 9, 22585)}, -0.00015308433272703505, 'baseline'), ({(22585, 9, 22584)}, -0.0038404660822955166, 'baseline')]","[(12684, 1, 22584)]",[29044],1.3095174836053047e-05
"(28826, 1, 3712)",0.9186691641807556,1,[0.03549262881278992],1,2.0,"[({(3712, 1, 28826)}, 0.8355684754103391, 'baseline'), ([(3712, 1, 28826)], 0.8219, 'xrule'), ({(274, 1, 28826)}, 0.002180079872992375, 'baseline'), ({(6595, 1, 28826)}, 0.0011787218704930795, 'baseline'), ({(28826, 1, 274)}, -0.015774090822568223, 'baseline')]","[(3712, 1, 28826)]",[2],0.03549262881278992
"(22728, 1, 16506)",0.978472113609314,1,[1.6784066247055307e-05],1,24934.0,"[({(16506, 1, 22728)}, 0.9655767583722769, 'baseline'), ([(16506, 1, 22728)], 0.94170004, 'xrule'), ({(22728, 9, 34810)}, -0.000931044165084592, 'baseline')]","[(16506, 1, 22728)]",[24934],1.6784066247055307e-05
"(4547, 1, 21674)",0.9718466401100159,1,[0.0157164353877306],1,18.0,"[([(21674, 1, 4547)], 0.1591, 'xrule'), ({(21674, 1, 4547)}, 0.14990065545564693, 'baseline'), ({(14510, 1, 4547)}, 0.06322399805542389, 'baseline'), ({(4547, 1, 14510)}, 0.006308297602861506, 'baseline')]","[(21674, 1, 4547)]",[18],0.0157164353877306
"(8310, 6, 12531)",0.4837391674518585,3,[0.28671541810035706],1,1.0,"[({(8310, 6, 2349)}, 0.23896984340277513, 'baseline'), ({(8310, 2, 4633)}, 0.20675535071293683, 'baseline'), ({(8310, 6, 8984)}, 0.19593523010060426, 'baseline'), ({(8310, 6, 22600)}, 0.12333733881142195, 'baseline'), ({(8310, 6, 11942)}, 0.03020099826819387, 'baseline'), ({(8310, 6, 26961)}, 0.016512731968815714, 'baseline'), ([(4632, 6, 26961), (8310, 6, 26961), (4632, 6, 12531)], 0.0036, 'xrule')]","[(8310, 6, 2349), (11942, 6, 2349), (11942, 6, 12531)]",[1],0.28671541810035706
"(19459, 1, 8641)",0.974579930305481,1,[3.2998893857438816e-06],1,38057.0,"[({(8641, 1, 19459)}, 0.9989410551310037, 'baseline'), ([(8641, 1, 19459)], 0.9761, 'xrule')]","[(8641, 1, 19459)]",[38057],3.2998893857438816e-06
"(17190, 1, 757)",0.8933057188987732,1,[0.00719568133354187],1,23.0,"[({(757, 1, 17190)}, 0.1273575230821022, 'baseline'), ({(17190, 1, 8831)}, 0.02521787114156899, 'baseline'), ([(757, 1, 17190)], 0.0139, 'xrule'), ({(8831, 1, 17190)}, -0.01917805248075525, 'baseline')]","[(757, 1, 17190)]",[23],0.00719568133354187
"(6067, 1, 28605)",0.8763036727905273,1,[1.5668676496716216e-05],1,20135.0,"[([(28605, 1, 6067)], 0.99619997, 'xrule'), ({(28605, 1, 6067)}, 0.9890210538303349, 'baseline')]","[(28605, 1, 6067)]",[20135],1.5668676496716216e-05
"(3929, 1, 27247)",0.9612560868263245,1,[0.00037839848664589226],1,3453.0,"[({(27247, 1, 3929)}, 0.21073309652824979, 'baseline'), ([(27247, 1, 3929)], 0.039199997, 'xrule')]","[(27247, 1, 3929)]",[3453],0.00037839848664589226
"(2887, 1, 7436)",0.9470379948616028,1,[8.901214459910989e-05],1,10689.0,"[([(7436, 1, 2887)], 0.653, 'xrule'), ({(7436, 1, 2887)}, 0.5760183768554095, 'baseline')]","[(7436, 1, 2887)]",[10689],8.901214459910989e-05
"(8734, 1, 1538)",0.9375073909759521,1,[0.04198108986020088],1,14.0,"[([(1538, 1, 8734)], 0.62549996, 'xrule'), ({(1538, 1, 8734)}, 0.24151043181673362, 'baseline'), ({(8733, 0, 8734)}, 0.034208933766161374, 'baseline'), ({(9950, 0, 8734)}, 0.02614466377915715, 'baseline'), ({(2613, 1, 8734)}, 0.011066059537812204, 'baseline'), ({(8718, 0, 8734)}, 0.0036008161862531077, 'baseline'), ({(25180, 0, 8734)}, -0.008611400672117455, 'baseline'), ({(8734, 1, 2613)}, -0.03225405983195601, 'baseline')]","[(1538, 1, 8734)]",[14],0.04198108986020088
"(17492, 1, 20700)",0.8671815395355225,1,[0.00019790735677815974],1,2576.0,"[([(20700, 1, 17492)], 0.4866, 'xrule'), ({(20700, 1, 17492)}, 0.30334083359370867, 'baseline')]","[(20700, 1, 17492)]",[2576],0.00019790735677815974
"(3648, 1, 3647)",0.9578153491020203,1,[0.07488637417554855],1,2.0,"[({(3647, 1, 3648)}, 0.36221216280607116, 'baseline'), ([(3647, 1, 3648)], 0.2824, 'xrule'), ({(8714, 1, 3648)}, -0.015068550657048173, 'baseline'), ({(3648, 1, 8714)}, -0.03316022924560471, 'baseline')]","[(3647, 1, 3648)]",[2],0.07488637417554855
"(15168, 1, 35514)",0.949526846408844,1,[1.2694122233369853e-05],1,27029.0,"[({(35514, 1, 15168)}, 0.9749523308180249, 'baseline'), ([(35514, 1, 15168)], 0.9438, 'xrule')]","[(35514, 1, 15168)]",[27029],1.2694122233369853e-05
"(36622, 2, 2580)",0.673927366733551,3,[0.2100723683834076],1,2.0,"[({(4502, 6, 36622)}, 0.1632972315311299, 'baseline'), ({(637, 8, 36622)}, 0.15118485239623883, 'baseline'), ([(637, 8, 36622), (30955, 2, 2580), (637, 8, 30955)], 0.0018000001, 'xrule')]","[(4502, 6, 36622), (4503, 2, 2580), (4502, 6, 4503)]",[2],0.2100723683834076
"(3447, 1, 9780)",0.9036061763763428,1,[0.07008439302444458],1,4.0,"[([(9780, 1, 3447)], 0.3527, 'xrule'), ({(9780, 1, 3447)}, 0.17166552999341145, 'baseline'), ({(7044, 1, 3447)}, 0.10803739268467931, 'baseline'), ({(3447, 1, 7044)}, 0.08386919931767021, 'baseline'), ({(3447, 1, 2835)}, 0.030616144590824318, 'baseline'), ({(2835, 1, 3447)}, 0.020576636272205316, 'baseline')]","[(9780, 1, 3447)]",[4],0.07008439302444458
"(34310, 0, 184)",0.5521760582923889,3,[0.0003468864888418466],1,524.0,"[({(1038, 4, 34310)}, 0.16892744156984346, 'baseline')]","[(20385, 0, 184), (1038, 4, 20385), (1038, 4, 34310)]",[524],0.0003468864888418466
"(4697, 1, 3858)",0.8556263446807861,1,[4.104935214854777e-06],1,38209.0,"[({(3858, 1, 4697)}, 0.8405809281612261, 'baseline'), ([(3858, 1, 4697)], 0.4432, 'xrule'), ({(3857, 1, 4697)}, 0.016006509730755455, 'baseline'), ({(4697, 1, 3857)}, -0.03323908620457941, 'baseline')]","[(3858, 1, 4697)]",[38209],4.104935214854777e-06
"(624, 1, 34337)",0.9748260378837585,1,[2.646217126311967e-06],1,38447.0,"[([(34337, 1, 624)], 0.3552, 'xrule'), ({(34337, 1, 624)}, 0.1574350997738314, 'baseline')]","[(34337, 1, 624)]",[38447],2.646217126311967e-06
"(14841, 1, 11642)",0.9237152934074402,1,[0.08804292976856232],1,2.0,"[({(11642, 1, 14841)}, 0.5333938431451382, 'baseline'), ([(11642, 1, 14841)], 0.3636, 'xrule'), ({(14841, 1, 27207)}, 0.010513822492836805, 'baseline'), ({(14841, 1, 19445)}, 0.005961756196090597, 'baseline'), ({(27207, 1, 14841)}, 0.001554231134351303, 'baseline'), ({(19445, 1, 14841)}, -0.0019273954126909191, 'baseline')]","[(11642, 1, 14841)]",[2],0.08804292976856232
