new_scores,new_ranks,#facts,original_score,new_score,facts,new_rank,original_rank,prediction
"[3.7756133, 5.1576743]","[1, 1]",11,12.060263,4.466644,"[([(2893, 25, 62), (2893, 120, 791), (8572, 120, 791)], 3.7034006, 'xrule'), ([(32, 15, 2893), (2893, 25, 62), (32, 15, 8572)], 2.5551004, 'xrule'), ([(6413, 25, 62), (6413, 48, 32), (32, 15, 8572)], 1.8570004, 'xrule'), ([(32, 15, 6853), (6853, 25, 62), (6853, 16, 32), (32, 15, 8572)], 1.8179007, 'xrule'), ([(4471, 25, 62), (32, 15, 8572), (4471, 48, 32)], 1.5208006, 'xrule'), ([(32, 15, 4331), (4331, 205, 32), (4331, 62, 32), (4331, 133, 32), (4331, 25, 62), (32, 15, 8572), (4331, 135, 32)], 0.85280037, 'xrule'), ([(32, 15, 8572), (954, 25, 62), (32, 87, 954)], 0.26679993, 'xrule'), ([(769, 48, 32), (32, 15, 8572), (769, 25, 62)], 0.13850021, 'xrule'), ([(954, 120, 791), (8572, 120, 791), (954, 25, 62)], 0.007900238, 'xrule'), ([(8572, 120, 791), (8572, 56, 8572)], -0.41550536749259837, 12276.397592764886), ([(32, 15, 8572), (2730, 150, 32), (2730, 25, 62)], -0.82389927, 'xrule')]",1.0,1,"(8572, 25, 62)"
"[0.019913023, 0.02677643]","[1, 1]",1,0.2021465,0.023344725,"[([(1695, 15, 8630), (32, 15, 8630), (3389, 66, 8630), (10479, 15, 8630)], 1.5362135433547434e-07, 0.5000000284053385)]",1.0,1,"(8630, 56, 8630)"
"[0.23069891, 0.3329854]","[1, 10]",1,4.6080956,0.28184217,"[([(6404, 13, 2282)], -0.8562802790802697, 9226.298117077362)]",5.5,6,"(6404, 13, 449)"
"[0.019913018, 0.026776424]","[1, 1]",1,0.2021465,0.023344722,"[([(1591, 24, 6089), (6089, 154, 2706), (10156, 39, 6089)], 1.5548399955053747e-07, 0.5000000288709998)]",1.0,1,"(6089, 56, 6089)"
"[2.1077142, 1.7962581]","[1, 1]",11,3.695775,1.9519861,"[([(32, 15, 9896), (9896, 16, 32), (32, 15, 972), (972, 167, 1768)], 3.6994, 'xrule'), ([(32, 15, 9896), (32, 15, 1764), (1764, 167, 1768), (9896, 16, 32), (1764, 16, 32)], 2.7775993, 'xrule'), ([(32, 15, 9896), (9896, 16, 32), (2088, 16, 32), (2088, 167, 1768)], 1.3936996, 'xrule'), ([(1850, 167, 1768), (1850, 25, 62), (9896, 25, 62)], 1.0136995, 'xrule'), ([(1177, 89, 9896), (1177, 89, 1764), (1764, 167, 1768)], 0.58409977, 'xrule'), ([(9896, 101, 3730), (927, 101, 3730), (927, 167, 1768)], 0.4836998, 'xrule'), ([(32, 15, 9896), (9896, 16, 32), (927, 16, 32), (927, 167, 1768)], 0.38289928, 'xrule'), ([(9896, 101, 3730), (2088, 167, 1768), (2088, 101, 3730)], -0.02820015, 'xrule'), ([(32, 15, 9896), (2526, 16, 32), (9896, 16, 32), (2526, 167, 1768), (32, 15, 2526)], -0.19939995, 'xrule'), ([(9896, 146, 9896)], -0.9743127320052942, 9049.274021708345), ([(32, 15, 9896), (2665, 167, 1768), (32, 15, 2665), (9896, 16, 32), (2665, 16, 32)], -0.99620056, 'xrule')]",1.0,1,"(9896, 167, 1768)"
"[0.56461734, 0.63222754]","[5, 4]",11,3.9198654,0.5984224,"[([(283, 6, 3785)], 0.9457521935041535, 397.7202600979773), ([(3785, 28, 32), (5941, 28, 32), (5941, 14, 5334)], 0.37090015, 'xrule'), ([(5571, 14, 5334), (5571, 14, 160), (3785, 14, 160)], 0.16969967, 'xrule'), ([(7912, 14, 5334), (7912, 31, 1211), (3785, 31, 1211)], -0.3479004, 'xrule'), ([(6345, 14, 5334), (3785, 28, 32), (6345, 13, 32), (6345, 28, 32)], -0.9523001, 'xrule'), ([(5941, 14, 5334), (3785, 14, 160), (5941, 14, 160)], -0.98359966, 'xrule'), ([(7912, 14, 5334), (7912, 14, 160), (3785, 14, 160)], -1.6469002, 'xrule'), ([(5225, 221, 160), (3785, 14, 160), (160, 70, 5225), (5225, 221, 5334), (5334, 70, 5225)], -2.1866999, 'xrule'), ([(3785, 26, 64), (5941, 14, 5334), (5941, 26, 64)], -2.8792, 'xrule'), ([(7912, 28, 32), (3785, 28, 32), (7912, 14, 5334)], -3.2802, 'xrule'), ([(5571, 14, 5334), (5571, 28, 32), (3785, 28, 32), (5571, 13, 32)], -3.3403997, 'xrule')]",4.5,3,"(3785, 14, 5334)"
"[0.86617655, 2.730108]","[1, 23]",11,3.145742,1.7981423,"[([(6223, 124, 1749)], 1.4769497578349948, 11229.814111407513), ([(3317, 25, 62), (6223, 25, 62), (3317, 167, 1768)], -0.2993002, 'xrule'), ([(1842, 25, 62), (6223, 25, 62), (1842, 167, 1768)], -0.7599001, 'xrule'), ([(1932, 167, 1768), (1932, 25, 62), (6223, 25, 62)], -1.7304001, 'xrule'), ([(3879, 167, 1768), (6223, 25, 62), (3879, 25, 62)], -1.9497995, 'xrule'), ([(4273, 167, 1768), (4273, 25, 62), (6223, 25, 62)], -2.1861, 'xrule'), ([(6223, 101, 4002), (4143, 101, 4002), (4143, 167, 1768)], -2.2067995, 'xrule'), ([(3317, 124, 2956), (6223, 124, 2956), (3317, 167, 1768)], -2.8315, 'xrule'), ([(6223, 124, 2956), (1767, 124, 2956), (1767, 167, 1768)], -3.0081997, 'xrule'), ([(1767, 25, 62), (6223, 25, 62), (1767, 167, 1768)], -3.8064003, 'xrule'), ([(3515, 167, 1768), (6223, 25, 62), (3515, 25, 62)], -4.1892996, 'xrule')]",12.0,1,"(6223, 167, 1768)"
"[0.3204872, 0.51453006]","[7, 5]",11,5.4018598,0.41750863,"[([(5733, 26, 342), (3592, 14, 160), (5733, 14, 160)], 1.7522001, 'xrule'), ([(1879, 14, 160), (3592, 14, 160), (1879, 26, 342)], 1.5397005, 'xrule'), ([(3592, 26, 990), (2378, 26, 342), (2378, 26, 990)], 1.2427006, 'xrule'), ([(2168, 14, 160), (3592, 14, 160), (2168, 26, 342)], 0.63010025, 'xrule'), ([(3592, 28, 32)], 0.6113634548258078, 11586.648251751782), ([(3592, 26, 990), (5733, 26, 342), (5733, 26, 990)], 0.38689995, 'xrule'), ([(3592, 193, 68), (2168, 13, 68), (2168, 26, 342)], 0.093800545, 'xrule'), ([(1879, 26, 990), (3592, 26, 990), (1879, 26, 342)], 0.07900047, 'xrule'), ([(3592, 14, 160), (1018, 26, 342), (1018, 14, 160)], -0.34519958, 'xrule'), ([(3259, 26, 342), (3592, 14, 160), (3259, 14, 160)], -1.0543003, 'xrule'), ([(3592, 14, 160), (2378, 26, 342), (2378, 14, 160)], -1.7083998, 'xrule')]",6.0,12,"(3592, 26, 342)"
"[5.5941763, 4.010394]","[1, 1]",11,10.881088,4.802285,"[([(6787, 120, 791), (8948, 120, 791), (8948, 25, 62)], 5.4554005, 'xrule'), ([(6787, 120, 791), (10480, 120, 791), (10480, 25, 62)], 2.5930996, 'xrule'), ([(6787, 120, 791), (13380, 25, 62), (13380, 120, 791)], 2.0197, 'xrule'), ([(3718, 25, 62), (1014, 37, 3718), (1014, 37, 6787)], 1.4102001, 'xrule'), ([(6787, 120, 791)], 1.2380982018920523, 6409.775232795311), ([(2224, 25, 62), (1014, 37, 2224), (1014, 37, 6787)], 1.2292004, 'xrule'), ([(6787, 120, 791), (5108, 120, 791), (5108, 25, 62)], 1.0068998, 'xrule'), ([(6787, 120, 791), (9777, 120, 791), (9777, 25, 62)], 0.9651003, 'xrule'), ([(6787, 120, 791), (8655, 25, 62), (8655, 120, 791)], 0.8799, 'xrule'), ([(6787, 120, 791), (7547, 25, 62), (7547, 120, 791)], 0.82470036, 'xrule'), ([(6787, 120, 791), (3718, 120, 791), (3718, 25, 62)], 0.7088003, 'xrule')]",1.0,1,"(6787, 25, 62)"
"[0.2684071, 0.15048364]","[1, 1]",1,5.030762,0.20944537,"[([(2789, 13, 181)], -2.4721878565049513, 11896.077831050143)]",1.0,3,"(2789, 11, 23)"
"[0.49339533, 0.5567399]","[2, 1]",1,5.0243015,0.5250676,"[([(9203, 109, 2552)], 0.013330499613988564, 8428.50333256555)]",1.5,1,"(2552, 43, 141)"
"[0.34783652, 0.38793063]","[1, 1]",8,3.3159878,0.36788356,"[([(7113, 26, 1098), (7221, 26, 1098), (7113, 106, 592)], 3.4699001, 'xrule'), ([(7234, 106, 592), (7221, 31, 163), (7234, 31, 163)], 3.0306005, 'xrule'), ([(4, 2, 7113), (7221, 31, 4), (7113, 31, 4), (7113, 106, 592)], 2.7800999, 'xrule'), ([(12647, 83, 592), (7221, 25, 62), (12647, 25, 62)], 2.5341997, 'xrule'), ([(7221, 25, 62), (6517, 25, 62), (6517, 66, 592)], 1.4794998, 'xrule'), ([(7234, 25, 62), (7234, 106, 592), (7221, 25, 62)], 0.7241001, 'xrule'), ([(7166, 24, 592), (7221, 25, 62), (7166, 25, 62), (7166, 66, 592)], 0.7095003, 'xrule'), ([(7221, 109, 7703)], -1.827614700450461, 6443.1385226654975)]",1.0,3,"(7221, 106, 592)"
"[1.5692427, 1.0181592]","[1, 1]",8,6.757516,1.2937009,"[([(2147, 60, 90), (2147, 66, 3885), (1477, 66, 3885)], -0.25559998, 'xrule'), ([(1477, 17, 3482)], -0.4804248386492045, 10985.382151800795), ([(1477, 43, 141), (9501, 43, 141), (9501, 60, 90)], -0.5567999, 'xrule'), ([(1477, 43, 141), (2575, 43, 141), (2575, 60, 90)], -1.4717999, 'xrule'), ([(2575, 17, 215), (1477, 17, 215), (2575, 60, 90)], -1.5091, 'xrule'), ([(1477, 43, 141), (2147, 60, 90), (2147, 43, 141)], -1.7109995, 'xrule'), ([(2147, 60, 90), (2147, 17, 215), (1477, 17, 215)], -2.1446, 'xrule'), ([(1477, 43, 141), (11983, 43, 141), (11983, 60, 90)], -2.6420994, 'xrule')]",1.0,1,"(1477, 60, 90)"
"[6.5151434, 6.5472145]","[5, 1]",11,11.303192,6.531179,"[([(10456, 154, 2620), (4358, 15, 10456)], 2.131893263445469, 2068.8939645982473), ([(6437, 25, 62), (6437, 83, 4358), (4358, 15, 10456)], 1.9230003, 'xrule'), ([(13139, 154, 2620), (13139, 25, 62), (10456, 154, 2620)], 1.1372004, 'xrule'), ([(9378, 25, 62), (9378, 154, 2620), (10456, 154, 2620)], 0.8779001, 'xrule'), ([(11558, 154, 2620), (11558, 25, 62), (10456, 154, 2620)], -0.43989944, 'xrule'), ([(13392, 25, 62), (13392, 154, 2620), (10456, 154, 2620)], -0.6605997, 'xrule'), ([(1207, 66, 4358), (1207, 25, 62), (4358, 15, 10456)], -0.80289936, 'xrule'), ([(6098, 13, 4358), (6098, 25, 62), (4358, 15, 10456)], -1.0623999, 'xrule'), ([(13091, 25, 62), (13091, 154, 2620), (10456, 154, 2620)], -2.1091995, 'xrule'), ([(10958, 25, 62), (10958, 154, 2620), (10456, 154, 2620)], -2.1306992, 'xrule'), ([(1586, 154, 2620), (1586, 25, 62), (10456, 154, 2620)], -2.4197998, 'xrule')]",3.0,1,"(10456, 25, 62)"
"[0.3342389, 0.3302849]","[1, 1]",1,6.0524263,0.3322619,"[([(848, 19, 3250)], -0.789998484794621, 72.3121689847667)]",1.0,2,"(848, 17, 862)"
"[1.472186, 2.2008042]","[1, 3]",9,4.4272175,1.8364952,"[([(12569, 79, 2519), (2519, 61, 521), (5481, 96, 12569)], 3.3561, 'xrule'), ([(5481, 142, 4301), (4301, 130, 2172), (2172, 142, 4301), (4301, 130, 5481), (2172, 95, 521)], 3.0720997, 'xrule'), ([(1674, 61, 521), (5481, 68, 1674)], 2.6903, 'xrule'), ([(5481, 96, 8261), (2172, 95, 521), (2172, 96, 8261)], 2.0360994, 'xrule'), ([(2172, 95, 521), (2172, 96, 12569), (5481, 96, 12569)], 1.9668999, 'xrule'), ([(6568, 130, 2172), (6568, 130, 5481), (2172, 95, 521), (5481, 142, 6568), (2172, 142, 6568)], 1.7166996, 'xrule'), ([(5481, 96, 8305)], 1.1910691821133015, 8757.766932222054), ([(2172, 95, 521), (2172, 80, 4564), (5481, 80, 4564)], 1.0553999, 'xrule'), ([(5480, 130, 5481), (2172, 142, 5480), (5481, 142, 5480), (2172, 95, 521), (5480, 130, 2172)], 0.37669945, 'xrule')]",2.0,7,"(5481, 95, 521)"
"[0.45812935, 0.29947683]","[1, 1]",11,3.5137227,0.37880307,"[([(1888, 11, 23), (4583, 26, 1098), (1888, 26, 1098)], 1.1980991, 'xrule'), ([(8398, 31, 4), (8398, 11, 23), (4, 2, 4583), (4583, 31, 4)], 0.6193991, 'xrule'), ([(2711, 26, 1881), (4583, 26, 1881), (2711, 11, 23)], 0.45769978, 'xrule'), ([(1507, 26, 1098), (4583, 26, 1098), (1507, 11, 23)], -0.56530094, 'xrule'), ([(4479, 6, 4583)], -1.3049911856750853, 3593.213326197015), ([(2711, 11, 23), (4, 2, 4583), (4583, 31, 4), (2711, 31, 4)], -1.4822006, 'xrule'), ([(6924, 31, 4), (4, 2, 6924), (4583, 31, 4), (6924, 11, 23), (4, 2, 4583)], -1.8256006, 'xrule'), ([(4, 2, 4583), (8389, 31, 4), (8389, 11, 23), (4583, 31, 4)], -2.2349005, 'xrule'), ([(4, 2, 12120), (12120, 11, 23), (4583, 31, 4), (4, 2, 4583), (12120, 31, 4)], -2.6006002, 'xrule'), ([(6924, 11, 23), (4797, 59, 4583), (4797, 59, 6924)], -2.8946009, 'xrule'), ([(4, 2, 4583), (1507, 31, 4), (1507, 11, 23), (4583, 31, 4)], -2.9081001, 'xrule')]",1.0,1,"(4583, 11, 23)"
"[0.21577628, 0.12466197]","[3, 1]",1,2.5623288,0.17021912,"[([(8913, 13, 4468)], -0.9408196907493216, 7380.280734788607)]",2.0,2,"(8913, 13, 4474)"
"[0.40769374, 0.26208234]","[1, 1]",12,5.5365562,0.33488804,"[([(5905, 13, 637), (3196, 28, 637), (5905, 11, 23)], 1.8077002, 'xrule'), ([(3196, 13, 449)], 1.4047356284358514, 13063.80293427602), ([(3196, 26, 1098), (11133, 26, 1098), (11133, 11, 23)], 1.3219004, 'xrule'), ([(7412, 13, 637), (7412, 11, 23), (7412, 90, 23), (3196, 28, 637)], 1.2791004, 'xrule'), ([(8165, 11, 23), (3196, 26, 1098), (8165, 26, 1098)], 1.2616997, 'xrule'), ([(3196, 13, 1682), (5905, 13, 1682), (5905, 11, 23)], 0.98550034, 'xrule'), ([(3196, 14, 160), (5905, 14, 160), (5905, 11, 23)], 0.7304001, 'xrule'), ([(3196, 14, 160), (3727, 11, 23), (3727, 14, 160)], 0.5562, 'xrule'), ([(3196, 26, 1098), (4084, 26, 1098), (4084, 11, 23)], 0.14729977, 'xrule'), ([(3196, 14, 160), (8165, 11, 23), (8165, 14, 160)], 0.0041999817, 'xrule'), ([(1011, 11, 23), (3196, 26, 1098), (1011, 26, 1098), (1011, 90, 23)], -0.32390022, 'xrule'), ([(3196, 14, 160), (11133, 14, 160), (11133, 11, 23)], -0.7510004, 'xrule')]",1.0,4,"(3196, 11, 23)"
"[0.8640653, 0.856745]","[4, 7]",11,9.786621,0.86040515,"[([(2181, 17, 393)], 1.0944209630997235, 5941.749213293283), ([(1964, 17, 818), (1964, 17, 393), (2181, 17, 393)], 0.9264002, 'xrule'), ([(4112, 17, 818), (4112, 43, 141), (2181, 43, 141)], 0.8178005, 'xrule'), ([(2181, 85, 434), (2236, 85, 434), (2236, 17, 818)], -0.6590996, 'xrule'), ([(2181, 17, 215), (1964, 17, 215), (1964, 17, 818)], -0.6644993, 'xrule'), ([(394, 17, 818), (394, 43, 141), (2181, 43, 141)], -0.8897991, 'xrule'), ([(4112, 85, 434), (2181, 85, 434), (4112, 17, 818)], -1.1945992, 'xrule'), ([(2181, 17, 215), (4112, 17, 818), (4112, 17, 215)], -1.3501997, 'xrule'), ([(1964, 43, 141), (2181, 43, 141), (1964, 17, 818)], -1.4147997, 'xrule'), ([(2181, 17, 215), (2236, 17, 215), (2236, 17, 818)], -2.4568996, 'xrule'), ([(394, 17, 393), (394, 17, 818), (2181, 17, 393)], -3.4075994, 'xrule')]",5.5,60,"(2181, 17, 818)"
"[3.5680518, 2.2614727]","[479, 1]",11,6.379358,2.9147623,"[([(10340, 34, 90), (10340, 28, 32), (32, 87, 12232)], 4.1203995, 'xrule'), ([(12120, 34, 90), (12120, 28, 32), (32, 87, 12232), (12120, 13, 32)], 2.3083992, 'xrule'), ([(32, 15, 2595), (2595, 128, 90), (2595, 166, 90), (32, 87, 12232), (2595, 108, 90)], 2.1084995, 'xrule'), ([(32, 87, 12232), (32, 15, 8308), (8308, 166, 90)], 1.6751995, 'xrule'), ([(10779, 33, 90), (32, 87, 10779), (32, 87, 12232)], 1.6366997, 'xrule'), ([(719, 34, 90), (719, 28, 32), (32, 87, 12232), (719, 13, 32)], 1.5126991, 'xrule'), ([(10779, 120, 791), (10779, 33, 90), (12232, 120, 791)], 1.4681997, 'xrule'), ([(3278, 48, 32), (32, 87, 12232), (3278, 60, 90)], 1.1744995, 'xrule'), ([(188, 28, 32), (32, 87, 12232), (188, 34, 90)], 1.0243998, 'xrule'), ([(6323, 166, 90), (32, 15, 6323), (32, 87, 12232), (6323, 128, 90)], 0.31159973, 'xrule'), ([(11984, 58, 12232)], -0.07346292304218516, 6218.481642514465)]",240.0,1,"(12232, 33, 90)"
"[0.9062998, 1.4684963]","[1, 1]",11,2.8489885,1.1873981,"[([(1897, 172, 2759), (220, 59, 1897), (220, 59, 9329)], 1.1120996, 'xrule'), ([(9329, 30, 467)], 1.0726738502646396, 11837.745105065565), ([(1121, 7, 9329), (5824, 172, 2759), (9329, 30, 1121), (1121, 7, 5824)], 0.41289997, 'xrule'), ([(1121, 7, 9329), (9711, 172, 2759), (9329, 30, 1121), (1121, 7, 9711)], 0.13099957, 'xrule'), ([(1121, 7, 9329), (1833, 172, 2759), (9329, 30, 1121), (1121, 7, 1833)], -0.1729002, 'xrule'), ([(2670, 14, 160), (9329, 14, 160), (2670, 172, 2759)], -0.7602997, 'xrule'), ([(1833, 14, 160), (1833, 172, 2759), (9329, 14, 160)], -1.0165997, 'xrule'), ([(1121, 7, 9329), (1897, 172, 2759), (1121, 7, 1897), (1897, 30, 1121), (9329, 30, 1121)], -1.3288002, 'xrule'), ([(2670, 30, 1060), (1060, 7, 9329), (2670, 172, 2759)], -1.6491003, 'xrule'), ([(5824, 172, 2759), (9329, 14, 160), (5824, 14, 160)], -1.6796999, 'xrule'), ([(9711, 172, 2759), (9329, 14, 160), (9711, 14, 160)], -3.4420004, 'xrule')]",1.0,1,"(9329, 172, 2759)"
"[0.21658096, 0.25853527]","[1, 1]",1,5.4222198,0.23755811,"[([(738, 30, 739), (483, 7, 738)], 0.5187759827232845, 134.62686149561375)]",1.0,1,"(738, 115, 6114)"
"[1.7970937, 1.5376025]","[2, 4]",11,3.1120298,1.6673481,"[([(10033, 10, 6209), (8753, 10, 6209), (10033, 10, 2875)], 3.6535997, 'xrule'), ([(8753, 10, 2465), (2465, 27, 1459), (2875, 27, 1459)], 3.3029995, 'xrule'), ([(7411, 10, 6209), (7411, 10, 2875), (8753, 10, 6209)], 2.7853994, 'xrule'), ([(7314, 10, 2875), (8753, 10, 65), (7314, 10, 65)], 2.6506996, 'xrule'), ([(7314, 10, 2875), (8753, 10, 6209), (7314, 10, 6209)], 2.2560997, 'xrule'), ([(1646, 10, 6209), (1646, 10, 2875), (8753, 10, 6209)], 2.0755997, 'xrule'), ([(8753, 10, 2465), (7314, 10, 2465), (7314, 10, 2875)], 1.8760996, 'xrule'), ([(8753, 10, 2465), (2191, 10, 2875), (2191, 10, 2465)], 1.7355995, 'xrule'), ([(8753, 10, 65), (2191, 10, 2875), (2191, 10, 65)], 0.6346998, 'xrule'), ([(2191, 10, 6209), (2191, 10, 2875), (8753, 10, 6209)], -0.18770027, 'xrule'), ([(8753, 10, 5382), (8753, 10, 5491)], -1.0728411147578005, 453.254863148272)]",3.0,1,"(8753, 10, 2875)"
"[0.35365078, 0.4605345]","[1, 1]",5,6.4752617,0.40709263,"[([(984, 48, 32), (5263, 25, 62), (984, 25, 62)], 0.11269951, 'xrule'), ([(5263, 25, 62), (4618, 25, 62), (32, 15, 4618), (4618, 133, 32)], 0.07629967, 'xrule'), ([(5191, 25, 62), (32, 15, 5191), (5263, 25, 62)], -0.21860027, 'xrule'), ([(4312, 25, 62), (5263, 25, 62), (4312, 185, 32)], -1.0893002, 'xrule'), ([(948, 8, 5263)], -1.3189515466487785, 11389.210992771676)]",1.0,1,"(5263, 48, 32)"
"[0.20139353, 0.26252586]","[1, 2]",11,4.163462,0.2319597,"[([(148, 13, 32), (1041, 28, 32), (148, 28, 32), (1041, 26, 1098)], 2.7704, 'xrule'), ([(1041, 34, 90), (148, 34, 90), (1041, 26, 1098)], 1.0395994, 'xrule'), ([(4130, 6, 148)], 0.4166317403470194, 11899.602676964647), ([(148, 34, 90), (4604, 34, 90), (4604, 26, 1098)], -0.16480064, 'xrule'), ([(5354, 26, 1098), (148, 13, 32), (5354, 28, 32), (148, 28, 32)], -0.40370083, 'xrule'), ([(11030, 26, 1098), (148, 34, 90), (11030, 34, 90)], -0.54020023, 'xrule'), ([(2744, 26, 1098), (148, 13, 32), (2744, 28, 32), (148, 28, 32)], -0.6946001, 'xrule'), ([(2744, 26, 1098), (148, 34, 90), (2744, 34, 90)], -0.72840023, 'xrule'), ([(11030, 28, 32), (11030, 13, 32), (148, 28, 32), (11030, 26, 1098), (148, 13, 32)], -0.8281002, 'xrule'), ([(5, 34, 90), (148, 34, 90), (5, 26, 1098)], -1.1038008, 'xrule'), ([(3632, 26, 1098), (148, 34, 90), (3632, 34, 90)], -2.2899008, 'xrule')]",1.5,2,"(148, 26, 1098)"
"[3.8212945, 2.429956]","[314, 33]",11,8.3503,3.1256251,"[([(12967, 17, 862), (12967, 212, 4563), (1927, 17, 862)], 0.7666998, 'xrule'), ([(3608, 212, 4563), (3608, 85, 434), (1927, 85, 434)], -0.31290054, 'xrule'), ([(6936, 212, 4563), (6936, 17, 862), (1927, 17, 862)], -0.44239998, 'xrule'), ([(4418, 47, 1927)], -0.7333673974489368, 7907.324456200641), ([(3608, 212, 4563), (3608, 48, 1928), (1927, 48, 1928)], -0.8337002, 'xrule'), ([(12967, 85, 434), (12967, 212, 4563), (1927, 85, 434)], -0.8775997, 'xrule'), ([(642, 85, 434), (642, 212, 4563), (1927, 85, 434)], -1.0508003, 'xrule'), ([(9555, 85, 434), (9555, 212, 4563), (1927, 85, 434)], -1.3773003, 'xrule'), ([(12967, 48, 1928), (12967, 212, 4563), (1927, 48, 1928)], -1.4337997, 'xrule'), ([(12967, 212, 4563), (1927, 43, 141), (12967, 43, 141)], -1.5795002, 'xrule'), ([(11638, 212, 4563), (11638, 85, 434), (1927, 85, 434)], -2.3193998, 'xrule')]",173.5,2,"(1927, 212, 4563)"
"[0.2656026, 0.1494824]","[8, 9]",11,2.024353,0.2075425,"[([(5819, 13, 2091)], 0.7160010791097263, 1184.671725810365), ([(1021, 13, 75), (5819, 13, 75), (1021, 13, 68)], 0.069600105, 'xrule'), ([(5819, 13, 2046), (2392, 13, 68), (2392, 13, 2046)], -0.3295002, 'xrule'), ([(3481, 13, 68), (3481, 13, 75), (5819, 13, 75)], -0.36740017, 'xrule'), ([(5819, 13, 2046), (1021, 13, 2046), (1021, 13, 68)], -1.0446997, 'xrule'), ([(7583, 13, 75), (7583, 13, 68), (5819, 13, 75)], -1.2501001, 'xrule'), ([(3481, 13, 68), (3481, 26, 342), (5819, 26, 342)], -1.5279999, 'xrule'), ([(2881, 29, 75), (2881, 29, 68), (5819, 13, 75)], -1.6499996, 'xrule'), ([(5819, 13, 2046), (4438, 13, 2046), (4438, 13, 68)], -1.7598, 'xrule'), ([(2392, 13, 68), (5819, 26, 342), (2392, 26, 342)], -1.9212999, 'xrule'), ([(4438, 13, 68), (5819, 13, 75), (4438, 13, 75)], -2.9035997, 'xrule')]",8.5,3,"(5819, 13, 68)"
"[1.0252293, 0.35014626]","[2, 2]",1,3.294287,0.6876878,"[([(2319, 6, 8165), (8165, 34, 90)], 1.1949320399816472, 318.76762198494293)]",2.0,3,"(8165, 106, 592)"
"[3.1432354, 4.395849]","[1, 10]",11,7.7777796,3.7695422,"[([(1065, 25, 62), (8023, 25, 62), (1065, 120, 791)], 2.1940002, 'xrule'), ([(8023, 33, 90), (5860, 120, 791), (5860, 33, 90)], 1.5110998, 'xrule'), ([(8023, 154, 2438), (5860, 120, 791), (5860, 154, 2438)], 1.2293005, 'xrule'), ([(2738, 120, 791), (8023, 25, 62), (2738, 25, 62)], 1.0033998, 'xrule'), ([(8023, 33, 90), (10952, 120, 791), (10952, 33, 90)], 0.9296007, 'xrule'), ([(8023, 25, 62)], 0.7262287595227159, 60.67397714487227), ([(8023, 154, 2438), (10610, 120, 791), (10610, 154, 2438)], 0.57940006, 'xrule'), ([(6535, 33, 90), (8023, 33, 90), (6535, 120, 791)], 0.23220062, 'xrule'), ([(7892, 120, 791), (8023, 33, 90), (7892, 33, 90)], -0.038999557, 'xrule'), ([(8023, 25, 62), (13337, 120, 791), (13337, 25, 62)], -0.5036993, 'xrule'), ([(8023, 25, 62), (6134, 120, 791), (6134, 25, 62)], -0.63189983, 'xrule')]",5.5,1,"(8023, 120, 791)"
"[0.3177463, 0.44342119]","[1, 1]",6,5.6515408,0.38058376,"[([(8848, 26, 1936), (7636, 34, 90), (7636, 26, 1936)], 0.94500065, 'xrule'), ([(8848, 26, 990), (9048, 34, 90), (9048, 26, 990)], 0.6423006, 'xrule'), ([(8848, 26, 990), (6959, 26, 990), (6959, 34, 90)], -0.43919945, 'xrule'), ([(9048, 34, 90), (8848, 31, 470), (9048, 31, 470)], -0.5682001, 'xrule'), ([(7318, 6, 8848)], -0.8093156345205788, 9376.308036338998), ([(8848, 26, 990), (7636, 34, 90), (7636, 26, 990)], -1.4085999, 'xrule')]",1.0,1,"(8848, 34, 90)"
"[2.7913392, 2.114059]","[1, 1]",1,11.653254,2.4526992,"[([(10221, 76, 5012)], -1.4642414390944687, 3199.1878194551796)]",1.0,1,"(10221, 25, 62)"
"[0.22223672, 0.36229146]","[2, 2]",15,3.449703,0.2922641,"[([(7031, 11, 23), (7664, 11, 23), (7031, 26, 342)], 4.497801, 'xrule'), ([(7664, 14, 160), (3660, 26, 342), (3660, 14, 160)], 3.0717, 'xrule'), ([(7664, 31, 844), (3660, 26, 342), (3660, 31, 844)], 3.0403004, 'xrule'), ([(3821, 26, 342), (7664, 14, 160), (3821, 14, 160)], 2.3691006, 'xrule'), ([(2271, 26, 342), (7664, 106, 1327), (2271, 13, 1327)], 2.3248005, 'xrule'), ([(7031, 14, 160), (7664, 14, 160), (7031, 26, 342)], 2.0049, 'xrule'), ([(7664, 14, 160), (2572, 26, 342), (2572, 14, 160)], 1.9812002, 'xrule'), ([(7664, 14, 160), (1518, 26, 342), (1518, 14, 160)], 1.908, 'xrule'), ([(3901, 14, 160), (7664, 14, 160), (3901, 26, 342)], 1.7350006, 'xrule'), ([(7664, 26, 990), (1518, 26, 342), (1518, 26, 990)], 1.2665005, 'xrule'), ([(7031, 26, 990), (7664, 26, 990), (7031, 26, 342)], 1.2123003, 'xrule'), ([(6439, 106, 1327), (6439, 26, 342), (7664, 106, 1327)], 0.63820076, 'xrule'), ([(7664, 26, 990), (3660, 26, 342), (3660, 26, 990)], 0.3272009, 'xrule'), ([(9008, 6, 7664)], 0.2671838213886467, 618.5664013970235), ([(7664, 31, 844), (7200, 31, 844), (7200, 26, 342)], -0.08299923, 'xrule')]",2.0,6,"(7664, 26, 342)"
