exp,exp_length,new_scores,facts,new_ranks,original_score,original_rank,new_score,new_rank,prediction
"[(2944, 9, 2945), (2944, 0, 203), (2945, 0, 203)]",3,[-45.222572],"[({(2944, 9, 2945)}, 2.7375547253011034, 'baseline'), ({(2945, 0, 203)}, -0.4187974511977462, 'baseline')]",[40847],10.549395,1,-45.222572,40847.0,"(2945, 9, 2944)"
"[(3408, 6, 2381), (12484, 2, 12273), (8561, 6, 5200), (2380, 6, 2381), (16342, 2, 12273), (8561, 2, 12273), (17022, 2, 12273), (2381, 6, 5200), (3408, 6, 12273), (2381, 6, 21795), (4109, 6, 2381), (16342, 6, 21795), (4109, 6, 17022), (2380, 6, 12484)]",14,[4.932519],"[({(3408, 6, 2381)}, 1.0165377175903225, 'baseline'), ({(2380, 6, 2381)}, 0.22233776325987809, 'baseline'), ({(4109, 6, 2381)}, 0.0297632617674887, 'baseline'), ({(2381, 6, 21795)}, -0.007654150062784065, 'baseline'), ({(2381, 6, 5200)}, -0.029015501060895968, 'baseline'), ({(2381, 6, 10989)}, -0.13014789378536218, 'baseline')]",[1],8.170172,1,4.932519,1.0,"(2381, 2, 12273)"
"[(17802, 1, 17801), (17801, 1, 24768), (3847, 1, 24768), (17801, 1, 17802), (3847, 1, 17802)]",5,[0.2048369],"[({(3847, 1, 17802)}, 0.8238506789272096, 'baseline'), ({(17802, 1, 17801)}, 0.0565357608499881, 'baseline'), ({(17801, 1, 17802)}, 0.05217842288198869, 'baseline')]",[1510],8.961193,1,0.2048369,1510.0,"(17802, 1, 3847)"
"[(8629, 1, 7673)]",1,[1.481066],"[({(8629, 1, 7673)}, 1.788355908824707, 'baseline')]",[159],9.002323,1,1.481066,159.0,"(7673, 1, 8629)"
"[(16053, 1, 16054), (16053, 3, 26644), (16054, 1, 26644), (26644, 3, 16053), (16053, 1, 4985), (4985, 1, 26644)]",6,[-1.6402488],"[({(16054, 1, 26644)}, 1.7735882612171359, 'baseline'), ({(4985, 1, 26644)}, 0.10800461014522174, 'baseline'), ({(26644, 3, 16053)}, -0.3826093258917952, 'baseline'), ({(16053, 3, 26644)}, -0.38649936341622326, 'baseline')]",[3453],9.2418165,1,-1.6402488,3453.0,"(26644, 1, 16054)"
"[(1754, 1, 8152), (8152, 1, 29442), (5305, 1, 29442), (1754, 1, 5305), (29442, 1, 8152)]",5,[3.1310868],"[({(5305, 1, 29442)}, 1.3064108491203312, 'baseline'), ({(29442, 1, 8152)}, -0.08282848167034196, 'baseline'), ({(8152, 1, 29442)}, -0.0861234264191181, 'baseline')]",[9],8.90522,1,3.1310868,9.0,"(29442, 1, 5305)"
"[(1770, 1, 1771), (21991, 0, 1771), (1770, 1, 21991)]",3,[2.9451237],"[({(1770, 1, 1771)}, 0.4837418026182075, 'baseline'), ({(21991, 0, 1771)}, 0.07779888341635635, 'baseline')]",[43],8.726723,1,2.9451237,43.0,"(1771, 1, 1770)"
"[(512, 4, 22121), (512, 4, 33810), (33810, 0, 351)]",3,[8.066223],"[({(512, 4, 22121)}, 3.4291585396176596, 'baseline')]",[1],8.308378,1,8.066223,1.0,"(22121, 0, 351)"
"[(6575, 0, 1380), (4301, 1, 10990), (10990, 0, 1380), (4301, 1, 6575)]",4,[1.4745508],"[({(4301, 1, 10990)}, 0.954007198554321, 'baseline'), ({(10990, 0, 1380)}, 0.2406778741455904, 'baseline')]",[147],9.040138,1,1.4745508,147.0,"(10990, 1, 4301)"
"[(37187, 1, 22873)]",1,[-1.7687116],"[({(37187, 1, 22873)}, 0.1172924443247466, 'baseline')]",[40716],9.392544,1,-1.7687116,40716.0,"(22873, 1, 37187)"
"[(27523, 2, 121), (13776, 2, 916), (2181, 6, 13776), (30733, 2, 121), (2181, 6, 30733), (27523, 2, 916)]",6,[9.3397045],"[({(13776, 2, 916)}, 3.642136975996093, 'baseline'), ({(2181, 6, 13776)}, -0.34665771180427146, 'baseline')]",[1],8.00515,1,9.3397045,1.0,"(13776, 2, 121)"
"[(17464, 1, 17465)]",1,[-2.1811626],"[({(17464, 1, 17465)}, 1.6944523619900251, 'baseline')]",[28303],9.928814,1,-2.1811626,28303.0,"(17465, 1, 17464)"
"[(31682, 5, 172), (31682, 0, 5517), (26515, 4, 33614), (33614, 0, 5517), (26515, 5, 172)]",5,[9.783618],"[({(33614, 0, 5517)}, 1.6905718610091116, 'baseline'), ({(26515, 4, 33614)}, 0.8566508771045944, 'baseline')]",[3],7.783125,1,9.783618,3.0,"(33614, 5, 172)"
"[(9238, 0, 22982), (22982, 1, 7948), (8993, 0, 9238), (8993, 1, 7948), (7948, 1, 22982)]",5,[-4.630065],"[({(8993, 1, 7948)}, 1.0776157907043165, 'baseline'), ({(7948, 1, 22982)}, -0.12583347119506283, 'baseline'), ({(22982, 1, 7948)}, -0.1298875407120383, 'baseline')]",[40693],9.079611,1,-4.630065,40693.0,"(7948, 1, 8993)"
