new_ranks,facts,prediction,new_scores,#facts,original_rank,new_score,original_score,new_rank,perspective
"[2, 1]","[(1080, 54, 1445), (1080, 15, 2376), (1445, 205, 1080), (1445, 62, 1080), (1445, 133, 1080), (2376, 148, 9623), (1080, 15, 1445), (2376, 135, 1080), (8696, 133, 1080), (8696, 148, 9623), (1080, 54, 1445), (1445, 205, 1080), (1445, 62, 1080), (1445, 133, 1080), (1080, 15, 1445), (1080, 15, 8696), (2376, 148, 9623), (434, 161, 1445), (434, 161, 2376)]","(1445, 148, 9623)","[6.908901, 7.0841894]",19,1,6.9965453,7.140051,1.5,all
"[3, 3]","[(462, 136, 6402), (1938, 32, 462), (1938, 32, 5660), (1938, 32, 1945), (1938, 32, 5660), (1945, 136, 6402), (1938, 32, 5660)]","(5660, 136, 6402)","[5.163303, 5.1802273]",7,1,5.1717653,6.9425015,3.0,all
"[1, 1]","[(3028, 23, 209), (3794, 219, 90), (3028, 206, 90), (3028, 234, 90), (3794, 139, 90), (3794, 206, 90), (3794, 234, 90), (3028, 139, 90), (75, 234, 90), (3794, 219, 90), (75, 219, 90), (3794, 139, 90), (3794, 206, 90), (3794, 234, 90), (75, 139, 90), (75, 23, 209), (75, 206, 90), (3794, 219, 90), (1046, 23, 209), (1046, 139, 90), (3794, 139, 90), (3794, 206, 90), (3794, 234, 90), (1046, 206, 90), (1046, 234, 90)]","(3794, 23, 209)","[8.338304, 8.214177]",25,1,8.27624,8.168217,1.0,all
"[1, 1]","[(1745, 48, 32), (1745, 43, 141), (3577, 43, 141), (3577, 43, 141), (2008, 43, 141), (2008, 48, 32), (3577, 43, 141)]","(3577, 48, 32)","[6.4456635, 6.385705]",7,1,6.415684,6.6759186,1.0,all
"[7, 6]","[(3978, 130, 841), (841, 49, 3978), (841, 49, 5453), (841, 95, 521), (1432, 49, 1796), (1796, 130, 1432), (1432, 95, 521)]","(1796, 130, 841)","[6.3476596, 6.622752]",7,1,6.4852057,6.8177223,6.5,all
"[1, 1]","[(1971, 11, 23), (1971, 90, 23), (4794, 11, 23), (1971, 13, 382), (2525, 147, 382), (2525, 11, 23), (4794, 11, 23), (1883, 11, 23), (4794, 11, 23), (1883, 13, 382)]","(4794, 28, 382)","[5.7966814, 5.8444777]",10,1,5.8205795,5.9059772,1.0,all
"[1, 1]","[(7475, 26, 64), (4929, 26, 64), (7475, 11, 23), (11030, 26, 1098), (4929, 26, 1098), (11030, 11, 23), (4929, 26, 990), (6451, 11, 23), (6451, 26, 990)]","(4929, 11, 23)","[8.155943, 7.964736]",9,1,8.060339,8.66317,1.0,all
"[1, 1]","[(1843, 14, 160), (7397, 28, 32), (7397, 14, 160), (1843, 14, 160), (2744, 28, 32), (2744, 14, 160), (1843, 14, 160), (4137, 14, 160), (4137, 28, 32)]","(1843, 28, 32)","[7.9836073, 8.000675]",9,1,7.9921412,8.216557,1.0,all
"[1, 1]","[(3120, 25, 62), (3243, 220, 6386), (3243, 25, 62), (4994, 220, 6386), (3120, 25, 62), (4994, 25, 62), (3120, 25, 62), (3020, 220, 6386), (3020, 25, 62)]","(3120, 220, 6386)","[8.341699, 8.483327]",9,1,8.412513,8.844319,1.0,all
"[1, 1]","[(9919, 11, 23), (4, 2, 7019), (9919, 31, 4), (4, 2, 7019), (1500, 11, 23), (1500, 31, 4), (10152, 31, 4), (4, 2, 7019), (10152, 11, 23)]","(7019, 11, 23)","[8.704636, 8.839743]",9,1,8.772189,8.85631,1.0,all
"[3, 1]","[(1335, 31, 2512), (1335, 25, 62), (9419, 25, 62), (2158, 25, 62), (2158, 31, 2512), (9419, 25, 62), (3238, 31, 2512), (3238, 25, 62), (9419, 25, 62)]","(9419, 31, 2512)","[6.123574, 6.318968]",9,1,6.2212706,6.3330984,2.0,all
"[1, 1]","[(7956, 25, 62), (357, 25, 62), (357, 14, 160), (7956, 25, 62), (7956, 113, 737)]","(7956, 198, 160)","[7.8351164, 7.7414856]",5,1,7.788301,8.374424,1.0,all
"[2, 2]","[(7744, 13, 308), (7744, 13, 4474), (7744, 13, 2091)]","(7744, 13, 2046)","[5.8195095, 5.6289153]",3,1,5.7242126,5.7034497,2.0,all
"[1, 1]","[(2323, 25, 62), (1395, 25, 62), (1395, 110, 494), (2323, 25, 62), (3411, 25, 62), (3411, 110, 494), (8273, 91, 494), (2323, 25, 62), (8273, 25, 62)]","(2323, 91, 494)","[9.349101, 8.993266]",9,1,9.171184,9.398626,1.0,all
"[1, 1]","[(5072, 48, 1124), (3284, 48, 1124), (5072, 48, 1124), (3284, 39, 249), (2411, 24, 249), (2411, 48, 1124), (5072, 48, 1124), (2411, 66, 249)]","(5072, 66, 249)","[6.504324, 6.4454956]",8,1,6.47491,6.7542014,1.0,all
