original_rank,new_ranks,new_rank,#facts,new_scores,new_score,facts,prediction,original_score
3,"[1, 1]",1.0,13,"[2.432466, 2.6990566]",2.5657613,"[([(5781, 2, 131), (17094, 8, 7410), (17094, 2, 131)], 1.6019001, 'xrule'), ([(14788, 8, 7410), (5781, 2, 31), (14788, 2, 31)], 1.4958, 'xrule'), ([(5781, 2, 31), (22405, 2, 31), (22405, 8, 7410)], 1.1513996, 'xrule'), ([(5781, 2, 31), (21960, 2, 31), (21960, 8, 7410)], 0.6595001, 'xrule'), ([(5781, 2, 31), (11569, 2, 31), (11569, 8, 7410)], 0.1743002, 'xrule'), ([(17094, 2, 31), (17094, 8, 7410), (5781, 2, 31)], -0.55130005, 'xrule'), ([(5781, 3, 1842)], -0.6437596831775414, 4.344397143065401), ([(5781, 2, 131), (20003, 8, 7410), (20003, 2, 131)], -0.7023001, 'xrule'), ([(5781, 2, 31), (20003, 8, 7410), (20003, 2, 31)], -0.73840046, 'xrule'), ([(5781, 3, 772)], -0.7875546944064927, 28.312693954961283), ([(5781, 3, 5790)], -0.8347529891051971, 7.302641004568902), ([(5781, 2, 31), (21828, 2, 31), (21828, 8, 7410)], -1.1042004, 'xrule'), ([(5781, 2, 31), (16162, 8, 7410), (16162, 2, 31)], -1.2364998, 'xrule')]","(5781, 8, 7410)",5.775256
2,"[4, 4]",4.0,13,"[2.4136558, 2.7270875]",2.5703716,"[([(15219, 8, 7408), (4870, 2, 31), (15219, 2, 31)], 1.8508997, 'xrule'), ([(4870, 3, 3987)], 0.5819626289374953, 132.64151887208462), ([(4870, 3, 10), (15219, 3, 10), (15219, 8, 7408)], 0.011799812, 'xrule'), ([(4870, 3, 149), (20789, 8, 7408), (20789, 3, 149)], -0.16090012, 'xrule'), ([(4870, 3, 10), (17883, 8, 7408), (17883, 3, 10)], -0.4151001, 'xrule'), ([(4870, 2, 1100)], -0.577963785609833, 74.3594012510302), ([(17883, 8, 7408), (17883, 2, 31), (4870, 2, 31)], -0.7055998, 'xrule'), ([(20789, 2, 31), (20789, 8, 7408), (4870, 2, 31)], -0.7536001, 'xrule'), ([(4870, 3, 20)], -1.1299132759146007, 5.24417709588693), ([(4870, 3, 149), (15219, 3, 149), (15219, 8, 7408)], -1.2213001, 'xrule'), ([(4870, 3, 149), (23195, 3, 149), (23195, 8, 7408)], -1.9626999, 'xrule'), ([(9688, 8, 7408), (9688, 2, 31), (4870, 2, 31)], -3.1622, 'xrule'), ([(23195, 8, 7408), (4870, 2, 31), (23195, 2, 31)], -6.4344997, 'xrule')]","(4870, 8, 7408)",5.1319237
5,"[1, 1]",1.0,13,"[2.9559383, 3.30581]",3.1308742,"[([(6373, 3, 78), (6373, 3, 10)], 3.113359696821195, 0.9574404580295992), ([(6373, 2, 68), (23552, 10, 7830), (23552, 2, 68)], 2.3731995, 'xrule'), ([(23374, 10, 7830), (23374, 3, 10), (6373, 3, 10)], 1.8639002, 'xrule'), ([(6373, 3, 78)], 1.8273869398714082, 2.861450132651023), ([(25548, 10, 7830), (6373, 3, 10), (25548, 3, 10)], 0.35459995, 'xrule'), ([(23374, 10, 7830), (23374, 3, 9), (6373, 3, 9)], 0.24720001, 'xrule'), ([(23552, 10, 7830), (23552, 3, 9), (6373, 3, 9)], -0.06099987, 'xrule'), ([(6373, 3, 731), (23552, 10, 7830), (23552, 3, 731)], -0.2453003, 'xrule'), ([(6373, 2, 68), (6373, 3, 78), (6373, 2, 31)], -0.4489745673457095, 8.389604589499305), ([(6373, 2, 68), (22843, 10, 7830), (22843, 2, 68)], -0.84380054, 'xrule'), ([(23552, 10, 7830), (23552, 3, 10), (6373, 3, 10)], -1.2153997, 'xrule'), ([(6373, 2, 68), (23374, 10, 7830), (23374, 2, 68)], -1.3762999, 'xrule'), ([(6373, 2, 68), (17302, 10, 7830), (17302, 2, 68)], -1.9049006, 'xrule')]","(6373, 10, 7830)",4.1042304
4,"[2, 2]",2.0,13,"[2.95303, 3.9662325]",3.4596314,"[([(5107, 3, 10), (21088, 3, 10), (21088, 11, 7869)], 1.3827, 'xrule'), ([(5107, 2, 68), (13761, 2, 68), (13761, 11, 7869)], 1.2793007, 'xrule'), ([(5107, 3, 506)], 0.9749861266399585, 31.726112212228717), ([(5107, 3, 1061), (21088, 3, 1061), (21088, 11, 7869)], 0.83820057, 'xrule'), ([(5107, 3, 1061)], 0.35341553044954227, 3498.5874455803882), ([(5107, 3, 6)], 0.28449444085916015, 1843.5706477398296), ([(5107, 2, 68), (23513, 11, 7869), (23513, 2, 68)], -0.028899193, 'xrule'), ([(5107, 3, 10), (11759, 3, 10), (11759, 11, 7869)], -0.6499996, 'xrule'), ([(5107, 2, 68), (11759, 2, 68), (11759, 11, 7869)], -0.89979935, 'xrule'), ([(5107, 2, 68), (21088, 2, 68), (21088, 11, 7869)], -1.3869991, 'xrule'), ([(5107, 3, 149), (11759, 3, 149), (11759, 11, 7869)], -1.4031, 'xrule'), ([(5107, 3, 149), (21088, 3, 149), (21088, 11, 7869)], -2.1168995, 'xrule'), ([(5107, 3, 10), (23513, 11, 7869), (23513, 3, 10)], -2.5527, 'xrule')]","(5107, 11, 7869)",3.9894578
3,"[1, 1]",1.0,3,"[4.710576, 3.5928907]",4.1517334,"[([(7628, 3, 40)], 1.8371935734113911, 16993.8626164481), ([(7628, 3, 20)], 0.14740852562371112, 16833.536785535252), ([(7628, 3, 38)], 0.11709789474757638, 18188.529241058728)]","(7628, 12, 4492)",2.7237372
4,"[1, 1]",1.0,13,"[2.8763862, 3.0568514]",2.9666188,"[([(8476, 10, 7830), (8476, 2, 31), (7201, 2, 31)], 2.3393002, 'xrule'), ([(7201, 3, 1266)], 1.7937031610525445, 22081.85738068504), ([(10755, 10, 7830), (7201, 3, 75), (10755, 3, 75)], 1.3015003, 'xrule'), ([(7201, 3, 88)], 1.0650892781928631, 83.74366190113429), ([(14936, 10, 7830), (7201, 3, 75), (14936, 3, 75)], 0.50580025, 'xrule'), ([(7201, 2, 4111)], 0.31102089213239453, 7.57713441973656), ([(11697, 10, 7830), (11697, 2, 31), (7201, 2, 31)], -0.27769947, 'xrule'), ([(9105, 10, 7830), (7201, 3, 75), (9105, 3, 75)], -0.30889988, 'xrule'), ([(9105, 10, 7830), (7201, 4, 66), (9105, 4, 66)], -1.1243, 'xrule'), ([(10456, 2, 31), (7201, 2, 31), (10456, 10, 7830)], -1.1760998, 'xrule'), ([(12537, 2, 31), (12537, 10, 7830), (7201, 2, 31)], -1.3650999, 'xrule'), ([(11697, 10, 7830), (11697, 1, 168), (7201, 1, 168)], -1.5121994, 'xrule'), ([(11697, 10, 7830), (7201, 4, 66), (11697, 4, 66)], -2.5985994, 'xrule')]","(7201, 10, 7830)",2.8545017
2,"[1, 1]",1.0,14,"[2.3467011, 3.6594887]",3.003095,"[([(22917, 2, 31), (22917, 11, 7956), (6983, 2, 31)], 3.4040003, 'xrule'), ([(19447, 3, 40), (19447, 11, 7956), (6983, 3, 40)], 2.9365005, 'xrule'), ([(20431, 2, 31), (6983, 2, 31), (20431, 11, 7956)], 1.7802, 'xrule'), ([(24494, 11, 7956), (24494, 3, 40), (6983, 3, 40)], 1.0809002, 'xrule'), ([(15851, 11, 7956), (6983, 2, 31), (15851, 2, 31)], 0.5755005, 'xrule'), ([(15851, 11, 7956), (6983, 3, 40), (15851, 3, 40)], 0.35690022, 'xrule'), ([(22917, 3, 40), (22917, 11, 7956), (6983, 3, 40)], 0.02230072, 'xrule'), ([(19447, 2, 31), (19447, 11, 7956), (6983, 2, 31)], -0.3863001, 'xrule'), ([(6983, 2, 31), (13240, 2, 31), (13240, 11, 7956)], -0.8621998, 'xrule'), ([(13240, 3, 40), (6983, 3, 40), (13240, 11, 7956)], -0.9726, 'xrule'), ([(6983, 3, 1289)], -1.0217227422224777, 397.2646919571024), ([(17455, 11, 7956), (6983, 3, 40), (17455, 3, 40)], -1.0972996, 'xrule'), ([(6983, 2, 31)], -2.3906773219664847, 1.0838863554093299), ([(6983, 3, 6994)], -3.130956400286215, 890.0418482314959)]","(6983, 11, 7956)",2.8960073
5,"[1, 1]",1.0,13,"[3.2875054, 4.2555604]",3.771533,"[([(24889, 1, 65), (24889, 11, 7956), (5558, 1, 65)], 3.4560003, 'xrule'), ([(17729, 11, 7956), (17729, 2, 31), (5558, 2, 31)], 2.5537996, 'xrule'), ([(24889, 2, 31), (24889, 11, 7956), (5558, 2, 31)], 1.2226, 'xrule'), ([(5558, 4, 169), (18921, 11, 7956), (18921, 4, 169)], 1.0225, 'xrule'), ([(5558, 2, 2083)], 0.8868732936290125, 18413.70824449895), ([(18842, 2, 31), (18842, 11, 7956), (5558, 2, 31)], 0.38010025, 'xrule'), ([(18921, 11, 7956), (5558, 1, 65), (18921, 1, 65)], 0.33780003, 'xrule'), ([(25461, 2, 31), (25461, 11, 7956), (5558, 2, 31)], 0.11769962, 'xrule'), ([(25461, 11, 7956), (5558, 1, 65), (25461, 1, 65)], -0.5664997, 'xrule'), ([(18921, 2, 31), (18921, 11, 7956), (5558, 2, 31)], -0.64050007, 'xrule'), ([(5558, 3, 5561)], -1.4782113367759364, 2.1856977283335923), ([(24469, 11, 7956), (5558, 1, 65), (24469, 1, 65)], -1.6471996, 'xrule'), ([(5558, 3, 9)], -1.9779786126419663, 2.121534473940984)]","(5558, 11, 7956)",4.1423807
2,"[1, 1]",1.0,13,"[2.3296392, 2.6409836]",2.4853115,"[([(23558, 2, 68), (4870, 2, 68), (23558, 8, 7410)], 4.4855995, 'xrule'), ([(4870, 3, 10), (4870, 1, 864), (4870, 2, 172)], 1.6211558114106397, 368.8349544586507), ([(4870, 3, 10), (4870, 1, 864), (4870, 3, 1101)], 1.6173048742848186, 4.834423093581214), ([(4870, 1, 864)], 1.2041454878309457, 3.769261411686884), ([(17655, 8, 7410), (4870, 2, 68), (17655, 2, 68)], 1.1954994, 'xrule'), ([(22946, 8, 7410), (22946, 3, 7), (4870, 3, 7)], 0.90499973, 'xrule'), ([(22137, 8, 7410), (4870, 2, 68), (22137, 2, 68)], 0.7781, 'xrule'), ([(22946, 2, 68), (4870, 2, 68), (22946, 8, 7410)], 0.6747999, 'xrule'), ([(23558, 2, 172), (23558, 8, 7410), (4870, 2, 172)], 0.114500046, 'xrule'), ([(19795, 2, 68), (4870, 2, 68), (19795, 8, 7410)], 0.11079979, 'xrule'), ([(24668, 8, 7410), (24668, 3, 7), (4870, 3, 7)], -0.09000015, 'xrule'), ([(4870, 2, 68), (16149, 8, 7410), (16149, 2, 68)], -1.2788, 'xrule'), ([(24668, 8, 7410), (24668, 2, 172), (4870, 2, 172)], -1.7169008, 'xrule')]","(4870, 8, 7410)",5.1274643
5,"[1, 1]",1.0,3,"[2.5896873, 3.809496]",3.1995916,"[([(5073, 3, 91)], -0.20416541826115908, 5.449135198097853), ([(5073, 3, 418)], -0.7892856132480771, 301.31232207268863), ([(5073, 3, 1335)], -2.01426973251018, 17024.117712803985)]","(5073, 11, 7956)",3.7088525
5,"[1, 1]",1.0,13,"[3.142113, 3.3600874]",3.2511,"[([(7125, 3, 0)], 2.396825921261247, 0.9165849336811001), ([(7125, 3, 479)], 1.3385887753781582, 257.7922577602698), ([(7125, 3, 219)], -0.051038702046535954, 3.4872430836275883), ([(25427, 10, 7830), (7125, 4, 66), (25427, 4, 66)], -0.24769974, 'xrule'), ([(20213, 3, 9), (7125, 3, 9), (20213, 10, 7830)], -0.6588993, 'xrule'), ([(20213, 10, 7830), (20213, 4, 66), (7125, 4, 66)], -0.68589973, 'xrule'), ([(20213, 3, 476), (7125, 3, 476), (20213, 10, 7830)], -1.4179993, 'xrule'), ([(25427, 10, 7830), (7125, 3, 2593), (25427, 3, 2593)], -1.9954996, 'xrule'), ([(25427, 10, 7830), (25427, 3, 476), (7125, 3, 476)], -2.1056995, 'xrule'), ([(20213, 10, 7830), (20213, 2, 31), (7125, 2, 31)], -2.1304998, 'xrule'), ([(20213, 10, 7830), (20213, 3, 40), (7125, 3, 40)], -2.8457994, 'xrule'), ([(20213, 10, 7830), (20213, 2, 172), (7125, 2, 172)], -3.2136993, 'xrule'), ([(20213, 10, 7830), (20213, 2, 68), (7125, 2, 68)], -3.6034994, 'xrule')]","(7125, 10, 7830)",4.007418
5,"[1, 1]",1.0,13,"[3.0199187, 3.1391854]",3.0795522,"[([(5269, 3, 220), (25362, 10, 7830), (25362, 3, 220)], 3.6692, 'xrule'), ([(5269, 3, 220), (25687, 10, 7830), (25687, 3, 220)], 2.0109997, 'xrule'), ([(5269, 3, 75), (25526, 3, 75), (25526, 10, 7830)], 1.2973003, 'xrule'), ([(5269, 3, 1966)], 1.2364311791923925, 0.7749421884895475), ([(24469, 2, 266), (24469, 10, 7830), (5269, 2, 266)], 1.2062998, 'xrule'), ([(5269, 3, 220), (25526, 3, 220), (25526, 10, 7830)], 1.1067, 'xrule'), ([(5269, 3, 220), (24469, 10, 7830), (24469, 3, 220)], 0.87730026, 'xrule'), ([(5269, 3, 34)], 0.6101828059937477, 2.647982491469615), ([(25526, 3, 38), (5269, 3, 38), (25526, 10, 7830)], 0.4793005, 'xrule'), ([(24469, 3, 891), (5269, 3, 891), (24469, 10, 7830)], 0.24370003, 'xrule'), ([(5269, 3, 506)], -0.5157441665462034, 12.373847917167803), ([(25526, 3, 55), (5269, 3, 55), (25526, 10, 7830)], -0.7062998, 'xrule'), ([(25687, 10, 7830), (5269, 3, 75), (25687, 3, 75)], -1.4642, 'xrule')]","(5269, 10, 7830)",3.974818
4,"[1, 1]",1.0,14,"[2.8941345, 3.0841722]",2.9891534,"[([(6383, 2, 812), (25765, 10, 7830), (25765, 2, 812)], 0.77420044, 'xrule'), ([(6383, 3, 733)], 0.5890589195872412, 2.6431491790331094), ([(6383, 2, 728)], 0.35476021126016793, 10.587771429809933), ([(6383, 3, 40)], -0.5206822921217014, 8941.372692694813), ([(23409, 3, 220), (6383, 3, 220), (23409, 10, 7830)], -0.53609943, 'xrule'), ([(23409, 2, 31), (6383, 2, 31), (23409, 10, 7830)], -1.2714996, 'xrule'), ([(10608, 10, 7830), (6383, 2, 31), (10608, 2, 31)], -1.6518002, 'xrule'), ([(10608, 10, 7830), (6383, 3, 56), (10608, 3, 56)], -1.7473001, 'xrule'), ([(6383, 2, 31), (15177, 2, 31), (15177, 10, 7830)], -1.7863998, 'xrule'), ([(19179, 3, 220), (19179, 10, 7830), (6383, 3, 220)], -1.9267998, 'xrule'), ([(20589, 2, 31), (6383, 2, 31), (20589, 10, 7830)], -2.5264997, 'xrule'), ([(10608, 10, 7830), (6383, 2, 729), (10608, 2, 729)], -2.8183994, 'xrule'), ([(25765, 2, 31), (6383, 2, 31), (25765, 10, 7830)], -3.3474998, 'xrule'), ([(19179, 2, 31), (6383, 2, 31), (19179, 10, 7830)], -3.3772001, 'xrule')]","(6383, 10, 7830)",2.8969355
2,"[1, 1]",1.0,13,"[2.7744374, 2.9812312]",2.8778343,"[([(5380, 3, 732)], 1.9369736626422498, 0.8740192817880571), ([(23193, 10, 7830), (23193, 3, 476), (5380, 3, 476)], 1.6871004, 'xrule'), ([(5380, 3, 0)], 0.9554005167369818, 1.7221999575464546), ([(5380, 3, 2508)], 0.7229061581493862, 10.673246641595076), ([(17014, 10, 7830), (5380, 3, 39), (17014, 3, 39)], 0.59920025, 'xrule'), ([(5380, 3, 39), (17731, 10, 7830), (17731, 3, 39)], -0.7348995, 'xrule'), ([(5380, 3, 39), (20586, 10, 7830), (20586, 3, 39)], -0.7549, 'xrule'), ([(17731, 10, 7830), (5380, 3, 6), (17731, 3, 6)], -1.0484991, 'xrule'), ([(20586, 3, 6), (5380, 3, 6), (20586, 10, 7830)], -1.2619991, 'xrule'), ([(23193, 1, 65), (5380, 1, 65), (23193, 10, 7830)], -1.3238993, 'xrule'), ([(23193, 3, 39), (5380, 3, 39), (23193, 10, 7830)], -1.5204992, 'xrule'), ([(14691, 10, 7830), (5380, 3, 6), (14691, 3, 6)], -1.5744991, 'xrule'), ([(17014, 10, 7830), (5380, 3, 6), (17014, 3, 6)], -2.5300999, 'xrule')]","(5380, 10, 7830)",2.6694508
1,"[1, 1]",1.0,12,"[2.1446226, 2.4940243]",2.3193235,"[([(12572, 3, 39), (12572, 8, 7410), (5620, 3, 39)], -0.36089897, 'xrule'), ([(5620, 3, 277), (5620, 3, 39), (5620, 3, 386)], -0.4301185189306041, 24.3940980207015), ([(5620, 3, 277)], -1.5993470430351204, 3.1680728843917003), ([(5620, 3, 39), (23242, 3, 39), (23242, 8, 7410)], -2.4092999, 'xrule'), ([(5620, 3, 39)], -2.6921756968765926, 4.063436622063082), ([(5620, 3, 189), (23329, 8, 7410), (23329, 3, 189)], -2.8289995, 'xrule'), ([(18504, 3, 39), (18504, 8, 7410), (5620, 3, 39)], -3.354, 'xrule'), ([(16645, 3, 39), (16645, 8, 7410), (5620, 3, 39)], -3.5367994, 'xrule'), ([(23047, 3, 154), (23047, 8, 7410), (5620, 3, 154)], -3.8104, 'xrule'), ([(8628, 3, 39), (8628, 8, 7410), (5620, 3, 39)], -4.3004, 'xrule'), ([(5620, 3, 314), (23329, 8, 7410), (23329, 3, 314)], -4.582299, 'xrule'), ([(5620, 3, 346), (14879, 8, 7410), (14879, 3, 346)], -5.1117992, 'xrule')]","(5620, 8, 7410)",4.018502
3,"[2, 3]",2.5,14,"[3.1324062, 4.152463]",3.6424346,"[([(6812, 3, 9), (23558, 3, 9), (23558, 11, 7869)], 2.9586, 'xrule'), ([(6812, 3, 10), (23558, 3, 10), (23558, 11, 7869)], 2.6005, 'xrule'), ([(23558, 11, 7869), (6812, 2, 31), (23558, 2, 31)], 1.6745005, 'xrule'), ([(23998, 3, 7), (6812, 3, 7), (23998, 11, 7869)], 1.5599003, 'xrule'), ([(25223, 2, 172), (6812, 2, 172), (25223, 11, 7869)], 1.3551006, 'xrule'), ([(6812, 3, 294)], 0.9770527389161082, 31.72652301404997), ([(17502, 2, 31), (6812, 2, 31), (17502, 11, 7869)], 0.9054003, 'xrule'), ([(17502, 2, 172), (6812, 2, 172), (17502, 11, 7869)], 0.61810017, 'xrule'), ([(6812, 3, 519)], 0.35773090675111335, 3664.5884910298096), ([(6812, 3, 694)], 0.2827320506655312, 1808.5702158849083), ([(23558, 11, 7869), (6812, 2, 172), (23558, 2, 172)], -0.11749935, 'xrule'), ([(6812, 3, 9), (23998, 3, 9), (23998, 11, 7869)], -0.29189968, 'xrule'), ([(6812, 3, 10), (25223, 3, 10), (25223, 11, 7869)], -1.4721994, 'xrule'), ([(6812, 2, 31), (25223, 11, 7869), (25223, 2, 31)], -1.6791992, 'xrule')]","(6812, 11, 7869)",3.5179758
1,"[8, 6]",7.0,13,"[2.3125753, 2.6399522]",2.4762638,"[([(10112, 8, 7566), (10112, 3, 40), (6115, 3, 40)], 4.635499, 'xrule'), ([(18607, 8, 7566), (18607, 4, 66), (6115, 4, 66)], 3.6074, 'xrule'), ([(10112, 8, 7566), (10112, 2, 30), (6115, 2, 30)], 3.3214998, 'xrule'), ([(18607, 8, 7566), (18607, 3, 40), (6115, 3, 40)], 3.1159992, 'xrule'), ([(10112, 8, 7566), (10112, 4, 66), (6115, 4, 66)], 2.9084997, 'xrule'), ([(8872, 3, 212), (8872, 8, 7566), (6115, 3, 212)], 2.6457996, 'xrule'), ([(10112, 8, 7566), (10112, 3, 6), (6115, 3, 6)], 2.4993992, 'xrule'), ([(8872, 8, 7566), (8872, 3, 6), (6115, 3, 6)], 2.3677998, 'xrule'), ([(18607, 8, 7566), (18607, 3, 6), (6115, 3, 6)], 1.8643999, 'xrule'), ([(24422, 8, 7566), (24422, 3, 40), (6115, 3, 40)], 1.8318996, 'xrule'), ([(6115, 3, 6126)], -1.8103264935167163, 1.1405986606749847), ([(6115, 2, 209)], -2.328553076130618, 8.088785643759483), ([(6115, 3, 1074)], -2.8903406045244577, 24422.052633122323)]","(6115, 8, 7566)",4.404839
2,"[2, 1]",1.5,3,"[2.2804885, 2.6319852]",2.4562368,"[([(4952, 3, 880)], 2.1183758825106365, 3.892676419788547), ([(4952, 3, 42)], 0.4703331416315584, 6.615462593512883), ([(4952, 2, 30)], 0.30749325076877876, 17973.576273264458)]","(4952, 8, 7410)",5.8348927
4,"[1, 1]",1.0,3,"[4.50223, 4.7121077]",4.607169,"[([(6966, 3, 891)], 0.05112842750168311, 0.5127793131044266), ([(6966, 3, 7)], -0.11203761855118054, 0.4720198474642598), ([(6966, 2, 68)], -1.441182071875606, 320.191362354695)]","(6966, 10, 8697)",3.447898
1,"[4, 3]",3.5,13,"[2.3767555, 2.6121988]",2.4944773,"[([(5279, 3, 5284)], 1.7042399220167912, 3.846087672186691), ([(21853, 8, 7429), (5279, 2, 30), (21853, 2, 30)], 1.4137001, 'xrule'), ([(5279, 3, 2758)], 1.176375444641346, 5.764295463328022), ([(5279, 3, 2138)], 0.8301582809200284, 1.696388386455925), ([(5279, 3, 38), (9623, 3, 38), (9623, 8, 7429)], 0.79920006, 'xrule'), ([(5279, 2, 30), (24230, 8, 7429), (24230, 2, 30)], -0.018699646, 'xrule'), ([(5279, 3, 38), (21853, 8, 7429), (21853, 3, 38)], -0.5369997, 'xrule'), ([(23098, 8, 7429), (5279, 2, 30), (23098, 2, 30)], -1.3400002, 'xrule'), ([(19911, 2, 30), (5279, 2, 30), (19911, 8, 7429)], -1.4408998, 'xrule'), ([(18934, 8, 7429), (5279, 2, 30), (18934, 2, 30)], -2.2107, 'xrule'), ([(5279, 2, 30), (9623, 2, 30), (9623, 8, 7429)], -2.4336004, 'xrule'), ([(25221, 8, 7429), (5279, 2, 30), (25221, 2, 30)], -2.6062002, 'xrule'), ([(9346, 2, 30), (5279, 2, 30), (9346, 8, 7429)], -2.6316996, 'xrule')]","(5279, 8, 7429)",4.3664303
3,"[2, 1]",1.5,3,"[2.2530246, 2.5361307]",2.3945775,"[([(6619, 3, 2031)], 2.1149035541820576, 10.892343298713987), ([(6619, 3, 613)], 0.4729004328975435, 11.616070009813036), ([(6619, 3, 1872)], 0.3046236447524321, 17932.575572404283)]","(6619, 8, 7410)",4.519601
5,"[1, 1]",1.0,13,"[2.8996162, 3.209068]",3.0543423,"[([(5498, 4, 66)], 3.003531201130823, 1.9527333899935364), ([(5498, 3, 75)], 1.5199571334717112, 0.820532158194442), ([(5498, 3, 185)], 0.9996362240873362, 2476.730987039936), ([(17213, 3, 220), (5498, 3, 220), (17213, 10, 7830)], 0.33990002, 'xrule'), ([(5498, 3, 220), (23793, 3, 220), (23793, 10, 7830)], 0.23559952, 'xrule'), ([(5498, 3, 220), (8674, 3, 220), (8674, 10, 7830)], -1.1386003, 'xrule'), ([(14536, 10, 7830), (5498, 3, 75), (14536, 3, 75)], -1.1747999, 'xrule'), ([(8674, 3, 75), (5498, 3, 75), (8674, 10, 7830)], -1.4252005, 'xrule'), ([(5498, 3, 220), (14721, 10, 7830), (14721, 3, 220)], -1.5532007, 'xrule'), ([(15839, 3, 75), (15839, 10, 7830), (5498, 3, 75)], -1.5733004, 'xrule'), ([(14536, 10, 7830), (5498, 3, 220), (14536, 3, 220)], -1.8009005, 'xrule'), ([(8674, 10, 7830), (8674, 3, 9), (5498, 3, 9)], -2.1886005, 'xrule'), ([(14721, 3, 75), (14721, 10, 7830), (5498, 3, 75)], -2.2746, 'xrule')]","(5498, 10, 7830)",3.2503138
2,"[2, 2]",2.0,13,"[4.950072, 3.8809795]",4.4155254,"[([(10198, 2, 68), (10198, 12, 4492), (5586, 2, 68)], 1.9111004, 'xrule'), ([(14606, 12, 4492), (5586, 3, 7), (14606, 3, 7)], 0.6108999, 'xrule'), ([(5586, 2, 31), (10198, 12, 4492), (10198, 2, 31)], 0.43490028, 'xrule'), ([(14606, 12, 4492), (14606, 3, 279), (5586, 3, 279)], 0.13710022, 'xrule'), ([(14606, 12, 4492), (14606, 2, 31), (5586, 2, 31)], 0.12460041, 'xrule'), ([(5586, 3, 2417)], 0.07708553506608795, 21622.519261836595), ([(5586, 3, 88)], -0.17863174217527683, 22540.45546042703), ([(4492, 3, 83), (5586, 3, 6), (83, 0, 6)], -0.18480015, 'xrule'), ([(14606, 2, 68), (14606, 12, 4492), (5586, 2, 68)], -0.7343998, 'xrule'), ([(5586, 1, 65)], -0.7989587316444237, 13242.310248290318), ([(4492, 3, 83), (5586, 3, 7), (83, 0, 7)], -0.96899986, 'xrule'), ([(14606, 12, 4492), (14606, 3, 10), (5586, 3, 10)], -1.2662001, 'xrule'), ([(14606, 12, 4492), (5586, 3, 6), (14606, 3, 6)], -2.4195004, 'xrule')]","(5586, 12, 4492)",3.338922
7,"[1, 1]",1.0,13,"[2.4444616, 2.6421566]",2.5433092,"[([(7335, 2, 31), (16057, 8, 7429), (16057, 2, 31)], 1.2339001, 'xrule'), ([(7335, 3, 6183)], 1.0787220529467814, -0.2537479424528737), ([(15851, 8, 7429), (15851, 3, 88), (7335, 3, 88)], 0.95479965, 'xrule'), ([(7335, 3, 7346), (7335, 3, 6183)], 0.9132519257480144, 10.713665136154622), ([(7335, 2, 31), (14580, 2, 31), (14580, 8, 7429)], 0.4159994, 'xrule'), ([(7335, 2, 31), (20989, 8, 7429), (20989, 2, 31)], 0.35099983, 'xrule'), ([(7335, 2, 31), (18600, 2, 31), (18600, 8, 7429)], -0.20410061, 'xrule'), ([(7335, 2, 31), (24453, 2, 31), (24453, 8, 7429)], -0.2442007, 'xrule'), ([(7335, 2, 31), (13541, 8, 7429), (13541, 2, 31)], -0.48230076, 'xrule'), ([(18600, 8, 7429), (7335, 3, 88), (18600, 3, 88)], -0.5185003, 'xrule'), ([(7335, 3, 7346)], -0.6802482156569327, 1.3362058956772846), ([(7335, 2, 31), (15487, 8, 7429), (15487, 2, 31)], -0.8131008, 'xrule'), ([(20989, 8, 7429), (20989, 3, 88), (7335, 3, 88)], -1.2052002, 'xrule')]","(7335, 8, 7429)",5.230544
5,"[1, 1]",1.0,13,"[3.002531, 3.1746523]",3.0885916,"[([(5645, 1, 65)], 2.40433324617182, 0.9171571289239241), ([(5645, 3, 1200)], 1.3311329492718627, 256.7910279661329), ([(23699, 10, 7830), (23699, 3, 9), (5645, 3, 9)], 1.3054991, 'xrule'), ([(23699, 2, 31), (5645, 2, 31), (23699, 10, 7830)], 1.2369995, 'xrule'), ([(5645, 2, 30)], -0.04557033353532433, 3.48860937775112), ([(5645, 2, 30), (23699, 10, 7830), (23699, 2, 30)], -0.14080048, 'xrule'), ([(23699, 3, 75), (23699, 10, 7830), (5645, 3, 75)], -0.7623005, 'xrule'), ([(5645, 4, 66), (23699, 10, 7830), (23699, 4, 66)], -0.9354, 'xrule'), ([(5645, 2, 30), (20586, 10, 7830), (20586, 2, 30)], -1.2025003, 'xrule'), ([(20586, 3, 20), (5645, 3, 20), (20586, 10, 7830)], -1.7619009, 'xrule'), ([(5645, 2, 30), (24794, 2, 30), (24794, 10, 7830)], -1.7822008, 'xrule'), ([(5645, 3, 9), (24794, 10, 7830), (24794, 3, 9)], -2.1824007, 'xrule'), ([(5645, 2, 31), (24794, 2, 31), (24794, 10, 7830)], -2.4026003, 'xrule')]","(5645, 10, 7830)",3.5500622
