new_scores,facts,new_rank,prediction,new_score,original_rank,#facts,original_score,new_ranks
"[4.5740004, 4.5838175]","[([(3809, 25, 62), (2287, 60, 90), (2287, 25, 62)], 0.99310017, 'xrule'), ([(1322, 28, 32), (1322, 13, 32), (1322, 34, 90), (32, 15, 3809)], 0.9706001, 'xrule'), ([(7726, 33, 90), (7726, 120, 791), (3809, 120, 791)], 0.9260001, 'xrule'), ([(3809, 120, 791)], 0.596127076885883, 'kelpie'), ([(3809, 25, 62)], 0.3744349893942941, 'kelpie'), ([(3809, 154, 2438)], 0.3475542480653247, 'kelpie')]",1.0,"(3809, 33, 90)",4.578909,1,6,6.958826,"[1, 1]"
"[6.6819644, 6.5129795]","[([(10178, 17, 215), (10178, 25, 62), (9122, 25, 62)], 1.0767994, 'xrule'), ([(9122, 25, 62), (355, 25, 62), (355, 17, 215)], 1.0174999, 'xrule'), ([(10412, 25, 62), (10412, 17, 215), (9122, 25, 62)], 0.9552994, 'xrule'), ([(9122, 17, 393)], 0.41823772792330377, 'kelpie'), ([(9122, 25, 62)], 0.31608204176452637, 'kelpie'), ([(9122, 85, 434)], 0.19521526561057137, 'kelpie')]",1.0,"(9122, 17, 215)",6.597472,1,6,7.1839924,"[1, 1]"
"[6.648856, 6.2965918]","[([(2857, 182, 2192)], 0.061550180411609964, 'kelpie'), ([(2857, 10, 579)], 0.056863824838753345, 'kelpie'), ([(153, 10, 1171), (2857, 10, 1171), (153, 10, 2465)], 0.05000019, 'xrule'), ([(153, 10, 2465), (1308, 19, 153), (153, 47, 1308), (1308, 19, 2857)], 0.046899796, 'xrule'), ([(1368, 10, 2465), (2857, 10, 5491), (1368, 10, 5491)], 0.04580021, 'xrule'), ([(1308, 19, 2857)], 0.040933649033726205, 'kelpie')]",3.5,"(2857, 10, 2465)",6.472724,1,6,6.8358297,"[3, 4]"
"[7.208579, 6.9316177]","[([(1295, 25, 62), (1295, 31, 844), (2634, 25, 62)], 0.14860058, 'xrule'), ([(8205, 31, 844), (8205, 25, 62), (2634, 25, 62)], 0.14650059, 'xrule'), ([(4174, 25, 62), (2634, 25, 62), (4174, 31, 844)], 0.14520073, 'xrule'), ([(2634, 30, 10464)], 0.11053089340485624, 'kelpie'), ([(2634, 31, 136)], 0.07012657355775719, 'kelpie'), ([(2634, 31, 657)], 0.052838365533086414, 'kelpie')]",3.0,"(2634, 31, 844)",7.0700984,1,6,7.234824,"[3, 3]"
"[7.491428, 7.4328446]","[([(7213, 14, 160), (7245, 24, 592), (7213, 203, 592), (7245, 66, 592)], 0.7560997, 'xrule'), ([(4222, 100, 160), (2127, 8, 4222), (7245, 8, 2127), (2127, 8, 7245), (4222, 8, 2127)], 0.4822998, 'xrule'), ([(8594, 232, 160), (7245, 48, 32), (8594, 48, 32)], 0.38840008, 'xrule'), ([(1253, 71, 7245)], 0.07222751809261249, 'kelpie'), ([(7245, 6, 2440)], 0.019056360191135668, 'kelpie'), ([(7245, 6, 6278)], 0.015123407307568846, 'kelpie')]",1.0,"(7245, 100, 160)",7.4621363,1,6,7.8238983,"[1, 1]"
"[5.4459667, 5.771434]","[([(1971, 11, 23), (1971, 90, 23), (4794, 11, 23), (1971, 13, 382)], 0.35509968, 'xrule'), ([(2525, 147, 382), (2525, 11, 23), (4794, 11, 23)], 0.30179977, 'xrule'), ([(1883, 11, 23), (4794, 11, 23), (1883, 13, 382)], 0.24310017, 'xrule'), ([(11368, 6, 4794)], 0.2105174468961409, 'kelpie'), ([(4794, 26, 64)], 0.10715154842744223, 'kelpie'), ([(4794, 28, 32)], -0.043961484945190366, 'kelpie')]",2.0,"(4794, 28, 382)",5.6087003,1,6,5.9059772,"[2, 2]"
"[6.4768085, 6.0454364]","[([(268, 32, 5115), (5115, 12, 268), (5115, 86, 268), (268, 143, 1044), (268, 38, 5115), (2316, 143, 1044)], 0.6298008, 'xrule'), ([(268, 32, 699), (268, 32, 5115), (5115, 12, 268), (268, 38, 5115), (699, 86, 2316), (5115, 86, 268)], 0.6057005, 'xrule'), ([(268, 32, 5115), (5115, 12, 268), (5115, 86, 268), (929, 47, 268), (268, 38, 5115), (2316, 19, 929)], 0.6010008, 'xrule'), ([(268, 32, 5115)], 0.22549633260014076, 'kelpie'), ([(5115, 86, 268)], 0.18332866885026589, 'kelpie'), ([(268, 38, 5115)], 0.1233463688880193, 'kelpie')]",6.5,"(5115, 86, 2316)",6.2611227,1,6,7.1986084,"[3, 10]"
"[6.8737645, 7.1911635]","[([(12076, 48, 32), (3402, 48, 32), (3402, 85, 434)], 1.4145002, 'xrule'), ([(10646, 17, 862), (10646, 85, 434), (12076, 17, 862)], 1.2861004, 'xrule'), ([(12076, 17, 862), (9067, 17, 862), (9067, 85, 434)], 1.0927, 'xrule'), ([(12076, 17, 862)], 0.5147772262500785, 'kelpie'), ([(12076, 48, 32)], 0.3851499972251216, 'kelpie'), ([(12076, 66, 540)], 0.0901012821294218, 'kelpie')]",1.0,"(12076, 85, 434)",7.032464,1,6,8.028749,"[1, 1]"
"[5.9319067, 5.8351126]","[([(3365, 12, 5038), (5038, 162, 3365), (3365, 12, 7303), (5038, 38, 3365), (7303, 162, 3365), (1081, 27, 5038)], 0.12620068, 'xrule'), ([(1081, 27, 5038)], 0.10836319167786351, 'kelpie'), ([(1910, 187, 3365), (3365, 1, 1910), (1081, 27, 1910), (1910, 145, 3365), (3365, 12, 7303), (1910, 38, 3365), (7303, 162, 3365)], 0.10660076, 'xrule'), ([(4991, 8, 7303), (1081, 27, 2836), (7303, 8, 4991), (4991, 8, 2836), (2836, 8, 4991)], 0.10340023, 'xrule'), ([(1081, 27, 870)], 0.0882244510721856, 'kelpie'), ([(1081, 27, 1082)], 0.03544954484893589, 'kelpie')]",4.5,"(1081, 27, 7303)",5.8835096,1,6,6.3773446,"[5, 4]"
"[6.826909, 6.8603206]","[([(4552, 35, 3796)], 0.05715088078188473, 'kelpie'), ([(4552, 35, 1562)], 0.02146915624185122, 'kelpie'), ([(4552, 35, 5949), (5837, 66, 2732), (5949, 122, 5837)], 0.018899918, 'xrule'), ([(32, 15, 4353), (2732, 135, 32), (32, 15, 2732), (4353, 62, 32), (4353, 133, 32), (2732, 62, 32), (2732, 133, 32), (2732, 205, 32), (4552, 35, 4353)], 0.015199661, 'xrule'), ([(3796, 62, 32), (3796, 133, 32), (4552, 35, 3796), (3796, 135, 32), (2732, 135, 32), (32, 15, 2732), (32, 15, 3796), (2732, 62, 32), (2732, 133, 32), (2732, 205, 32), (3796, 205, 32)], 0.013799667, 'xrule'), ([(4552, 64, 5701)], 0.010203401498959265, 'kelpie')]",1.0,"(4552, 35, 2732)",6.8436146,1,6,6.999007,"[1, 1]"
"[5.6632395, 5.9224405]","[([(2820, 47, 186), (186, 19, 457), (186, 19, 2820), (2820, 10, 7869)], 0.113900185, 'xrule'), ([(370, 30, 2820), (457, 7, 370), (370, 30, 457), (2820, 10, 7869)], 0.11190033, 'xrule'), ([(457, 7, 6736), (6736, 30, 457), (2820, 7, 6736), (2820, 10, 7869)], 0.11130047, 'xrule'), ([(457, 182, 3202)], 0.010782281797507778, 'kelpie'), ([(457, 10, 6327)], 0.010489503825776712, 'kelpie'), ([(457, 10, 4121)], 0.010017911876957606, 'kelpie')]",2.0,"(457, 10, 7869)",5.79284,1,6,6.1483383,"[2, 2]"
"[8.011671, 8.120319]","[([(3028, 23, 209), (3794, 219, 90), (3028, 206, 90), (3028, 234, 90), (3794, 139, 90), (3794, 206, 90), (3794, 234, 90), (3028, 139, 90)], 0.17280006, 'xrule'), ([(75, 234, 90), (3794, 219, 90), (75, 219, 90), (3794, 139, 90), (3794, 206, 90), (3794, 234, 90), (75, 139, 90), (75, 23, 209), (75, 206, 90)], 0.16779995, 'xrule'), ([(3794, 219, 90), (1046, 23, 209), (1046, 139, 90), (3794, 139, 90), (3794, 206, 90), (3794, 234, 90), (1046, 206, 90), (1046, 234, 90)], 0.16759968, 'xrule'), ([(526, 29, 3794)], 0.027365724495244263, 'kelpie'), ([(3794, 72, 1718)], 0.02693752474646604, 'kelpie'), ([(374, 13, 3794)], 0.004199068015004939, 'kelpie')]",1.0,"(3794, 23, 209)",8.065995,1,6,8.168217,"[1, 1]"
"[5.650448, 5.5321765]","[([(816, 69, 626), (3306, 13, 816), (1682, 69, 626)], 1.3673992, 'xrule'), ([(3306, 13, 27), (7552, 13, 27), (7552, 13, 1682)], 1.0844994, 'xrule'), ([(3306, 13, 202), (1521, 13, 202), (1521, 13, 1682)], 1.0598993, 'xrule'), ([(3306, 13, 202)], 0.060610811199100334, 'kelpie'), ([(3306, 13, 2282)], 0.04393867681049401, 'kelpie'), ([(3306, 13, 92)], 0.026770631749607376, 'kelpie')]",4.0,"(3306, 13, 1682)",5.5913124,1,6,5.862156,"[3, 5]"
"[7.051262, 6.938175]","[([(3660, 28, 32), (3660, 13, 32), (3819, 107, 136), (3819, 185, 32)], 0.20340061, 'xrule'), ([(3660, 28, 32), (3901, 31, 136), (3901, 28, 32), (3660, 13, 32), (3901, 13, 32)], 0.19799995, 'xrule'), ([(3660, 28, 32), (1634, 28, 32), (1634, 13, 32), (3660, 13, 32), (1634, 31, 136)], 0.19640064, 'xrule'), ([(3660, 31, 844)], 0.18877510294188155, 'kelpie'), ([(3660, 31, 658)], 0.1244497700707432, 'kelpie'), ([(3660, 13, 32)], 0.11260227399791996, 'kelpie')]",1.5,"(3660, 31, 136)",6.9947186,1,6,7.3106804,"[1, 2]"
"[6.952164, 6.51191]","[([(1927, 17, 862)], 0.49447063880929715, 'kelpie'), ([(2159, 212, 4563), (2159, 17, 862), (1927, 17, 862)], 0.48490047, 'xrule'), ([(5295, 212, 4563), (5295, 17, 862), (1927, 17, 862)], 0.47210026, 'xrule'), ([(2882, 17, 862), (2882, 212, 4563), (1927, 17, 862)], 0.4633999, 'xrule'), ([(1927, 85, 434)], 0.21955112692523157, 'kelpie'), ([(1927, 43, 141)], 0.14123348442058675, 'kelpie')]",1.0,"(1927, 212, 4563)",6.732037,1,6,7.7084093,"[1, 1]"
"[5.3779945, 5.663413]","[([(4489, 62, 32), (4489, 133, 32), (1577, 205, 32), (4489, 205, 32), (1577, 135, 32), (740, 37, 4489), (32, 15, 4489), (1577, 133, 32), (32, 15, 1577), (1577, 62, 32)], 0.1463995, 'xrule'), ([(740, 37, 6243), (1577, 205, 32), (32, 15, 6243), (1577, 135, 32), (6243, 133, 32), (6243, 135, 32), (6243, 62, 32), (1577, 62, 32), (1577, 133, 32), (32, 15, 1577)], 0.14459991, 'xrule'), ([(1577, 205, 32), (740, 37, 2840), (1577, 135, 32), (2840, 62, 32), (32, 15, 2840), (2840, 205, 32), (1577, 133, 32), (32, 15, 1577), (1577, 62, 32), (2840, 135, 32)], 0.14139938, 'xrule'), ([(740, 37, 6243)], 0.0498619479952844, 'kelpie'), ([(740, 37, 854)], 0.04923156928063895, 'kelpie'), ([(740, 37, 855)], 0.04292682837048672, 'kelpie')]",7.5,"(740, 37, 1577)",5.520704,1,6,6.135332,"[9, 6]"
"[6.908164, 6.6461973]","[([(8128, 10, 358)], 0.11328129015227043, 'kelpie'), ([(4640, 10, 358), (4640, 10, 1968), (8128, 10, 358)], 0.10319996, 'xrule'), ([(358, 27, 2459), (1968, 27, 2459), (8128, 10, 358)], 0.095700264, 'xrule'), ([(4952, 10, 358), (4952, 10, 1968), (8128, 10, 358)], 0.094799995, 'xrule'), ([(8128, 10, 65)], 0.08879284096909076, 'kelpie'), ([(8128, 10, 1171)], 0.07860473822482218, 'kelpie')]",2.5,"(8128, 10, 1968)",6.7771807,1,6,6.9333606,"[2, 3]"
"[7.7130775, 8.016117]","[([(5400, 28, 32), (8270, 28, 32), (5400, 14, 160), (8270, 13, 32), (5400, 13, 32)], 0.8189001, 'xrule'), ([(8401, 14, 160), (8270, 28, 32), (8401, 28, 32), (8270, 13, 32)], 0.8159008, 'xrule'), ([(9068, 14, 160), (8270, 28, 32), (9068, 13, 32), (8270, 13, 32)], 0.80230045, 'xrule'), ([(8270, 28, 32)], 0.17706588964274395, 'kelpie'), ([(8270, 34, 90)], 0.10007385448749935, 'kelpie'), ([(8270, 86, 441)], 0.07795147133301425, 'kelpie')]",1.0,"(8270, 14, 160)",7.8645973,1,6,8.478947,"[1, 1]"
"[6.3073854, 6.717476]","[([(988, 43, 141), (8285, 43, 141), (988, 17, 862)], 0.87850046, 'xrule'), ([(620, 17, 862), (620, 43, 141), (8285, 43, 141)], 0.87350035, 'xrule'), ([(9716, 17, 862), (8285, 43, 141), (9716, 43, 141)], 0.763, 'xrule'), ([(8285, 21, 10982)], 0.04283575246968313, 'kelpie'), ([(37, 8, 8285)], 0.0008049411083015118, 'kelpie'), ([(8285, 8, 5181)], -0.007040937461808648, 'kelpie')]",1.0,"(8285, 17, 862)",6.5124307,1,6,6.5313535,"[1, 1]"
"[6.412081, 6.2902164]","[([(841, 95, 521), (1432, 49, 1796), (1796, 130, 1432), (1432, 95, 521)], 0.049300194, 'xrule'), ([(841, 95, 521), (8620, 49, 1796), (1796, 130, 8620), (8620, 95, 521)], 0.0461998, 'xrule'), ([(841, 95, 521), (7445, 95, 521), (1796, 130, 7445), (7445, 49, 1796)], 0.043200493, 'xrule'), ([(3082, 49, 1796)], 0.02147201724524974, 'kelpie'), ([(1796, 130, 555)], 0.00948480788910977, 'kelpie'), ([(11759, 49, 1796)], 0.008453885976456424, 'kelpie')]",10.0,"(1796, 130, 841)",6.3511486,1,6,6.8177223,"[10, 10]"
"[5.5858755, 5.594456]","[([(7467, 139, 90), (181, 219, 90), (7467, 219, 90), (181, 139, 90), (181, 234, 90), (1754, 29, 7467), (181, 206, 90), (7467, 206, 90)], 0.20800018, 'xrule'), ([(181, 219, 90), (181, 139, 90), (1754, 29, 7007), (7007, 139, 90), (181, 206, 90), (181, 234, 90)], 0.1796999, 'xrule'), ([(382, 69, 5122), (181, 72, 5122), (5122, 157, 382), (1754, 29, 382), (181, 69, 5122), (382, 72, 5122)], 0.11800003, 'xrule'), ([(1754, 29, 75)], 0.02005008883102955, 'kelpie'), ([(1754, 29, 331)], 0.01838735764779387, 'kelpie'), ([(1754, 29, 1405)], 0.01760296051848627, 'kelpie')]",5.0,"(1754, 29, 181)",5.590166,1,6,5.848309,"[5, 5]"
"[5.509341, 4.9500484]","[([(6413, 17, 393), (6413, 17, 215), (2946, 17, 393)], 0.36170006, 'xrule'), ([(2810, 85, 434), (2946, 85, 434), (2810, 17, 215)], 0.35490036, 'xrule'), ([(2946, 85, 434), (8868, 17, 215), (8868, 85, 434)], 0.3388996, 'xrule'), ([(2946, 85, 434)], 0.18245891789571134, 'kelpie'), ([(2946, 43, 141)], 0.17116169192964825, 'kelpie'), ([(2946, 17, 862)], 0.11711315351859682, 'kelpie')]",3.0,"(2946, 17, 215)",5.2296944,1,6,6.474165,"[3, 3]"
"[7.1071815, 6.0792007]","[([(7183, 13, 32), (7787, 28, 32), (7787, 193, 32), (7183, 31, 136), (7787, 13, 32), (7183, 28, 32)], 0.37010002, 'xrule'), ([(7787, 28, 32), (63, 31, 136), (63, 28, 32), (7787, 193, 32), (63, 13, 32), (7787, 13, 32)], 0.35620022, 'xrule'), ([(1315, 31, 136), (7787, 28, 32), (1315, 28, 32), (7787, 193, 32), (7787, 13, 32)], 0.35610008, 'xrule'), ([(7787, 31, 657)], 0.23138145687231448, 'kelpie'), ([(7787, 31, 658)], 0.1523142263037126, 'kelpie'), ([(7787, 13, 32)], 0.14845947472977553, 'kelpie')]",2.5,"(7787, 31, 136)",6.593191,1,6,6.917391,"[2, 3]"
"[5.6181726, 5.7168746]","[([(8365, 13, 1260)], 0.054804841964492285, 'kelpie'), ([(8365, 13, 1080)], 0.020482103299434385, 'kelpie'), ([(8365, 13, 181)], 0.016730348539374006, 'kelpie')]",4.0,"(8365, 13, 158)",5.6675234,1,3,5.7749047,"[4, 4]"
"[9.407984, 9.2153015]","[([(7436, 25, 62), (6632, 217, 3433), (6632, 25, 62)], 0.28100014, 'xrule'), ([(7436, 25, 62), (1953, 217, 3433), (1953, 25, 62)], 0.2805004, 'xrule'), ([(7436, 25, 62), (6037, 217, 3433), (6037, 25, 62)], 0.27939987, 'xrule'), ([(7436, 25, 62)], 0.17600635746453278, 'kelpie'), ([(32, 15, 7436)], 0.16985325076040964, 'kelpie'), ([(3373, 15, 7436)], 0.1320648595305118, 'kelpie')]",1.0,"(7436, 217, 3433)",9.311643,1,6,9.396436,"[1, 1]"
"[7.928142, 8.351977]","[([(2369, 10, 4491)], 0.1061001224830781, 'kelpie'), ([(2369, 10, 5312)], 0.09692386823896294, 'kelpie'), ([(1155, 19, 1827), (1827, 182, 2517), (1155, 19, 2369)], 0.08180046, 'xrule'), ([(4267, 30, 2369), (711, 182, 2517), (711, 7, 4267), (2369, 7, 4267)], 0.074500084, 'xrule'), ([(2369, 7, 7271), (711, 7, 7271), (711, 182, 2517), (7271, 30, 711), (7271, 30, 2369)], 0.07439995, 'xrule'), ([(2369, 10, 9728)], 0.07240871618838009, 'kelpie')]",1.0,"(2369, 182, 2517)",8.140059,1,6,9.2232685,"[1, 1]"
"[4.6951175, 4.7961574]","[([(3389, 19, 1857), (7479, 19, 1857), (1857, 47, 3389), (1857, 47, 7479), (3389, 19, 2998)], 0.39449978, 'xrule'), ([(7479, 19, 1857), (2998, 10, 9728), (1857, 47, 7479), (1857, 10, 9728)], 0.39260006, 'xrule'), ([(1857, 47, 7729), (7729, 19, 1857), (7479, 19, 1857), (1857, 47, 7479), (7729, 19, 2998)], 0.3906002, 'xrule'), ([(7479, 19, 1857)], 0.2501097131474436, 'kelpie'), ([(1857, 47, 7479)], 0.23149208310589017, 'kelpie'), ([(7479, 17, 862)], 0.17532448031026113, 'kelpie')]",4.5,"(7479, 19, 2998)",4.7456374,1,6,6.0403447,"[5, 4]"
"[9.1512375, 9.006243]","[([(2323, 25, 62), (1395, 25, 62), (1395, 110, 494)], 0.44109917, 'xrule'), ([(2323, 25, 62), (3411, 25, 62), (3411, 110, 494)], 0.44089985, 'xrule'), ([(8273, 91, 494), (2323, 25, 62), (8273, 25, 62)], 0.43939972, 'xrule'), ([(2323, 25, 62)], 0.38216213560659, 'kelpie'), ([(1794, 2, 2323)], 0.1326866551522084, 'kelpie'), ([(2323, 107, 163)], 0.1244087620806554, 'kelpie')]",1.0,"(2323, 91, 494)",9.07874,1,6,9.398626,"[1, 1]"
"[6.1514044, 6.414018]","[([(4638, 20, 1727)], 0.2909164837080739, 'kelpie'), ([(4638, 20, 1727), (4638, 20, 6104), (6104, 17, 432)], 0.2816, 'xrule'), ([(4638, 20, 527), (4638, 20, 1727), (527, 17, 432)], 0.2588997, 'xrule'), ([(3625, 17, 432), (4638, 20, 1727), (4638, 20, 3625)], 0.25739956, 'xrule'), ([(1727, 17, 1415)], 0.23108963252427323, 'kelpie'), ([(1727, 17, 10844)], 0.171841661681867, 'kelpie')]",4.0,"(1727, 17, 432)",6.282711,1,6,7.2044873,"[4, 4]"
"[6.146617, 5.7903066]","[([(13994, 154, 2438)], 1.506650038352971, 'kelpie'), ([(2914, 154, 2438), (13994, 154, 2438), (32, 15, 2914)], 1.4432001, 'xrule'), ([(324, 133, 32), (13994, 154, 2438), (32, 15, 324), (324, 205, 32), (324, 154, 2438), (324, 62, 32)], 1.4302998, 'xrule'), ([(13994, 154, 2438), (2732, 133, 32), (2732, 62, 32), (2732, 205, 32), (2732, 135, 32), (32, 15, 2732), (2732, 154, 2438)], 1.3674998, 'xrule'), ([(13994, 127, 2792)], 0.7161570048625304, 'kelpie'), ([(12732, 24, 13994)], -0.09426637454545823, 'kelpie')]",2.0,"(13994, 133, 32)",5.968462,1,6,7.4030623,"[2, 2]"
"[6.937334, 6.7733736]","[([(2410, 148, 2861), (434, 161, 705), (434, 161, 2410)], 0.17510033, 'xrule'), ([(434, 161, 705), (434, 161, 249), (249, 148, 2861)], 0.16759968, 'xrule'), ([(434, 161, 1445), (1445, 148, 2861), (434, 161, 705)], 0.16250038, 'xrule'), ([(705, 148, 4558)], 0.0843058033063371, 'kelpie'), ([(705, 148, 7018)], 0.0834150714942659, 'kelpie'), ([(705, 148, 2034)], 0.08244232370972912, 'kelpie')]",3.5,"(705, 148, 2861)",6.855354,1,6,6.9772243,"[3, 4]"
"[8.552709, 7.468913]","[([(119, 15, 13557)], 2.2321268270167343, 'kelpie'), ([(8675, 133, 119), (119, 15, 13557), (119, 15, 8675), (8675, 154, 2620)], 1.8322997, 'xrule'), ([(119, 15, 10299), (119, 15, 13557), (10299, 154, 2620)], 1.8238997, 'xrule'), ([(119, 15, 9012), (9012, 154, 2620), (119, 15, 13557)], 1.8191996, 'xrule'), ([(13557, 25, 62)], 0.3823500094276588, 'kelpie'), ([(10423, 15, 13557)], -0.17517276549369915, 'kelpie')]",3.0,"(13557, 154, 2620)",8.010811,1,6,6.6576047,"[2, 4]"
"[6.49179, 6.9537067]","[([(10437, 48, 32), (5773, 48, 32), (5773, 43, 141)], 1.2708001, 'xrule'), ([(10437, 48, 32), (904, 48, 32), (904, 43, 141)], 1.1663003, 'xrule'), ([(10437, 48, 32), (6958, 48, 32), (6958, 43, 141)], 1.0591002, 'xrule'), ([(10437, 48, 32)], 0.9265537753990102, 'kelpie'), ([(10437, 39, 150)], 0.30335430426104115, 'kelpie'), ([(10437, 19, 1060)], 0.10788635448685126, 'kelpie')]",1.0,"(10437, 43, 141)",6.7227483,1,6,8.017205,"[1, 1]"
"[9.056465, 8.630817]","[([(3120, 25, 62), (3243, 220, 6386), (3243, 25, 62)], 0.34800053, 'xrule'), ([(4994, 220, 6386), (3120, 25, 62), (4994, 25, 62)], 0.3206005, 'xrule'), ([(3120, 25, 62), (3020, 220, 6386), (3020, 25, 62)], 0.3125, 'xrule'), ([(3120, 25, 62)], 0.22822670217765548, 'kelpie'), ([(3120, 220, 4005)], 0.13192180837018777, 'kelpie'), ([(3120, 120, 791)], 0.11019901474858934, 'kelpie')]",1.0,"(3120, 220, 6386)",8.843641,1,6,8.844319,"[1, 1]"
"[7.6642046, 7.617749]","[([(1271, 92, 2611), (1271, 92, 5582), (5582, 25, 62)], 0.5439, 'xrule'), ([(529, 20, 2611), (4444, 25, 62), (529, 20, 4444)], 0.5286999, 'xrule'), ([(5582, 25, 62), (9005, 76, 2611), (9005, 76, 5582)], 0.5095, 'xrule'), ([(985, 92, 2611)], 0.16225628111196172, 'kelpie'), ([(1271, 92, 2611)], 0.11541370589896502, 'kelpie'), ([(5600, 20, 2611)], 0.11188987927246638, 'kelpie')]",1.0,"(2611, 25, 62)",7.640977,1,6,7.586446,"[1, 1]"
"[5.567374, 5.4634094]","[([(281, 100, 160), (13433, 100, 160), (281, 17, 862)], 1.2567005, 'xrule'), ([(13433, 43, 141), (7341, 17, 862), (7341, 43, 141)], 1.1925001, 'xrule'), ([(3525, 17, 862), (13433, 100, 160), (160, 140, 3525)], 1.0985003, 'xrule'), ([(13433, 100, 160)], 0.6836386175725041, 'kelpie'), ([(13433, 43, 141)], 0.3301573210764603, 'kelpie'), ([(13433, 17, 967)], 0.1966724799547523, 'kelpie')]",1.0,"(13433, 17, 862)",5.515392,1,6,7.1964135,"[1, 1]"
"[6.331125, 6.2533016]","[([(1551, 135, 32), (1806, 18, 10398), (1551, 133, 32), (1806, 135, 32), (32, 15, 1806), (1806, 133, 32), (32, 15, 1551), (1806, 205, 32), (1551, 205, 32)], 0.36259937, 'xrule'), ([(1551, 135, 32), (1234, 18, 10398), (1234, 135, 32), (1234, 62, 32), (32, 15, 1234), (1551, 133, 32), (1234, 205, 32), (32, 15, 1551), (1234, 133, 32), (1551, 205, 32)], 0.33329964, 'xrule'), ([(1551, 135, 32), (95, 205, 32), (95, 18, 10398), (95, 135, 32), (1551, 133, 32), (95, 62, 32), (95, 133, 32), (32, 15, 95), (32, 15, 1551), (1551, 205, 32)], 0.31229973, 'xrule'), ([(1551, 25, 62)], 0.0405970019917671, 'kelpie'), ([(1551, 18, 1172)], 0.021818200996765784, 'kelpie'), ([(6653, 35, 1551)], 0.01582817263028254, 'kelpie')]",1.0,"(1551, 18, 10398)",6.2922134,1,6,6.7144117,"[1, 1]"
"[7.1341057, 6.9439964]","[([(434, 161, 701), (6053, 85, 434), (701, 133, 32)], 1.3722, 'xrule'), ([(6053, 25, 62), (5293, 25, 62), (5293, 48, 32)], 1.3106995, 'xrule'), ([(10636, 25, 62), (6053, 25, 62), (10636, 48, 32)], 1.2988997, 'xrule'), ([(6053, 85, 434)], 0.2187366890549203, 'kelpie'), ([(6053, 24, 6277)], 0.19687370523086023, 'kelpie'), ([(6053, 66, 2274)], 0.047804872509326635, 'kelpie')]",1.0,"(6053, 48, 32)",7.039051,1,6,8.074702,"[1, 1]"
"[5.9342422, 5.7275753]","[([(7744, 13, 4474)], 0.02661422912954373, 'kelpie'), ([(7744, 13, 2091)], 0.0264978808997319, 'kelpie'), ([(7744, 13, 1304)], 0.024400751061684708, 'kelpie'), ([(236, 44, 2046), (7744, 13, 308), (236, 37, 308), (236, 37, 2046)], -0.0035991669, 'xrule'), ([(236, 44, 2046), (7744, 13, 1304), (236, 37, 2046), (236, 37, 1304)], -0.0048999786, 'xrule'), ([(236, 37, 119), (236, 44, 2046), (236, 37, 2046), (7744, 13, 119)], -0.012899399, 'xrule')]",5.0,"(7744, 13, 2046)",5.830909,1,6,5.7034497,"[7, 3]"
"[7.0068207, 6.7783213]","[([(10642, 43, 141), (4819, 43, 141), (10642, 85, 434)], 1.2326994, 'xrule'), ([(3141, 85, 434), (4819, 43, 141), (3141, 43, 141)], 1.1345997, 'xrule'), ([(4819, 43, 141), (11498, 85, 434), (11498, 43, 141)], 1.1175995, 'xrule'), ([(4819, 43, 141)], 0.6342544997238092, 'kelpie'), ([(4819, 17, 243)], 0.2584753443046, 'kelpie'), ([(4819, 48, 1124)], 0.24086956266633233, 'kelpie')]",1.0,"(4819, 85, 434)",6.892571,1,6,7.9445515,"[1, 1]"
"[6.20112, 6.1438804]","[([(457, 7, 5031), (1759, 7, 5031), (457, 10, 6825)], 0.08820057, 'xrule'), ([(457, 10, 6825), (457, 7, 815), (1759, 7, 815)], 0.08699989, 'xrule'), ([(457, 10, 6825), (457, 7, 1897), (1759, 7, 1897)], 0.085300446, 'xrule'), ([(1759, 7, 5031)], 0.01772026246793269, 'kelpie'), ([(1759, 10, 1256)], 0.010835687605705724, 'kelpie'), ([(1759, 10, 9617)], 0.005075017882493693, 'kelpie')]",3.0,"(1759, 10, 6825)",6.1725,1,6,6.1227975,"[3, 3]"
"[5.705133, 6.232677]","[([(5090, 17, 862), (187, 85, 434), (187, 17, 862)], 1.4724998, 'xrule'), ([(1533, 85, 434), (5090, 43, 141), (1533, 43, 141)], 1.2237997, 'xrule'), ([(1001, 43, 141), (5090, 43, 141), (1001, 85, 434)], 1.0408001, 'xrule'), ([(5090, 48, 382)], 0.19183973536626167, 'kelpie'), ([(5090, 66, 249)], 0.12562660419896007, 'kelpie'), ([(5090, 48, 308)], 0.10131887629568878, 'kelpie')]",1.0,"(5090, 85, 434)",5.968905,1,6,6.9438825,"[1, 1]"
"[7.587963, 7.056299]","[([(2348, 17, 862)], 0.32506470020134537, 'kelpie'), ([(8512, 17, 862), (8512, 82, 1771), (2348, 17, 862)], 0.3239994, 'xrule'), ([(6745, 17, 862), (6745, 82, 1771), (2348, 17, 862)], 0.32159996, 'xrule'), ([(1307, 82, 1771), (1307, 17, 862), (2348, 17, 862)], 0.31659985, 'xrule'), ([(2348, 48, 32)], 0.2117481636234095, 'kelpie'), ([(2348, 100, 160)], 0.19752029645808114, 'kelpie')]",1.0,"(2348, 82, 1771)",7.322131,1,6,8.100239,"[1, 1]"
