prediction,new_ranks,new_rank,exp_length,exp,original_rank,new_scores,facts,new_score,original_score
"(6813, 1, 5175)",[10422],10422.0,6,"[(5175, 0, 5176), (32633, 0, 5176), (5175, 1, 6813), (5176, 1, 6813), (6813, 1, 32633), (32633, 1, 6813)]",1,[7.738173007965088e-05],"[({(5176, 1, 6813)}, -8.503749592967182, 'baseline'), ({(5175, 1, 6813)}, -9.231661987535212, 'baseline'), ({(32633, 1, 6813)}, -9.90904806414173, 'baseline'), ({(6813, 1, 32633)}, -10.231644393743709, 'baseline')]",7.738173007965088e-05,0.9172292351722717
"(4666, 1, 4665)",[6652],6652.0,1,"[(4665, 1, 4666)]",1,[0.00014423427637666464],"[({(4665, 1, 4666)}, -9.974695827251042, 'baseline')]",0.00014423427637666464,0.9331414699554443
"(11813, 1, 30361)",[7082],7082.0,1,"[(30361, 1, 11813)]",1,[0.00014769559493288398],"[({(30361, 1, 11813)}, -13.047361727187953, 'baseline')]",0.00014769559493288398,0.9786085486412048
"(11366, 1, 26527)",[15794],15794.0,8,"[(10271, 1, 42), (11366, 1, 42), (4958, 1, 10271), (26527, 1, 11366), (10271, 1, 26527), (4958, 1, 11366), (42, 1, 11366), (11366, 1, 4958)]",1,[4.0121540223481134e-05],"[({(26527, 1, 11366)}, -8.094675423336998, 'baseline'), ({(11366, 1, 42)}, -10.161344128386775, 'baseline'), ({(42, 1, 11366)}, -11.356550367363576, 'baseline'), ({(11366, 1, 4958)}, -11.657633557793618, 'baseline'), ({(4958, 1, 11366)}, -12.538391884367126, 'baseline')]",4.0121540223481134e-05,0.8748989105224609
"(699, 1, 22618)",[1304],1304.0,1,"[(22618, 1, 699)]",1,[0.00014598168490920216],"[({(22618, 1, 699)}, -8.752996131427357, 'baseline')]",0.00014598168490920216,0.9501182436943054
"(22728, 1, 16506)",[745],745.0,3,"[(34810, 1, 16506), (16506, 1, 22728), (22728, 9, 34810)]",1,[2.776869951048866e-05],"[({(16506, 1, 22728)}, -9.004381489861137, 'baseline'), ({(22728, 9, 34810)}, -9.99408549577204, 'baseline')]",2.776869951048866e-05,0.978472113609314
"(28826, 1, 3712)",[40534],40534.0,8,"[(274, 1, 14534), (3712, 1, 10001), (6595, 1, 28826), (28826, 1, 274), (3712, 1, 28826), (274, 1, 28826), (10001, 1, 6595), (14534, 1, 3712)]",1,[7.729420303803636e-07],"[({(3712, 1, 28826)}, -7.633188571952783, 'baseline'), ({(6595, 1, 28826)}, -9.115096861060282, 'baseline'), ({(28826, 1, 274)}, -9.222568290813475, 'baseline'), ({(274, 1, 28826)}, -10.250019697264385, 'baseline')]",7.729420303803636e-07,0.9186691641807556
"(22584, 1, 12684)",[25355],25355.0,4,"[(12684, 1, 22584), (22585, 9, 22584), (22585, 1, 12684), (22584, 9, 22585)]",1,[1.3217326340964064e-05],"[({(12684, 1, 22584)}, -9.15321307458841, 'baseline'), ({(22585, 9, 22584)}, -12.226764276841777, 'baseline'), ({(22584, 9, 22585)}, -12.68106431133927, 'baseline')]",1.3217326340964064e-05,0.969196081161499
"(4547, 1, 21674)",[11988],11988.0,5,"[(14509, 1, 14510), (21674, 1, 4547), (14509, 1, 21674), (4547, 1, 14510), (14510, 1, 4547)]",1,[5.826442065881565e-05],"[({(21674, 1, 4547)}, -9.37832678433553, 'baseline'), ({(14510, 1, 4547)}, -12.521908235425027, 'baseline'), ({(4547, 1, 14510)}, -12.893873583651446, 'baseline')]",5.826442065881565e-05,0.9718466401100159
"(8310, 6, 12531)",[3708],3708.0,11,"[(8310, 6, 2349), (11942, 6, 12531), (4632, 6, 26961), (8310, 6, 11942), (4632, 6, 12531), (8310, 6, 22600), (8310, 6, 8984), (11942, 6, 22600), (11942, 6, 8984), (8310, 6, 26961), (11942, 6, 2349)]",1,[0.0003490216040518135],"[({(8310, 6, 26961)}, -9.787292813487664, 'baseline'), ({(8310, 6, 22600)}, -9.965774377846584, 'baseline'), ({(8310, 6, 2349)}, -10.192687607110633, 'baseline'), ({(8310, 6, 8984)}, -10.305478964751396, 'baseline'), ({(8310, 6, 11942)}, -11.273440109179688, 'baseline')]",0.0003490216040518135,0.4837391674518585
"(19459, 1, 8641)",[6645],6645.0,1,"[(8641, 1, 19459)]",1,[5.899230018258095e-05],"[({(8641, 1, 19459)}, -8.296219803051196, 'baseline')]",5.899230018258095e-05,0.974579930305481
"(17190, 1, 757)",[12219],12219.0,5,"[(757, 1, 17190), (8831, 1, 17190), (757, 0, 758), (8831, 0, 758), (17190, 1, 8831)]",1,[6.242261588340625e-05],"[({(757, 1, 17190)}, -9.92963919999838, 'baseline'), ({(17190, 1, 8831)}, -11.196710127094269, 'baseline'), ({(8831, 1, 17190)}, -11.87191849191228, 'baseline')]",6.242261588340625e-05,0.8933057188987732
"(6067, 1, 28605)",[13643],13643.0,1,"[(28605, 1, 6067)]",1,[2.9654640457010828e-05],"[({(28605, 1, 6067)}, -7.755608332953804, 'baseline')]",2.9654640457010828e-05,0.8763036727905273
"(3929, 1, 27247)",[3281],3281.0,4,"[(27247, 1, 3929), (21238, 5, 7581), (21238, 0, 3929), (7581, 6, 27247)]",1,[0.0003631930740084499],"[({(27247, 1, 3929)}, -11.559300944787935, 'baseline'), ({(21238, 0, 3929)}, -13.164565329333547, 'baseline')]",0.0003631930740084499,0.9612560868263245
"(2887, 1, 7436)",[3744],3744.0,1,"[(7436, 1, 2887)]",1,[0.00016930369019974023],"[({(7436, 1, 2887)}, -8.016325201470334, 'baseline')]",0.00016930369019974023,0.9470379948616028
"(8734, 1, 1538)",[275],275.0,11,"[(2613, 1, 8734), (14442, 0, 1538), (8734, 1, 2613), (1537, 0, 1538), (16818, 1, 14442), (1538, 1, 8734), (25180, 1, 1537), (36536, 0, 1538), (2613, 1, 36536), (25180, 0, 8734), (16818, 0, 8734)]",1,[0.0008558011613786221],"[({(1538, 1, 8734)}, -9.754917831406772, 'baseline'), ({(8734, 1, 2613)}, -10.587738385452546, 'baseline'), ({(16818, 0, 8734)}, -11.657633557793618, 'baseline'), ({(2613, 1, 8734)}, -11.67851600527232, 'baseline'), ({(25180, 0, 8734)}, -11.846636303173957, 'baseline'), ({(9950, 0, 8734)}, -12.156285576987754, 'baseline'), ({(28200, 0, 8734)}, -12.19090415578734, 'baseline'), ({(28868, 0, 8734)}, -12.263958315825212, 'baseline')]",0.0008558011613786221,0.9375073909759521
"(17492, 1, 20700)",[1167],1167.0,1,"[(20700, 1, 17492)]",1,[0.0003591607674024999],"[({(20700, 1, 17492)}, -8.700434200863844, 'baseline')]",0.0003591607674024999,0.8671815395355225
"(3648, 1, 3647)",[22814],22814.0,5,"[(3647, 1, 3648), (3648, 1, 8714), (3647, 1, 23848), (8714, 1, 23848), (8714, 1, 3648)]",1,[1.7671718524070457e-05],"[({(3647, 1, 3648)}, -9.39181604267126, 'baseline'), ({(3648, 1, 8714)}, -10.552904337767245, 'baseline'), ({(8714, 1, 3648)}, -11.398187147722936, 'baseline')]",1.7671718524070457e-05,0.9578153491020203
"(15168, 1, 35514)",[22597],22597.0,1,"[(35514, 1, 15168)]",1,[2.2902571799932048e-05],"[({(35514, 1, 15168)}, -9.287387904815224, 'baseline')]",2.2902571799932048e-05,0.949526846408844
"(36622, 2, 2580)",[19],19.0,6,"[(637, 8, 30419), (637, 8, 36622), (4502, 6, 4503), (30419, 2, 2580), (4503, 2, 2580), (4502, 6, 36622)]",1,[0.001565595157444477],"[({(4502, 6, 36622)}, -9.042459213979274, 'baseline'), ({(637, 8, 36622)}, -9.268886831069038, 'baseline')]",0.001565595157444477,0.673927366733551
"(3447, 1, 9780)",[26660],26660.0,8,"[(2834, 1, 2835), (7044, 1, 2834), (3447, 1, 7044), (2834, 1, 9780), (7044, 1, 3447), (9780, 1, 3447), (3447, 1, 2835), (2835, 1, 3447)]",1,[2.0226409105816856e-05],"[({(9780, 1, 3447)}, -7.298132304432825, 'baseline'), ({(3447, 1, 2835)}, -10.300147030221723, 'baseline'), ({(3447, 1, 7044)}, -10.838945146755796, 'baseline'), ({(7044, 1, 3447)}, -10.848101004622185, 'baseline'), ({(2835, 1, 3447)}, -10.978937021592776, 'baseline')]",2.0226409105816856e-05,0.9036061763763428
"(34310, 0, 184)",[14084],14084.0,3,"[(20385, 0, 184), (1038, 4, 20385), (1038, 4, 34310)]",1,[6.728151493007317e-05],"[({(1038, 4, 34310)}, -8.379950527787743, 'baseline')]",6.728151493007317e-05,0.5521760582923889
"(4697, 1, 3858)",[2428],2428.0,4,"[(4697, 1, 3857), (3858, 1, 3857), (3858, 1, 4697), (3857, 1, 4697)]",1,[7.252743671415374e-05],"[({(3858, 1, 4697)}, -6.877245004186037, 'baseline'), ({(4697, 1, 3857)}, -8.968636257796552, 'baseline'), ({(3857, 1, 4697)}, -9.153776302626536, 'baseline')]",7.252743671415374e-05,0.8556263446807861
"(624, 1, 34337)",[6987],6987.0,1,"[(34337, 1, 624)]",1,[0.00013444000796880573],"[({(34337, 1, 624)}, -12.048848506414068, 'baseline')]",0.00013444000796880573,0.9748260378837585
"(14841, 1, 11642)",[7102],7102.0,8,"[(27207, 1, 14841), (27207, 0, 11643), (14841, 1, 19445), (14841, 1, 27207), (11642, 0, 11643), (19445, 1, 14841), (19445, 0, 11643), (11642, 1, 14841)]",1,[4.295596227166243e-05],"[({(11642, 1, 14841)}, -7.952274996762401, 'baseline'), ({(14841, 1, 27207)}, -9.883014948109455, 'baseline'), ({(27207, 1, 14841)}, -10.1490767155374, 'baseline'), ({(14841, 1, 19445)}, -10.609236508312732, 'baseline'), ({(19445, 1, 14841)}, -10.656198364956264, 'baseline')]",4.295596227166243e-05,0.9237152934074402
