new_rank,#facts,prediction,new_ranks,facts,original_rank,original_score,new_score,new_scores
1.0,6,"(8007, 43, 141)","[1, 1]","[([(8007, 17, 2044), (8007, 85, 434), (8007, 48, 32), (8007, 39, 150)], 3.4584139390330835, 'kelpie'), ([(8007, 85, 434), (8007, 48, 32), (8007, 19, 1060), (8007, 39, 150)], 2.995221358558082, 'kelpie'), ([(8007, 85, 434), (8007, 48, 32), (2468, 27, 8007), (8007, 39, 150)], 2.8927270991426774, 'kelpie'), ([(8007, 85, 434), (7627, 43, 141), (7627, 85, 434)], 1.4284997, 'xrule'), ([(8007, 85, 434), (12291, 43, 141), (12291, 85, 434)], 1.3810997, 'xrule'), ([(8007, 85, 434), (4934, 43, 141), (4934, 85, 434)], 1.2348995, 'xrule')]",1,7.8901253,5.350331,"[5.4148016, 5.28586]"
1.0,6,"(3861, 26, 64)","[1, 1]","[([(3861, 28, 32), (5905, 13, 32), (5905, 26, 64), (3861, 13, 32), (5905, 28, 32)], 0.4666996, 'xrule'), ([(3861, 28, 32), (9876, 13, 32), (3861, 13, 32), (9876, 26, 64)], 0.45230007, 'xrule'), ([(3861, 28, 32), (1606, 26, 64), (1606, 193, 32), (1606, 28, 32), (3861, 13, 32)], 0.4432001, 'xrule'), ([(3861, 26, 990), (3861, 28, 32), (3861, 13, 32), (3861, 31, 4)], 0.3380060607226724, 'kelpie'), ([(3861, 26, 1881), (3861, 26, 990), (3861, 13, 32), (3861, 31, 4)], 0.32627968125940005, 'kelpie'), ([(3861, 26, 1881), (3861, 28, 32), (3861, 13, 32), (3861, 31, 4)], 0.3211288862568805, 'kelpie')]",1,7.833797,7.5510445,"[7.6879306, 7.414159]"
4.5,6,"(9419, 31, 2512)","[5, 4]","[([(9419, 116, 10417), (9419, 31, 9900), (2300, 7, 9419), (9419, 31, 6394)], 0.3450279648132301, 'kelpie'), ([(9419, 86, 482), (9419, 31, 9900), (2300, 7, 9419), (9419, 31, 6394)], 0.33125213917804575, 'kelpie'), ([(9419, 31, 9900), (2300, 7, 9419), (9419, 31, 6394), (3179, 7, 9419)], 0.31932358074469136, 'kelpie'), ([(1335, 31, 2512), (1335, 25, 62), (9419, 25, 62)], 0.20569992, 'xrule'), ([(2158, 25, 62), (2158, 31, 2512), (9419, 25, 62)], 0.18500042, 'xrule'), ([(3238, 31, 2512), (3238, 25, 62), (9419, 25, 62)], 0.18150043, 'xrule')]",1,6.3330984,5.3492684,"[5.3259807, 5.372556]"
1.0,6,"(4929, 11, 23)","[1, 1]","[([(4929, 26, 342), (4929, 14, 160), (4929, 26, 64), (4929, 26, 1098)], 0.5297403764424977, 'kelpie'), ([(4929, 14, 160), (4929, 26, 64), (4929, 106, 249), (4929, 26, 1098)], 0.5127907225891137, 'kelpie'), ([(2250, 2, 4929), (4929, 14, 160), (4929, 26, 64), (4929, 26, 1098)], 0.49365238624058655, 'kelpie'), ([(7475, 26, 64), (4929, 26, 64), (7475, 11, 23)], 0.45710087, 'xrule'), ([(11030, 26, 1098), (4929, 26, 1098), (11030, 11, 23)], 0.4225006, 'xrule'), ([(4929, 26, 990), (6451, 11, 23), (6451, 26, 990)], 0.31980038, 'xrule')]",1,8.66317,8.253216,"[8.401763, 8.104668]"
2.5,6,"(4489, 18, 795)","[3, 2]","[([(4489, 62, 32), (4489, 133, 32), (32, 15, 4353), (4489, 205, 32), (4353, 62, 32), (4353, 133, 32), (4353, 18, 795), (32, 15, 4489)], 0.37510014, 'xrule'), ([(4489, 62, 32), (4489, 133, 32), (1044, 205, 32), (4489, 205, 32), (1044, 62, 32), (32, 15, 1044), (32, 15, 4489), (1044, 18, 795)], 0.36829948, 'xrule'), ([(4489, 62, 32), (4489, 133, 32), (4489, 205, 32), (3373, 18, 795), (3373, 135, 32), (3373, 133, 32), (32, 15, 4489), (3373, 205, 32)], 0.3643999, 'xrule'), ([(786, 35, 4489), (4489, 18, 8332), (4489, 219, 90), (4489, 154, 1437)], 0.10697273453630543, 'kelpie'), ([(4489, 18, 8332), (6653, 35, 4489), (4489, 219, 90), (4489, 154, 1437)], 0.10632042127481656, 'kelpie'), ([(4489, 18, 8332), (857, 35, 4489), (4489, 219, 90), (4489, 154, 1437)], 0.09773735239987899, 'kelpie')]",1,7.114539,6.6116314,"[6.353516, 6.869746]"
15.0,6,"(10519, 66, 9596)","[10, 20]","[([(10519, 48, 1124), (10823, 20, 10519), (1189, 20, 10519), (10444, 76, 10519)], 1.9416714626291454, 'kelpie'), ([(10519, 48, 1124), (1931, 76, 10519), (10823, 20, 10519), (10444, 76, 10519)], 1.799278818206512, 'kelpie'), ([(10519, 48, 1124), (10823, 20, 10519), (10444, 76, 10519), (10519, 134, 6521)], 1.7079702193729889, 'kelpie'), ([(6957, 48, 1124), (6957, 66, 9596), (6957, 160, 9596), (10519, 48, 1124)], 0.87870026, 'xrule'), ([(2632, 48, 1124), (2632, 66, 9596), (10519, 48, 1124)], 0.73709965, 'xrule'), ([(6957, 66, 9596), (6957, 160, 9596), (10444, 76, 6957), (10444, 76, 10519)], 0.69120026, 'xrule')]",1,5.9763412,2.6459918,"[2.6823883, 2.6095953]"
1.0,6,"(4349, 17, 871)","[1, 1]","[([(4416, 17, 871), (4349, 85, 434), (4416, 85, 434)], 0.94000053, 'xrule'), ([(2788, 17, 871), (2788, 85, 434), (4349, 85, 434)], 0.8161001, 'xrule'), ([(4649, 47, 4349), (1081, 27, 4349), (4349, 85, 434), (4349, 110, 494)], 0.7991319169804105, 'kelpie'), ([(4649, 47, 4349), (4349, 85, 434), (4349, 110, 494)], 0.7200031734592021, 'kelpie'), ([(4649, 47, 4349), (4349, 85, 434), (4349, 110, 494), (4349, 8, 7948)], 0.6968832466278685, 'kelpie'), ([(4349, 43, 384), (6860, 43, 384), (6860, 17, 871)], 0.58250046, 'xrule')]",1,6.9785805,6.143882,"[6.022462, 6.265302]"
2.5,6,"(6253, 31, 657)","[1, 4]","[([(2642, 31, 657), (6253, 25, 62), (2642, 25, 62)], 0.24210072, 'xrule'), ([(2136, 31, 657), (6253, 25, 62), (2136, 25, 62)], 0.23750019, 'xrule'), ([(5415, 25, 62), (5415, 31, 657), (6253, 25, 62), (657, 2, 5415)], 0.23720074, 'xrule'), ([(6253, 31, 3823), (6253, 31, 4488), (361, 6, 6253), (1659, 6, 6253)], 0.14145092215988067, 'kelpie'), ([(6253, 31, 3823), (6253, 31, 4488), (6253, 12, 3754), (1659, 6, 6253)], 0.13784984795040064, 'kelpie'), ([(6253, 31, 3823), (6253, 31, 4488), (361, 6, 6253), (6253, 12, 3754)], 0.12928680619055963, 'kelpie')]",1,6.9195323,6.6355987,"[6.7363367, 6.5348606]"
1.0,6,"(3809, 33, 90)","[1, 1]","[([(32, 15, 3809), (3809, 25, 62), (3809, 120, 791), (3809, 154, 2438)], 3.9314332537107775, 'kelpie'), ([(32, 15, 3809), (3809, 25, 62), (3809, 120, 791)], 2.0963879657902504, 'kelpie'), ([(3809, 25, 62), (3809, 120, 791), (3809, 154, 2438)], 2.0819173874323824, 'kelpie'), ([(3809, 25, 62), (2287, 60, 90), (2287, 25, 62)], 0.99310017, 'xrule'), ([(1322, 28, 32), (1322, 13, 32), (1322, 34, 90), (32, 15, 3809)], 0.9706001, 'xrule'), ([(7726, 33, 90), (7726, 120, 791), (3809, 120, 791)], 0.9260001, 'xrule')]",1,6.958826,4.558488,"[4.5532746, 4.5637016]"
1.0,6,"(9122, 17, 215)","[1, 1]","[([(9122, 85, 434), (9122, 43, 141), (9122, 25, 62), (9122, 17, 393)], 1.4149351755726065, 'kelpie'), ([(9122, 85, 434), (9122, 25, 62), (9122, 17, 393), (9122, 48, 32)], 1.3401394498801034, 'kelpie'), ([(9122, 85, 434), (9122, 43, 141), (9122, 17, 393), (9122, 48, 32)], 1.324977935041891, 'kelpie'), ([(10178, 17, 215), (10178, 25, 62), (9122, 25, 62)], 1.0767994, 'xrule'), ([(9122, 25, 62), (355, 25, 62), (355, 17, 215)], 1.0174999, 'xrule'), ([(10412, 25, 62), (10412, 17, 215), (9122, 25, 62)], 0.9552994, 'xrule')]",1,7.1839924,6.1108713,"[6.179649, 6.042094]"
4.0,6,"(2857, 10, 2465)","[3, 5]","[([(2857, 182, 2192), (2554, 19, 2857), (1308, 19, 2857), (2857, 10, 579)], 0.19736389383219485, 'kelpie'), ([(2857, 182, 2192), (1308, 19, 2857), (2857, 10, 579)], 0.16830925199073027, 'kelpie'), ([(2857, 182, 2192), (1308, 19, 2857), (2857, 10, 579), (4446, 19, 2857)], 0.16794780944474974, 'kelpie'), ([(153, 10, 1171), (2857, 10, 1171), (153, 10, 2465)], 0.05000019, 'xrule'), ([(153, 10, 2465), (1308, 19, 153), (153, 47, 1308), (1308, 19, 2857)], 0.046899796, 'xrule'), ([(1368, 10, 2465), (2857, 10, 5491), (1368, 10, 5491)], 0.04580021, 'xrule')]",1,6.8358297,6.1713295,"[6.3598056, 5.982854]"
3.5,6,"(2634, 31, 844)","[4, 3]","[([(2634, 30, 10464), (2634, 31, 5878), (2634, 31, 136), (2634, 31, 657)], 0.30061916628714125, 'kelpie'), ([(2634, 30, 10464), (2634, 13, 32), (2634, 31, 136), (2634, 31, 657)], 0.29039387017280655, 'kelpie'), ([(2634, 30, 10464), (2634, 31, 136), (2634, 11, 23), (2634, 31, 657)], 0.2661047388655619, 'kelpie'), ([(1295, 25, 62), (1295, 31, 844), (2634, 25, 62)], 0.14860058, 'xrule'), ([(8205, 31, 844), (8205, 25, 62), (2634, 25, 62)], 0.14650059, 'xrule'), ([(4174, 25, 62), (2634, 25, 62), (4174, 31, 844)], 0.14520073, 'xrule')]",1,7.234824,6.475908,"[6.267476, 6.6843395]"
1.0,6,"(7245, 100, 160)","[1, 1]","[([(7213, 14, 160), (7245, 24, 592), (7213, 203, 592), (7245, 66, 592)], 0.7560997, 'xrule'), ([(4222, 100, 160), (2127, 8, 4222), (7245, 8, 2127), (2127, 8, 7245), (4222, 8, 2127)], 0.4822998, 'xrule'), ([(8594, 232, 160), (7245, 48, 32), (8594, 48, 32)], 0.38840008, 'xrule'), ([(1253, 71, 7245), (7245, 6, 6278), (7245, 6, 2440), (7245, 6, 7148)], 0.13006405076502062, 'kelpie'), ([(1253, 71, 7245), (7245, 6, 6278), (7245, 6, 7190), (7245, 6, 2440)], 0.12286285600049976, 'kelpie'), ([(1253, 71, 7245), (7245, 6, 4354), (7245, 6, 6278), (7245, 6, 2440)], 0.11905578814493652, 'kelpie')]",1,7.8238983,7.243714,"[7.375406, 7.112022]"
2.0,6,"(4794, 28, 382)","[2, 2]","[([(4794, 28, 32), (4794, 26, 64), (4794, 11, 23), (11368, 6, 4794)], 0.4238257826281492, 'kelpie'), ([(4794, 28, 32), (4794, 26, 64), (4794, 31, 2512), (11368, 6, 4794)], 0.3776531634154622, 'kelpie'), ([(4794, 28, 32), (4794, 34, 90), (4794, 26, 64), (11368, 6, 4794)], 0.3752146181438734, 'kelpie'), ([(1971, 11, 23), (1971, 90, 23), (4794, 11, 23), (1971, 13, 382)], 0.35509968, 'xrule'), ([(2525, 147, 382), (2525, 11, 23), (4794, 11, 23)], 0.30179977, 'xrule'), ([(1883, 11, 23), (4794, 11, 23), (1883, 13, 382)], 0.24310017, 'xrule')]",1,5.9059772,5.0907288,"[4.94539, 5.2360673]"
5.5,6,"(5115, 86, 2316)","[2, 9]","[([(5115, 86, 268), (268, 38, 5115), (5115, 12, 268), (268, 32, 5115)], 1.1140194476893557, 'kelpie'), ([(5115, 86, 268), (5115, 12, 268), (268, 32, 5115), (5115, 155, 13056)], 0.7884703148011446, 'kelpie'), ([(5115, 86, 268), (268, 38, 5115), (268, 32, 5115), (5115, 31, 1314)], 0.7816200720860279, 'kelpie'), ([(268, 32, 5115), (5115, 12, 268), (5115, 86, 268), (268, 143, 1044), (268, 38, 5115), (2316, 143, 1044)], 0.6298008, 'xrule'), ([(268, 32, 699), (268, 32, 5115), (5115, 12, 268), (268, 38, 5115), (699, 86, 2316), (5115, 86, 268)], 0.6057005, 'xrule'), ([(268, 32, 5115), (5115, 12, 268), (5115, 86, 268), (929, 47, 268), (268, 38, 5115), (2316, 19, 929)], 0.6010008, 'xrule')]",1,7.1986084,6.148752,"[6.7138624, 5.5836425]"
13.0,6,"(1081, 27, 7303)","[11, 15]","[([(1081, 27, 5038), (1081, 27, 3364), (1081, 27, 870), (1081, 27, 1082)], 0.3855419573697034, 'kelpie'), ([(1081, 27, 5038), (1081, 27, 3364), (1081, 27, 870)], 0.3258505277982773, 'kelpie'), ([(1081, 27, 5038), (1081, 27, 3364), (1081, 27, 4360)], 0.3193478994799643, 'kelpie'), ([(3365, 12, 5038), (5038, 162, 3365), (3365, 12, 7303), (5038, 38, 3365), (7303, 162, 3365), (1081, 27, 5038)], 0.12620068, 'xrule'), ([(1910, 187, 3365), (3365, 1, 1910), (1081, 27, 1910), (1910, 145, 3365), (3365, 12, 7303), (1910, 38, 3365), (7303, 162, 3365)], 0.10660076, 'xrule'), ([(4991, 8, 7303), (1081, 27, 2836), (7303, 8, 4991), (4991, 8, 2836), (2836, 8, 4991)], 0.10340023, 'xrule')]",1,6.3773446,5.2389927,"[5.3205357, 5.15745]"
1.0,6,"(12076, 85, 434)","[1, 1]","[([(12076, 48, 32), (12076, 66, 540), (12076, 21, 7233), (12076, 17, 862)], 1.5061031061021728, 'kelpie'), ([(12076, 48, 32), (12076, 66, 540), (12076, 6, 2125), (12076, 17, 862)], 1.479241914122432, 'kelpie'), ([(12076, 48, 32), (12076, 66, 540), (6055, 22, 12076), (12076, 17, 862)], 1.4578562436191607, 'kelpie'), ([(12076, 48, 32), (3402, 48, 32), (3402, 85, 434)], 1.4145002, 'xrule'), ([(10646, 17, 862), (10646, 85, 434), (12076, 17, 862)], 1.2861004, 'xrule'), ([(12076, 17, 862), (9067, 17, 862), (9067, 85, 434)], 1.0927, 'xrule')]",1,8.028749,6.9464607,"[6.810375, 7.0825467]"
1.0,6,"(4552, 35, 2732)","[1, 1]","[([(4552, 35, 3796), (4552, 64, 1625), (4552, 35, 1562), (4552, 64, 3282)], 0.09210304452765393, 'kelpie'), ([(4552, 35, 3796), (4552, 64, 5701), (4552, 35, 1562), (4552, 64, 3282)], 0.09057239725632578, 'kelpie'), ([(4552, 35, 3796), (4552, 64, 5701), (4552, 35, 1562), (4552, 64, 786)], 0.09026149945842299, 'kelpie'), ([(4552, 35, 5949), (5837, 66, 2732), (5949, 122, 5837)], 0.018899918, 'xrule'), ([(32, 15, 4353), (2732, 135, 32), (32, 15, 2732), (4353, 62, 32), (4353, 133, 32), (2732, 62, 32), (2732, 133, 32), (2732, 205, 32), (4552, 35, 4353)], 0.015199661, 'xrule'), ([(3796, 62, 32), (3796, 133, 32), (4552, 35, 3796), (3796, 135, 32), (2732, 135, 32), (32, 15, 2732), (32, 15, 3796), (2732, 62, 32), (2732, 133, 32), (2732, 205, 32), (3796, 205, 32)], 0.013799667, 'xrule')]",1,6.999007,6.9080534,"[7.2503014, 6.565805]"
2.5,6,"(457, 10, 7869)","[3, 2]","[([(2820, 47, 186), (186, 19, 457), (186, 19, 2820), (2820, 10, 7869)], 0.113900185, 'xrule'), ([(370, 30, 2820), (457, 7, 370), (370, 30, 457), (2820, 10, 7869)], 0.11190033, 'xrule'), ([(457, 7, 6736), (6736, 30, 457), (2820, 7, 6736), (2820, 10, 7869)], 0.11130047, 'xrule'), ([(457, 182, 3202), (457, 47, 8624), (457, 10, 6327), (457, 10, 4121)], 0.03799966999921614, 'kelpie'), ([(457, 182, 3202), (457, 10, 6327), (457, 10, 4121), (457, 7, 8703)], 0.03736023134644262, 'kelpie'), ([(457, 182, 3202), (457, 7, 1692), (457, 10, 6327), (457, 10, 4121)], 0.03717712587375824, 'kelpie')]",1,6.1483383,6.000581,"[6.0183725, 5.982789]"
1.0,6,"(3794, 23, 209)","[1, 1]","[([(3028, 23, 209), (3794, 219, 90), (3028, 206, 90), (3028, 234, 90), (3794, 139, 90), (3794, 206, 90), (3794, 234, 90), (3028, 139, 90)], 0.17280006, 'xrule'), ([(75, 234, 90), (3794, 219, 90), (75, 219, 90), (3794, 139, 90), (3794, 206, 90), (3794, 234, 90), (75, 139, 90), (75, 23, 209), (75, 206, 90)], 0.16779995, 'xrule'), ([(3794, 219, 90), (1046, 23, 209), (1046, 139, 90), (3794, 139, 90), (3794, 206, 90), (3794, 234, 90), (1046, 206, 90), (1046, 234, 90)], 0.16759968, 'xrule'), ([(1179, 13, 3794), (374, 13, 3794), (3794, 72, 1718), (526, 29, 3794)], 0.061394731476861586, 'kelpie'), ([(374, 13, 3794), (3794, 72, 1718), (2968, 13, 3794), (526, 29, 3794)], 0.06088260838554217, 'kelpie'), ([(374, 13, 3794), (3794, 72, 1718), (526, 29, 3794)], 0.06007579989619412, 'kelpie')]",1,8.168217,8.094791,"[7.8308883, 8.358694]"
9.5,6,"(3306, 13, 1682)","[9, 10]","[([(816, 69, 626), (3306, 13, 816), (1682, 69, 626)], 1.3673992, 'xrule'), ([(3306, 13, 27), (7552, 13, 27), (7552, 13, 1682)], 1.0844994, 'xrule'), ([(3306, 13, 202), (1521, 13, 202), (1521, 13, 1682)], 1.0598993, 'xrule'), ([(3306, 13, 202), (3306, 13, 2282), (3306, 13, 1163), (3306, 13, 92)], 0.16374210571874043, 'kelpie'), ([(3306, 13, 202), (3306, 13, 2282), (3306, 13, 449), (3306, 13, 92)], 0.14691929073068818, 'kelpie'), ([(3306, 13, 202), (3306, 13, 2282), (3306, 13, 449), (3306, 13, 1163)], 0.14057163444457382, 'kelpie')]",1,5.862156,5.239622,"[5.203881, 5.2753634]"
1.5,6,"(3660, 31, 136)","[1, 2]","[([(3660, 31, 658), (3660, 31, 844), (3660, 74, 524), (3660, 13, 32)], 0.5664501622953115, 'kelpie'), ([(3660, 31, 658), (3660, 31, 844), (3660, 13, 32), (3660, 26, 1936)], 0.5658665135981213, 'kelpie'), ([(3660, 31, 658), (3660, 31, 844), (3660, 13, 32), (3660, 28, 32)], 0.5491714908345038, 'kelpie'), ([(3660, 28, 32), (3660, 13, 32), (3819, 107, 136), (3819, 185, 32)], 0.20340061, 'xrule'), ([(3660, 28, 32), (3901, 31, 136), (3901, 28, 32), (3660, 13, 32), (3901, 13, 32)], 0.19799995, 'xrule'), ([(3660, 28, 32), (1634, 28, 32), (1634, 13, 32), (3660, 13, 32), (1634, 31, 136)], 0.19640064, 'xrule')]",1,7.3106804,6.9010825,"[6.951814, 6.850351]"
1.0,6,"(1927, 212, 4563)","[1, 1]","[([(1927, 17, 393), (1927, 17, 862), (1927, 43, 141), (1927, 85, 434)], 1.7805319642875599, 'kelpie'), ([(1927, 17, 862), (1927, 43, 141), (1927, 85, 434), (1927, 48, 1928)], 1.424223010120796, 'kelpie'), ([(1927, 82, 8686), (1927, 17, 862), (1927, 43, 141), (1927, 85, 434)], 1.3719721460376673, 'kelpie'), ([(2159, 212, 4563), (2159, 17, 862), (1927, 17, 862)], 0.48490047, 'xrule'), ([(5295, 212, 4563), (5295, 17, 862), (1927, 17, 862)], 0.47210026, 'xrule'), ([(2882, 17, 862), (2882, 212, 4563), (1927, 17, 862)], 0.4633999, 'xrule')]",1,7.7084093,5.023927,"[5.0509396, 4.996915]"
3.5,6,"(740, 37, 1577)","[4, 3]","[([(740, 37, 6243), (740, 37, 855), (740, 37, 854), (740, 37, 2840)], 0.19176105721327835, 'kelpie'), ([(740, 37, 6243), (740, 37, 855), (740, 37, 854), (740, 37, 794)], 0.1876697943527623, 'kelpie'), ([(740, 37, 6243), (740, 37, 855), (740, 37, 854), (740, 37, 773)], 0.18423942783330718, 'kelpie'), ([(4489, 62, 32), (4489, 133, 32), (1577, 205, 32), (4489, 205, 32), (1577, 135, 32), (740, 37, 4489), (32, 15, 4489), (1577, 133, 32), (32, 15, 1577), (1577, 62, 32)], 0.1463995, 'xrule'), ([(740, 37, 6243), (1577, 205, 32), (32, 15, 6243), (1577, 135, 32), (6243, 133, 32), (6243, 135, 32), (6243, 62, 32), (1577, 62, 32), (1577, 133, 32), (32, 15, 1577)], 0.14459991, 'xrule'), ([(1577, 205, 32), (740, 37, 2840), (1577, 135, 32), (2840, 62, 32), (32, 15, 2840), (2840, 205, 32), (1577, 133, 32), (32, 15, 1577), (1577, 62, 32), (2840, 135, 32)], 0.14139938, 'xrule')]",1,6.135332,5.668482,"[5.7389145, 5.5980487]"
6.5,6,"(8128, 10, 1968)","[7, 6]","[([(8128, 10, 1840), (8128, 10, 1171), (8128, 10, 358), (8128, 10, 65)], 0.45609669128818564, 'kelpie'), ([(8128, 10, 1171), (8128, 10, 358), (8128, 10, 2875), (8128, 10, 65)], 0.453662914406889, 'kelpie'), ([(8128, 10, 5382), (8128, 10, 1171), (8128, 10, 358), (8128, 10, 65)], 0.4448938789861597, 'kelpie'), ([(4640, 10, 358), (4640, 10, 1968), (8128, 10, 358)], 0.10319996, 'xrule'), ([(358, 27, 2459), (1968, 27, 2459), (8128, 10, 358)], 0.095700264, 'xrule'), ([(4952, 10, 358), (4952, 10, 1968), (8128, 10, 358)], 0.094799995, 'xrule')]",1,6.9333606,5.8599076,"[5.779113, 5.9407024]"
1.0,6,"(8270, 14, 160)","[1, 1]","[([(5400, 28, 32), (8270, 28, 32), (5400, 14, 160), (8270, 13, 32), (5400, 13, 32)], 0.8189001, 'xrule'), ([(8401, 14, 160), (8270, 28, 32), (8401, 28, 32), (8270, 13, 32)], 0.8159008, 'xrule'), ([(9068, 14, 160), (8270, 28, 32), (9068, 13, 32), (8270, 13, 32)], 0.80230045, 'xrule'), ([(8270, 86, 441), (8270, 28, 32), (8270, 34, 90), (911, 59, 8270)], 0.4455366555027726, 'kelpie'), ([(8270, 86, 441), (8270, 28, 32), (4169, 6, 8270), (8270, 34, 90)], 0.44207004929558325, 'kelpie'), ([(8270, 86, 441), (8270, 28, 32), (8270, 34, 90), (8270, 31, 3257)], 0.4418106499113173, 'kelpie')]",1,8.478947,7.6911917,"[7.6130524, 7.769331]"
1.0,6,"(8285, 17, 862)","[1, 1]","[([(988, 43, 141), (8285, 43, 141), (988, 17, 862)], 0.87850046, 'xrule'), ([(620, 17, 862), (620, 43, 141), (8285, 43, 141)], 0.87350035, 'xrule'), ([(9716, 17, 862), (8285, 43, 141), (9716, 43, 141)], 0.763, 'xrule'), ([(8285, 21, 10982)], 0.04283575246968313, 'kelpie'), ([(37, 8, 8285), (8285, 21, 10982)], 0.04267362780902478, 'kelpie'), ([(8285, 21, 10982), (1878, 21, 8285)], 0.03850321001848513, 'kelpie')]",1,6.5313535,6.4609814,"[6.3201995, 6.601763]"
8.5,6,"(1796, 130, 841)","[6, 11]","[([(1796, 130, 555), (3082, 49, 1796), (1796, 130, 164), (8620, 49, 1796)], 0.05407194324706399, 'kelpie'), ([(1796, 130, 555), (3082, 49, 1796), (6780, 49, 1796), (1796, 130, 164)], 0.05212787818974572, 'kelpie'), ([(11759, 49, 1796), (1796, 130, 555), (3082, 49, 1796), (1796, 130, 164)], 0.05154804419801434, 'kelpie'), ([(841, 95, 521), (1432, 49, 1796), (1796, 130, 1432), (1432, 95, 521)], 0.049300194, 'xrule'), ([(841, 95, 521), (8620, 49, 1796), (1796, 130, 8620), (8620, 95, 521)], 0.0461998, 'xrule'), ([(841, 95, 521), (7445, 95, 521), (1796, 130, 7445), (7445, 49, 1796)], 0.043200493, 'xrule')]",1,6.8177223,6.497969,"[6.8742566, 6.1216817]"
10.0,6,"(1754, 29, 181)","[10, 10]","[([(7467, 139, 90), (181, 219, 90), (7467, 219, 90), (181, 139, 90), (181, 234, 90), (1754, 29, 7467), (181, 206, 90), (7467, 206, 90)], 0.20800018, 'xrule'), ([(181, 219, 90), (181, 139, 90), (1754, 29, 7007), (7007, 139, 90), (181, 206, 90), (181, 234, 90)], 0.1796999, 'xrule'), ([(382, 69, 5122), (181, 72, 5122), (5122, 157, 382), (1754, 29, 382), (181, 69, 5122), (382, 72, 5122)], 0.11800003, 'xrule'), ([(1754, 29, 75), (1754, 29, 1405), (1754, 29, 331), (1754, 29, 449)], 0.07099489401566064, 'kelpie'), ([(1754, 29, 75), (1754, 29, 1405), (1754, 29, 449)], 0.052845518075236735, 'kelpie'), ([(1754, 29, 75), (1754, 29, 1405), (1754, 29, 1302)], 0.04517225454313239, 'kelpie')]",1,5.848309,5.561748,"[5.513905, 5.609591]"
3.0,6,"(2946, 17, 215)","[2, 4]","[([(2946, 48, 32), (2946, 17, 862), (2946, 85, 434), (2946, 43, 141)], 0.9105544578812984, 'kelpie'), ([(2946, 17, 862), (2946, 24, 592), (2946, 85, 434), (2946, 43, 141)], 0.682169482234535, 'kelpie'), ([(2946, 17, 862), (2946, 66, 592), (2946, 85, 434), (2946, 43, 141)], 0.6613803354983258, 'kelpie'), ([(6413, 17, 393), (6413, 17, 215), (2946, 17, 393)], 0.36170006, 'xrule'), ([(2810, 85, 434), (2946, 85, 434), (2810, 17, 215)], 0.35490036, 'xrule'), ([(2946, 85, 434), (8868, 17, 215), (8868, 85, 434)], 0.3388996, 'xrule')]",1,6.474165,4.60872,"[4.684078, 4.5333614]"
4.0,6,"(7787, 31, 136)","[4, 4]","[([(7787, 14, 160), (7787, 31, 658), (7787, 31, 657), (7787, 13, 32)], 0.7056608652156123, 'kelpie'), ([(7787, 31, 658), (7787, 11, 23), (7787, 31, 657), (7787, 13, 32)], 0.6804857702288948, 'kelpie'), ([(7787, 115, 747), (7787, 31, 658), (7787, 31, 657), (7787, 13, 32)], 0.6802711935174672, 'kelpie'), ([(7183, 13, 32), (7787, 28, 32), (7787, 193, 32), (7183, 31, 136), (7787, 13, 32), (7183, 28, 32)], 0.37010002, 'xrule'), ([(7787, 28, 32), (63, 31, 136), (63, 28, 32), (7787, 193, 32), (63, 13, 32), (7787, 13, 32)], 0.35620022, 'xrule'), ([(1315, 31, 136), (7787, 28, 32), (1315, 28, 32), (7787, 193, 32), (7787, 13, 32)], 0.35610008, 'xrule')]",1,6.917391,5.8167286,"[6.0599356, 5.573522]"
7.0,3,"(8365, 13, 158)","[6, 8]","[([(8365, 13, 181), (8365, 13, 1080), (8365, 13, 1260), (8365, 13, 1934)], 0.13998083322412877, 'kelpie'), ([(8365, 13, 1260), (8365, 13, 1934), (8365, 13, 27)], 0.13848356449464597, 'kelpie'), ([(8365, 13, 202), (8365, 13, 1260), (8365, 13, 1934)], 0.13644317832524536, 'kelpie')]",1,5.7749047,5.417546,"[5.468774, 5.3663177]"
1.5,6,"(7436, 217, 3433)","[1, 2]","[([(7436, 25, 62), (7436, 166, 90), (3373, 15, 7436), (32, 15, 7436)], 0.7892666328481532, 'kelpie'), ([(7436, 25, 62), (3373, 15, 7436), (1177, 89, 7436), (32, 15, 7436)], 0.7663202747108305, 'kelpie'), ([(7436, 25, 62), (7445, 68, 7436), (3373, 15, 7436), (32, 15, 7436)], 0.7639818652502843, 'kelpie'), ([(7436, 25, 62), (6632, 217, 3433), (6632, 25, 62)], 0.28100014, 'xrule'), ([(7436, 25, 62), (1953, 217, 3433), (1953, 25, 62)], 0.2805004, 'xrule'), ([(7436, 25, 62), (6037, 217, 3433), (6037, 25, 62)], 0.27939987, 'xrule')]",1,9.396436,8.490988,"[8.568682, 8.413294]"
