new_scores,original_score,exp,original_rank,prediction,new_rank,new_score,new_ranks,facts,exp_length
[0.025854624807834625],0.9375073909759521,"[(1538, 1, 8734)]",1,"(8734, 1, 1538)",13.0,0.025854624807834625,[13],"[({(1538, 1, 8734)}, -9.754917831406772, 'baseline'), ({(8734, 1, 2613)}, -10.587738385452546, 'baseline'), ({(16818, 0, 8734)}, -11.657633557793618, 'baseline'), ({(2613, 1, 8734)}, -11.67851600527232, 'baseline'), ({(25180, 0, 8734)}, -11.846636303173957, 'baseline'), ({(9950, 0, 8734)}, -12.156285576987754, 'baseline'), ({(28200, 0, 8734)}, -12.19090415578734, 'baseline'), ({(28868, 0, 8734)}, -12.263958315825212, 'baseline')]",1
[0.00012266977864783257],0.8671815395355225,"[(20700, 1, 17492)]",1,"(17492, 1, 20700)",5785.0,0.00012266977864783257,[5785],"[({(20700, 1, 17492)}, -8.700434200863844, 'baseline')]",1
[0.1091313585639],0.9578153491020203,"[(3647, 1, 3648)]",1,"(3648, 1, 3647)",2.0,0.1091313585639,[2],"[({(3647, 1, 3648)}, -9.39181604267126, 'baseline'), ({(3648, 1, 8714)}, -10.552904337767245, 'baseline'), ({(8714, 1, 3648)}, -11.398187147722936, 'baseline')]",1
[2.5147646738332696e-05],0.949526846408844,"[(35514, 1, 15168)]",1,"(15168, 1, 35514)",18412.0,2.5147646738332696e-05,[18412],"[({(35514, 1, 15168)}, -9.287387904815224, 'baseline')]",1
[0.03535228222608566],0.673927366733551,"[(4502, 6, 36622), (4503, 2, 2580), (4502, 6, 4503)]",1,"(36622, 2, 2580)",3.0,0.03535228222608566,[3],"[({(4502, 6, 36622)}, -9.042459213979274, 'baseline'), ({(637, 8, 36622)}, -9.268886831069038, 'baseline')]",3
[0.06699289381504059],0.9036061763763428,"[(9780, 1, 3447)]",1,"(3447, 1, 9780)",4.0,0.06699289381504059,[4],"[({(9780, 1, 3447)}, -7.298132304432825, 'baseline'), ({(3447, 1, 2835)}, -10.300147030221723, 'baseline'), ({(3447, 1, 7044)}, -10.838945146755796, 'baseline'), ({(7044, 1, 3447)}, -10.848101004622185, 'baseline'), ({(2835, 1, 3447)}, -10.978937021592776, 'baseline')]",1
[0.0003383162838872522],0.5521760582923889,"[(20385, 0, 184), (1038, 4, 20385), (1038, 4, 34310)]",1,"(34310, 0, 184)",578.0,0.0003383162838872522,[578],"[({(1038, 4, 34310)}, -8.379950527787743, 'baseline')]",3
[0.0004510493599809706],0.8556263446807861,"[(3858, 1, 4697)]",1,"(4697, 1, 3858)",456.0,0.0004510493599809706,[456],"[({(3858, 1, 4697)}, -6.877245004186037, 'baseline'), ({(4697, 1, 3857)}, -8.968636257796552, 'baseline'), ({(3857, 1, 4697)}, -9.153776302626536, 'baseline')]",1
[1.9775745386141352e-05],0.9748260378837585,"[(34337, 1, 624)]",1,"(624, 1, 34337)",27275.0,1.9775745386141352e-05,[27275],"[({(34337, 1, 624)}, -12.048848506414068, 'baseline')]",1
[0.012719163671135902],0.9237152934074402,"[(11642, 1, 14841)]",1,"(14841, 1, 11642)",8.0,0.012719163671135902,[8],"[({(11642, 1, 14841)}, -7.952274996762401, 'baseline'), ({(14841, 1, 27207)}, -9.883014948109455, 'baseline'), ({(27207, 1, 14841)}, -10.1490767155374, 'baseline'), ({(14841, 1, 19445)}, -10.609236508312732, 'baseline'), ({(19445, 1, 14841)}, -10.656198364956264, 'baseline')]",1
