new_score,new_ranks,original_score,prediction,original_rank,#facts,new_scores,new_rank,facts
4.764367,"[2, 14]",8.62182,"(12379, 120, 791)",1,13,"[4.1708484, 5.3578854]",8.0,"[([(3796, 15, 12379)], 1.5912276025547751, 1322.8307887380524), ([(12379, 56, 12379)], 1.5096388538018768, 948.8190076688296), ([(12379, 133, 32)], 1.0553823039246912, 7696.741807099117), ([(32, 87, 4938), (12379, 133, 32), (4938, 120, 791)], 0.8786001, 'xrule'), ([(3627, 120, 791), (3627, 25, 62), (12379, 25, 62)], 0.73219967, 'xrule'), ([(12379, 133, 32), (32, 15, 4031), (4031, 133, 32), (4031, 120, 791)], 0.2222004, 'xrule'), ([(4717, 120, 791), (12379, 25, 62), (4717, 25, 62)], -0.074700356, 'xrule'), ([(5384, 25, 62), (5384, 120, 791), (12379, 25, 62)], -0.35459995, 'xrule'), ([(2851, 133, 32), (12379, 133, 32), (2851, 120, 791), (32, 15, 2851)], -0.6194, 'xrule'), ([(12379, 133, 32), (32, 15, 4717), (4717, 120, 791)], -0.80490017, 'xrule'), ([(12379, 133, 32), (3627, 120, 791), (32, 15, 3627)], -1.0832996, 'xrule'), ([(12379, 133, 32), (4994, 133, 32), (32, 15, 4994), (4994, 120, 791)], -1.7862997, 'xrule'), ([(12379, 133, 32), (532, 120, 791), (532, 133, 32)], -1.9917002, 'xrule')]"
0.43785897,"[11, 3]",3.4511123,"(5745, 35, 2589)",9,13,"[0.3907389, 0.48497903]",7.0,"[([(2473, 35, 2589), (2473, 35, 2792), (5745, 35, 2792)], 2.2412996, 'xrule'), ([(688, 35, 2589), (688, 35, 2792), (5745, 35, 2792)], 2.2382002, 'xrule'), ([(4979, 64, 4734), (4979, 35, 2589), (4734, 64, 4979), (4734, 64, 5745)], 1.0881996, 'xrule'), ([(4734, 64, 2473), (2473, 35, 2589), (2473, 64, 4734), (4734, 64, 5745)], 1.0137005, 'xrule'), ([(2473, 64, 5745), (2473, 35, 2589), (5745, 64, 2473)], 0.81410027, 'xrule'), ([(2589, 118, 774), (2792, 118, 774), (5745, 35, 2792)], 0.7080002, 'xrule'), ([(4979, 35, 2589), (4979, 35, 2792), (5745, 35, 2792)], 0.5938997, 'xrule'), ([(2589, 18, 1771), (2792, 18, 1771), (5745, 35, 2792)], 0.5860996, 'xrule'), ([(2473, 64, 4979), (4979, 35, 2589), (4979, 64, 2473), (2473, 64, 5745), (5745, 64, 2473)], -0.14289951, 'xrule'), ([(5745, 35, 611)], -1.1948074734008327, -848.7675997842001), ([(5745, 35, 611), (2589, 18, 1771), (611, 18, 1771)], -1.3885002, 'xrule'), ([(4733, 64, 5745)], -1.5332507402326916, 1712.1775185514573), ([(5745, 64, 7663)], -2.763024627868146, -1047.9406447409565)]"
3.3641987,"[2, 2]",9.557828,"(6443, 43, 141)",1,15,"[2.677723, 4.0506744]",2.0,"[([(966, 43, 141), (6443, 25, 62), (966, 25, 62)], 3.5899, 'xrule'), ([(806, 17, 2006), (806, 43, 141), (6443, 17, 2006)], 2.8581, 'xrule'), ([(6443, 25, 62), (1451, 43, 141), (1451, 25, 62)], 2.1913996, 'xrule'), ([(1627, 43, 141), (6443, 25, 62), (1627, 25, 62)], 1.8389997, 'xrule'), ([(2118, 43, 141), (2118, 25, 62), (6443, 25, 62)], 1.0074997, 'xrule'), ([(6443, 17, 2006), (966, 17, 2006), (966, 43, 141)], 0.9708996, 'xrule'), ([(2373, 17, 2006), (2373, 43, 141), (6443, 17, 2006)], 0.17939949, 'xrule'), ([(1215, 43, 141), (6443, 25, 62), (1215, 25, 62)], 0.032699585, 'xrule'), ([(6443, 196, 3593)], 0.02188781926734279, 27.505471726363485), ([(1325, 25, 62), (6443, 25, 62), (1325, 43, 141)], -0.3327999, 'xrule'), ([(2287, 43, 141), (6443, 25, 62), (2287, 25, 62)], -0.7069998, 'xrule'), ([(1001, 43, 141), (1001, 25, 62), (6443, 25, 62)], -0.7392998, 'xrule'), ([(6443, 21, 8171)], -0.7942065726003779, 4.311266141139832), ([(6443, 25, 62)], -0.9345597726897991, 3.2820005418316787), ([(2373, 43, 141), (6443, 21, 1943), (2373, 21, 1943)], -1.2833004, 'xrule')]"
3.868807,"[1, 1]",12.060263,"(8572, 25, 62)",1,13,"[4.2106624, 3.5269518]",1.0,"[([(2893, 25, 62), (2893, 120, 791), (8572, 120, 791)], 3.7034006, 'xrule'), ([(32, 15, 2893), (2893, 25, 62), (32, 15, 8572)], 2.5551004, 'xrule'), ([(6413, 25, 62), (6413, 48, 32), (32, 15, 8572)], 1.8570004, 'xrule'), ([(32, 15, 6853), (6853, 25, 62), (6853, 16, 32), (32, 15, 8572)], 1.8179007, 'xrule'), ([(4471, 25, 62), (32, 15, 8572), (4471, 48, 32)], 1.5208006, 'xrule'), ([(8572, 120, 791)], 0.9942188770036252, -0.27007958628783757), ([(32, 15, 4331), (4331, 205, 32), (4331, 62, 32), (4331, 133, 32), (4331, 25, 62), (32, 15, 8572), (4331, 135, 32)], 0.85280037, 'xrule'), ([(8572, 15, 1820)], 0.5759239630832348, -0.3598710380019524), ([(32, 15, 8572), (954, 25, 62), (32, 87, 954)], 0.26679993, 'xrule'), ([(8572, 56, 8572)], 0.2073212074254178, 0.5516454384919526), ([(769, 48, 32), (32, 15, 8572), (769, 25, 62)], 0.13850021, 'xrule'), ([(954, 120, 791), (8572, 120, 791), (954, 25, 62)], 0.007900238, 'xrule'), ([(32, 15, 8572), (2730, 150, 32), (2730, 25, 62)], -0.82389927, 'xrule')]"
0.03439911,"[1, 1]",0.2021465,"(8630, 56, 8630)",1,3,"[0.04066091, 0.02813731]",1.0,"[([(3389, 66, 8630)], 1.4617077373196092e-07, 0.5000000265426934), ([(8630, 25, 62)], 1.4058283814922156e-07, 0.5000000251457095), ([(1695, 15, 8630)], 1.2568167696995026e-07, 0.5000000214204192)]"
6.5261855,"[1, 1]",13.831659,"(11326, 25, 62)",1,8,"[6.431198, 6.621173]",1.0,"[([(3466, 23, 57), (57, 25, 62), (3466, 15, 11326)], 2.9685993, 'xrule'), ([(3466, 15, 11326)], 2.0717068725033347, 125.88812266003421), ([(3466, 234, 90), (90, 25, 62), (3466, 139, 90), (3466, 206, 90), (3466, 15, 11326)], 0.9633999, 'xrule'), ([(3466, 15, 11889), (11889, 25, 62), (3466, 15, 11326)], 0.8430996, 'xrule'), ([(3573, 218, 3466), (3573, 25, 62), (3466, 15, 11326)], -0.10200024, 'xrule'), ([(3466, 54, 4965), (3466, 15, 4965), (4965, 133, 3466), (4965, 25, 62), (3466, 15, 11326)], -0.14700031, 'xrule'), ([(526, 29, 3466), (526, 25, 62), (3466, 15, 11326)], -0.50320053, 'xrule'), ([(12330, 25, 62), (3466, 15, 12330), (3466, 15, 11326)], -0.8517008, 'xrule')]"
0.2047542,"[3, 5]",4.6080956,"(6404, 13, 449)",6,3,"[0.24968068, 0.15982771]",4.0,"[([(2413, 102, 6404)], 1.1836248001317862, 618.7655989164354), ([(6404, 13, 2410)], -1.0897354548868718, 6071.2516680872395), ([(6404, 13, 382)], -1.1611322806083002, 1863.2384615947544)]"
0.034399085,"[1, 1]",0.2021465,"(6089, 56, 6089)",1,3,"[0.04066089, 0.028137278]",1.0,"[([(1591, 24, 6089)], 8.656612890385324e-08, 0.5000000116415322), ([(10915, 24, 6089)], 7.539025799164412e-08, 0.5000000088475645), ([(6089, 133, 32)], 6.980232258237709e-08, 0.5000000074505806)]"
2.4596317,"[1, 32]",3.695775,"(9896, 167, 1768)",1,13,"[1.4907339, 3.4285295]",16.5,"[([(32, 15, 9896), (9896, 16, 32), (32, 15, 972), (972, 167, 1768)], 3.6994, 'xrule'), ([(32, 15, 9896), (32, 15, 1764), (1764, 167, 1768), (9896, 16, 32), (1764, 16, 32)], 2.7775993, 'xrule'), ([(32, 15, 9896), (9896, 16, 32), (2088, 16, 32), (2088, 167, 1768)], 1.3936996, 'xrule'), ([(1850, 167, 1768), (1850, 25, 62), (9896, 25, 62)], 1.0136995, 'xrule'), ([(1177, 89, 9896), (1177, 89, 1764), (1764, 167, 1768)], 0.58409977, 'xrule'), ([(9896, 101, 3730), (927, 101, 3730), (927, 167, 1768)], 0.4836998, 'xrule'), ([(32, 15, 9896), (9896, 16, 32), (927, 16, 32), (927, 167, 1768)], 0.38289928, 'xrule'), ([(9896, 108, 90)], 0.00821117584072728, 10608.502052772432), ([(9896, 101, 3730), (2088, 167, 1768), (2088, 101, 3730)], -0.02820015, 'xrule'), ([(32, 15, 9896), (2526, 16, 32), (9896, 16, 32), (2526, 167, 1768), (32, 15, 2526)], -0.19939995, 'xrule'), ([(9896, 143, 1044)], -0.5986585179902462, 6721.354650653646), ([(32, 15, 9896), (2665, 167, 1768), (32, 15, 2665), (9896, 16, 32), (2665, 16, 32)], -0.99620056, 'xrule'), ([(32, 15, 9896)], -1.6449965692948918, 8653.161786314678)]"
0.7417417,"[4, 4]",3.9198654,"(3785, 14, 5334)",3,13,"[0.96201, 0.5214734]",4.0,"[([(3785, 28, 32), (5941, 28, 32), (5941, 14, 5334)], 0.37090015, 'xrule'), ([(5571, 14, 5334), (5571, 14, 160), (3785, 14, 160)], 0.16969967, 'xrule'), ([(3785, 14, 2646)], -0.09092803762225408, 9946.477283629838), ([(7912, 14, 5334), (7912, 31, 1211), (3785, 31, 1211)], -0.3479004, 'xrule'), ([(3785, 136, 9158)], -0.6849817780550407, 8611.335150319872), ([(3785, 25, 62)], -0.7488898772398915, 8720.32106322912), ([(6345, 14, 5334), (3785, 28, 32), (6345, 13, 32), (6345, 28, 32)], -0.9523001, 'xrule'), ([(5941, 14, 5334), (3785, 14, 160), (5941, 14, 160)], -0.98359966, 'xrule'), ([(7912, 14, 5334), (7912, 14, 160), (3785, 14, 160)], -1.6469002, 'xrule'), ([(5225, 221, 160), (3785, 14, 160), (160, 70, 5225), (5225, 221, 5334), (5334, 70, 5225)], -2.1866999, 'xrule'), ([(3785, 26, 64), (5941, 14, 5334), (5941, 26, 64)], -2.8792, 'xrule'), ([(7912, 28, 32), (3785, 28, 32), (7912, 14, 5334)], -3.2802, 'xrule'), ([(5571, 14, 5334), (5571, 28, 32), (3785, 28, 32), (5571, 13, 32)], -3.3403997, 'xrule')]"
1.119235,"[1, 1]",3.145742,"(6223, 167, 1768)",1,13,"[1.2369696, 1.0015006]",1.0,"[([(1177, 89, 6223)], 1.8818503298179339, 9894.867823504623), ([(6223, 61, 6899)], 1.6588316707688795, 9779.840081096414), ([(6223, 25, 62)], 0.9713140036040476, 10131.725381319091), ([(3317, 25, 62), (6223, 25, 62), (3317, 167, 1768)], -0.2993002, 'xrule'), ([(1842, 25, 62), (6223, 25, 62), (1842, 167, 1768)], -0.7599001, 'xrule'), ([(1932, 167, 1768), (1932, 25, 62), (6223, 25, 62)], -1.7304001, 'xrule'), ([(3879, 167, 1768), (6223, 25, 62), (3879, 25, 62)], -1.9497995, 'xrule'), ([(4273, 167, 1768), (4273, 25, 62), (6223, 25, 62)], -2.1861, 'xrule'), ([(6223, 101, 4002), (4143, 101, 4002), (4143, 167, 1768)], -2.2067995, 'xrule'), ([(3317, 124, 2956), (6223, 124, 2956), (3317, 167, 1768)], -2.8315, 'xrule'), ([(6223, 124, 2956), (1767, 124, 2956), (1767, 167, 1768)], -3.0081997, 'xrule'), ([(1767, 25, 62), (6223, 25, 62), (1767, 167, 1768)], -3.8064003, 'xrule'), ([(3515, 167, 1768), (6223, 25, 62), (3515, 25, 62)], -4.1892996, 'xrule')]"
0.8958603,"[6, 7]",5.4018598,"(3592, 26, 342)",12,13,"[0.3404736, 1.451247]",6.5,"[([(5733, 26, 342), (3592, 14, 160), (5733, 14, 160)], 1.7522001, 'xrule'), ([(1879, 14, 160), (3592, 14, 160), (1879, 26, 342)], 1.5397005, 'xrule'), ([(3592, 26, 990), (2378, 26, 342), (2378, 26, 990)], 1.2427006, 'xrule'), ([(2168, 14, 160), (3592, 14, 160), (2168, 26, 342)], 0.63010025, 'xrule'), ([(3592, 28, 32)], 0.6103744945073931, 11593.64802621461), ([(3592, 26, 990), (5733, 26, 342), (5733, 26, 990)], 0.38689995, 'xrule'), ([(3592, 193, 68), (2168, 13, 68), (2168, 26, 342)], 0.093800545, 'xrule'), ([(1879, 26, 990), (3592, 26, 990), (1879, 26, 342)], 0.07900047, 'xrule'), ([(3592, 14, 160), (1018, 26, 342), (1018, 14, 160)], -0.34519958, 'xrule'), ([(3592, 26, 1881)], -0.35610099478198676, 1411.411903721744), ([(3259, 26, 342), (3592, 14, 160), (3259, 14, 160)], -1.0543003, 'xrule'), ([(12142, 6, 3592)], -1.5122131625309432, 7849.180611024155), ([(3592, 14, 160), (2378, 26, 342), (2378, 14, 160)], -1.7083998, 'xrule')]"
6.7511973,"[1, 1]",10.881088,"(6787, 25, 62)",1,13,"[6.675664, 6.8267307]",1.0,"[([(6787, 120, 791), (8948, 120, 791), (8948, 25, 62)], 5.4554005, 'xrule'), ([(6787, 120, 791), (10480, 120, 791), (10480, 25, 62)], 2.5930996, 'xrule'), ([(6787, 120, 791), (13380, 25, 62), (13380, 120, 791)], 2.0197, 'xrule'), ([(3718, 25, 62), (1014, 37, 3718), (1014, 37, 6787)], 1.4102001, 'xrule'), ([(2224, 25, 62), (1014, 37, 2224), (1014, 37, 6787)], 1.2292004, 'xrule'), ([(6787, 120, 791), (5108, 120, 791), (5108, 25, 62)], 1.0068998, 'xrule'), ([(6787, 120, 791), (9777, 120, 791), (9777, 25, 62)], 0.9651003, 'xrule'), ([(6787, 120, 791), (8655, 25, 62), (8655, 120, 791)], 0.8799, 'xrule'), ([(6787, 120, 791), (7547, 25, 62), (7547, 120, 791)], 0.82470036, 'xrule'), ([(6787, 120, 791), (3718, 120, 791), (3718, 25, 62)], 0.7088003, 'xrule'), ([(6787, 120, 791)], -0.7936973105297113, 6364.311375326998), ([(6787, 154, 1437)], -1.3175715799665524, 1.2112225930132674), ([(6787, 56, 6787)], -1.9125994744205046, 0.12868908628359121)]"
0.17471203,"[1, 1]",5.030762,"(2789, 11, 23)",3,3,"[0.2023755, 0.14704855]",1.0,"[([(1062, 7, 2789)], -0.4934029154505543, 10302.379092246021), ([(2789, 31, 4)], -0.7469687003607506, 7301.321482154283), ([(2789, 13, 419)], -1.4111084303189003, 11824.196059276663)]"
0.3807577,"[1, 1]",5.0243015,"(2552, 43, 141)",1,3,"[0.35630196, 0.40521345]",1.0,"[([(2552, 38, 9203)], 1.4411483457041747, 32.80863240636481), ([(2552, 17, 818)], 1.151038701467554, 8438.759700578872), ([(2552, 24, 5812)], 0.5504308177919227, 6414.634235528255)]"
0.37012535,"[1, 1]",3.3159878,"(7221, 106, 592)",3,10,"[0.33199888, 0.40825182]",1.0,"[([(7113, 26, 1098), (7221, 26, 1098), (7113, 106, 592)], 3.4699001, 'xrule'), ([(7234, 106, 592), (7221, 31, 163), (7234, 31, 163)], 3.0306005, 'xrule'), ([(4, 2, 7113), (7221, 31, 4), (7113, 31, 4), (7113, 106, 592)], 2.7800999, 'xrule'), ([(12647, 83, 592), (7221, 25, 62), (12647, 25, 62)], 2.5341997, 'xrule'), ([(7221, 25, 62), (6517, 25, 62), (6517, 66, 592)], 1.4794998, 'xrule'), ([(7221, 28, 32)], 1.4570527729527045, 4349.811081480159), ([(7234, 25, 62), (7234, 106, 592), (7221, 25, 62)], 0.7241001, 'xrule'), ([(7166, 24, 592), (7221, 25, 62), (7166, 25, 62), (7166, 66, 592)], 0.7095003, 'xrule'), ([(7221, 26, 1960)], 0.4035678326217532, 2707.5995445576154), ([(7221, 13, 32)], -0.42325254073827967, 5195.395738698267)]"
2.2595983,"[48, 1]",6.757516,"(1477, 60, 90)",1,10,"[3.589201, 0.9299956]",24.5,"[([(1477, 6, 6074)], 0.9496465226248885, 4237.721044075316), ([(1477, 6, 1047)], 0.850673246373758, 3943.700708342194), ([(1477, 17, 215)], 0.17518667434767568, 2629.543684989962), ([(2147, 60, 90), (2147, 66, 3885), (1477, 66, 3885)], -0.25559998, 'xrule'), ([(1477, 43, 141), (9501, 43, 141), (9501, 60, 90)], -0.5567999, 'xrule'), ([(1477, 43, 141), (2575, 43, 141), (2575, 60, 90)], -1.4717999, 'xrule'), ([(2575, 17, 215), (1477, 17, 215), (2575, 60, 90)], -1.5091, 'xrule'), ([(1477, 43, 141), (2147, 60, 90), (2147, 43, 141)], -1.7109995, 'xrule'), ([(2147, 60, 90), (2147, 17, 215), (1477, 17, 215)], -2.1446, 'xrule'), ([(1477, 43, 141), (11983, 43, 141), (11983, 60, 90)], -2.6420994, 'xrule')]"
6.227436,"[1, 1]",11.303192,"(10456, 25, 62)",1,13,"[6.1300697, 6.3248024]",1.0,"[([(6437, 25, 62), (6437, 83, 4358), (4358, 15, 10456)], 1.9230003, 'xrule'), ([(13139, 154, 2620), (13139, 25, 62), (10456, 154, 2620)], 1.1372004, 'xrule'), ([(9378, 25, 62), (9378, 154, 2620), (10456, 154, 2620)], 0.8779001, 'xrule'), ([(6550, 226, 10456)], 0.44147495651312135, -0.3913895828110515), ([(4358, 15, 10456)], -0.025588949230784645, -1.5063968982627816), ([(10456, 154, 2620)], -0.2576775144397335, -0.5640652979434319), ([(11558, 154, 2620), (11558, 25, 62), (10456, 154, 2620)], -0.43989944, 'xrule'), ([(13392, 25, 62), (13392, 154, 2620), (10456, 154, 2620)], -0.6605997, 'xrule'), ([(1207, 66, 4358), (1207, 25, 62), (4358, 15, 10456)], -0.80289936, 'xrule'), ([(6098, 13, 4358), (6098, 25, 62), (4358, 15, 10456)], -1.0623999, 'xrule'), ([(13091, 25, 62), (13091, 154, 2620), (10456, 154, 2620)], -2.1091995, 'xrule'), ([(10958, 25, 62), (10958, 154, 2620), (10456, 154, 2620)], -2.1306992, 'xrule'), ([(1586, 154, 2620), (1586, 25, 62), (10456, 154, 2620)], -2.4197998, 'xrule')]"
0.42154458,"[1, 1]",6.0524263,"(848, 17, 862)",2,3,"[0.2659946, 0.57709455]",1.0,"[([(848, 164, 417)], 0.061123887990663296, 47.515276206135454), ([(2053, 77, 848)], -0.29396625249042935, 22.427033131264544), ([(848, 19, 3250)], -0.7899379264178631, 71.31218198796718)]"
0.2047647,"[1, 1]",3.5137227,"(4583, 11, 23)",1,13,"[0.19674955, 0.21277985]",1.0,"[([(1888, 11, 23), (4583, 26, 1098), (1888, 26, 1098)], 1.1980991, 'xrule'), ([(8398, 31, 4), (8398, 11, 23), (4, 2, 4583), (4583, 31, 4)], 0.6193991, 'xrule'), ([(2711, 26, 1881), (4583, 26, 1881), (2711, 11, 23)], 0.45769978, 'xrule'), ([(1193, 6, 4583)], 0.24391750583728203, 6623.560678819973), ([(10343, 6, 4583)], 0.18581203682438882, 1548.5463198055613), ([(4, 2, 4583)], 0.09629062849742984, 8240.524054064437), ([(1507, 26, 1098), (4583, 26, 1098), (1507, 11, 23)], -0.56530094, 'xrule'), ([(2711, 11, 23), (4, 2, 4583), (4583, 31, 4), (2711, 31, 4)], -1.4822006, 'xrule'), ([(6924, 31, 4), (4, 2, 6924), (4583, 31, 4), (6924, 11, 23), (4, 2, 4583)], -1.8256006, 'xrule'), ([(4, 2, 4583), (8389, 31, 4), (8389, 11, 23), (4583, 31, 4)], -2.2349005, 'xrule'), ([(4, 2, 12120), (12120, 11, 23), (4583, 31, 4), (4, 2, 4583), (12120, 31, 4)], -2.6006002, 'xrule'), ([(6924, 11, 23), (4797, 59, 4583), (4797, 59, 6924)], -2.8946009, 'xrule'), ([(4, 2, 4583), (1507, 31, 4), (1507, 11, 23), (4583, 31, 4)], -2.9081001, 'xrule')]"
2.4316669,"[1, 3]",4.4272175,"(5481, 95, 521)",7,11,"[2.3460975, 2.5172362]",2.0,"[([(12569, 79, 2519), (2519, 61, 521), (5481, 96, 12569)], 3.3561, 'xrule'), ([(5481, 142, 4301), (4301, 130, 2172), (2172, 142, 4301), (4301, 130, 5481), (2172, 95, 521)], 3.0720997, 'xrule'), ([(1674, 61, 521), (5481, 68, 1674)], 2.6903, 'xrule'), ([(5481, 96, 8261), (2172, 95, 521), (2172, 96, 8261)], 2.0360994, 'xrule'), ([(2172, 95, 521), (2172, 96, 12569), (5481, 96, 12569)], 1.9668999, 'xrule'), ([(6568, 130, 2172), (6568, 130, 5481), (2172, 95, 521), (5481, 142, 6568), (2172, 142, 6568)], 1.7166996, 'xrule'), ([(4478, 130, 5481)], 1.4212642354363643, 5476.805536522137), ([(5481, 96, 8305)], 1.1910691821133015, 8757.766932222054), ([(2172, 95, 521), (2172, 80, 4564), (5481, 80, 4564)], 1.0553999, 'xrule'), ([(5481, 96, 12569)], 0.5403409434226871, 7916.631891716298), ([(5480, 130, 5481), (2172, 142, 5480), (5481, 142, 5480), (2172, 95, 521), (5480, 130, 2172)], 0.37669945, 'xrule')]"
0.216862,"[5, 4]",2.5623288,"(8913, 13, 4474)",2,3,"[0.27402663, 0.15969735]",4.5,"[([(8913, 13, 382)], -0.35460754080144674, 5268.412265542148), ([(8913, 13, 4468)], -0.9406685334004125, 7373.280765311735), ([(8913, 11, 23)], -1.513967446418891, 2165.180351551932)]"
0.49289173,"[1, 1]",5.5365562,"(3196, 11, 23)",4,14,"[0.46700993, 0.51877356]",1.0,"[([(5905, 13, 637), (3196, 28, 637), (5905, 11, 23)], 1.8077002, 'xrule'), ([(3196, 26, 1098), (11133, 26, 1098), (11133, 11, 23)], 1.3219004, 'xrule'), ([(7412, 13, 637), (7412, 11, 23), (7412, 90, 23), (3196, 28, 637)], 1.2791004, 'xrule'), ([(8165, 11, 23), (3196, 26, 1098), (8165, 26, 1098)], 1.2616997, 'xrule'), ([(3196, 13, 1682), (5905, 13, 1682), (5905, 11, 23)], 0.98550034, 'xrule'), ([(3196, 14, 160), (5905, 14, 160), (5905, 11, 23)], 0.7304001, 'xrule'), ([(3196, 14, 160), (3727, 11, 23), (3727, 14, 160)], 0.5562, 'xrule'), ([(3196, 26, 1098), (4084, 26, 1098), (4084, 11, 23)], 0.14729977, 'xrule'), ([(3196, 14, 160), (8165, 11, 23), (8165, 14, 160)], 0.0041999817, 'xrule'), ([(1011, 11, 23), (3196, 26, 1098), (1011, 26, 1098), (1011, 90, 23)], -0.32390022, 'xrule'), ([(3196, 14, 160), (11133, 14, 160), (11133, 11, 23)], -0.7510004, 'xrule'), ([(3196, 13, 293)], -1.0614852381295052, 13064.257025716079), ([(3196, 14, 160)], -2.4314039792089277, 8218.080809109646), ([(3196, 106, 592)], -3.0561354214448158, 1410.0449533176982)]"
0.8410939,"[8, 9]",9.786621,"(2181, 17, 818)",60,13,"[0.9333962, 0.74879164]",8.5,"[([(1964, 17, 818), (1964, 17, 393), (2181, 17, 393)], 0.9264002, 'xrule'), ([(4112, 17, 818), (4112, 43, 141), (2181, 43, 141)], 0.8178005, 'xrule'), ([(2181, 17, 215)], 0.7910519112360446, 166.68805714167956), ([(2181, 85, 434)], 0.1396036550084046, 1218.5348443314854), ([(2181, 85, 434), (2236, 85, 434), (2236, 17, 818)], -0.6590996, 'xrule'), ([(2181, 17, 215), (1964, 17, 215), (1964, 17, 818)], -0.6644993, 'xrule'), ([(394, 17, 818), (394, 43, 141), (2181, 43, 141)], -0.8897991, 'xrule'), ([(2181, 17, 393)], -1.006496378437809, 745.2676660646848), ([(4112, 85, 434), (2181, 85, 434), (4112, 17, 818)], -1.1945992, 'xrule'), ([(2181, 17, 215), (4112, 17, 818), (4112, 17, 215)], -1.3501997, 'xrule'), ([(1964, 43, 141), (2181, 43, 141), (1964, 17, 818)], -1.4147997, 'xrule'), ([(2181, 17, 215), (2236, 17, 215), (2236, 17, 818)], -2.4568996, 'xrule'), ([(394, 17, 393), (394, 17, 818), (2181, 17, 393)], -3.4075994, 'xrule')]"
4.060067,"[35, 9]",6.379358,"(12232, 33, 90)",1,13,"[3.8692484, 4.2508855]",22.0,"[([(10340, 34, 90), (10340, 28, 32), (32, 87, 12232)], 4.1203995, 'xrule'), ([(11950, 58, 12232)], 3.6801037189093972, 3259.975400050429), ([(12232, 58, 11984)], 2.508978033748612, 1854.9247688117032), ([(12120, 34, 90), (12120, 28, 32), (32, 87, 12232), (12120, 13, 32)], 2.3083992, 'xrule'), ([(32, 15, 2595), (2595, 128, 90), (2595, 166, 90), (32, 87, 12232), (2595, 108, 90)], 2.1084995, 'xrule'), ([(32, 87, 12232), (32, 15, 8308), (8308, 166, 90)], 1.6751995, 'xrule'), ([(10779, 33, 90), (32, 87, 10779), (32, 87, 12232)], 1.6366997, 'xrule'), ([(719, 34, 90), (719, 28, 32), (32, 87, 12232), (719, 13, 32)], 1.5126991, 'xrule'), ([(10779, 120, 791), (10779, 33, 90), (12232, 120, 791)], 1.4681997, 'xrule'), ([(3278, 48, 32), (32, 87, 12232), (3278, 60, 90)], 1.1744995, 'xrule'), ([(12232, 120, 791)], 1.120782429275499, 879.7541338102006), ([(188, 28, 32), (32, 87, 12232), (188, 34, 90)], 1.0243998, 'xrule'), ([(6323, 166, 90), (32, 15, 6323), (32, 87, 12232), (6323, 128, 90)], 0.31159973, 'xrule')]"
1.1106241,"[1, 1]",2.8489885,"(9329, 172, 2759)",1,13,"[1.2362456, 0.9850025]",1.0,"[([(636, 38, 9329)], 2.466315408084619, 11575.921746398033), ([(9329, 14, 160)], 1.2668085681506513, 8079.780195927944), ([(1897, 172, 2759), (220, 59, 1897), (220, 59, 9329)], 1.1120996, 'xrule'), ([(9329, 30, 467)], 1.0726738502646396, 11837.745105065565), ([(1121, 7, 9329), (5824, 172, 2759), (9329, 30, 1121), (1121, 7, 5824)], 0.41289997, 'xrule'), ([(1121, 7, 9329), (9711, 172, 2759), (9329, 30, 1121), (1121, 7, 9711)], 0.13099957, 'xrule'), ([(1121, 7, 9329), (1833, 172, 2759), (9329, 30, 1121), (1121, 7, 1833)], -0.1729002, 'xrule'), ([(2670, 14, 160), (9329, 14, 160), (2670, 172, 2759)], -0.7602997, 'xrule'), ([(1833, 14, 160), (1833, 172, 2759), (9329, 14, 160)], -1.0165997, 'xrule'), ([(1121, 7, 9329), (1897, 172, 2759), (1121, 7, 1897), (1897, 30, 1121), (9329, 30, 1121)], -1.3288002, 'xrule'), ([(2670, 30, 1060), (1060, 7, 9329), (2670, 172, 2759)], -1.6491003, 'xrule'), ([(5824, 172, 2759), (9329, 14, 160), (5824, 14, 160)], -1.6796999, 'xrule'), ([(9711, 172, 2759), (9329, 14, 160), (9711, 14, 160)], -3.4420004, 'xrule')]"
0.30905658,"[1, 1]",5.4222198,"(738, 115, 6114)",1,3,"[0.39113894, 0.2269742]",1.0,"[([(738, 30, 483)], 1.5638328296777113, 9712.826902641324), ([(483, 7, 738)], 1.4779124921580604, 11750.8142570579), ([(738, 11, 23)], -0.44658942789436434, 9068.390171955445)]"
