new_scores,prediction,exp_length,new_ranks,original_score,facts,new_score,new_rank,exp,original_rank
[5.404941],"(5844, 11, 8038)",12,[1],6.3391323,"[([(5844, 3, 40), (23703, 11, 8038), (23703, 3, 40)], -0.04339981, 'xrule'), ([(23703, 11, 8038), (23703, 3, 185), (5844, 3, 185)], -0.25339985, 'xrule'), ([(23703, 3, 75), (5844, 3, 75), (23703, 11, 8038)], -0.37559986, 'xrule'), ([(24960, 11, 8038), (5844, 3, 37), (24960, 3, 37)], -0.48639965, 'xrule'), ([(5844, 3, 276), (23703, 11, 8038), (23703, 3, 276)], -0.52789974, 'xrule')]",5.404941,1.0,"[(5844, 3, 276), (23703, 3, 185), (5844, 3, 185), (5844, 3, 40), (5844, 3, 37), (23703, 3, 40), (23703, 3, 75), (5844, 3, 75), (24960, 3, 37), (24960, 11, 8038), (23703, 11, 8038), (23703, 3, 276)]",1
[7.482272],"(6213, 11, 8038)",14,[2],7.5643873,"[([(19548, 11, 8038), (6213, 3, 2132), (19548, 3, 2132)], 0.8337002, 'xrule'), ([(6213, 3, 1839), (25070, 11, 8038), (25070, 3, 1839)], 0.54179955, 'xrule'), ([(6213, 4, 485), (14153, 4, 485), (14153, 11, 8038)], 0.5304003, 'xrule'), ([(6213, 3, 651), (25070, 3, 651), (25070, 11, 8038)], 0.52040005, 'xrule'), ([(6213, 3, 9), (16972, 3, 9), (16972, 11, 8038)], 0.41520023, 'xrule')]",7.482272,2.0,"[(14153, 4, 485), (6213, 3, 1839), (16972, 11, 8038), (25070, 3, 1839), (6213, 4, 485), (6213, 3, 9), (19548, 11, 8038), (14153, 11, 8038), (16972, 3, 9), (6213, 3, 651), (19548, 3, 2132), (6213, 3, 2132), (25070, 3, 651), (25070, 11, 8038)]",2
[5.828212],"(6246, 11, 7984)",13,[4],5.7324796,"[([(25133, 11, 7984), (6246, 3, 7), (25133, 3, 7)], 0.81949997, 'xrule'), ([(16481, 4, 66), (6246, 4, 66), (16481, 11, 7984)], 0.49030018, 'xrule'), ([(6246, 3, 40), (15964, 11, 7984), (15964, 3, 40)], 0.48589993, 'xrule'), ([(15964, 11, 7984), (15964, 3, 39), (6246, 3, 39)], 0.45250034, 'xrule'), ([(6246, 3, 6), (25133, 11, 7984), (25133, 3, 6)], 0.4286003, 'xrule')]",5.828212,4.0,"[(6246, 4, 66), (15964, 3, 39), (25133, 3, 7), (6246, 3, 40), (16481, 11, 7984), (6246, 3, 7), (25133, 3, 6), (6246, 3, 39), (16481, 4, 66), (15964, 11, 7984), (15964, 3, 40), (6246, 3, 6), (25133, 11, 7984)]",3
[6.6502533],"(6327, 12, 8676)",11,[6],7.3364105,"[([(6327, 3, 279), (19207, 12, 8676), (19207, 3, 279)], 0.2652998, 'xrule'), ([(6327, 3, 279), (25448, 12, 8676), (25448, 3, 279)], 0.25220013, 'xrule'), ([(6327, 3, 279), (22349, 12, 8676), (22349, 3, 279)], 0.25199986, 'xrule'), ([(6327, 3, 279), (15050, 3, 279), (15050, 12, 8676)], 0.25050068, 'xrule'), ([(22349, 3, 2729), (22349, 12, 8676), (6327, 3, 2729)], 0.24670029, 'xrule')]",6.6502533,6.0,"[(15050, 12, 8676), (6327, 3, 2729), (22349, 3, 2729), (22349, 12, 8676), (19207, 3, 279), (25448, 12, 8676), (25448, 3, 279), (6327, 3, 279), (15050, 3, 279), (22349, 3, 279), (19207, 12, 8676)]",2
[6.1842766],"(4978, 11, 6729)",11,[2],6.7241745,"[([(19035, 11, 6729), (4978, 3, 40), (19035, 3, 40)], 0.1473999, 'xrule'), ([(4978, 3, 40), (21394, 3, 40), (21394, 11, 6729)], 0.14389992, 'xrule'), ([(19035, 2, 172), (4978, 2, 172), (19035, 11, 6729)], 0.12479973, 'xrule'), ([(21394, 11, 6729), (4978, 1, 264), (21394, 1, 264)], 0.1225996, 'xrule'), ([(4978, 3, 40), (24192, 11, 6729), (24192, 3, 40)], 0.121899605, 'xrule')]",6.1842766,2.0,"[(19035, 2, 172), (4978, 3, 40), (4978, 1, 264), (24192, 3, 40), (19035, 3, 40), (21394, 3, 40), (21394, 1, 264), (24192, 11, 6729), (19035, 11, 6729), (21394, 11, 6729), (4978, 2, 172)]",1
[6.849907],"(7574, 12, 8644)",11,[2],8.558601,"[([(20674, 12, 8644), (7574, 3, 1148), (20674, 3, 1148)], 1.4274001, 'xrule'), ([(20674, 12, 8644), (20674, 5, 7575), (7574, 5, 7575)], 1.3997002, 'xrule'), ([(20674, 3, 7583), (20674, 12, 8644), (7574, 3, 7583)], 1.3738003, 'xrule'), ([(20674, 12, 8644), (20674, 3, 9), (7574, 3, 9)], 1.3390002, 'xrule'), ([(7574, 3, 38), (20674, 3, 38), (20674, 12, 8644)], 1.3346, 'xrule')]",6.849907,2.0,"[(7574, 3, 38), (7574, 5, 7575), (20674, 5, 7575), (7574, 3, 9), (7574, 3, 1148), (20674, 3, 1148), (20674, 3, 7583), (7574, 3, 7583), (20674, 3, 38), (20674, 12, 8644), (20674, 3, 9)]",1
[9.004574],"(7154, 9, 8418)",11,[1],9.283322,"[([(7154, 1, 65), (23960, 9, 8418), (23960, 1, 65)], 0.14009953, 'xrule'), ([(23960, 9, 8418), (23960, 3, 111), (7154, 3, 111)], 0.1392994, 'xrule'), ([(24581, 9, 8418), (24581, 3, 111), (7154, 3, 111)], 0.12010002, 'xrule'), ([(18264, 9, 8418), (18264, 3, 111), (7154, 3, 111)], 0.118499756, 'xrule'), ([(7154, 1, 65), (24892, 9, 8418), (24892, 1, 65)], 0.11629963, 'xrule')]",9.004574,1.0,"[(23960, 3, 111), (18264, 3, 111), (24892, 9, 8418), (24581, 9, 8418), (7154, 1, 65), (23960, 1, 65), (24892, 1, 65), (23960, 9, 8418), (18264, 9, 8418), (24581, 3, 111), (7154, 3, 111)]",1
[3.8374739],"(7177, 12, 9510)",11,[62],6.4412184,"[([(20036, 12, 9510), (20036, 3, 9), (7177, 3, 9)], 1.3186007, 'xrule'), ([(7177, 3, 78), (20036, 12, 9510), (20036, 3, 78)], 1.3095007, 'xrule'), ([(20036, 3, 40), (7177, 3, 40), (20036, 12, 9510)], 1.2946005, 'xrule'), ([(20036, 3, 6), (7177, 3, 6), (20036, 12, 9510)], 1.2464008, 'xrule'), ([(20036, 3, 39), (7177, 3, 39), (20036, 12, 9510)], 1.2331009, 'xrule')]",3.8374739,62.0,"[(20036, 3, 39), (20036, 12, 9510), (7177, 3, 40), (20036, 3, 6), (20036, 3, 9), (7177, 3, 78), (7177, 3, 39), (20036, 3, 40), (7177, 3, 6), (7177, 3, 9), (20036, 3, 78)]",2
[9.81909],"(6219, 9, 7790)",13,[1],9.5396805,"[([(6219, 3, 100), (20237, 9, 7790), (20237, 3, 100)], 0.09589958, 'xrule'), ([(21168, 3, 2558), (6219, 3, 2558), (21168, 9, 7790)], 0.09299946, 'xrule'), ([(6219, 3, 100), (20150, 3, 100), (20150, 9, 7790)], 0.092199326, 'xrule'), ([(6219, 3, 100), (24128, 3, 100), (24128, 9, 7790)], 0.09089947, 'xrule'), ([(20369, 9, 7790), (6219, 3, 33), (20369, 3, 33)], 0.08899975, 'xrule')]",9.81909,1.0,"[(6219, 3, 2558), (20369, 3, 33), (20237, 3, 100), (24128, 9, 7790), (20237, 9, 7790), (20150, 3, 100), (20150, 9, 7790), (20369, 9, 7790), (21168, 3, 2558), (6219, 3, 33), (24128, 3, 100), (6219, 3, 100), (21168, 9, 7790)]",1
[7.0975447],"(6105, 9, 8339)",10,[1],8.565611,"[([(14301, 9, 8339), (14301, 3, 506), (6105, 3, 506)], 0.2038002, 'xrule'), ([(14301, 9, 8339), (14301, 3, 747), (6105, 3, 747)], 0.1953001, 'xrule'), ([(22633, 9, 8339), (6105, 3, 506), (22633, 3, 506)], 0.19029999, 'xrule'), ([(22633, 9, 8339), (6105, 3, 747), (22633, 3, 747)], 0.18440056, 'xrule'), ([(14301, 9, 8339), (14301, 1, 65), (6105, 1, 65)], 0.17990017, 'xrule')]",7.0975447,1.0,"[(6105, 3, 747), (14301, 3, 506), (6105, 1, 65), (14301, 9, 8339), (14301, 3, 747), (22633, 9, 8339), (14301, 1, 65), (22633, 3, 747), (22633, 3, 506), (6105, 3, 506)]",1
[6.0382185],"(5334, 11, 6729)",11,[2],6.271142,"[([(23138, 11, 6729), (5334, 3, 40), (23138, 3, 40)], 0.22450066, 'xrule'), ([(18403, 11, 6729), (5334, 3, 40), (18403, 3, 40)], 0.19720078, 'xrule'), ([(20195, 11, 6729), (20195, 3, 40), (5334, 3, 40)], 0.19000053, 'xrule'), ([(20195, 11, 6729), (5334, 3, 149), (20195, 3, 149)], 0.18190002, 'xrule'), ([(5334, 3, 40), (11908, 11, 6729), (11908, 3, 40)], 0.15920067, 'xrule')]",6.0382185,2.0,"[(18403, 11, 6729), (11908, 3, 40), (18403, 3, 40), (23138, 11, 6729), (20195, 3, 40), (11908, 11, 6729), (20195, 3, 149), (23138, 3, 40), (20195, 11, 6729), (5334, 3, 40), (5334, 3, 149)]",1
[6.086586],"(6812, 11, 7869)",14,[1],6.495025,"[([(6812, 3, 10), (9782, 3, 10), (9782, 11, 7869)], 0.40600014, 'xrule'), ([(21889, 11, 7869), (6812, 3, 7), (21889, 3, 7)], 0.3845005, 'xrule'), ([(16648, 11, 7869), (6812, 3, 174), (16648, 3, 174)], 0.29540062, 'xrule'), ([(6812, 2, 709), (8150, 11, 7869), (8150, 2, 709)], 0.27840042, 'xrule'), ([(16072, 3, 7), (6812, 3, 7), (16072, 11, 7869)], 0.27590084, 'xrule')]",6.086586,1.0,"[(6812, 2, 709), (9782, 11, 7869), (8150, 11, 7869), (6812, 3, 7), (21889, 3, 7), (16648, 11, 7869), (16648, 3, 174), (6812, 3, 10), (6812, 3, 174), (21889, 11, 7869), (16072, 3, 7), (16072, 11, 7869), (9782, 3, 10), (8150, 2, 709)]",1
[5.820608],"(5696, 11, 7984)",14,[1],6.2951746,"[([(23697, 11, 7984), (5696, 3, 6), (23697, 3, 6)], 1.2691002, 'xrule'), ([(5696, 2, 31), (24893, 2, 31), (24893, 11, 7984)], 1.0823002, 'xrule'), ([(5696, 2, 31), (16982, 2, 31), (16982, 11, 7984)], 1.0236006, 'xrule'), ([(5696, 3, 78), (12878, 11, 7984), (12878, 3, 78)], 1.0071001, 'xrule'), ([(14520, 11, 7984), (5696, 3, 5654), (14520, 3, 5654)], 0.9727001, 'xrule')]",5.820608,1.0,"[(5696, 3, 78), (12878, 11, 7984), (23697, 3, 6), (16982, 11, 7984), (5696, 3, 5654), (16982, 2, 31), (14520, 3, 5654), (23697, 11, 7984), (5696, 3, 6), (5696, 2, 31), (24893, 11, 7984), (14520, 11, 7984), (24893, 2, 31), (12878, 3, 78)]",1
[6.77344],"(5380, 11, 8038)",13,[1],6.7899523,"[([(5380, 3, 10), (12402, 11, 8038), (12402, 3, 10)], 0.6594, 'xrule'), ([(9668, 11, 8038), (5380, 4, 66), (9668, 4, 66)], 0.60499954, 'xrule'), ([(5380, 3, 10), (8092, 3, 10), (8092, 11, 8038)], 0.53569984, 'xrule'), ([(14665, 11, 8038), (5380, 3, 506), (14665, 3, 506)], 0.51729965, 'xrule'), ([(8092, 3, 37), (8092, 11, 8038), (5380, 3, 37)], 0.49590015, 'xrule')]",6.77344,1.0,"[(12402, 11, 8038), (8092, 3, 37), (12402, 3, 10), (14665, 3, 506), (14665, 11, 8038), (5380, 3, 506), (8092, 11, 8038), (8092, 3, 10), (5380, 3, 37), (5380, 3, 10), (9668, 11, 8038), (5380, 4, 66), (9668, 4, 66)]",1
[7.0127916],"(6848, 9, 11980)",11,[1],8.735666,"[([(6848, 3, 629), (22316, 9, 11980), (22316, 3, 629)], 0.30160046, 'xrule'), ([(6848, 3, 629), (22042, 9, 11980), (22042, 3, 629)], 0.29190063, 'xrule'), ([(6848, 3, 629), (23486, 3, 629), (23486, 9, 11980)], 0.28450012, 'xrule'), ([(6848, 3, 629), (22670, 3, 629), (22670, 9, 11980)], 0.27920055, 'xrule'), ([(6848, 3, 629), (14173, 9, 11980), (14173, 3, 629)], 0.24779987, 'xrule')]",7.0127916,1.0,"[(23486, 3, 629), (22670, 9, 11980), (23486, 9, 11980), (22042, 9, 11980), (14173, 9, 11980), (14173, 3, 629), (6848, 3, 629), (22670, 3, 629), (22316, 3, 629), (22042, 3, 629), (22316, 9, 11980)]",1
[8.530215],"(7933, 12, 8340)",11,[1],9.299835,"[([(16645, 3, 6), (16645, 12, 8340), (7933, 3, 6), (16645, 11, 8340)], 0.16740036, 'xrule'), ([(16645, 3, 40), (16645, 12, 8340), (7933, 3, 40), (16645, 11, 8340)], 0.16569996, 'xrule'), ([(7933, 3, 149), (16645, 12, 8340), (16645, 3, 149), (16645, 11, 8340)], 0.15990067, 'xrule'), ([(22137, 3, 6), (7933, 3, 6), (22137, 12, 8340)], 0.15400028, 'xrule'), ([(22137, 3, 40), (7933, 3, 40), (22137, 12, 8340)], 0.15340042, 'xrule')]",8.530215,1.0,"[(16645, 11, 8340), (16645, 3, 6), (16645, 12, 8340), (22137, 3, 6), (7933, 3, 40), (7933, 3, 149), (22137, 3, 40), (16645, 3, 40), (16645, 3, 149), (7933, 3, 6), (22137, 12, 8340)]",1
[8.683731],"(6914, 9, 7790)",11,[1],9.0881,"[([(6914, 3, 33), (24167, 3, 33), (24167, 9, 7790)], 0.21210003, 'xrule'), ([(6914, 3, 33), (22672, 3, 33), (22672, 9, 7790)], 0.20530033, 'xrule'), ([(6914, 3, 33), (22638, 3, 33), (22638, 9, 7790)], 0.20110035, 'xrule'), ([(11699, 9, 7790), (6914, 3, 33), (11699, 3, 33)], 0.18340015, 'xrule'), ([(6914, 3, 33), (12809, 3, 33), (12809, 9, 7790)], 0.1807003, 'xrule')]",8.683731,1.0,"[(6914, 3, 33), (22638, 3, 33), (12809, 3, 33), (24167, 9, 7790), (22672, 9, 7790), (11699, 9, 7790), (24167, 3, 33), (22672, 3, 33), (12809, 9, 7790), (11699, 3, 33), (22638, 9, 7790)]",1
[7.7081804],"(4870, 9, 8151)",12,[2],8.065897,"[([(20181, 2, 171), (20181, 9, 8151), (4870, 2, 171)], 0.17970085, 'xrule'), ([(15245, 2, 171), (15245, 9, 8151), (4870, 2, 171)], 0.17730045, 'xrule'), ([(24100, 9, 8151), (24100, 3, 890), (4870, 3, 890)], 0.15010071, 'xrule'), ([(4870, 2, 709), (18043, 2, 709), (18043, 9, 8151)], 0.15000057, 'xrule'), ([(15245, 3, 890), (15245, 9, 8151), (4870, 3, 890)], 0.14010048, 'xrule')]",7.7081804,2.0,"[(20181, 2, 171), (24100, 9, 8151), (20181, 9, 8151), (4870, 3, 890), (18043, 9, 8151), (4870, 2, 709), (24100, 3, 890), (18043, 2, 709), (15245, 2, 171), (15245, 3, 890), (15245, 9, 8151), (4870, 2, 171)]",1
[7.2791233],"(6054, 9, 8151)",12,[1],7.925308,"[([(20058, 9, 8151), (6054, 3, 177), (20058, 3, 177)], 0.24310017, 'xrule'), ([(19491, 9, 8151), (19491, 3, 177), (6054, 3, 177)], 0.23420048, 'xrule'), ([(25631, 9, 8151), (6054, 3, 177), (25631, 3, 177)], 0.22420025, 'xrule'), ([(6054, 3, 6), (20058, 3, 6), (20058, 9, 8151)], 0.22340012, 'xrule'), ([(6054, 4, 66), (16658, 4, 66), (16658, 9, 8151)], 0.21950054, 'xrule')]",7.2791233,1.0,"[(19491, 3, 177), (20058, 3, 6), (20058, 9, 8151), (16658, 4, 66), (19491, 9, 8151), (6054, 3, 177), (6054, 3, 6), (6054, 4, 66), (25631, 9, 8151), (16658, 9, 8151), (25631, 3, 177), (20058, 3, 177)]",1
[6.982121],"(5964, 12, 11744)",11,[1],7.914914,"[([(12809, 3, 50), (12809, 12, 11744), (5964, 3, 50)], 0.7564001, 'xrule'), ([(5964, 3, 41), (12809, 12, 11744), (12809, 3, 41)], 0.7397003, 'xrule'), ([(5964, 3, 5970), (12809, 12, 11744), (12809, 3, 5970)], 0.7343998, 'xrule'), ([(12809, 3, 37), (5964, 3, 37), (12809, 12, 11744)], 0.70860004, 'xrule'), ([(12809, 3, 40), (12809, 12, 11744), (5964, 3, 40)], 0.6998005, 'xrule')]",6.982121,1.0,"[(12809, 3, 37), (12809, 3, 50), (12809, 3, 40), (5964, 3, 41), (5964, 3, 37), (5964, 3, 50), (12809, 3, 5970), (5964, 3, 40), (5964, 3, 5970), (12809, 12, 11744), (12809, 3, 41)]",1
[5.396103],"(7426, 11, 7984)",12,[1],6.122612,"[([(22679, 11, 7984), (22679, 3, 41), (7426, 3, 41)], 0.4712, 'xrule'), ([(23891, 11, 7984), (23891, 3, 6), (7426, 3, 6)], 0.23190022, 'xrule'), ([(23891, 11, 7984), (23891, 3, 58), (7426, 3, 58)], 0.16550064, 'xrule'), ([(14222, 11, 7984), (14222, 3, 41), (7426, 3, 41)], 0.06150055, 'xrule'), ([(23891, 3, 39), (7426, 3, 39), (23891, 11, 7984)], -0.03030014, 'xrule')]",5.396103,1.0,"[(14222, 11, 7984), (23891, 3, 6), (7426, 3, 39), (7426, 3, 58), (22679, 3, 41), (23891, 11, 7984), (7426, 3, 6), (7426, 3, 41), (22679, 11, 7984), (14222, 3, 41), (23891, 3, 39), (23891, 3, 58)]",2
[7.4070067],"(7382, 9, 8339)",11,[1],8.900803,"[([(24175, 9, 8339), (24175, 2, 1662), (7382, 2, 1662)], 0.19470024, 'xrule'), ([(7382, 3, 1664), (24175, 9, 8339), (24175, 3, 1664)], 0.18860054, 'xrule'), ([(21943, 3, 506), (7382, 3, 506), (21943, 9, 8339)], 0.18360043, 'xrule'), ([(21943, 1, 65), (7382, 1, 65), (21943, 9, 8339)], 0.17560005, 'xrule'), ([(24175, 9, 8339), (7382, 3, 506), (24175, 3, 506)], 0.1739006, 'xrule')]",7.4070067,1.0,"[(21943, 9, 8339), (24175, 9, 8339), (7382, 3, 506), (7382, 1, 65), (21943, 1, 65), (24175, 3, 1664), (24175, 2, 1662), (21943, 3, 506), (7382, 3, 1664), (24175, 3, 506), (7382, 2, 1662)]",1
[6.0203524],"(5844, 11, 7992)",12,[1],6.604808,"[([(23503, 3, 9), (23503, 11, 7992), (5844, 3, 9)], 0.14120007, 'xrule'), ([(5844, 3, 479), (23503, 11, 7992), (23503, 3, 479)], -0.1566, 'xrule'), ([(23503, 3, 37), (23503, 11, 7992), (5844, 3, 37)], -0.27499962, 'xrule'), ([(5844, 4, 66), (19547, 4, 66), (19547, 11, 7992)], -0.3029995, 'xrule'), ([(23503, 3, 666), (23503, 11, 7992), (5844, 3, 666)], -0.55550003, 'xrule')]",6.0203524,1.0,"[(23503, 3, 9), (5844, 4, 66), (19547, 4, 66), (23503, 11, 7992), (5844, 3, 37), (23503, 3, 37), (5844, 3, 666), (19547, 11, 7992), (23503, 3, 666), (5844, 3, 479), (5844, 3, 9), (23503, 3, 479)]",1
[7.245859],"(6263, 11, 8038)",13,[2],7.416071,"[([(25177, 3, 346), (6263, 3, 346), (25177, 11, 8038)], 0.5566006, 'xrule'), ([(9725, 3, 2697), (6263, 3, 2697), (9725, 11, 8038)], 0.54279995, 'xrule'), ([(20230, 3, 651), (20230, 11, 8038), (6263, 3, 651)], 0.3739004, 'xrule'), ([(25177, 3, 2133), (6263, 3, 2133), (25177, 11, 8038)], 0.36970043, 'xrule'), ([(6263, 3, 40), (9725, 11, 8038), (9725, 3, 40)], 0.3238001, 'xrule')]",7.245859,2.0,"[(20230, 11, 8038), (6263, 3, 346), (25177, 11, 8038), (9725, 3, 2697), (20230, 3, 651), (6263, 3, 2133), (9725, 11, 8038), (6263, 3, 651), (25177, 3, 2133), (6263, 3, 40), (25177, 3, 346), (6263, 3, 2697), (9725, 3, 40)]",1
[8.464531],"(5920, 12, 8676)",11,[1],9.47781,"[([(23192, 3, 748), (23192, 12, 8676), (5920, 3, 748)], 0.2177, 'xrule'), ([(8674, 3, 748), (8674, 12, 8676), (5920, 3, 748)], 0.21700001, 'xrule'), ([(24810, 12, 8676), (24810, 3, 748), (5920, 3, 748)], 0.21679974, 'xrule'), ([(10403, 12, 8676), (10403, 3, 748), (5920, 3, 748)], 0.2010994, 'xrule'), ([(12065, 12, 8676), (12065, 3, 748), (5920, 3, 748)], 0.19959927, 'xrule')]",8.464531,1.0,"[(23192, 3, 748), (24810, 12, 8676), (8674, 12, 8676), (12065, 12, 8676), (10403, 12, 8676), (23192, 12, 8676), (8674, 3, 748), (24810, 3, 748), (12065, 3, 748), (10403, 3, 748), (5920, 3, 748)]",1
[6.4921284],"(6419, 9, 8339)",11,[1],6.532011,"[([(6419, 3, 506), (19523, 9, 8339), (19523, 3, 506)], 0.2585001, 'xrule'), ([(6419, 2, 728), (19523, 9, 8339), (19523, 2, 728)], 0.2357006, 'xrule'), ([(6419, 3, 7), (19523, 9, 8339), (19523, 3, 7)], 0.23360062, 'xrule'), ([(6419, 3, 40), (19523, 9, 8339), (19523, 3, 40)], 0.21790028, 'xrule'), ([(6419, 4, 66), (19523, 9, 8339), (19523, 4, 66)], 0.21730042, 'xrule')]",6.4921284,1.0,"[(19523, 3, 506), (19523, 3, 40), (19523, 4, 66), (6419, 2, 728), (19523, 3, 7), (6419, 3, 506), (6419, 3, 40), (6419, 4, 66), (19523, 2, 728), (6419, 3, 7), (19523, 9, 8339)]",1
[5.708437],"(4757, 11, 7984)",12,[2],5.4328356,"[([(17411, 11, 7984), (4757, 2, 30), (17411, 2, 30)], 0.9244003, 'xrule'), ([(17411, 11, 7984), (4757, 3, 6), (17411, 3, 6)], 0.7350998, 'xrule'), ([(4757, 2, 30), (18740, 2, 30), (18740, 11, 7984)], 0.46730042, 'xrule'), ([(23203, 3, 4768), (23203, 11, 7984), (4757, 3, 4768)], 0.46660042, 'xrule'), ([(4757, 3, 1024), (23203, 3, 1024), (23203, 11, 7984)], 0.30230045, 'xrule')]",5.708437,2.0,"[(17411, 11, 7984), (23203, 11, 7984), (17411, 3, 6), (4757, 2, 30), (18740, 2, 30), (4757, 3, 6), (23203, 3, 1024), (17411, 2, 30), (23203, 3, 4768), (4757, 3, 1024), (18740, 11, 7984), (4757, 3, 4768)]",4
[7.533774],"(7769, 12, 8626)",11,[3],8.398724,"[([(21902, 12, 8626), (7769, 3, 219), (21902, 3, 219)], 0.28779984, 'xrule'), ([(21902, 12, 8626), (7769, 3, 185), (21902, 3, 185)], 0.27460003, 'xrule'), ([(7769, 3, 10), (21902, 3, 10), (21902, 12, 8626)], 0.19820023, 'xrule'), ([(21902, 8, 7409), (7769, 8, 7409), (21902, 12, 8626)], 0.1885004, 'xrule'), ([(24248, 3, 219), (7769, 3, 219), (24248, 12, 8626)], 0.17129993, 'xrule')]",7.533774,3.0,"[(24248, 12, 8626), (7769, 3, 10), (7769, 3, 219), (21902, 3, 10), (21902, 3, 219), (21902, 8, 7409), (24248, 3, 219), (21902, 12, 8626), (7769, 3, 185), (7769, 8, 7409), (21902, 3, 185)]",1
[6.163598],"(6853, 11, 8038)",13,[2],6.491535,"[([(6853, 3, 1839), (25070, 11, 8038), (25070, 3, 1839)], 0.77149963, 'xrule'), ([(20115, 3, 651), (20115, 11, 8038), (6853, 3, 651)], 0.5599003, 'xrule'), ([(6853, 3, 1839), (22601, 3, 1839), (22601, 11, 8038)], 0.5056, 'xrule'), ([(6853, 2, 31), (8092, 11, 8038), (8092, 2, 31)], 0.4560995, 'xrule'), ([(24395, 11, 8038), (24395, 3, 651), (6853, 3, 651)], 0.38099957, 'xrule')]",6.163598,2.0,"[(24395, 11, 8038), (20115, 3, 651), (20115, 11, 8038), (24395, 3, 651), (25070, 3, 1839), (8092, 2, 31), (8092, 11, 8038), (6853, 3, 1839), (22601, 3, 1839), (6853, 2, 31), (22601, 11, 8038), (25070, 11, 8038), (6853, 3, 651)]",1
[5.789495],"(6437, 11, 8038)",12,[2],6.6256256,"[([(6437, 2, 68), (25103, 11, 8038), (25103, 2, 68)], 0.7539005, 'xrule'), ([(6437, 2, 68), (23703, 2, 68), (23703, 11, 8038)], 0.4765005, 'xrule'), ([(25103, 3, 37), (6437, 3, 37), (25103, 11, 8038)], 0.4598999, 'xrule'), ([(25103, 11, 8038), (25103, 3, 1493), (6437, 3, 1493)], 0.4403, 'xrule'), ([(17562, 11, 8038), (6437, 3, 651), (17562, 3, 651)], 0.43730068, 'xrule')]",5.789495,2.0,"[(17562, 11, 8038), (17562, 3, 651), (25103, 3, 1493), (25103, 3, 37), (6437, 2, 68), (25103, 2, 68), (23703, 2, 68), (6437, 3, 37), (6437, 3, 651), (25103, 11, 8038), (23703, 11, 8038), (6437, 3, 1493)]",1
[8.661221],"(5517, 9, 7903)",11,[1],9.563314,"[([(21822, 3, 1123), (21822, 9, 7903), (5517, 3, 1123)], 0.18910027, 'xrule'), ([(21822, 3, 1005), (21822, 9, 7903), (5517, 3, 1005)], 0.16050053, 'xrule'), ([(24266, 9, 7903), (5517, 3, 1123), (24266, 3, 1123)], 0.15490055, 'xrule'), ([(16201, 9, 7903), (5517, 3, 1123), (16201, 3, 1123)], 0.15030003, 'xrule'), ([(21822, 2, 1323), (21822, 9, 7903), (5517, 2, 1323)], 0.15009975, 'xrule')]",8.661221,1.0,"[(24266, 9, 7903), (21822, 3, 1005), (5517, 3, 1005), (16201, 3, 1123), (5517, 2, 1323), (21822, 3, 1123), (21822, 2, 1323), (5517, 3, 1123), (21822, 9, 7903), (16201, 9, 7903), (24266, 3, 1123)]",1
[6.0093117],"(5675, 11, 8038)",13,[3],7.0910316,"[([(5675, 3, 1838), (18934, 3, 1838), (18934, 11, 8038)], 0.4548006, 'xrule'), ([(18934, 3, 1493), (5675, 3, 1493), (18934, 11, 8038)], 0.42370033, 'xrule'), ([(17562, 11, 8038), (5675, 1, 1054), (17562, 1, 1054)], 0.41900063, 'xrule'), ([(18934, 3, 276), (18934, 11, 8038), (5675, 3, 276)], 0.40340042, 'xrule'), ([(5675, 2, 30), (23538, 11, 8038), (23538, 2, 30)], 0.4008007, 'xrule')]",6.0093117,3.0,"[(17562, 11, 8038), (18934, 3, 276), (5675, 2, 30), (5675, 3, 1838), (18934, 3, 1838), (23538, 11, 8038), (5675, 3, 1493), (17562, 1, 1054), (18934, 3, 1493), (23538, 2, 30), (5675, 3, 276), (5675, 1, 1054), (18934, 11, 8038)]",2
[5.3801117],"(6566, 9, 7758)",11,[1],8.5208435,"[([(15334, 9, 7758), (6566, 3, 489), (15334, 3, 489)], 0.57040024, 'xrule'), ([(15334, 9, 7758), (6566, 2, 486), (15334, 2, 486)], 0.57019997, 'xrule'), ([(15334, 9, 7758), (6566, 3, 1687), (15334, 3, 1687)], 0.5272999, 'xrule'), ([(6566, 3, 1679), (15334, 3, 1679), (15334, 9, 7758)], 0.50790024, 'xrule'), ([(15334, 9, 7758), (6566, 2, 30), (15334, 2, 30)], 0.4345007, 'xrule')]",5.3801117,1.0,"[(6566, 3, 1679), (6566, 2, 30), (6566, 2, 486), (15334, 9, 7758), (6566, 3, 489), (15334, 3, 1679), (6566, 3, 1687), (15334, 3, 489), (15334, 3, 1687), (15334, 2, 30), (15334, 2, 486)]",1
