new_scores,new_rank,facts,prediction,new_ranks,new_score,original_rank,original_score,#facts
"[7.2889943, 6.0759206]",8707.0,"[([(33638, 2, 25327), (33638, 2, 499), (8306, 2, 499)], 0.98870087, 'xrule'), ([(4781, 2, 25327), (4781, 2, 499), (8306, 2, 499)], -0.0316, 'xrule'), ([(8306, 2, 499)], -0.06036945155125171, 12.48491220908445), ([(7487, 2, 499), (7487, 2, 25327), (8306, 2, 499)], -0.19669914, 'xrule'), ([(13980, 2, 25327), (13980, 2, 499), (8306, 2, 499)], -0.3595991, 'xrule'), ([(37261, 2, 25327), (37261, 2, 499), (8306, 2, 499)], -0.5675993, 'xrule'), ([(38026, 2, 25327), (38026, 2, 499), (8306, 2, 499)], -1.2264996, 'xrule'), ([(6393, 2, 25327), (6393, 2, 499), (8306, 2, 499)], -1.9944, 'xrule')]","(8306, 2, 25327)","[4832, 12582]",6.6824574,1,1.4664829,8
"[5.280267, 5.455267]",217.0,"[([(1906, 4, 15434), (15434, 0, 184), (1906, 4, 37285)], 1.3171997, 'xrule'), ([(1906, 4, 29705), (29705, 0, 184), (1906, 4, 37285)], 1.2915993, 'xrule'), ([(1906, 4, 37285)], 0.9926758319671686, 6744.729616115155), ([(1906, 4, 28917), (28917, 0, 184), (1906, 4, 37285)], 0.42739964, 'xrule'), ([(13884, 0, 184), (1906, 4, 13884), (1906, 4, 37285)], 0.3810997, 'xrule'), ([(3819, 0, 184), (1906, 4, 3819), (1906, 4, 37285)], 0.17669964, 'xrule'), ([(1906, 4, 34625), (34625, 0, 184), (1906, 4, 37285)], -0.12250042, 'xrule'), ([(1906, 4, 22010), (22010, 0, 184), (1906, 4, 37285)], -0.3529005, 'xrule'), ([(1906, 4, 20178), (20178, 0, 184), (1906, 4, 37285)], -0.64920044, 'xrule'), ([(31412, 0, 184), (1906, 4, 31412), (1906, 4, 37285)], -0.9054003, 'xrule'), ([(1906, 4, 1988), (1988, 0, 184), (1906, 4, 37285)], -0.9387007, 'xrule')]","(37285, 0, 184)","[293, 141]",5.367767,1,1.4167567,11
"[4.6976285, 5.3365297]",18.0,"[([(2206, 2, 916), (2206, 2, 121), (30007, 2, 916)], 2.5162, 'xrule'), ([(1919, 2, 916), (1919, 2, 121), (30007, 2, 916)], 1.6055002, 'xrule'), ([(120, 2, 916), (30007, 2, 916), (120, 2, 121)], 0.9649, 'xrule'), ([(4649, 2, 121), (4649, 2, 916), (30007, 2, 916)], 0.5666008, 'xrule'), ([(1242, 2, 916), (30007, 2, 916), (1242, 2, 121)], 0.4993, 'xrule'), ([(3016, 2, 121), (3016, 2, 916), (30007, 2, 916)], 0.15350056, 'xrule'), ([(30007, 2, 916)], -0.026016195358920222, 92.49349630799031), ([(5151, 2, 121), (5151, 2, 916), (30007, 2, 916)], -0.38539982, 'xrule'), ([(4798, 2, 121), (4798, 2, 916), (30007, 2, 916)], -0.6704998, 'xrule'), ([(3306, 2, 916), (30007, 2, 916), (3306, 2, 121)], -0.85259914, 'xrule'), ([(2883, 2, 121), (30007, 2, 916), (2883, 2, 916)], -0.9359999, 'xrule'), ([(20016, 4, 30007)], -1.0637225580311889, -162.74340129805574), ([(13030, 6, 30007)], -1.157466833483792, -169.76087213061373)]","(30007, 2, 121)","[2, 34]",5.0170794,1,0.6540674,13
"[5.792753, 6.6976786]",38726.5,"[([(18612, 0, 6720), (14219, 0, 6720), (12266, 4, 14219)], 0.8182993, 'xrule'), ([(18612, 0, 6720), (13105, 4, 12266), (13105, 4, 6720)], 0.36209965, 'xrule'), ([(12266, 4, 16385)], 0.3370523864320467, -432.41652567485517), ([(12266, 4, 1862)], 0.12876323901247602, -279.46785360351925), ([(18612, 0, 6720), (10298, 0, 6720), (12266, 4, 10298)], -0.17080021, 'xrule'), ([(12266, 0, 3640)], -0.2148675514017989, -76.55351118049111), ([(6962, 0, 6720), (18612, 0, 6720), (12266, 4, 6962)], -0.6339998, 'xrule'), ([(18612, 0, 6720), (12266, 4, 9695), (9695, 0, 6720)], -1.0952005, 'xrule'), ([(18612, 0, 6720), (1862, 0, 6720), (12266, 4, 1862)], -1.6104002, 'xrule'), ([(18612, 0, 6720), (12266, 4, 12267), (12267, 0, 6720)], -1.6182003, 'xrule'), ([(18612, 0, 6720), (12266, 4, 16385), (16385, 0, 6720)], -2.8806, 'xrule')]","(12266, 4, 18612)","[38750, 38703]",6.245216,1,1.0805113,11
"[5.231883, 5.100148]",275.5,"[([(1073, 4, 31237)], 1.5116453846750786, -8077.180695085241), ([(1073, 4, 31237), (1074, 0, 2110), (1073, 4, 1074)], -0.89089966, 'xrule'), ([(1073, 4, 31237), (34048, 0, 2110), (1073, 4, 34048)], -1.4231997, 'xrule'), ([(1073, 4, 31237), (12993, 0, 2110), (1073, 4, 12993)], -3.0273, 'xrule')]","(31237, 0, 2110)","[41, 510]",5.1660156,1,1.3141148,4
"[5.353321, 5.632428]",235.0,"[([(24513, 4, 24514)], 2.3332039165830625, 1901.9115898831715), ([(17178, 4, 24513), (39700, 0, 4550), (17178, 4, 39700)], 2.1131, 'xrule'), ([(17178, 4, 24513)], 1.3030930160586152, 1347.7863550623601), ([(17178, 4, 24513), (17178, 4, 27816), (27816, 0, 4550)], 1.1192999, 'xrule'), ([(17178, 4, 24513), (17178, 4, 14360), (14360, 0, 4550)], -0.4012003, 'xrule')]","(24513, 0, 4550)","[289, 181]",5.4928746,1,1.9245131,5
"[6.439777, 4.6118336]",64.5,"[([(1513, 2, 916), (9258, 2, 121), (1513, 2, 121)], 4.4505005, 'xrule'), ([(9258, 2, 121), (19715, 2, 121), (19715, 2, 916)], 3.1043005, 'xrule'), ([(30719, 2, 916), (9258, 2, 121), (30719, 2, 121)], 2.7209005, 'xrule'), ([(9258, 2, 121), (6998, 2, 121), (6998, 2, 916)], 2.4583006, 'xrule'), ([(9258, 2, 121), (2883, 2, 121), (2883, 2, 916)], 2.3634005, 'xrule'), ([(35960, 2, 916), (9258, 2, 121), (35960, 2, 121)], 1.6543007, 'xrule'), ([(14172, 2, 121), (9258, 2, 121), (14172, 2, 916)], 1.4855003, 'xrule'), ([(9258, 2, 121), (29307, 2, 121), (29307, 2, 916)], 0.28040028, 'xrule'), ([(9258, 2, 121), (33253, 2, 121), (33253, 2, 916)], 0.19449997, 'xrule'), ([(3766, 6, 9258)], -0.001152952259837814, 173.4997117519698), ([(3306, 2, 916), (9258, 2, 121), (3306, 2, 121)], -0.4052, 'xrule'), ([(9258, 2, 121)], -0.5201205779405504, 239.3728240289591)]","(9258, 2, 916)","[105, 24]",5.5258055,1,0.6697103,12
"[5.1146555, 5.492482]",419.5,"[([(12825, 4, 32698), (32698, 0, 265), (12825, 4, 36270)], 2.7212, 'xrule'), ([(12825, 4, 16310), (16310, 0, 265), (12825, 4, 36270)], 2.3829002, 'xrule'), ([(12825, 4, 36270)], 0.18740467293258506, 289.54671451834724), ([(12825, 4, 16823), (16823, 0, 265), (12825, 4, 36270)], -0.34459972, 'xrule')]","(36270, 0, 265)","[468, 371]",5.303569,1,2.4774587,4
"[4.5176506, 4.776948]",6261.0,"[([(25916, 6, 36297)], 1.0313935795618383, -2272.262814028909), ([(25916, 6, 36297), (25917, 0, 16303), (25916, 6, 25917)], 0.2826004, 'xrule'), ([(25916, 6, 36297), (26541, 0, 16303), (25916, 6, 26541)], -0.23579979, 'xrule'), ([(25916, 6, 36297), (23605, 0, 16303), (25916, 6, 23605)], -1.1451998, 'xrule')]","(36297, 0, 16303)","[210, 12312]",4.6472993,1,2.9325104,4
"[5.6313314, 5.326909]",3941.5,"[([(1131, 4, 15734)], 3.4439319129877073, 7914.9690496511475), ([(15734, 4, 18885)], 1.6779480734655303, 3046.842632621002)]","(15734, 0, 184)","[2298, 5585]",5.4791203,1,0.7776886,2
"[6.7181015, 4.6177626]",15045.5,"[([(4747, 5, 3149), (22951, 5, 3149)], 2.5515995, 'xrule'), ([(4747, 5, 3149), (3148, 5, 3149), (3148, 0, 22951)], 1.4729996, 'xrule'), ([(24714, 5, 3149), (4747, 5, 3149), (24714, 0, 22951)], 0.7502003, 'xrule'), ([(34665, 5, 3149), (4747, 5, 3149), (34665, 0, 22951)], -0.04600048, 'xrule'), ([(35121, 0, 22951), (4747, 5, 3149), (35121, 5, 3149)], -0.9406004, 'xrule'), ([(4747, 5, 3149)], -1.0160607778910848, 776.2657954131372)]","(4747, 0, 22951)","[15121, 14970]",5.667932,1,3.1222603,6
"[4.378269, 5.3666162]",11.0,"[([(3402, 6, 18961)], 4.988336142252962, 29.993229149232935), ([(2930, 6, 18961)], 3.130199681702005, 105.95812139585479), ([(19812, 2, 7), (2930, 6, 19812), (2930, 6, 18961)], 2.3876991, 'xrule'), ([(9469, 2, 7), (2930, 6, 9469), (2930, 6, 18961)], 2.1629, 'xrule'), ([(272, 6, 18961)], 2.0664340068159093, 87.88759767073216), ([(37053, 2, 7), (2930, 6, 37053), (2930, 6, 18961)], 0.33379936, 'xrule'), ([(2931, 2, 7), (272, 6, 18961), (272, 6, 2931)], 0.32159996, 'xrule'), ([(28081, 2, 7), (272, 6, 18961), (272, 6, 28081)], 0.13000011, 'xrule'), ([(2931, 2, 7), (2930, 6, 2931), (2930, 6, 18961)], -0.3153, 'xrule'), ([(9687, 2, 7), (2930, 6, 9687), (2930, 6, 18961)], -0.5021, 'xrule'), ([(19812, 2, 7), (272, 6, 18961), (272, 6, 19812)], -1.2042999, 'xrule'), ([(22134, 2, 7), (272, 6, 18961), (272, 6, 22134)], -1.2446003, 'xrule'), ([(2930, 6, 12376), (12376, 2, 7), (2930, 6, 18961)], -1.5782003, 'xrule')]","(18961, 2, 7)","[11, 11]",4.8724427,1,0.6120101,13
"[5.59989, 4.981377]",13483.5,"[([(1038, 4, 39279), (9112, 0, 184), (1038, 4, 9112)], 1.4113998, 'xrule'), ([(1038, 4, 39279)], 0.9267540470206795, 438.7164162782435), ([(1038, 4, 39279), (6433, 0, 184), (1038, 4, 6433)], 0.9232998, 'xrule'), ([(1038, 4, 39279), (1038, 4, 9321), (9321, 0, 184)], 0.69970036, 'xrule'), ([(6598, 0, 184), (1038, 4, 39279), (1038, 4, 6598)], 0.65929985, 'xrule'), ([(1038, 4, 39279), (5267, 0, 184), (1038, 4, 5267)], 0.6430006, 'xrule'), ([(1038, 4, 6878), (1038, 4, 39279), (6878, 0, 184)], 0.4031, 'xrule'), ([(1038, 4, 39279), (2661, 0, 184), (1038, 4, 2661)], 0.15100002, 'xrule'), ([(1038, 4, 7356), (1038, 4, 39279), (7356, 0, 184)], -0.3249998, 'xrule'), ([(1038, 4, 6912), (1038, 4, 39279), (6912, 0, 184)], -0.33879948, 'xrule'), ([(1038, 4, 5292), (1038, 4, 39279), (5292, 0, 184)], -1.5775995, 'xrule'), ([(10117, 0, 184), (1038, 4, 39279), (1038, 4, 10117)], -1.9607, 'xrule')]","(39279, 0, 184)","[26775, 192]",5.2906337,1,0.8926251,12
"[5.488658, 4.62926]",12887.5,"[([(17932, 4, 17933)], 0.9029512892408843, 5887.711555605686)]","(17933, 0, 160)","[25652, 123]",5.058959,1,1.4126594,1
"[5.890195, 4.8702407]",85.0,"[([(22077, 0, 3517)], 3.0603582813201466, 5.9552276123571), ([(40154, 0, 3517), (40154, 5, 6956), (22077, 0, 3517)], 1.1857996, 'xrule'), ([(31510, 0, 3517), (31510, 5, 6956), (22077, 0, 3517)], 0.67980003, 'xrule'), ([(3517, 5, 6956), (22077, 0, 3517)], -0.088900566, 'xrule'), ([(3516, 5, 6956), (3516, 0, 3517), (22077, 0, 3517)], -0.39000034, 'xrule'), ([(11959, 0, 3517), (11959, 5, 6956), (22077, 0, 3517)], -0.45020008, 'xrule'), ([(25797, 0, 3517), (25797, 5, 6956), (22077, 0, 3517)], -0.57299995, 'xrule'), ([(17475, 0, 3517), (17475, 5, 6956), (22077, 0, 3517)], -1.1871004, 'xrule'), ([(12495, 0, 3517), (12495, 5, 6956), (22077, 0, 3517)], -2.0254002, 'xrule'), ([(20087, 5, 6956), (20087, 0, 3517), (22077, 0, 3517)], -3.0200005, 'xrule'), ([(2485, 0, 3517), (2485, 5, 6956), (22077, 0, 3517)], -3.0227003, 'xrule')]","(22077, 5, 6956)","[64, 106]",5.3802176,1,1.6869034,11
"[2.0477233, 2.33397]",1.5,"[([(10506, 4, 31801)], 0.037196199375039075, 19658.509297967845), ([(10506, 4, 14076)], -0.13353057660931372, 1394.4666668597706), ([(10505, 4, 10506)], -0.7837495339388363, 1617.313512328827)]","(10506, 0, 296)","[1, 2]",2.1908467,1,0.86584294,3
"[5.3753805, 5.2148066]",51.0,"[([(2899, 6, 36018), (2899, 6, 22501), (36018, 2, 1326)], 0.9356003, 'xrule'), ([(2899, 6, 22501), (15046, 2, 1326), (2899, 6, 15046)], 0.8785, 'xrule'), ([(2899, 6, 22501)], 0.49788383925146645, 211.6219618868422), ([(2899, 6, 22501), (2900, 2, 1326), (2899, 6, 2900)], 0.32829952, 'xrule'), ([(24664, 2, 1326), (2899, 6, 22501), (2899, 6, 24664)], -0.020500183, 'xrule'), ([(2899, 6, 22501), (2899, 6, 33533), (33533, 2, 1326)], -1.6618004, 'xrule'), ([(2899, 6, 33284), (2899, 6, 22501), (33284, 2, 1326)], -2.2364006, 'xrule'), ([(2899, 6, 20458), (2899, 6, 22501), (20458, 2, 1326)], -2.4786005, 'xrule')]","(22501, 2, 1326)","[12, 90]",5.2950935,1,1.6838268,8
"[5.6464634, 4.8874636]",2854.5,"[([(3239, 4, 33666), (5942, 0, 278), (3239, 4, 5942)], 1.7068996, 'xrule'), ([(3239, 4, 33666), (8342, 0, 278), (3239, 4, 8342)], 1.0502005, 'xrule'), ([(3239, 4, 33666), (3239, 4, 4703), (4703, 0, 278)], 0.47630024, 'xrule'), ([(17896, 0, 278), (3239, 4, 33666), (3239, 4, 17896)], 0.3241005, 'xrule'), ([(3239, 4, 33666)], -0.03845687677985546, 3488.4903869555237), ([(3239, 4, 33666), (3239, 4, 15700), (15700, 0, 278)], -0.33139992, 'xrule'), ([(3239, 4, 16014), (3239, 4, 33666), (16014, 0, 278)], -0.68410015, 'xrule'), ([(3239, 4, 33666), (3239, 4, 1193), (1193, 0, 278)], -0.73209953, 'xrule'), ([(3239, 4, 33666), (19323, 0, 278), (3239, 4, 19323)], -0.74870014, 'xrule'), ([(3239, 4, 33666), (3239, 4, 18452), (18452, 0, 278)], -2.0263996, 'xrule'), ([(3239, 4, 33666), (8391, 0, 278), (3239, 4, 8391)], -2.3767996, 'xrule')]","(33666, 0, 278)","[5513, 196]",5.2669635,1,1.3730358,11
"[5.171981, 5.1678743]",2616.5,"[([(34851, 0, 4448), (31737, 0, 4448), (34851, 0, 16660)], 1.3516006, 'xrule'), ([(14227, 0, 16660), (31737, 0, 4448), (14227, 0, 4448)], 1.2081003, 'xrule'), ([(4447, 0, 4448), (31737, 0, 4448), (4447, 0, 16660)], 0.28820038, 'xrule'), ([(31737, 0, 4448)], 0.17558483342494208, 40.543783768161276), ([(20439, 0, 16660), (31737, 0, 4448), (20439, 0, 4448)], 0.09360027, 'xrule'), ([(31737, 0, 4448), (22475, 0, 16660), (22475, 0, 4448)], -0.2081995, 'xrule'), ([(31985, 0, 16660), (31737, 0, 4448), (31985, 0, 4448)], -0.47289944, 'xrule'), ([(13469, 0, 4448), (31737, 0, 4448), (13469, 0, 16660)], -1.0200996, 'xrule')]","(31737, 0, 16660)","[64, 5169]",5.1699276,1,1.8926018,8
"[5.4050484, 5.659688]",2730.5,"[([(13520, 4, 13521)], 1.5169468603425889, 2451.820088440194), ([(13520, 4, 13521), (13520, 4, 31693), (31693, 0, 427)], 1.3015995, 'xrule')]","(13521, 0, 427)","[5321, 140]",5.532368,1,1.5232298,2
"[4.7021303, 4.9408884]",462.5,"[([(12815, 4, 16507), (12815, 4, 9392), (9392, 0, 184)], 2.0519, 'xrule'), ([(27991, 0, 184), (12815, 4, 16507), (12815, 4, 27991)], 0.86889935, 'xrule'), ([(12815, 4, 16507)], 0.86791234049729, -3657.29568889612), ([(12815, 4, 16507), (12815, 4, 5900), (5900, 0, 184)], 0.8572998, 'xrule'), ([(12815, 4, 16507), (12815, 4, 20176), (20176, 0, 184)], 0.5106993, 'xrule'), ([(25807, 0, 184), (12815, 4, 16507), (12815, 4, 25807)], 0.46299934, 'xrule'), ([(12815, 4, 24478), (12815, 4, 16507), (24478, 0, 184)], 0.054499626, 'xrule'), ([(16507, 4, 37560)], -0.03965326122505088, -4522.509912026551), ([(12815, 4, 6858), (12815, 4, 16507), (6858, 0, 184)], -0.29590034, 'xrule'), ([(12815, 4, 29096), (29096, 0, 184), (12815, 4, 16507)], -0.44470024, 'xrule'), ([(12815, 4, 26693), (12815, 4, 16507), (26693, 0, 184)], -0.7218008, 'xrule'), ([(12815, 4, 18171), (18171, 0, 184), (12815, 4, 16507)], -0.7251005, 'xrule'), ([(12815, 4, 11270), (12815, 4, 16507), (11270, 0, 184)], -1.6336002, 'xrule')]","(16507, 0, 184)","[447, 478]",4.8215094,1,1.0595998,13
"[5.682777, 4.5898514]",247.5,"[([(19975, 2, 1137), (29963, 2, 1137), (19975, 5, 774)], 2.6353998, 'xrule'), ([(16671, 2, 1137), (29963, 2, 1137), (16671, 5, 774)], 1.8191996, 'xrule'), ([(22732, 2, 1137), (29963, 2, 1137), (22732, 5, 774)], 1.7119999, 'xrule'), ([(28565, 2, 1137), (29963, 2, 1137), (28565, 5, 774)], 1.5009995, 'xrule'), ([(10068, 2, 1137), (29963, 2, 1137), (10068, 5, 774)], 1.4941998, 'xrule'), ([(25704, 2, 1137), (29963, 2, 1137), (25704, 5, 774)], 1.0597, 'xrule'), ([(39696, 5, 774), (29963, 2, 1137), (39696, 2, 1137)], 1.0142002, 'xrule'), ([(21472, 5, 774), (29963, 2, 1137), (21472, 2, 1137)], 0.68239975, 'xrule'), ([(29963, 2, 1137)], 0.4520559731793301, -291.388872061349), ([(24912, 5, 774), (29963, 2, 1137), (24912, 2, 1137)], 0.29909992, 'xrule'), ([(15789, 5, 774), (29963, 2, 1137), (15789, 2, 1137)], 0.16349983, 'xrule'), ([(1914, 8, 29963)], -0.48572726779156095, -60.619099380546324)]","(29963, 5, 774)","[487, 8]",5.1363144,1,1.4715588,12
"[5.5704417, 4.9434114]",35533.0,"[([(2173, 6, 25880)], 1.3867750793325515, 29441.80007689382), ([(12458, 6, 2173)], 0.5047302672363805, 11276.62357030593), ([(5443, 6, 38083), (5443, 6, 25880), (2173, 6, 25880)], 0.4286003, 'xrule'), ([(5443, 6, 7021), (2173, 6, 7021), (5443, 6, 38083)], 0.3437996, 'xrule'), ([(2173, 6, 30945)], 0.16454891415611758, 16303.541044648697), ([(5443, 6, 38083), (2173, 6, 10476), (5443, 6, 10476)], -0.121899605, 'xrule'), ([(7021, 2, 121), (2173, 6, 7021), (38083, 2, 121)], -0.22710037, 'xrule'), ([(5443, 6, 38083), (2173, 6, 24005), (5443, 6, 24005)], -0.43869972, 'xrule'), ([(5443, 6, 38083), (5443, 6, 25046), (2173, 6, 25046)], -0.67700005, 'xrule'), ([(5443, 6, 38083), (2173, 6, 30945), (5443, 6, 30945)], -0.90009975, 'xrule'), ([(5443, 6, 38083), (2173, 6, 2174), (5443, 6, 2174)], -1.5518999, 'xrule'), ([(5443, 6, 10711), (2173, 6, 10711), (5443, 6, 38083)], -2.4453, 'xrule'), ([(5443, 6, 38083), (5443, 6, 22326), (2173, 6, 22326)], -2.8416004, 'xrule')]","(2173, 6, 38083)","[37588, 33478]",5.2569265,1,0.16975777,13
"[7.552717, 7.5663776]",35507.0,"[([(10444, 4, 38386)], 2.047360519022398, 25173.885680632036), ([(10444, 4, 38386), (10444, 4, 1903), (1903, 0, 1904)], -0.28100014, 'xrule'), ([(10444, 4, 38386), (10444, 4, 1904)], -1.3891001, 'xrule'), ([(10444, 4, 39173), (10444, 4, 38386), (39173, 0, 1904)], -4.2444, 'xrule')]","(38386, 0, 1904)","[35747, 35267]",7.5595474,1,3.1416736,4
"[6.042502, 7.548907]",1345.5,"[([(33711, 0, 21113), (19256, 5, 19257), (19256, 0, 21113)], 2.5979004, 'xrule'), ([(30935, 5, 19257), (33711, 5, 9528), (30935, 5, 9528)], 0.3593006, 'xrule'), ([(27098, 5, 19257), (33711, 5, 9528), (27098, 5, 9528)], 0.19649982, 'xrule'), ([(21113, 1, 9528), (21113, 5, 19257), (33711, 5, 9528), (21113, 1, 19257), (19257, 1, 21113), (21113, 5, 9528), (9528, 1, 21113)], 0.11270046, 'xrule'), ([(33711, 0, 21113)], -0.3675250593305501, 58.4091391795782), ([(33711, 5, 9528)], -0.40923114421561085, -65.60090351733362), ([(33711, 0, 21113), (36696, 0, 21113), (36696, 5, 19257)], -1.3360996, 'xrule'), ([(22365, 5, 19257), (33711, 5, 9528), (22365, 5, 9528)], -1.5508003, 'xrule'), ([(27263, 5, 9528), (33711, 5, 9528), (27263, 5, 19257)], -1.6885996, 'xrule'), ([(33711, 0, 21113), (27263, 5, 19257), (27263, 0, 21113)], -1.8724003, 'xrule'), ([(19257, 1, 21113), (33711, 0, 21113), (21113, 1, 19257), (21113, 5, 19257)], -2.3856, 'xrule')]","(33711, 5, 19257)","[477, 2214]",6.7957044,1,1.6178828,11
"[5.188931, 5.081667]",69.5,"[([(18018, 2, 121), (8244, 2, 916), (8244, 2, 121)], 3.7617006, 'xrule'), ([(18018, 2, 121), (6864, 2, 121), (6864, 2, 916)], 2.8516006, 'xrule'), ([(18018, 2, 121), (3016, 2, 121), (3016, 2, 916)], 2.1996002, 'xrule'), ([(18018, 2, 121), (6266, 2, 916), (6266, 2, 121)], 2.0696, 'xrule'), ([(18018, 2, 121), (7511, 2, 916), (7511, 2, 121)], 1.8311005, 'xrule'), ([(18018, 2, 121), (3122, 2, 916), (3122, 2, 121)], 1.1067, 'xrule'), ([(18018, 2, 121)], 0.9774771240198925, -13.273392674122334), ([(18018, 2, 121), (1242, 2, 916), (1242, 2, 121)], 0.72380066, 'xrule'), ([(18018, 2, 121), (1513, 2, 121), (1513, 2, 916)], 0.64540005, 'xrule'), ([(18018, 2, 121), (1919, 2, 916), (1919, 2, 121)], -0.14190006, 'xrule'), ([(18018, 2, 121), (4774, 2, 121), (4774, 2, 916)], -0.19589996, 'xrule')]","(18018, 2, 916)","[8, 131]",5.1352987,1,1.0748414,11
"[6.852097, 6.9955387]",28787.5,"[([(3741, 6, 29582), (26307, 6, 11977), (26307, 6, 29582)], 3.6425, 'xrule'), ([(2857, 0, 3742), (2857, 6, 11977), (3741, 0, 3742)], 3.6314993, 'xrule'), ([(11976, 0, 3742), (11976, 6, 11977), (3741, 0, 3742)], 1.0318995, 'xrule'), ([(3741, 6, 9062), (11976, 6, 9062), (11976, 6, 11977)], 0.4712, 'xrule'), ([(3741, 6, 29582)], -0.5703415437330379, -1094.638841990845), ([(18271, 1, 3741)], -1.4758920008864151, -1072.8139512997202), ([(23931, 0, 3741)], -1.6493572449468195, -1052.8388041713151)]","(3741, 6, 11977)","[36619, 20956]",6.9238176,1,1.0016706,7
"[4.8101172, 5.895198]",9485.0,"[([(9031, 0, 2687), (9031, 0, 19383), (19383, 4, 33791)], 1.1062994, 'xrule'), ([(19383, 4, 28231), (28231, 0, 2687), (19383, 4, 33791)], 1.0869999, 'xrule'), ([(19383, 4, 28466), (28466, 0, 2687), (19383, 4, 33791)], 0.9076996, 'xrule'), ([(33791, 4, 11695)], -0.4292563973378833, 22599.39430390099), ([(19383, 4, 6244), (6244, 0, 2687), (19383, 4, 33791)], -0.80529976, 'xrule'), ([(15809, 0, 2687), (19383, 4, 33791), (19383, 4, 15809)], -0.9695997, 'xrule'), ([(19382, 4, 2687), (19382, 4, 19383), (19383, 4, 33791)], -1.0550003, 'xrule'), ([(33791, 4, 36514)], -1.3156089183450732, -680.7884502272747), ([(19383, 4, 33791)], -1.8540419677491042, -7329.864600988213)]","(33791, 0, 2687)","[12797, 6173]",5.3526573,1,1.1540937,9
"[5.4055586, 4.913274]",1.5,"[([(219, 0, 220), (219, 5, 172), (36972, 0, 220)], 2.5538998, 'xrule'), ([(220, 5, 172), (36972, 0, 220)], 1.4136, 'xrule'), ([(36972, 0, 220)], 1.0735922386567773, 162.7452794498374), ([(11166, 0, 36972)], 0.5237036179441353, -160.37198662255923), ([(13177, 2, 36972)], 0.5039892622521381, -128.37660364636216), ([(3077, 0, 220), (36972, 0, 220), (3077, 5, 172)], -0.07390022, 'xrule'), ([(36972, 0, 220), (11515, 0, 220), (11515, 5, 172)], -1.5210009, 'xrule'), ([(36972, 0, 220), (13906, 5, 172), (13906, 0, 220)], -1.8406, 'xrule'), ([(21709, 0, 220), (36972, 0, 220), (21709, 5, 172)], -1.9434004, 'xrule'), ([(36972, 0, 220), (23386, 0, 220), (23386, 5, 172)], -2.4529, 'xrule')]","(36972, 5, 172)","[2, 1]",5.159416,1,4.8635826,10
"[4.887928, 5.0647993]",6606.0,"[([(18332, 4, 18333)], 0.9797945526346548, 829.7270674391945), ([(19658, 0, 1929), (18332, 4, 18333), (18332, 4, 19658)], 0.30340004, 'xrule'), ([(18333, 4, 1248)], -1.8790978515509753, -330.86750747945723)]","(18333, 0, 1929)","[12301, 911]",4.9763637,1,1.5995007,3
"[5.7999296, 4.8094864]",373.0,"[([(3408, 8, 27097)], 2.505333090103289, 906.9245148347522), ([(38312, 0, 27097)], 0.3753166613035313, -3329.407256966167), ([(24530, 0, 10241), (3408, 8, 24530), (3408, 8, 27097)], -0.9236002, 'xrule'), ([(3408, 8, 16405), (16405, 0, 10241), (3408, 8, 27097)], -1.2155008, 'xrule'), ([(27782, 0, 10241), (3408, 8, 27782), (3408, 8, 27097)], -1.7861004, 'xrule'), ([(3408, 8, 133), (133, 0, 10241), (3408, 8, 27097)], -2.0355005, 'xrule'), ([(3408, 8, 34911), (3408, 8, 27097), (34911, 0, 10241)], -2.3885002, 'xrule')]","(27097, 0, 10241)","[719, 27]",5.304708,1,2.6455247,7
"[5.2589226, 5.364722]",4879.5,"[([(2924, 4, 33324), (2924, 4, 16851), (16851, 0, 284)], 0.9982996, 'xrule'), ([(2924, 4, 33324), (8557, 0, 284), (2924, 4, 8557)], 0.3614998, 'xrule'), ([(2924, 4, 33324), (21268, 0, 284), (2924, 4, 21268)], -0.037700653, 'xrule'), ([(2924, 4, 33324), (22648, 0, 284), (2924, 4, 22648)], -0.108400345, 'xrule'), ([(2924, 4, 33324)], -0.6540174040115664, -8745.657915213578), ([(2924, 4, 33324), (2924, 4, 23718), (23718, 0, 284)], -1.0851002, 'xrule'), ([(2924, 4, 33324), (15811, 0, 284), (2924, 4, 15811)], -2.2953005, 'xrule'), ([(22837, 0, 284), (2924, 4, 33324), (2924, 4, 22837)], -2.3062, 'xrule'), ([(2924, 4, 33324), (2924, 4, 6543), (6543, 0, 284)], -2.5485, 'xrule'), ([(2924, 4, 33324), (2924, 4, 5059), (5059, 0, 284)], -3.5192003, 'xrule'), ([(2924, 4, 33324), (26529, 0, 284), (2924, 4, 26529)], -4.0453005, 'xrule')]","(33324, 0, 284)","[188, 9571]",5.311822,1,0.75780964,11
"[4.718874, 5.314849]",47.5,"[([(3188, 8, 19442)], 0.7547188264634652, 737.6802060273095), ([(19442, 5, 774)], 0.3078976087315823, 27.57637199849045)]","(19442, 2, 1137)","[20, 75]",5.0168614,1,1.2696587,2
