facts,new_rank,exp_length,prediction,new_scores,exp,new_score,original_rank,new_ranks,original_score
"[([(20963, 1, 5110), (20963, 1, 8390), (5110, 1, 20963), (8390, 1, 14834), (8390, 1, 20963)], 0.00090000004, 'xrule'), ([(1690, 1, 14834), (5111, 1, 1690), (14834, 1, 1690), (5110, 1, 5111), (5111, 1, 5110)], 0.0, 'xrule'), ([(1690, 1, 14834), (11673, 1, 1690), (14834, 1, 1690), (1690, 1, 11673), (5110, 1, 11673)], -0.00030000007, 'xrule'), ([(8389, 1, 5110), (8389, 1, 8390), (8390, 1, 14834), (8390, 1, 8389), (5110, 1, 8389)], -0.00030000007, 'xrule'), ([(1690, 1, 14834), (1690, 1, 22509), (22509, 1, 1690), (14834, 1, 1690), (22509, 1, 5110)], -0.001, 'xrule')]",5867.0,20,"(14834, 1, 5110)",[8.999905548989773e-05],"[(20963, 1, 8390), (1690, 1, 14834), (1690, 1, 11673), (8390, 1, 14834), (8390, 1, 20963), (20963, 1, 5110), (11673, 1, 1690), (1690, 1, 22509), (5110, 1, 5111), (5110, 1, 20963), (5110, 1, 11673), (8390, 1, 8389), (22509, 1, 1690), (22509, 1, 5110), (8389, 1, 8390), (5111, 1, 1690), (5111, 1, 5110), (8389, 1, 5110), (14834, 1, 1690), (5110, 1, 8389)]",8.999905548989773e-05,1,[5867],0.41509827971458435
"[([(13633, 1, 4225)], 0.1095, 'xrule')]",223.0,1,"(4225, 1, 13633)",[0.0021870846394449472],"[(13633, 1, 4225)]",0.0021870846394449472,1,[223],0.9296045303344727
"[([(34665, 5, 3149), (4747, 5, 3149), (34665, 0, 22951)], -0.09909999, 'xrule'), ([(35121, 0, 22951), (4747, 5, 3149), (35121, 5, 3149)], -0.110999994, 'xrule'), ([(4747, 5, 3149), (22951, 5, 3149)], -0.1479, 'xrule'), ([(24714, 5, 3149), (4747, 5, 3149), (24714, 0, 22951)], -0.1718, 'xrule'), ([(4747, 5, 3149), (3148, 5, 3149), (3148, 0, 22951)], -0.24800001, 'xrule')]",31376.0,10,"(4747, 0, 22951)",[1.1718499990820419e-05],"[(34665, 5, 3149), (35121, 0, 22951), (3148, 5, 3149), (24714, 5, 3149), (4747, 5, 3149), (34665, 0, 22951), (35121, 5, 3149), (22951, 5, 3149), (24714, 0, 22951), (3148, 0, 22951)]",1.1718499990820419e-05,1,[31376],0.09593500196933746
"[([(20593, 1, 25852)], 0.98759997, 'xrule'), ([(20593, 1, 20592), (20592, 6, 25852), (20592, 1, 20593)], -0.0065000057, 'xrule')]",4649.0,4,"(25852, 1, 20593)",[4.416278170538135e-05],"[(20593, 1, 20592), (20593, 1, 25852), (20592, 6, 25852), (20592, 1, 20593)]",4.416278170538135e-05,1,[4649],0.9246744513511658
"[([(18417, 1, 3453)], 0.0038, 'xrule')]",4316.0,1,"(3453, 1, 18417)",[0.00024979538284242153],"[(18417, 1, 3453)]",0.00024979538284242153,1,[4316],0.9354263544082642
"[([(33665, 1, 22848)], 0.2824, 'xrule'), ([(6889, 1, 33665), (6889, 0, 239), (33665, 1, 6889), (22848, 0, 239)], 0.1535, 'xrule')]",29823.0,5,"(22848, 1, 33665)",[1.66981881193351e-05],"[(33665, 1, 6889), (33665, 1, 22848), (6889, 1, 33665), (6889, 0, 239), (22848, 0, 239)]",1.66981881193351e-05,1,[29823],0.8634375929832458
"[([(5116, 1, 15028)], 0.0393, 'xrule'), ([(5116, 1, 9495), (15028, 1, 21701), (9495, 1, 5116), (21701, 1, 9495), (9495, 1, 21701), (21701, 1, 15028)], 0.0246, 'xrule'), ([(16314, 1, 5117), (16314, 1, 15028), (5117, 1, 5116), (5117, 1, 16314), (5116, 1, 5117)], 0.021199998, 'xrule'), ([(15527, 1, 5116), (15028, 1, 21701), (21701, 1, 15527), (15527, 1, 21701), (5116, 1, 15527), (21701, 1, 15028)], 0.019599998, 'xrule'), ([(3999, 1, 5116), (6422, 1, 15028), (5116, 1, 3999), (6422, 1, 3999), (3999, 1, 6422), (15028, 1, 6422)], 0.012799999, 'xrule')]",11634.0,22,"(15028, 1, 5116)",[5.4856038332218304e-05],"[(5116, 1, 9495), (15028, 1, 21701), (21701, 1, 9495), (5117, 1, 16314), (15028, 1, 6422), (16314, 1, 15028), (9495, 1, 21701), (5116, 1, 15028), (5116, 1, 3999), (21701, 1, 15028), (5117, 1, 5116), (9495, 1, 5116), (15527, 1, 21701), (3999, 1, 6422), (16314, 1, 5117), (15527, 1, 5116), (3999, 1, 5116), (5116, 1, 15527), (6422, 1, 15028), (21701, 1, 15527), (6422, 1, 3999), (5116, 1, 5117)]",5.4856038332218304e-05,1,[11634],0.9404630661010742
"[([(19664, 1, 6144)], 0.9759, 'xrule')]",23953.0,1,"(6144, 1, 19664)",[1.5064173567225225e-05],"[(19664, 1, 6144)]",1.5064173567225225e-05,1,[23953],0.9744139909744263
"[([(15106, 1, 15107)], 0.9877, 'xrule')]",17769.0,1,"(15107, 1, 15106)",[3.240294608986005e-05],"[(15106, 1, 15107)]",3.240294608986005e-05,1,[17769],0.9725252389907837
"[([(10360, 1, 758)], 0.4445, 'xrule')]",503.0,1,"(758, 1, 10360)",[0.0005664266063831747],"[(10360, 1, 758)]",0.0005664266063831747,1,[503],0.9631841778755188
"[([(10508, 1, 24179)], 0.51089996, 'xrule')]",629.0,1,"(24179, 1, 10508)",[0.00041658742702566087],"[(10508, 1, 24179)]",0.00041658742702566087,1,[629],0.9073452353477478
"[([(21981, 9, 9303)], 0.7891, 'xrule'), ([(9303, 1, 26071), (26071, 1, 21981), (21981, 1, 26071)], 0.20120001, 'xrule'), ([(9303, 0, 6139), (21981, 0, 6139)], -0.13560003, 'xrule')]",33035.0,6,"(9303, 9, 21981)",[5.920043349760817e-06],"[(9303, 1, 26071), (21981, 1, 26071), (21981, 0, 6139), (21981, 9, 9303), (9303, 0, 6139), (26071, 1, 21981)]",5.920043349760817e-06,1,[33035],0.9587638974189758
"[([(33711, 0, 21113), (19256, 5, 19257), (19256, 0, 21113)], 0.0, 'xrule'), ([(21113, 1, 9528), (21113, 5, 19257), (33711, 5, 9528), (21113, 1, 19257), (19257, 1, 21113), (21113, 5, 9528), (9528, 1, 21113)], 0.0, 'xrule'), ([(27098, 5, 19257), (33711, 5, 9528), (27098, 5, 9528)], 0.0, 'xrule'), ([(30935, 5, 19257), (33711, 5, 9528), (30935, 5, 9528)], 0.0, 'xrule'), ([(22365, 5, 19257), (33711, 5, 9528), (22365, 5, 9528)], 0.0, 'xrule')]",276.0,16,"(33711, 5, 19257)",[0.00013408000813797116],"[(21113, 1, 9528), (21113, 5, 19257), (21113, 1, 19257), (19256, 5, 19257), (27098, 5, 19257), (22365, 5, 9528), (33711, 0, 21113), (30935, 5, 19257), (33711, 5, 9528), (27098, 5, 9528), (22365, 5, 19257), (30935, 5, 9528), (19257, 1, 21113), (21113, 5, 9528), (9528, 1, 21113), (19256, 0, 21113)]",0.00013408000813797116,1,[276],0.28957507014274597
"[([(33545, 1, 18247)], 0.981, 'xrule')]",12836.0,1,"(18247, 1, 33545)",[4.218545291223563e-05],"[(33545, 1, 18247)]",4.218545291223563e-05,1,[12836],0.9478031992912292
"[([(20114, 6, 22561), (20114, 6, 20115), (22561, 2, 2580)], -0.00019999995, 'xrule'), ([(8813, 2, 2580), (20114, 6, 8813), (20114, 6, 20115)], -0.00029999996, 'xrule'), ([(30667, 2, 2580), (20114, 6, 20115), (20114, 6, 30667)], -0.00029999996, 'xrule'), ([(20114, 6, 4716), (20114, 6, 20115), (4716, 2, 2580)], -0.0009999999, 'xrule'), ([(39563, 2, 2580), (20114, 6, 20115), (20114, 6, 39563)], -0.0021000002, 'xrule')]",20.0,11,"(20115, 2, 2580)",[0.003467808710411191],"[(4716, 2, 2580), (20114, 6, 39563), (20114, 6, 4716), (8813, 2, 2580), (22561, 2, 2580), (30667, 2, 2580), (20114, 6, 8813), (20114, 6, 22561), (20114, 6, 20115), (20114, 6, 30667), (39563, 2, 2580)]",0.003467808710411191,1,[20],0.19860407710075378
"[([(15927, 1, 23239)], 0.60760003, 'xrule'), ([(23239, 0, 708), (708, 1, 15927), (15927, 1, 708)], 0.5418, 'xrule'), ([(15927, 0, 1786), (1786, 1, 23239), (23239, 1, 1786)], 0.3269, 'xrule')]",14032.0,7,"(23239, 1, 15927)",[4.2552524973871186e-05],"[(15927, 1, 23239), (708, 1, 15927), (15927, 1, 708), (15927, 0, 1786), (23239, 0, 708), (1786, 1, 23239), (23239, 1, 1786)]",4.2552524973871186e-05,1,[14032],0.9537962079048157
"[([(18054, 1, 13338)], 0.1353, 'xrule'), ([(35743, 5, 2060), (2060, 0, 18054), (35743, 0, 13338)], -0.018399999, 'xrule'), ([(14307, 1, 16747), (16747, 0, 18054), (16747, 1, 14307), (14307, 0, 13338)], -0.042700008, 'xrule')]",6026.0,8,"(13338, 1, 18054)",[0.00010456053132656962],"[(16747, 0, 18054), (16747, 1, 14307), (35743, 0, 13338), (2060, 0, 18054), (14307, 1, 16747), (14307, 0, 13338), (18054, 1, 13338), (35743, 5, 2060)]",0.00010456053132656962,1,[6026],0.926688015460968
"[([(17946, 1, 865)], 0.0448, 'xrule')]",24604.0,1,"(865, 1, 17946)",[2.7140540623804554e-05],"[(17946, 1, 865)]",2.7140540623804554e-05,1,[24604],0.8343851566314697
"[([(2443, 1, 12141)], 0.995, 'xrule'), ([(12141, 0, 3556), (1058, 0, 3556), (2443, 1, 1058), (1058, 1, 2443)], 0.0009999871, 'xrule')]",25351.0,5,"(12141, 1, 2443)",[6.505390047095716e-06],"[(1058, 0, 3556), (2443, 1, 1058), (1058, 1, 2443), (2443, 1, 12141), (12141, 0, 3556)]",6.505390047095716e-06,1,[25351],0.9717803597450256
"[([(6242, 1, 27198)], 0.9855, 'xrule'), ([(19791, 0, 19507), (19507, 1, 6242), (6242, 1, 19507), (19791, 9, 27198), (27198, 9, 19791)], -0.0012000203, 'xrule'), ([(19791, 9, 27198), (6242, 1, 19791), (19791, 1, 6242), (27198, 9, 19791)], -0.0013999939, 'xrule')]",40594.0,8,"(27198, 1, 6242)",[6.875201279399334e-07],"[(6242, 1, 19791), (19791, 0, 19507), (19507, 1, 6242), (19791, 9, 27198), (6242, 1, 19507), (27198, 9, 19791), (19791, 1, 6242), (6242, 1, 27198)]",6.875201279399334e-07,1,[40594],0.9874051213264465
"[([(33234, 2, 4090), (22856, 2, 2524), (22856, 2, 4090)], -0.4659, 'xrule'), ([(33234, 2, 4090), (30328, 2, 4090), (30328, 2, 2524)], -0.5704, 'xrule'), ([(33234, 2, 4090), (30693, 2, 2524), (30693, 2, 4090)], -0.6251, 'xrule'), ([(33234, 2, 4090), (24131, 2, 4090), (24131, 2, 2524)], -0.6522, 'xrule'), ([(33234, 2, 4090), (16051, 2, 4090), (16051, 2, 2524)], -0.688, 'xrule')]",7.0,11,"(33234, 2, 2524)",[0.0034243830014020205],"[(30693, 2, 4090), (24131, 2, 4090), (30693, 2, 2524), (30328, 2, 2524), (33234, 2, 4090), (16051, 2, 4090), (22856, 2, 4090), (24131, 2, 2524), (16051, 2, 2524), (22856, 2, 2524), (30328, 2, 4090)]",0.0034243830014020205,1,[7],0.04805701971054077
"[([(19427, 1, 18272)], 0.1104, 'xrule'), ([(19427, 5, 914), (170, 5, 914), (18272, 1, 170), (170, 1, 18272)], 0.075100005, 'xrule'), ([(19427, 1, 169), (18272, 1, 170), (169, 1, 170), (169, 1, 19427), (170, 1, 169), (170, 1, 18272)], 0.014399998, 'xrule'), ([(23137, 1, 19427), (19427, 1, 23137), (18272, 1, 23137), (23137, 1, 18272)], -0.326, 'xrule')]",10560.0,13,"(18272, 1, 19427)",[3.3100932341767475e-05],"[(19427, 1, 23137), (23137, 1, 19427), (169, 1, 170), (170, 5, 914), (169, 1, 19427), (170, 1, 18272), (170, 1, 169), (19427, 5, 914), (19427, 1, 169), (19427, 1, 18272), (23137, 1, 18272), (18272, 1, 23137), (18272, 1, 170)]",3.3100932341767475e-05,1,[10560],0.9453070163726807
"[([(15159, 1, 3072)], 0.4463, 'xrule')]",26.0,1,"(3072, 1, 15159)",[0.008497527800500393],"[(15159, 1, 3072)]",0.008497527800500393,1,[26],0.8955927491188049
"[([(23961, 5, 6776)], 0.8941, 'xrule')]",26621.0,1,"(23961, 0, 6776)",[1.360710939479759e-05],"[(23961, 5, 6776)]",1.360710939479759e-05,1,[26621],0.72646164894104
"[([(8643, 1, 7117)], 0.87920004, 'xrule'), ([(7118, 1, 8643), (7118, 9, 7117), (7117, 9, 7118), (8643, 1, 7118)], 0.7047, 'xrule'), ([(7049, 1, 7118), (7118, 1, 7049), (7049, 1, 7117), (7118, 1, 8643), (8643, 1, 7118)], 0.7022, 'xrule'), ([(25743, 1, 7118), (8643, 1, 7118), (7118, 1, 8643), (25743, 1, 7117), (7117, 1, 25743), (7118, 1, 25743)], -0.06739998, 'xrule')]",851.0,12,"(7117, 1, 8643)",[0.00019426149083301425],"[(8643, 1, 7117), (7117, 9, 7118), (7118, 1, 7049), (7049, 1, 7117), (7118, 1, 8643), (25743, 1, 7117), (7118, 1, 25743), (8643, 1, 7118), (25743, 1, 7118), (7049, 1, 7118), (7118, 9, 7117), (7117, 1, 25743)]",0.00019426149083301425,1,[851],0.94145667552948
"[([(5175, 1, 6813)], 0.69699997, 'xrule'), ([(32633, 0, 5176), (32633, 1, 6813), (6813, 1, 32633), (5175, 0, 5176)], 0.53999996, 'xrule'), ([(5176, 1, 6813), (5175, 0, 5176)], 0.10679996, 'xrule')]",11734.0,6,"(6813, 1, 5175)",[6.615281745325774e-05],"[(5175, 0, 5176), (32633, 0, 5176), (5175, 1, 6813), (5176, 1, 6813), (6813, 1, 32633), (32633, 1, 6813)]",6.615281745325774e-05,1,[11734],0.9172292351722717
"[([(4665, 1, 4666)], 0.5058, 'xrule')]",8635.0,1,"(4666, 1, 4665)",[0.0001101037414628081],"[(4665, 1, 4666)]",0.0001101037414628081,1,[8635],0.9331414699554443
"[([(30361, 1, 11813)], 0.2377, 'xrule')]",1845.0,1,"(11813, 1, 30361)",[0.0005071584600955248],"[(30361, 1, 11813)]",0.0005071584600955248,1,[1845],0.9786085486412048
"[([(26527, 1, 11366)], 0.3193, 'xrule'), ([(4958, 1, 11366), (4958, 1, 10271), (10271, 1, 4958), (26527, 1, 10271), (11366, 1, 4958), (10271, 1, 26527)], 0.24519998, 'xrule'), ([(10271, 1, 42), (11366, 1, 42), (42, 1, 11366), (26527, 1, 10271), (42, 1, 10271), (10271, 1, 26527)], 0.1678, 'xrule')]",10946.0,11,"(11366, 1, 26527)",[7.029595144558698e-05],"[(10271, 1, 42), (11366, 1, 42), (4958, 1, 10271), (26527, 1, 11366), (42, 1, 10271), (10271, 1, 26527), (4958, 1, 11366), (42, 1, 11366), (10271, 1, 4958), (26527, 1, 10271), (11366, 1, 4958)]",7.029595144558698e-05,1,[10946],0.8748989105224609
"[([(22618, 1, 699)], 0.9681, 'xrule')]",24167.0,1,"(699, 1, 22618)",[1.6716416212148033e-05],"[(22618, 1, 699)]",1.6716416212148033e-05,1,[24167],0.9501182436943054
"[([(12684, 1, 22584)], 0.27539998, 'xrule'), ([(12684, 1, 22585), (22585, 9, 22584), (22585, 1, 12684), (22584, 9, 22585)], 0.017699957, 'xrule')]",31216.0,5,"(22584, 1, 12684)",[9.912881068885326e-06],"[(12684, 1, 22584), (22585, 1, 12684), (22584, 9, 22585), (22585, 9, 22584), (12684, 1, 22585)]",9.912881068885326e-06,1,[31216],0.969196081161499
"[([(16506, 1, 22728)], 0.94170004, 'xrule'), ([(34810, 1, 16506), (16506, 1, 34810), (22728, 9, 34810)], -0.050300002, 'xrule')]",6974.0,4,"(22728, 1, 16506)",[1.3187197509978432e-05],"[(34810, 1, 16506), (16506, 1, 34810), (16506, 1, 22728), (22728, 9, 34810)]",1.3187197509978432e-05,1,[6974],0.978472113609314
"[([(3712, 1, 28826)], 0.8219, 'xrule'), ([(3712, 1, 10001), (6595, 1, 28826), (10001, 1, 3712), (6595, 1, 10001), (10001, 1, 6595)], 0.14100003, 'xrule'), ([(274, 1, 14534), (14534, 1, 274), (274, 1, 28826), (3712, 1, 14534), (28826, 1, 274), (14534, 1, 3712)], -0.16799998, 'xrule'), ([(3614, 1, 3712), (3712, 1, 3614), (274, 1, 28826), (3614, 1, 274), (28826, 1, 274), (274, 1, 3614)], -0.16799998, 'xrule'), ([(3712, 1, 18299), (274, 1, 28826), (18299, 1, 3712), (274, 1, 18299), (28826, 1, 274)], -0.16819996, 'xrule')]",39942.0,19,"(28826, 1, 3712)",[1.3518614423446706e-06],"[(28826, 1, 274), (14534, 1, 274), (274, 1, 18299), (3712, 1, 14534), (14534, 1, 3712), (274, 1, 14534), (3712, 1, 3614), (3614, 1, 274), (3712, 1, 28826), (3614, 1, 3712), (10001, 1, 3712), (10001, 1, 6595), (6595, 1, 28826), (18299, 1, 3712), (274, 1, 3614), (274, 1, 28826), (3712, 1, 10001), (3712, 1, 18299), (6595, 1, 10001)]",1.3518614423446706e-06,1,[39942],0.9186691641807556
"[([(21674, 1, 4547)], 0.1591, 'xrule'), ([(4547, 1, 14510), (14509, 1, 14510), (14510, 1, 4547), (14509, 1, 21674), (21674, 1, 14509), (14510, 1, 14509)], 0.093899995, 'xrule')]",28296.0,7,"(4547, 1, 21674)",[1.1460741916380357e-05],"[(14509, 1, 14510), (21674, 1, 4547), (14509, 1, 21674), (14510, 1, 14509), (4547, 1, 14510), (14510, 1, 4547), (21674, 1, 14509)]",1.1460741916380357e-05,1,[28296],0.9718466401100159
"[([(4632, 6, 26961), (8310, 6, 26961), (4632, 6, 12531)], 0.0036, 'xrule'), ([(8310, 6, 2349), (4632, 6, 2349), (4632, 6, 12531)], 0.0033, 'xrule'), ([(4632, 6, 12531), (2724, 4, 8310), (2724, 4, 4632)], 0.0032, 'xrule'), ([(8310, 6, 2349), (2349, 2, 7), (12531, 2, 7)], 0.0030999999, 'xrule'), ([(8310, 6, 2349), (11942, 6, 2349), (11942, 6, 12531)], 0.003, 'xrule')]",12123.0,11,"(8310, 6, 12531)",[0.000106323670479469],"[(4632, 6, 2349), (2724, 4, 8310), (11942, 6, 12531), (4632, 6, 26961), (4632, 6, 12531), (2724, 4, 4632), (12531, 2, 7), (8310, 6, 2349), (2349, 2, 7), (8310, 6, 26961), (11942, 6, 2349)]",0.000106323670479469,1,[12123],0.4837391674518585
"[([(8641, 1, 19459)], 0.9761, 'xrule')]",5823.0,1,"(19459, 1, 8641)",[6.256838969420642e-05],"[(8641, 1, 19459)]",6.256838969420642e-05,1,[5823],0.974579930305481
"[([(757, 1, 17190)], 0.0139, 'xrule'), ([(17190, 1, 8831), (8831, 1, 17190), (757, 0, 758), (8831, 0, 758)], -0.226, 'xrule')]",11161.0,5,"(17190, 1, 757)",[5.8077919675270095e-05],"[(757, 1, 17190), (8831, 1, 17190), (8831, 0, 758), (757, 0, 758), (17190, 1, 8831)]",5.8077919675270095e-05,1,[11161],0.8933057188987732
"[([(28605, 1, 6067)], 0.99619997, 'xrule')]",22621.0,1,"(6067, 1, 28605)",[1.4426943380385637e-05],"[(28605, 1, 6067)]",1.4426943380385637e-05,1,[22621],0.8763036727905273
"[([(27247, 1, 3929)], 0.039199997, 'xrule'), ([(21238, 5, 7581), (21238, 0, 3929), (7581, 6, 27247)], -0.0438, 'xrule')]",4217.0,4,"(3929, 1, 27247)",[0.00028800612199120224],"[(27247, 1, 3929), (21238, 5, 7581), (21238, 0, 3929), (7581, 6, 27247)]",0.00028800612199120224,1,[4217],0.9612560868263245
"[([(7436, 1, 2887)], 0.653, 'xrule')]",947.0,1,"(2887, 1, 7436)",[0.0005460843676701188],"[(7436, 1, 2887)]",0.0005460843676701188,1,[947],0.9470379948616028
"[([(1538, 1, 8734)], 0.62549996, 'xrule'), ([(1537, 1, 25180), (25180, 0, 8734), (25180, 1, 1537), (1537, 0, 1538)], 0.4982, 'xrule'), ([(28868, 0, 8734), (28868, 1, 23323), (23323, 1, 28868), (23323, 0, 1538)], 0.2873, 'xrule'), ([(23984, 0, 1538), (8718, 0, 8734), (8718, 1, 23984), (23984, 1, 8718)], 0.24739999, 'xrule'), ([(8733, 0, 8734), (8733, 1, 23323), (23323, 0, 1538), (23323, 1, 8733)], 0.06669998, 'xrule')]",255.0,16,"(8734, 1, 1538)",[0.0009310875902883708],"[(8718, 0, 8734), (23323, 1, 28868), (1537, 0, 1538), (23323, 1, 8733), (1538, 1, 8734), (25180, 1, 1537), (28868, 0, 8734), (28868, 1, 23323), (1537, 1, 25180), (8733, 0, 8734), (23323, 0, 1538), (8718, 1, 23984), (23984, 1, 8718), (23984, 0, 1538), (25180, 0, 8734), (8733, 1, 23323)]",0.0009310875902883708,1,[255],0.9375073909759521
"[([(20700, 1, 17492)], 0.4866, 'xrule')]",2039.0,1,"(17492, 1, 20700)",[0.000273559388006106],"[(20700, 1, 17492)]",0.000273559388006106,1,[2039],0.8671815395355225
"[([(3647, 1, 3648)], 0.2824, 'xrule'), ([(8713, 1, 8714), (8713, 1, 3647), (3647, 1, 8713), (8714, 1, 8713), (3648, 1, 8714), (8714, 1, 3648)], -0.596, 'xrule'), ([(3647, 1, 11438), (8714, 1, 3648), (3648, 1, 8714), (8714, 1, 11438), (11438, 1, 8714), (11438, 1, 3647)], -0.7137, 'xrule'), ([(3647, 1, 23848), (8714, 1, 23848), (23848, 1, 3647), (3648, 1, 8714), (8714, 1, 3648)], -0.71459997, 'xrule')]",15623.0,14,"(3648, 1, 3647)",[2.549342389102094e-05],"[(3647, 1, 3648), (3647, 1, 8713), (8714, 1, 8713), (3648, 1, 8714), (8714, 1, 11438), (11438, 1, 3647), (8713, 1, 8714), (3647, 1, 11438), (3647, 1, 23848), (8714, 1, 23848), (23848, 1, 3647), (8713, 1, 3647), (11438, 1, 8714), (8714, 1, 3648)]",2.549342389102094e-05,1,[15623],0.9578153491020203
"[([(35514, 1, 15168)], 0.9438, 'xrule')]",24018.0,1,"(15168, 1, 35514)",[1.8703847672441043e-05],"[(35514, 1, 15168)]",1.8703847672441043e-05,1,[24018],0.949526846408844
"[([(637, 8, 36622), (30955, 2, 2580), (637, 8, 30955)], 0.0018000001, 'xrule'), ([(637, 8, 36622), (637, 8, 2579), (2579, 2, 2580)], 0.0013000001, 'xrule'), ([(637, 8, 36622), (637, 8, 30419), (30419, 2, 2580)], 0.0012, 'xrule'), ([(637, 8, 4503), (637, 8, 36622), (4503, 2, 2580)], 0.0011000001, 'xrule'), ([(637, 8, 36622), (20059, 2, 2580), (637, 8, 20059)], 0.0005000001, 'xrule')]",36.0,11,"(36622, 2, 2580)",[0.002001943765208125],"[(637, 8, 30419), (637, 8, 20059), (637, 8, 36622), (637, 8, 2579), (30955, 2, 2580), (20059, 2, 2580), (637, 8, 30955), (30419, 2, 2580), (4503, 2, 2580), (2579, 2, 2580), (637, 8, 4503)]",0.002001943765208125,1,[36],0.673927366733551
"[([(9780, 1, 3447)], 0.3527, 'xrule'), ([(2834, 1, 2835), (9780, 1, 2834), (2835, 1, 2834), (2835, 1, 3447), (3447, 1, 2835), (2834, 1, 9780)], 0.2251, 'xrule'), ([(9780, 1, 2834), (2834, 1, 7044), (7044, 1, 3447), (7044, 1, 2834), (3447, 1, 7044), (2834, 1, 9780)], -0.041500002, 'xrule')]",20361.0,11,"(3447, 1, 9780)",[3.21945444738958e-05],"[(2834, 1, 2835), (7044, 1, 2834), (3447, 1, 7044), (2834, 1, 9780), (9780, 1, 2834), (2834, 1, 7044), (7044, 1, 3447), (2835, 1, 2834), (9780, 1, 3447), (3447, 1, 2835), (2835, 1, 3447)]",3.21945444738958e-05,1,[20361],0.9036061763763428
"[([(3858, 1, 4697)], 0.4432, 'xrule'), ([(4697, 1, 3857), (3858, 1, 3857), (3857, 1, 3858), (3857, 1, 4697)], -0.5532, 'xrule')]",11813.0,5,"(4697, 1, 3858)",[2.8917447707499377e-05],"[(3858, 1, 3857), (4697, 1, 3857), (3857, 1, 3858), (3857, 1, 4697), (3858, 1, 4697)]",2.8917447707499377e-05,1,[11813],0.8556263446807861
"[([(34337, 1, 624)], 0.3552, 'xrule')]",26232.0,1,"(624, 1, 34337)",[2.663965460669715e-05],"[(34337, 1, 624)]",2.663965460669715e-05,1,[26232],0.9748260378837585
"[([(11642, 1, 14841)], 0.3636, 'xrule'), ([(14841, 1, 27207), (27207, 1, 14841), (11642, 0, 11643), (27207, 0, 11643)], 0.008300006, 'xrule'), ([(11642, 0, 11643), (14841, 1, 19445), (19445, 1, 14841), (19445, 0, 11643)], 9.998679e-05, 'xrule')]",21496.0,8,"(14841, 1, 11642)",[2.1593526980723254e-05],"[(27207, 1, 14841), (27207, 0, 11643), (14841, 1, 19445), (14841, 1, 27207), (11642, 0, 11643), (19445, 1, 14841), (19445, 0, 11643), (11642, 1, 14841)]",2.1593526980723254e-05,1,[21496],0.9237152934074402
