facts,exp,original_rank,new_scores,new_ranks,new_score,exp_length,new_rank,prediction,original_score
"[([(4721, 28, 32), (4721, 11, 23), (3116, 28, 32), (4721, 13, 32), (3116, 13, 32)], 0.9125004, 'xrule'), ({(3116, 13, 32)}, 0.366899531710523, 'baseline'), ({(3116, 31, 4)}, 0.2745075633572027, 'baseline'), ({(3116, 14, 160)}, 0.2662125040674376, 'baseline'), ({(1642, 32, 3116)}, 0.06852249335647048, 'baseline'), ({(467, 7, 3116)}, 0.03562835877132718, 'baseline'), ({(7999, 2, 3116)}, 0.01855758854090993, 'baseline'), ({(1250, 7, 3116)}, 0.007183114928427032, 'baseline'), ({(3116, 31, 7999)}, -0.021105726309689234, 'baseline'), ({(3116, 109, 6850)}, -0.028981168786734252, 'baseline'), ({(2558, 102, 3116)}, -0.03084464838409933, 'baseline')]","[(4721, 11, 23), (4721, 13, 32), (4721, 28, 32), (3116, 28, 32), (3116, 13, 32)]",1,[7.3855634],[1],7.3855634,5,1.0,"(3116, 11, 23)",7.8973103
"[([(3481, 13, 382), (6286, 29, 1934), (6286, 29, 382)], 0.3600998, 'xrule'), ({(3481, 13, 27)}, 0.044242898932638317, 'baseline'), ({(3481, 13, 202)}, 0.03945545381262906, 'baseline'), ({(3481, 13, 637)}, 0.03838066289099816, 'baseline'), ({(3481, 13, 449)}, 0.023226777995463962, 'baseline'), ({(3481, 13, 2282)}, 0.023127595877572186, 'baseline'), ({(3481, 13, 1080)}, 0.020342866839999595, 'baseline'), ({(3481, 13, 1361)}, 0.019412080722904127, 'baseline'), ({(3481, 14, 160)}, 0.019391099892717287, 'baseline'), ({(3481, 13, 2410)}, 0.016867677608656057, 'baseline'), ({(3481, 203, 5143)}, 0.014230768141460251, 'baseline')]","[(3481, 13, 382), (6286, 29, 1934), (6286, 29, 382)]",1,[6.450862],[1],6.450862,3,1.0,"(3481, 13, 1934)",6.271813
"[([(78, 86, 742), (78, 13, 32), (78, 28, 32), (742, 32, 78), (6848, 86, 742), (742, 32, 6848)], 0.27000046, 'xrule'), ({(6848, 86, 742)}, 0.12240795338200293, 'baseline'), ({(6848, 11, 23)}, 0.12114910324649517, 'baseline'), ({(1702, 32, 6848)}, 0.08107380104423723, 'baseline'), ({(2961, 6, 6848)}, 0.043305437075654825, 'baseline'), ({(6848, 31, 2461)}, 0.043166200593685033, 'baseline'), ({(5137, 6, 6848)}, 0.038821260425163547, 'baseline'), ({(7785, 6, 6848)}, 0.02799419586668975, 'baseline'), ({(6848, 86, 87)}, 0.019714395476225024, 'baseline'), ({(8976, 6, 6848)}, 0.008272211043901865, 'baseline'), ({(5296, 6, 6848)}, 0.0011225146718627408, 'baseline')]","[(78, 86, 742), (6848, 86, 742), (742, 32, 6848), (78, 13, 32), (742, 32, 78), (78, 28, 32)]",1,[7.0242767],[1],7.0242767,6,1.0,"(6848, 28, 32)",7.389966
"[([(9277, 25, 62), (9277, 220, 8450), (6079, 25, 62)], 0.35809994, 'xrule'), ({(6079, 25, 62)}, 0.2374096322121989, 'baseline'), ({(434, 161, 6079)}, 0.16088966578329097, 'baseline'), ({(6079, 220, 6386)}, 0.14422229973065756, 'baseline'), ({(6079, 148, 7018)}, 0.11869816025650898, 'baseline'), ({(6079, 148, 2034)}, 0.11445526319647574, 'baseline'), ({(6079, 148, 1264)}, 0.11023334700162866, 'baseline'), ({(6079, 148, 6025)}, 0.1084862156348148, 'baseline'), ({(6079, 148, 1922)}, 0.10351280409019983, 'baseline'), ({(6079, 148, 9623)}, 0.10320095259909068, 'baseline'), ({(6079, 220, 4005)}, 0.10104660228157254, 'baseline')]","[(6079, 25, 62), (9277, 220, 8450), (9277, 25, 62)]",1,[8.204809],[1],8.204809,3,1.0,"(6079, 220, 8450)",8.157777
"[([(7865, 48, 32), (4592, 48, 32), (7865, 17, 818)], 0.92129993, 'xrule'), ({(4592, 8, 7146)}, 0.001099149643902691, 'baseline'), ({(7146, 8, 4592)}, 0.0005927486050019064, 'baseline'), ({(2569, 8, 4592)}, -0.0009531574932030353, 'baseline'), ({(10076, 8, 4592)}, -0.009495695156054192, 'baseline'), ({(4592, 8, 10076)}, -0.009740312629432864, 'baseline'), ({(4592, 3, 10076)}, -0.011589010309882007, 'baseline'), ({(4592, 3, 317)}, -0.02094312479939296, 'baseline'), ({(317, 3, 4592)}, -0.022238214550909647, 'baseline'), ({(750, 8, 4592)}, -0.029213865323601672, 'baseline'), ({(4592, 3, 750)}, -0.03578182034176996, 'baseline')]","[(7865, 48, 32), (4592, 48, 32), (7865, 17, 818)]",1,[5.2432137],[1],5.2432137,3,1.0,"(4592, 17, 818)",5.790435
"[([(8007, 85, 434), (429, 43, 141), (429, 85, 434)], 1.0674005, 'xrule'), ({(8007, 85, 434)}, 0.7781534658492325, 'baseline'), ({(8007, 48, 32)}, 0.5667348341120195, 'baseline'), ({(8007, 39, 150)}, 0.1813602850988467, 'baseline'), ({(8007, 17, 2044)}, 0.05137829016338239, 'baseline'), ({(8007, 19, 1060)}, 0.006516496613777284, 'baseline'), ({(1060, 47, 8007)}, -0.039987524065191696, 'baseline'), ({(9508, 183, 8007)}, -0.047325094251764024, 'baseline'), ({(9171, 12, 8007)}, -0.05261226464090284, 'baseline'), ({(4322, 183, 8007)}, -0.05513473323073407, 'baseline'), ({(2468, 27, 8007)}, -0.07084174921026719, 'baseline')]","[(8007, 85, 434), (429, 43, 141), (429, 85, 434)]",1,[7.214759],[1],7.214759,3,1.0,"(8007, 43, 141)",7.8901253
"[({(3861, 13, 32)}, 0.08404163555850296, 'baseline'), ([(3861, 28, 32), (4648, 26, 64), (3861, 13, 32), (4648, 28, 32)], 0.083999634, 'xrule'), ({(3861, 31, 4)}, 0.07926468086585056, 'baseline'), ({(3861, 26, 990)}, 0.07557586858791898, 'baseline'), ({(3861, 28, 32)}, 0.06991485788112406, 'baseline'), ({(3861, 26, 1881)}, 0.06077770420004737, 'baseline'), ({(84, 2, 3861)}, 0.04741195866084752, 'baseline'), ({(326, 6, 3861)}, 0.026723901674929367, 'baseline'), ({(3861, 26, 1936)}, 0.02459053225330735, 'baseline'), ({(3861, 115, 747)}, 0.018192331239007643, 'baseline'), ({(268, 38, 3861)}, 0.01364807317256947, 'baseline')]","[(3861, 13, 32), (5849, 26, 64), (5849, 28, 32)]",1,[7.7105274],[1],7.7105274,3,1.0,"(3861, 26, 64)",7.833797
"[([(3224, 25, 62), (3224, 31, 2512), (9419, 25, 62)], 0.18809986, 'xrule'), ({(9419, 31, 9900)}, 0.11682991225508232, 'baseline'), ({(2300, 7, 9419)}, 0.07008556556587768, 'baseline'), ({(9419, 31, 6394)}, 0.058305303528239566, 'baseline'), ({(9419, 116, 10417)}, 0.05351070594174342, 'baseline'), ({(9419, 86, 482)}, 0.043871919577735854, 'baseline'), ({(3179, 7, 9419)}, 0.032767335862950754, 'baseline'), ({(9419, 34, 90)}, 0.03247217362260945, 'baseline'), ({(2636, 7, 9419)}, 0.024303953146073427, 'baseline'), ({(863, 7, 9419)}, 0.012491266213872533, 'baseline'), ({(14, 7, 9419)}, 0.005547563523224418, 'baseline')]","[(3224, 25, 62), (9419, 25, 62), (3224, 31, 2512)]",1,[6.246085],[2],6.246085,3,2.0,"(9419, 31, 2512)",6.3330984
"[([(4929, 13, 32), (8281, 28, 32), (8281, 11, 23)], 0.4442997, 'xrule'), ({(4929, 14, 160)}, 0.14815143794999286, 'baseline'), ({(4929, 26, 64)}, 0.11532215316326423, 'baseline'), ({(4929, 26, 1098)}, 0.10725692948394679, 'baseline'), ({(4929, 26, 342)}, 0.08969597055496076, 'baseline'), ({(4929, 106, 249)}, 0.08557800486122032, 'baseline'), ({(2250, 2, 4929)}, 0.06833366581231341, 'baseline'), ({(4929, 106, 1327)}, 0.05381969637220174, 'baseline'), ({(4239, 6, 4929)}, 0.010544816894050481, 'baseline'), ({(4929, 26, 183)}, 0.005308191252671596, 'baseline'), ({(4929, 26, 7311)}, -0.014911611600809777, 'baseline')]","[(4929, 13, 32), (8281, 28, 32), (8281, 11, 23)]",1,[8.555338],[1],8.555338,3,1.0,"(4929, 11, 23)",8.66317
"[([(4489, 62, 32), (4489, 133, 32), (4489, 205, 32), (32, 15, 4489), (4362, 48, 32), (4362, 82, 795)], 0.3593998, 'xrule'), ({(4489, 219, 90)}, 0.07817653846102045, 'baseline'), ({(4489, 154, 1437)}, 0.03810218995178628, 'baseline'), ({(786, 35, 4489)}, 0.02668670838173383, 'baseline'), ({(6653, 35, 4489)}, 0.02530578798934338, 'baseline'), ({(857, 35, 4489)}, 0.018735925597870004, 'baseline'), ({(9811, 37, 4489)}, 0.0024624271068530526, 'baseline'), ({(610, 35, 4489)}, -0.0002412396032206783, 'baseline'), ({(10009, 35, 4489)}, -0.0032367306034849345, 'baseline'), ({(4489, 58, 3373)}, -0.0076303082060098955, 'baseline'), ({(4489, 18, 8332)}, -0.04506202507978483, 'baseline')]","[(4489, 62, 32), (4489, 133, 32), (4489, 205, 32), (4362, 48, 32), (32, 15, 4489), (4362, 82, 795)]",1,[7.4510016],[1],7.4510016,6,1.0,"(4489, 18, 795)",7.114539
"[([(6957, 48, 1124), (6957, 66, 9596), (6957, 160, 9596), (10519, 48, 1124)], 0.8815994, 'xrule'), ({(10444, 76, 10519)}, 0.5733681158769947, 'baseline'), ({(10519, 48, 1124)}, 0.5720797018610407, 'baseline'), ({(10823, 20, 10519)}, 0.2403350281940817, 'baseline'), ({(1189, 20, 10519)}, 0.13330129826359416, 'baseline'), ({(10519, 43, 141)}, 0.04442791171659472, 'baseline'), ({(10519, 134, 1271)}, 0.039926092122195986, 'baseline'), ({(10519, 134, 985)}, 0.03183845704856457, 'baseline'), ({(10519, 134, 1546)}, 0.028603116927424743, 'baseline'), ({(10519, 41, 138)}, 0.002304117120070583, 'baseline'), ({(1931, 76, 10519)}, -0.004870374756930616, 'baseline')]","[(6957, 48, 1124), (6957, 160, 9596), (10519, 48, 1124), (6957, 66, 9596)]",1,[4.248116],[2],4.248116,4,2.0,"(10519, 66, 9596)",5.9763412
"[([(4793, 17, 871), (4349, 43, 384), (4793, 43, 384)], 0.8288002, 'xrule'), ({(4349, 85, 434)}, 0.318960230868171, 'baseline'), ({(4349, 110, 494)}, 0.2168693946913994, 'baseline'), ({(4649, 47, 4349)}, 0.10941604809807562, 'baseline'), ({(1081, 27, 4349)}, 0.047556917173052146, 'baseline'), ({(7948, 8, 4349)}, -0.02564330867755348, 'baseline'), ({(4349, 8, 7948)}, -0.02579875762894404, 'baseline'), ({(4349, 3, 7948)}, -0.027625997585388758, 'baseline'), ({(8652, 192, 4349)}, -0.043994863556767176, 'baseline'), ({(4349, 192, 8652)}, -0.04441257287231746, 'baseline'), ({(4349, 38, 3059)}, -0.050739248294646044, 'baseline')]","[(4793, 17, 871), (4349, 43, 384), (4793, 43, 384)]",1,[7.1396866],[1],7.1396866,3,1.0,"(4349, 17, 871)",6.9785805
"[([(6253, 25, 62), (6472, 25, 62), (6472, 31, 657)], 0.23820019, 'xrule'), ({(361, 6, 6253)}, 0.03712085912220999, 'baseline'), ({(1659, 6, 6253)}, 0.036719362233178905, 'baseline'), ({(6253, 26, 342)}, 0.03528789709204172, 'baseline'), ({(6253, 31, 4488)}, 0.0341253680593981, 'baseline'), ({(6253, 12, 3754)}, 0.03185943790624106, 'baseline'), ({(6253, 14, 2272)}, 0.023351709331334625, 'baseline'), ({(6253, 34, 90)}, 0.021774332007021804, 'baseline'), ({(6253, 31, 3823)}, 0.01919941132588084, 'baseline'), ({(4488, 2, 6253)}, 0.0152817172522854, 'baseline'), ({(11368, 6, 6253)}, 0.013114969227316598, 'baseline')]","[(6253, 25, 62), (6472, 25, 62), (6472, 31, 657)]",1,[7.002489],[1],7.002489,3,1.0,"(6253, 31, 657)",6.9195323
"[([(9564, 120, 791), (9564, 33, 90), (3809, 120, 791)], 0.65649986, 'xrule'), ({(3809, 120, 791)}, 0.596127076885883, 'baseline'), ({(3809, 25, 62)}, 0.3744349893942941, 'baseline'), ({(3809, 154, 2438)}, 0.3475542480653247, 'baseline'), ({(32, 15, 3809)}, 0.3202953748859147, 'baseline'), ({(3809, 111, 8335)}, 0.10630373199633315, 'baseline'), ({(372, 83, 3809)}, -0.008595426622764545, 'baseline'), ({(8335, 15, 3809)}, -0.046648462339379464, 'baseline'), ({(9418, 24, 3809)}, -0.06867166329362596, 'baseline'), ({(9418, 66, 3809)}, -0.07587858010574172, 'baseline'), ({(6485, 24, 3809)}, -0.08376642036210023, 'baseline')]","[(9564, 120, 791), (9564, 33, 90), (3809, 120, 791)]",1,[6.2687016],[1],6.2687016,3,1.0,"(3809, 33, 90)",6.958826
"[([(4475, 25, 62), (4475, 17, 215), (9122, 25, 62)], 0.52759933, 'xrule'), ({(9122, 17, 393)}, 0.41823772792330377, 'baseline'), ({(9122, 25, 62)}, 0.31608204176452637, 'baseline'), ({(9122, 85, 434)}, 0.19521526561057137, 'baseline'), ({(9122, 48, 32)}, 0.1740246222365082, 'baseline'), ({(9122, 43, 141)}, 0.16889099332374377, 'baseline'), ({(9122, 19, 929)}, 0.04737762637954534, 'baseline'), ({(9122, 192, 2476)}, 0.032429735120740176, 'baseline'), ({(9122, 19, 240)}, 0.02363304324352412, 'baseline'), ({(9122, 17, 862)}, -0.02197547725063776, 'baseline'), ({(5065, 8, 9122)}, -0.03223033718914142, 'baseline')]","[(9122, 25, 62), (4475, 17, 215), (4475, 25, 62)]",1,[7.329484],[1],7.329484,3,1.0,"(9122, 17, 215)",7.1839924
"[([(2465, 210, 2192), (2857, 182, 2192)], 0.06930065, 'xrule'), ({(2857, 182, 2192)}, 0.061550180411609964, 'baseline'), ({(2857, 10, 579)}, 0.056863824838753345, 'baseline'), ({(1308, 19, 2857)}, 0.040933649033726205, 'baseline'), ({(2554, 19, 2857)}, 0.024099389972455792, 'baseline'), ({(4446, 19, 2857)}, -0.0006999569768202793, 'baseline'), ({(6958, 19, 2857)}, -0.0034532146969944574, 'baseline'), ({(2857, 47, 1369)}, -0.00633998684613052, 'baseline'), ({(3995, 19, 2857)}, -0.00828166777440552, 'baseline'), ({(8836, 19, 2857)}, -0.011427839310810211, 'baseline'), ({(2857, 47, 5220)}, -0.013435323767419042, 'baseline')]","[(2465, 210, 2192), (2857, 182, 2192)]",1,[7.066487],[1],7.066487,2,1.0,"(2857, 10, 2465)",6.8358297
"[([(55, 25, 62), (55, 31, 844), (2634, 25, 62)], 0.1491003, 'xrule'), ({(2634, 30, 10464)}, 0.11053089340485624, 'baseline'), ({(2634, 31, 136)}, 0.07012657355775719, 'baseline'), ({(2634, 31, 657)}, 0.052838365533086414, 'baseline'), ({(2634, 13, 32)}, 0.04371456333034452, 'baseline'), ({(2634, 31, 5878)}, 0.03488353915388275, 'baseline'), ({(2634, 11, 23)}, 0.01982311431755875, 'baseline'), ({(2634, 147, 382)}, 0.019175569485594398, 'baseline'), ({(2634, 13, 382)}, 0.015846292472496578, 'baseline'), ({(2634, 13, 27)}, 0.00037006563898926465, 'baseline'), ({(2634, 13, 816)}, -0.0012902813544826486, 'baseline')]","[(55, 25, 62), (55, 31, 844), (2634, 25, 62)]",1,[7.041815],[1],7.041815,3,1.0,"(2634, 31, 844)",7.234824
"[([(7245, 38, 874), (874, 14, 160), (7245, 6, 874)], 1.0838995, 'xrule'), ({(1253, 71, 7245)}, 0.07222751809261249, 'baseline'), ({(7245, 6, 2440)}, 0.019056360191135668, 'baseline'), ({(7245, 6, 6278)}, 0.015123407307568846, 'baseline'), ({(7245, 6, 7148)}, 0.012588540976453488, 'baseline'), ({(7245, 6, 7190)}, 0.007310907334927527, 'baseline'), ({(7245, 6, 4354)}, 0.0015497607833012221, 'baseline'), ({(7245, 6, 7708)}, -0.0005025463753229015, 'baseline'), ({(7245, 6, 874)}, -0.010815580438037237, 'baseline'), ({(7245, 77, 8164)}, -0.01182170683946903, 'baseline'), ({(7245, 77, 9263)}, -0.01706596187523928, 'baseline')]","[(7245, 38, 874), (874, 14, 160), (7245, 6, 874)]",1,[7.8038564],[1],7.8038564,3,1.0,"(7245, 100, 160)",7.8238983
"[([(382, 15, 10569), (6276, 83, 10569), (4794, 86, 6276)], 0.2514, 'xrule'), ({(11368, 6, 4794)}, 0.2105174468961409, 'baseline'), ({(4794, 26, 64)}, 0.10715154842744223, 'baseline'), ({(4794, 11, 23)}, 0.0985384388273016, 'baseline'), ({(4794, 31, 2512)}, 0.06388143729457958, 'baseline'), ({(4794, 34, 90)}, 0.05741075704641092, 'baseline'), ({(604, 32, 4794)}, 0.011382142971077983, 'baseline'), ({(4794, 74, 7395)}, 0.009104768672086334, 'baseline'), ({(4057, 38, 4794)}, -0.010884244972325083, 'baseline'), ({(3739, 6, 4794)}, -0.01888271144444639, 'baseline'), ({(4794, 28, 32)}, -0.043961484945190366, 'baseline')]","[(382, 15, 10569), (6276, 83, 10569), (4794, 86, 6276)]",1,[5.972349],[1],5.972349,3,1.0,"(4794, 28, 382)",5.9059772
"[([(268, 32, 5115), (5115, 12, 268), (5115, 86, 268), (268, 143, 1044), (268, 38, 5115), (2316, 143, 1044)], 0.6268997, 'xrule'), ({(268, 32, 5115)}, 0.22549633260014076, 'baseline'), ({(5115, 86, 268)}, 0.18332866885026589, 'baseline'), ({(268, 38, 5115)}, 0.1233463688880193, 'baseline'), ({(5115, 12, 268)}, 0.11178306775754927, 'baseline'), ({(5115, 31, 1314)}, 0.05236248201922017, 'baseline'), ({(5115, 14, 160)}, 0.035190622270466314, 'baseline'), ({(5115, 26, 64)}, 0.03271869847755851, 'baseline'), ({(5115, 31, 136)}, 0.029138605045596795, 'baseline'), ({(5115, 26, 1098)}, 0.02819923585119377, 'baseline'), ({(5115, 34, 90)}, 0.02209095188663553, 'baseline')]","[(5115, 12, 268), (268, 38, 5115), (268, 32, 5115), (2316, 143, 1044), (268, 143, 1044), (5115, 86, 268)]",1,[6.4611607],[3],6.4611607,6,3.0,"(5115, 86, 2316)",7.1986084
"[([(8282, 48, 32), (8282, 85, 434), (12076, 48, 32)], 1.6238995, 'xrule'), ({(12076, 17, 862)}, 0.5147772262500785, 'baseline'), ({(12076, 48, 32)}, 0.3851499972251216, 'baseline'), ({(12076, 66, 540)}, 0.0901012821294218, 'baseline'), ({(12076, 21, 7233)}, 0.06690029334342824, 'baseline'), ({(12076, 6, 2125)}, 0.05055431556244961, 'baseline'), ({(12076, 19, 313)}, 0.02734569737181593, 'baseline'), ({(6055, 22, 12076)}, 0.020588914848825496, 'baseline'), ({(12076, 6, 3185)}, 0.004828493073606038, 'baseline'), ({(12076, 6, 1699)}, -0.03609176448429399, 'baseline'), ({(12076, 19, 711)}, -0.03799148372406275, 'baseline')]","[(8282, 48, 32), (8282, 85, 434), (12076, 48, 32)]",1,[8.121101],[1],8.121101,3,1.0,"(12076, 85, 434)",8.028749
"[([(3365, 12, 5038), (5038, 162, 3365), (3365, 12, 7303), (5038, 38, 3365), (7303, 162, 3365), (1081, 27, 5038)], 0.12230015, 'xrule'), ({(1081, 27, 5038)}, 0.10836319167786351, 'baseline'), ({(1081, 27, 870)}, 0.0882244510721856, 'baseline'), ({(1081, 27, 3364)}, 0.087829153081926, 'baseline'), ({(1081, 27, 4360)}, 0.08176902960283342, 'baseline'), ({(1081, 27, 1910)}, 0.05247739981107736, 'baseline'), ({(1081, 27, 1082)}, 0.03544954484893589, 'baseline'), ({(1081, 27, 9219)}, 0.027110139818320327, 'baseline'), ({(1081, 27, 673)}, 0.02690414615208938, 'baseline'), ({(1081, 27, 674)}, 0.022503416010366265, 'baseline'), ({(1081, 27, 745)}, 0.016995946858472492, 'baseline')]","[(5038, 162, 3365), (7303, 162, 3365), (1081, 27, 5038), (3365, 12, 5038), (5038, 38, 3365), (3365, 12, 7303)]",1,[5.881835],[1],5.881835,6,1.0,"(1081, 27, 7303)",6.3773446
"[({(4552, 35, 3796)}, 0.05715088078188473, 'baseline'), ([(4552, 64, 858), (858, 35, 2732)], 0.037499428, 'xrule'), ({(4552, 35, 1562)}, 0.02146915624185122, 'baseline'), ({(4552, 64, 5701)}, 0.010203401498959265, 'baseline'), ({(4552, 64, 3282)}, 0.002092401456898513, 'baseline'), ({(3282, 64, 4552)}, 0.00016597933143587675, 'baseline'), ({(4552, 64, 471)}, -0.0003156262013506885, 'baseline'), ({(4552, 64, 1625)}, -0.0027541714205217183, 'baseline'), ({(4552, 64, 786)}, -0.0033807354702087246, 'baseline'), ({(786, 64, 4552)}, -0.005282362039689547, 'baseline'), ({(1624, 64, 4552)}, -0.006218870236334377, 'baseline')]","[(4552, 35, 3796), (2732, 58, 3796)]",1,[6.9048605],[1],6.9048605,2,1.0,"(4552, 35, 2732)",6.999007
"[([(2820, 47, 186), (186, 19, 457), (186, 19, 2820), (2820, 10, 7869)], 0.11229992, 'xrule'), ({(457, 182, 3202)}, 0.010782281797507778, 'baseline'), ({(457, 10, 6327)}, 0.010489503825776712, 'baseline'), ({(457, 10, 4121)}, 0.010017911876957606, 'baseline'), ({(457, 47, 8624)}, 0.006669561316956146, 'baseline'), ({(457, 7, 8703)}, 0.005900423001091771, 'baseline'), ({(457, 7, 1692)}, 0.005810300762413979, 'baseline'), ({(457, 7, 4013)}, 0.004542390779581717, 'baseline'), ({(1731, 30, 457)}, 0.004483262961956169, 'baseline'), ({(8624, 19, 457)}, 0.004397432257847166, 'baseline'), ({(457, 7, 3060)}, 0.0022659701558255083, 'baseline')]","[(2820, 47, 186), (186, 19, 457), (186, 19, 2820), (2820, 10, 7869)]",1,[6.2398114],[1],6.2398114,4,1.0,"(457, 10, 7869)",6.1483383
"[([(3794, 154, 2620), (119, 154, 2620), (119, 23, 209)], 0.06850052, 'xrule'), ({(526, 29, 3794)}, 0.027365724495244263, 'baseline'), ({(3794, 72, 1718)}, 0.02693752474646604, 'baseline'), ({(374, 13, 3794)}, 0.004199068015004939, 'baseline'), ({(2968, 13, 3794)}, -0.0006885128836443724, 'baseline'), ({(1179, 13, 3794)}, -0.0032882290371926775, 'baseline'), ({(1322, 13, 3794)}, -0.00431628996333063, 'baseline'), ({(3794, 58, 7553)}, -0.005060155951589411, 'baseline'), ({(3794, 58, 834)}, -0.005184133611032059, 'baseline'), ({(834, 58, 3794)}, -0.005322416351475251, 'baseline'), ({(6157, 58, 3794)}, -0.006339033162231849, 'baseline')]","[(3794, 154, 2620), (119, 154, 2620), (119, 23, 209)]",1,[8.377245],[1],8.377245,3,1.0,"(3794, 23, 209)",8.168217
"[([(1682, 58, 1405), (181, 152, 1405), (3306, 13, 181)], 1.1089001, 'xrule'), ({(3306, 13, 202)}, 0.060610811199100334, 'baseline'), ({(3306, 13, 2282)}, 0.04393867681049401, 'baseline'), ({(3306, 13, 92)}, 0.026770631749607376, 'baseline'), ({(3306, 13, 1361)}, 0.02187065311271576, 'baseline'), ({(3306, 13, 1163)}, 0.021255533155717425, 'baseline'), ({(3306, 31, 1211)}, 0.018658677979482275, 'baseline'), ({(3306, 13, 1302)}, 0.012318651157708986, 'baseline'), ({(3306, 28, 32)}, 0.011282007154566282, 'baseline'), ({(3306, 13, 1405)}, 0.009556810301846214, 'baseline'), ({(3306, 13, 449)}, 0.005503694460849191, 'baseline')]","[(1682, 58, 1405), (181, 152, 1405), (3306, 13, 181)]",1,[5.9234824],[2],5.9234824,3,2.0,"(3306, 13, 1682)",5.862156
"[([(3660, 28, 32), (3660, 13, 32), (2190, 13, 32), (2190, 31, 136)], 0.19349957, 'xrule'), ({(3660, 31, 844)}, 0.18877510294188155, 'baseline'), ({(3660, 31, 658)}, 0.1244497700707432, 'baseline'), ({(3660, 13, 32)}, 0.11260227399791996, 'baseline'), ({(3660, 74, 524)}, 0.06382946206680179, 'baseline'), ({(3660, 26, 1936)}, 0.052177469199141485, 'baseline'), ({(3660, 28, 32)}, 0.04556659887905079, 'baseline'), ({(1326, 6, 3660)}, 0.03140453522017392, 'baseline'), ({(3660, 11, 23)}, 0.02580837434287581, 'baseline'), ({(3660, 26, 990)}, 0.0157509250274328, 'baseline'), ({(3660, 26, 1098)}, 0.009539644180357448, 'baseline')]","[(3660, 28, 32), (2190, 13, 32), (3660, 13, 32), (2190, 31, 136)]",1,[7.599305],[1],7.599305,4,1.0,"(3660, 31, 136)",7.3106804
"[({(1927, 17, 862)}, 0.49447063880929715, 'baseline'), ([(6162, 17, 862), (6162, 212, 4563), (1927, 17, 862)], 0.4524002, 'xrule'), ({(1927, 85, 434)}, 0.21955112692523157, 'baseline'), ({(1927, 43, 141)}, 0.14123348442058675, 'baseline'), ({(1927, 17, 393)}, 0.1352634831782429, 'baseline'), ({(1927, 82, 8686)}, 0.08844665721271243, 'baseline'), ({(1927, 48, 1928)}, 0.08059124182242851, 'baseline'), ({(1927, 19, 1724)}, -0.014308889454081384, 'baseline'), ({(1724, 47, 1927)}, -0.0293750362806781, 'baseline'), ({(1927, 19, 4418)}, -0.05184932522334937, 'baseline')]","[(10651, 212, 4563), (10651, 17, 862), (1927, 17, 862)]",1,[7.817793],[1],7.817793,3,1.0,"(1927, 212, 4563)",7.7084093
"[([(2161, 48, 32), (1577, 205, 32), (1577, 62, 32), (1577, 133, 32), (2161, 179, 740), (32, 15, 1577), (1577, 135, 32)], 0.1264, 'xrule'), ({(740, 37, 6243)}, 0.0498619479952844, 'baseline'), ({(740, 37, 854)}, 0.04923156928063895, 'baseline'), ({(740, 37, 855)}, 0.04292682837048672, 'baseline'), ({(740, 37, 2840)}, 0.033031980489809216, 'baseline'), ({(740, 37, 773)}, 0.028701345399600113, 'baseline'), ({(740, 37, 794)}, 0.027092973672115037, 'baseline'), ({(740, 37, 2035)}, 0.021799127512793816, 'baseline'), ({(740, 37, 961)}, 0.0217242641221284, 'baseline'), ({(740, 37, 4353)}, 0.019351999244858142, 'baseline'), ({(740, 37, 1562)}, 0.017868558804811665, 'baseline')]","[(1577, 205, 32), (32, 15, 1577), (1577, 135, 32), (2161, 48, 32), (1577, 62, 32), (1577, 133, 32), (2161, 179, 740)]",1,[6.2879996],[1],6.2879996,7,1.0,"(740, 37, 1577)",6.135332
"[([(8128, 182, 2192), (4640, 10, 1968), (4640, 182, 2192)], 0.1324997, 'xrule'), ({(8128, 10, 358)}, 0.11328129015227043, 'baseline'), ({(8128, 10, 65)}, 0.08879284096909076, 'baseline'), ({(8128, 10, 1171)}, 0.07860473822482218, 'baseline'), ({(8128, 10, 2875)}, 0.07004074285907218, 'baseline'), ({(8128, 10, 1840)}, 0.06756786538237958, 'baseline'), ({(8128, 10, 5382)}, 0.061549226765996355, 'baseline'), ({(8128, 10, 6589)}, 0.035589258130425454, 'baseline'), ({(8128, 10, 579)}, 0.033321420648876825, 'baseline'), ({(8128, 10, 2202)}, 0.02993587678774937, 'baseline'), ({(8128, 10, 2465)}, 0.016559640829442397, 'baseline')]","[(8128, 182, 2192), (4640, 10, 1968), (4640, 182, 2192)]",1,[6.5722785],[1],6.5722785,3,1.0,"(8128, 10, 1968)",6.9333606
