new_scores,new_score,original_rank,new_rank,new_ranks,exp,facts,original_score,prediction,exp_length
[4.5842266],4.5842266,1,25.0,[25],"[(8525, 4, 23270), (8525, 4, 21505), (23270, 0, 296)]","[([(8525, 4, 23270), (8525, 4, 21505), (23270, 0, 296)], 10.0375, 'xrule'), ({(8525, 4, 21505)}, 5.344250407765095, 'baseline')]",6.9597425,"(21505, 0, 296)",3
[3.1097822],3.1097822,1,10.0,[10],"[(16736, 1, 7605)]","[([(16736, 1, 7605)], 3.5151005, 'xrule'), ({(16736, 1, 7605)}, 1.895426838274759, 'baseline'), ({(7606, 1, 7605)}, -0.3238315171482852, 'baseline'), ({(7605, 1, 7606)}, -0.32939525307508155, 'baseline')]",9.469548,"(7605, 1, 16736)",1
[4.416651],4.416651,1,4.0,[4],"[(14493, 1, 37743)]","[([(14493, 1, 37743)], 2.9692998, 'xrule'), ({(14493, 1, 37743)}, 2.2295199580398077, 'baseline'), ({(37743, 0, 25874)}, -0.2165965629482028, 'baseline')]",9.327404,"(37743, 1, 14493)",1
[3.616133],3.616133,1,4.0,[4],"[(2944, 9, 2945)]","[([(2944, 9, 2945)], 3.8788996, 'xrule'), ({(2944, 9, 2945)}, 2.7375547253011034, 'baseline'), ({(2945, 0, 203)}, -0.4187974511977462, 'baseline')]",10.549395,"(2945, 9, 2944)",1
[7.215778],7.215778,1,1.0,[1],"[(3408, 6, 2381), (3408, 6, 12273)]","[({(3408, 6, 2381)}, 1.0165377175903225, 'baseline'), ([(3684, 2, 12273), (3408, 6, 2381), (3408, 6, 3684)], 0.8423996, 'xrule'), ({(2380, 6, 2381)}, 0.22233776325987809, 'baseline'), ({(4109, 6, 2381)}, 0.0297632617674887, 'baseline'), ({(2381, 6, 21795)}, -0.007654150062784065, 'baseline'), ({(2381, 6, 5200)}, -0.029015501060895968, 'baseline'), ({(2381, 6, 10989)}, -0.13014789378536218, 'baseline')]",8.170172,"(2381, 2, 12273)",2
[6.7090807],6.7090807,1,1.0,[1],"[(3847, 1, 17802)]","[([(3847, 1, 17802)], 1.7930002, 'xrule'), ({(3847, 1, 17802)}, 0.8238506789272096, 'baseline'), ({(17802, 1, 17801)}, 0.0565357608499881, 'baseline'), ({(17801, 1, 17802)}, 0.05217842288198869, 'baseline')]",8.961193,"(17802, 1, 3847)",1
[1.8120313],1.8120313,1,133.0,[133],"[(8629, 1, 7673)]","[([(8629, 1, 7673)], 3.1420999, 'xrule'), ({(8629, 1, 7673)}, 1.788355908824707, 'baseline')]",9.002323,"(7673, 1, 8629)",1
[6.5540648],6.5540648,1,1.0,[1],"[(16054, 1, 26644)]","[([(16054, 1, 26644)], 2.1005, 'xrule'), ({(16054, 1, 26644)}, 1.7735882612171359, 'baseline'), ({(4985, 1, 26644)}, 0.10800461014522174, 'baseline'), ({(26644, 3, 16053)}, -0.3826093258917952, 'baseline'), ({(16053, 3, 26644)}, -0.38649936341622326, 'baseline')]",9.2418165,"(26644, 1, 16054)",1
[5.3402925],5.3402925,1,1.0,[1],"[(5305, 1, 29442)]","[([(5305, 1, 29442)], 1.7723999, 'xrule'), ({(5305, 1, 29442)}, 1.3064108491203312, 'baseline'), ({(29442, 1, 8152)}, -0.08282848167034196, 'baseline'), ({(8152, 1, 29442)}, -0.0861234264191181, 'baseline')]",8.90522,"(29442, 1, 5305)",1
[4.589863],4.589863,1,18.0,[18],"[(1770, 1, 1771)]","[([(1770, 1, 1771)], 1.9812002, 'xrule'), ({(1770, 1, 1771)}, 0.4837418026182075, 'baseline'), ({(21991, 0, 1771)}, 0.07779888341635635, 'baseline')]",8.726723,"(1771, 1, 1770)",1
[8.020782],8.020782,1,1.0,[1],"[(512, 4, 22121), (512, 4, 33810), (33810, 0, 351)]","[({(512, 4, 22121)}, 3.4291585396176596, 'baseline'), ([(512, 4, 4929), (512, 4, 22121), (4929, 0, 351)], 2.7183995, 'xrule')]",8.308378,"(22121, 0, 351)",3
[3.8206768],3.8206768,1,16.0,[16],"[(4301, 1, 10990)]","[([(4301, 1, 10990)], 1.7748995, 'xrule'), ({(4301, 1, 10990)}, 0.954007198554321, 'baseline'), ({(10990, 0, 1380)}, 0.2406778741455904, 'baseline')]",9.040138,"(10990, 1, 4301)",1
[-1.3169624],-1.3169624,1,40774.0,[40774],"[(37187, 1, 22873)]","[([(37187, 1, 22873)], 14.173201, 'xrule'), ({(37187, 1, 22873)}, 0.1172924443247466, 'baseline')]",9.392544,"(22873, 1, 37187)",1
[7.2649784],7.2649784,1,1.0,[1],"[(27523, 2, 121), (27523, 2, 916), (13776, 2, 916)]","[({(13776, 2, 916)}, 3.642136975996093, 'baseline'), ([(27523, 2, 121), (27523, 2, 916), (13776, 2, 916)], 3.2749, 'xrule'), ({(2181, 6, 13776)}, -0.34665771180427146, 'baseline')]",8.00515,"(13776, 2, 121)",3
[-2.407072],-2.407072,1,31595.0,[31595],"[(17464, 1, 17465)]","[([(17464, 1, 17465)], 7.2282, 'xrule'), ({(17464, 1, 17465)}, 1.6944523619900251, 'baseline')]",9.928814,"(17465, 1, 17464)",1
[7.196904],7.196904,1,1.0,[1],"[(31682, 0, 5517), (33614, 0, 5517), (31682, 5, 172)]","[({(33614, 0, 5517)}, 1.6905718610091116, 'baseline'), ([(33614, 0, 5517), (26672, 0, 5517), (26672, 5, 172)], 1.6791997, 'xrule'), ({(26515, 4, 33614)}, 0.8566508771045944, 'baseline')]",7.783125,"(33614, 5, 172)",3
[1.5039036],1.5039036,1,120.0,[120],"[(8993, 1, 7948)]","[([(8993, 1, 7948)], 4.8894997, 'xrule'), ({(8993, 1, 7948)}, 1.0776157907043165, 'baseline'), ({(7948, 1, 22982)}, -0.12583347119506283, 'baseline'), ({(22982, 1, 7948)}, -0.1298875407120383, 'baseline')]",9.079611,"(7948, 1, 8993)",1
