new_score,new_ranks,new_rank,new_scores,prediction,original_score,exp,exp_length,original_rank,facts
8.544424,[1],1.0,[8.544424],"(4929, 11, 23)",8.66317,"[(8316, 11, 23), (35, 90, 23), (4857, 11, 23), (778, 11, 23), (9215, 90, 23), (4929, 14, 160), (4929, 26, 64)]",7,1,"[([(4929, 14, 160), (4857, 11, 23)], 0.35410023, 'xrule'), ([(4929, 14, 160), (35, 90, 23)], 0.33820057, 'xrule'), ([(4929, 14, 160), (8316, 11, 23)], 0.3142004, 'xrule'), ([(4929, 26, 64), (778, 11, 23)], 0.2585001, 'xrule'), ([(4929, 26, 64), (9215, 90, 23)], 0.24330044, 'xrule')]"
4.348821,[2],2.0,[4.348821],"(10519, 66, 9596)",5.9763412,"[(1124, 15, 9596), (6957, 160, 9596), (3668, 66, 9596), (6957, 66, 9596), (3668, 160, 9596), (6628, 83, 9596), (9596, 15, 6628), (9596, 135, 382), (10519, 48, 1124), (382, 15, 9596)]",10,1,"[([(10519, 48, 1124), (6957, 160, 9596), (6957, 66, 9596)], 0.9602003, 'xrule'), ([(10519, 48, 1124), (382, 15, 9596), (9596, 135, 382)], 0.8397999, 'xrule'), ([(10519, 48, 1124), (6628, 83, 9596), (9596, 15, 6628)], 0.74699974, 'xrule'), ([(10519, 48, 1124), (1124, 15, 9596)], 0.7212, 'xrule'), ([(10519, 48, 1124), (3668, 160, 9596), (3668, 66, 9596)], 0.6526003, 'xrule')]"
6.939664,[1],1.0,[6.939664],"(4489, 18, 795)",7.114539,"[(3373, 18, 795), (3408, 18, 795), (2474, 18, 795), (2388, 18, 795), (4489, 219, 90), (4489, 154, 1437), (596, 82, 795)]",7,1,"[([(4489, 219, 90), (2388, 18, 795)], 0.47990036, 'xrule'), ([(4489, 154, 1437), (3373, 18, 795)], 0.46570015, 'xrule'), ([(4489, 219, 90), (3408, 18, 795)], 0.4591999, 'xrule'), ([(4489, 219, 90), (596, 82, 795)], 0.44750023, 'xrule'), ([(4489, 219, 90), (2474, 18, 795)], 0.4474001, 'xrule')]"
6.8054943,[1],1.0,[6.8054943],"(4349, 17, 871)",6.9785805,"[(2577, 17, 871), (7209, 17, 871), (6776, 17, 871), (4649, 47, 4349), (4118, 17, 871), (8056, 17, 871), (4349, 19, 4649), (4349, 85, 434)]",8,1,"[([(4349, 85, 434), (7209, 17, 871)], 0.84500027, 'xrule'), ([(4349, 85, 434), (2577, 17, 871)], 0.79539967, 'xrule'), ([(4349, 85, 434), (6776, 17, 871)], 0.6877003, 'xrule'), ([(4649, 47, 4349), (4349, 19, 4649), (4118, 17, 871)], 0.47529984, 'xrule'), ([(4649, 47, 4349), (4349, 19, 4649), (8056, 17, 871)], 0.43149948, 'xrule')]"
7.1654167,[1],1.0,[7.1654167],"(6253, 31, 657)",6.9195323,"[(8589, 107, 657), (6341, 31, 657), (2655, 31, 657), (6253, 26, 342), (657, 2, 2241), (6253, 14, 2272), (4826, 31, 657), (2241, 31, 657)]",8,1,"[([(6253, 26, 342), (2655, 31, 657)], 0.2626009, 'xrule'), ([(6253, 14, 2272), (8589, 107, 657)], 0.24810028, 'xrule'), ([(6253, 26, 342), (6341, 31, 657)], 0.24800014, 'xrule'), ([(6253, 14, 2272), (4826, 31, 657)], 0.22950077, 'xrule'), ([(6253, 26, 342), (2241, 31, 657), (657, 2, 2241)], 0.22670078, 'xrule')]"
5.1042233,[1],1.0,[5.1042233],"(3809, 33, 90)",6.958826,"[(32, 15, 3809), (90, 25, 62), (4966, 129, 90), (6281, 206, 90), (43, 219, 90), (4966, 213, 90), (4966, 208, 90), (6281, 139, 90), (3809, 120, 791), (3809, 154, 2438), (2102, 166, 90)]",11,1,"[([(3809, 120, 791), (43, 219, 90)], 0.7444, 'xrule'), ([(3809, 120, 791), (90, 25, 62)], 0.6826, 'xrule'), ([(3809, 154, 2438), (2102, 166, 90)], 0.37519932, 'xrule'), ([(32, 15, 3809), (4966, 213, 90), (4966, 129, 90), (4966, 208, 90)], 0.36249924, 'xrule'), ([(32, 15, 3809), (6281, 206, 90), (6281, 139, 90)], 0.35719967, 'xrule')]"
6.9278965,[1],1.0,[6.9278965],"(9122, 17, 215)",7.1839924,"[(1729, 17, 215), (869, 17, 215), (3918, 17, 215), (12319, 17, 215), (9122, 19, 929), (9122, 48, 32), (12211, 17, 215), (9122, 25, 62)]",8,1,"[([(9122, 25, 62), (1729, 17, 215)], 0.4008007, 'xrule'), ([(9122, 25, 62), (12211, 17, 215)], 0.34670067, 'xrule'), ([(9122, 48, 32), (3918, 17, 215)], 0.22090054, 'xrule'), ([(9122, 48, 32), (12319, 17, 215)], 0.19110012, 'xrule'), ([(9122, 19, 929), (869, 17, 215)], 0.1875, 'xrule')]"
6.5827637,[1],1.0,[6.5827637],"(2857, 10, 2465)",6.8358297,"[(2857, 182, 2192), (2799, 10, 2465), (11173, 10, 2465), (7860, 10, 2465), (2465, 210, 2192), (2554, 19, 2857), (9181, 10, 2465)]",7,1,"[([(2857, 182, 2192), (2465, 210, 2192)], 0.49340057, 'xrule'), ([(2857, 182, 2192), (9181, 10, 2465)], 0.47560024, 'xrule'), ([(2857, 182, 2192), (11173, 10, 2465)], 0.46050072, 'xrule'), ([(2857, 182, 2192), (7860, 10, 2465)], 0.43020058, 'xrule'), ([(2554, 19, 2857), (2799, 10, 2465)], 0.13269997, 'xrule')]"
7.39353,[1],1.0,[7.39353],"(2634, 31, 844)",7.234824,"[(4844, 31, 844), (3177, 31, 844), (5105, 31, 844), (11266, 107, 844), (5670, 31, 844), (2634, 28, 32), (2634, 13, 32)]",7,1,"[([(2634, 13, 32), (2634, 28, 32), (5105, 31, 844)], 0.3805008, 'xrule'), ([(2634, 13, 32), (2634, 28, 32), (11266, 107, 844)], 0.37730026, 'xrule'), ([(2634, 13, 32), (2634, 28, 32), (4844, 31, 844)], 0.3767004, 'xrule'), ([(2634, 13, 32), (2634, 28, 32), (3177, 31, 844)], 0.3756008, 'xrule'), ([(2634, 13, 32), (2634, 28, 32), (5670, 31, 844)], 0.36800003, 'xrule')]"
7.804803,[1],1.0,[7.804803],"(7245, 100, 160)",7.8238983,"[(1798, 100, 160), (1253, 214, 160), (160, 140, 6511), (8804, 100, 160), (1253, 71, 7245), (8804, 232, 160), (255, 100, 160)]",7,1,"[([(1253, 71, 7245), (255, 100, 160)], 1.4963999, 'xrule'), ([(1253, 71, 7245), (1253, 214, 160)], 1.3879995, 'xrule'), ([(1253, 71, 7245), (160, 140, 6511)], 1.3522997, 'xrule'), ([(1253, 71, 7245), (8804, 232, 160), (8804, 100, 160)], 1.2690992, 'xrule'), ([(1253, 71, 7245), (1798, 100, 160)], 1.2673998, 'xrule')]"
5.6472893,[1],1.0,[5.6472893],"(4794, 28, 382)",5.9059772,"[(2625, 13, 382), (5742, 147, 382), (4794, 11, 23), (2168, 28, 382), (2168, 13, 382), (4794, 26, 64), (2625, 28, 382), (6318, 185, 382), (4780, 13, 382)]",9,1,"[([(4794, 26, 64), (4780, 13, 382)], 0.2923994, 'xrule'), ([(4794, 11, 23), (2168, 13, 382), (2168, 28, 382)], 0.28789997, 'xrule'), ([(4794, 11, 23), (2625, 13, 382), (2625, 28, 382)], 0.28479958, 'xrule'), ([(4794, 11, 23), (6318, 185, 382)], 0.27899933, 'xrule'), ([(4794, 11, 23), (5742, 147, 382)], 0.27839947, 'xrule')]"
6.514294,[4],4.0,[6.514294],"(5115, 86, 2316)",7.1986084,"[(268, 207, 2316), (2316, 8, 2317), (5115, 12, 268), (2352, 86, 2316), (2316, 38, 2352), (268, 8, 2316), (268, 38, 5115), (2317, 8, 2316), (1964, 8, 2316), (2317, 3, 2316), (2316, 8, 268), (268, 32, 5115), (5115, 86, 268), (2316, 143, 1044)]",14,1,"[([(268, 38, 5115), (5115, 12, 268), (268, 32, 5115), (5115, 86, 268), (2316, 143, 1044)], 1.1260996, 'xrule'), ([(268, 38, 5115), (5115, 12, 268), (268, 32, 5115), (5115, 86, 268), (2316, 8, 268), (268, 207, 2316), (268, 8, 2316)], 1.0658998, 'xrule'), ([(268, 38, 5115), (5115, 12, 268), (268, 32, 5115), (5115, 86, 268), (1964, 8, 2316)], 1.0412998, 'xrule'), ([(268, 38, 5115), (5115, 12, 268), (268, 32, 5115), (5115, 86, 268), (2352, 86, 2316), (2316, 38, 2352)], 1.0389996, 'xrule'), ([(268, 38, 5115), (5115, 12, 268), (268, 32, 5115), (5115, 86, 268), (2316, 8, 2317), (2317, 8, 2316), (2317, 3, 2316)], 0.99109936, 'xrule')]"
6.2525625,[2],2.0,[6.2525625],"(1081, 27, 7303)",6.3773446,"[(1081, 27, 3364), (1081, 27, 4360), (7303, 43, 141), (1081, 27, 5038)]",4,1,"[([(1081, 27, 4360), (7303, 43, 141)], 0.16219997, 'xrule'), ([(1081, 27, 5038), (7303, 43, 141)], 0.08640003, 'xrule'), ([(1081, 27, 3364), (7303, 43, 141)], 0.0023002625, 'xrule'), ([(1081, 27, 870), (7303, 43, 141)], -0.03600025, 'xrule'), ([(1081, 27, 673), (7303, 43, 141)], -0.056900024, 'xrule')]"
7.8796,[1],1.0,[7.8796],"(12076, 85, 434)",8.028749,"[(434, 161, 32), (434, 118, 774), (434, 161, 2879), (12076, 48, 32), (434, 161, 1695), (434, 161, 611)]",6,1,"[([(12076, 48, 32), (434, 118, 774)], 0.60350037, 'xrule'), ([(12076, 48, 32), (434, 161, 2879)], 0.5937996, 'xrule'), ([(12076, 48, 32), (434, 161, 1695)], 0.5841999, 'xrule'), ([(12076, 48, 32), (434, 161, 611)], 0.5796995, 'xrule'), ([(12076, 48, 32), (434, 161, 32)], 0.5459995, 'xrule')]"
7.1511106,[1],1.0,[7.1511106],"(4552, 35, 2732)",6.999007,"[(4552, 35, 1562), (9811, 37, 2732), (4552, 64, 2617), (2617, 35, 2732), (2617, 64, 4552), (2732, 18, 1424), (2732, 18, 7968), (2732, 18, 2528)]",8,1,"[([(4552, 35, 1562), (9811, 37, 2732)], 0.049599648, 'xrule'), ([(4552, 35, 1562), (2732, 18, 2528)], 0.0461998, 'xrule'), ([(4552, 35, 1562), (2732, 18, 1424)], 0.038199425, 'xrule'), ([(4552, 35, 1562), (2732, 18, 7968)], 0.03670025, 'xrule'), ([(2617, 64, 4552), (4552, 64, 2617), (2617, 35, 2732)], 0.03639984, 'xrule')]"
5.952282,[1],1.0,[5.952282],"(457, 10, 7869)",6.1483383,"[(457, 182, 3202), (371, 10, 7869), (1121, 10, 7869), (7869, 210, 3202), (1731, 30, 457), (1060, 10, 7869), (457, 7, 1731), (4304, 10, 7869)]",8,1,"[([(457, 182, 3202), (1121, 10, 7869)], 0.4808998, 'xrule'), ([(457, 182, 3202), (7869, 210, 3202)], 0.46150017, 'xrule'), ([(457, 182, 3202), (1060, 10, 7869)], 0.4581995, 'xrule'), ([(457, 182, 3202), (4304, 10, 7869)], 0.36740017, 'xrule'), ([(457, 7, 1731), (1731, 30, 457), (371, 10, 7869)], 0.19509983, 'xrule')]"
8.053749,[1],1.0,[8.053749],"(3794, 23, 209)",8.168217,"[(190, 23, 209), (1682, 23, 209), (1718, 157, 3794), (3100, 23, 209), (7752, 23, 209), (3794, 72, 1718), (6157, 23, 209), (3794, 69, 1718)]",8,1,"[([(3794, 69, 1718), (3794, 72, 1718), (1718, 157, 3794), (6157, 23, 209)], 0.7765999, 'xrule'), ([(3794, 69, 1718), (3794, 72, 1718), (1718, 157, 3794), (1682, 23, 209)], 0.6272001, 'xrule'), ([(3794, 69, 1718), (3794, 72, 1718), (1718, 157, 3794), (3100, 23, 209)], 0.62559986, 'xrule'), ([(3794, 69, 1718), (3794, 72, 1718), (1718, 157, 3794), (190, 23, 209)], 0.62339973, 'xrule'), ([(3794, 69, 1718), (3794, 72, 1718), (1718, 157, 3794), (7752, 23, 209)], 0.6084995, 'xrule')]"
5.9356017,[2],2.0,[5.9356017],"(3306, 13, 1682)",5.862156,"[(632, 157, 1682), (1682, 72, 3989), (1682, 69, 632), (3989, 157, 1682), (1682, 72, 632), (4865, 13, 1682), (1682, 58, 2282), (3306, 31, 1211), (3306, 13, 202), (2282, 58, 1682), (4196, 13, 1682), (1682, 69, 3989)]",12,1,"[([(3306, 31, 1211), (4865, 13, 1682)], 0.40390015, 'xrule'), ([(3306, 31, 1211), (4196, 13, 1682)], 0.39790058, 'xrule'), ([(3306, 13, 202), (632, 157, 1682), (1682, 72, 632), (1682, 69, 632)], 0.1206007, 'xrule'), ([(3306, 13, 202), (1682, 72, 3989), (1682, 69, 3989), (3989, 157, 1682)], 0.1206007, 'xrule'), ([(3306, 13, 202), (2282, 58, 1682), (1682, 58, 2282)], 0.10669994, 'xrule')]"
6.865264,[1],1.0,[6.865264],"(3660, 31, 136)",7.3106804,"[(3660, 28, 32), (4660, 107, 136), (3660, 13, 32), (5724, 31, 136), (2648, 31, 136), (7145, 31, 136), (3714, 31, 136)]",7,1,"[([(3660, 28, 32), (3660, 13, 32), (4660, 107, 136)], 0.45740032, 'xrule'), ([(3660, 28, 32), (3660, 13, 32), (7145, 31, 136)], 0.43879986, 'xrule'), ([(3660, 28, 32), (3660, 13, 32), (2648, 31, 136)], 0.4342003, 'xrule'), ([(3660, 28, 32), (3660, 13, 32), (3714, 31, 136)], 0.4303007, 'xrule'), ([(3660, 28, 32), (3660, 13, 32), (5724, 31, 136)], 0.42770004, 'xrule')]"
6.6930904,[1],1.0,[6.6930904],"(1927, 212, 4563)",7.7084093,"[(1927, 17, 393), (12369, 212, 4563), (1927, 17, 862), (4563, 55, 4726), (1927, 48, 1928), (7792, 212, 4563), (4563, 55, 517), (2236, 212, 4563)]",8,1,"[([(1927, 17, 862), (7792, 212, 4563)], 0.40609932, 'xrule'), ([(1927, 17, 862), (12369, 212, 4563)], 0.3371992, 'xrule'), ([(1927, 48, 1928), (4563, 55, 517)], 0.22199917, 'xrule'), ([(1927, 17, 393), (2236, 212, 4563)], 0.19489956, 'xrule'), ([(1927, 48, 1928), (4563, 55, 4726)], 0.14750004, 'xrule')]"
5.600352,[6],6.0,[5.600352],"(740, 37, 1577)",6.135332,"[(740, 37, 6243), (740, 37, 4353), (1577, 205, 32), (740, 37, 1562), (740, 37, 855), (740, 37, 2840), (1577, 135, 32), (1577, 62, 32), (1577, 133, 32), (32, 15, 1577), (2737, 58, 1577)]",11,1,"[([(740, 37, 1562), (1577, 205, 32), (1577, 62, 32), (1577, 133, 32), (32, 15, 1577), (1577, 135, 32)], 0.13049984, 'xrule'), ([(740, 37, 6243), (2737, 58, 1577)], 0.10710049, 'xrule'), ([(740, 37, 855), (1577, 205, 32), (1577, 62, 32), (1577, 133, 32), (32, 15, 1577), (1577, 135, 32)], 0.10680008, 'xrule'), ([(740, 37, 2840), (2737, 58, 1577)], 0.09770012, 'xrule'), ([(740, 37, 4353), (1577, 205, 32), (1577, 62, 32), (1577, 133, 32), (32, 15, 1577), (1577, 135, 32)], 0.0916996, 'xrule')]"
7.078169,[3],3.0,[7.078169],"(8128, 10, 1968)",6.9333606,"[(1968, 27, 2719), (1968, 27, 671), (7795, 10, 1968), (8128, 10, 358), (8128, 10, 2875), (1968, 27, 2459)]",6,1,"[([(8128, 10, 2875), (1968, 27, 2719)], 0.1395998, 'xrule'), ([(8128, 10, 2875), (1968, 27, 671)], 0.13379955, 'xrule'), ([(8128, 10, 358), (1968, 27, 2459)], 0.13129997, 'xrule'), ([(8128, 10, 358), (1968, 27, 2719)], 0.11989975, 'xrule'), ([(8128, 10, 2875), (7795, 10, 1968)], 0.11919975, 'xrule')]"
8.571874,[1],1.0,[8.571874],"(8270, 14, 160)",8.478947,"[(8270, 28, 32), (1129, 14, 160), (8270, 13, 32), (3714, 14, 160), (5138, 221, 160), (160, 70, 6281), (11844, 101, 160), (6281, 221, 160)]",8,1,"[([(8270, 28, 32), (8270, 13, 32), (11844, 101, 160)], 0.8062, 'xrule'), ([(8270, 28, 32), (8270, 13, 32), (6281, 221, 160), (160, 70, 6281)], 0.8015003, 'xrule'), ([(8270, 28, 32), (8270, 13, 32), (5138, 221, 160)], 0.79920006, 'xrule'), ([(8270, 28, 32), (8270, 13, 32), (3714, 14, 160)], 0.79170036, 'xrule'), ([(8270, 28, 32), (8270, 13, 32), (1129, 14, 160)], 0.78740025, 'xrule')]"
6.8818073,[1],1.0,[6.8818073],"(8285, 17, 862)",6.5313535,"[(8285, 21, 10982), (1648, 17, 862), (4688, 17, 862), (172, 17, 862), (10982, 17, 862), (8191, 17, 862)]",6,1,"[([(8285, 21, 10982), (4688, 17, 862)], 0.8706007, 'xrule'), ([(8285, 21, 10982), (172, 17, 862)], 0.8267002, 'xrule'), ([(8285, 21, 10982), (10982, 17, 862)], 0.76320076, 'xrule'), ([(8285, 21, 10982), (1648, 17, 862)], 0.6522999, 'xrule'), ([(8285, 21, 10982), (8191, 17, 862)], 0.6335001, 'xrule')]"
6.149399,[8],8.0,[6.149399],"(1796, 130, 841)",6.8177223,"[(841, 95, 521), (841, 96, 981), (1796, 130, 3082), (8620, 49, 1796), (1796, 130, 8620), (3978, 130, 841), (841, 49, 3978), (3082, 49, 1796), (12040, 40, 841)]",9,1,"[([(8620, 49, 1796), (1796, 130, 8620), (841, 95, 521)], 0.14830017, 'xrule'), ([(8620, 49, 1796), (1796, 130, 8620), (12040, 40, 841)], 0.12960052, 'xrule'), ([(8620, 49, 1796), (1796, 130, 8620), (841, 96, 981)], 0.12250042, 'xrule'), ([(8620, 49, 1796), (1796, 130, 8620), (3978, 130, 841), (841, 49, 3978)], 0.12120056, 'xrule'), ([(1796, 130, 3082), (3082, 49, 1796), (841, 95, 521)], 0.08440018, 'xrule')]"
5.6022844,[8],8.0,[5.6022844],"(1754, 29, 181)",5.848309,"[(181, 219, 90), (1754, 29, 449), (181, 139, 90), (181, 218, 382), (181, 234, 90), (1754, 29, 75), (4155, 28, 181), (4155, 13, 181), (1754, 29, 331), (181, 206, 90)]",10,1,"[([(1754, 29, 75), (181, 219, 90), (181, 206, 90), (181, 234, 90), (181, 139, 90)], 0.048700333, 'xrule'), ([(1754, 29, 331), (181, 219, 90), (181, 206, 90), (181, 234, 90), (181, 139, 90)], 0.04129982, 'xrule'), ([(1754, 29, 449), (181, 219, 90), (181, 206, 90), (181, 234, 90), (181, 139, 90)], 0.038900375, 'xrule'), ([(1754, 29, 75), (181, 218, 382)], 0.025400162, 'xrule'), ([(1754, 29, 75), (4155, 28, 181), (4155, 13, 181)], 0.020799637, 'xrule')]"
6.7091002,[1],1.0,[6.7091002],"(2946, 17, 215)",6.474165,"[(2946, 66, 592), (6104, 17, 215), (7832, 17, 215), (2946, 24, 592), (7954, 17, 215), (1910, 17, 215), (2037, 17, 215)]",7,1,"[([(2946, 66, 592), (2946, 24, 592), (1910, 17, 215)], 0.35319996, 'xrule'), ([(2946, 66, 592), (2946, 24, 592), (2037, 17, 215)], 0.3482008, 'xrule'), ([(2946, 66, 592), (2946, 24, 592), (7832, 17, 215)], 0.33320045, 'xrule'), ([(2946, 66, 592), (2946, 24, 592), (6104, 17, 215)], 0.33240032, 'xrule'), ([(2946, 66, 592), (2946, 24, 592), (7954, 17, 215)], 0.30889988, 'xrule')]"
6.982416,[2],2.0,[6.982416],"(7787, 31, 136)",6.917391,"[(7787, 28, 32), (2648, 31, 136), (1195, 31, 136), (3177, 31, 136), (11131, 107, 136), (7787, 193, 32), (3714, 31, 136), (7787, 13, 32)]",8,1,"[([(7787, 193, 32), (7787, 28, 32), (7787, 13, 32), (3714, 31, 136)], 0.36959934, 'xrule'), ([(7787, 193, 32), (7787, 28, 32), (7787, 13, 32), (2648, 31, 136)], 0.36590004, 'xrule'), ([(7787, 193, 32), (7787, 28, 32), (7787, 13, 32), (1195, 31, 136)], 0.3633995, 'xrule'), ([(7787, 193, 32), (7787, 28, 32), (7787, 13, 32), (3177, 31, 136)], 0.35859966, 'xrule'), ([(7787, 193, 32), (7787, 28, 32), (7787, 13, 32), (11131, 107, 136)], 0.32929993, 'xrule')]"
5.5314813,[2],2.0,[5.5314813],"(8365, 13, 158)",5.7749047,"[(8365, 13, 1934), (6966, 28, 158), (2888, 28, 158), (158, 2, 2888), (8365, 13, 181), (158, 72, 1091), (158, 69, 1091), (158, 72, 2864), (6966, 13, 158)]",9,1,"[([(8365, 13, 181), (158, 2, 2888), (2888, 28, 158)], 0.10270023, 'xrule'), ([(8365, 13, 1934), (158, 2, 2888), (2888, 28, 158)], 0.09759998, 'xrule'), ([(8365, 13, 1934), (158, 72, 2864)], 0.09700012, 'xrule'), ([(8365, 13, 181), (6966, 28, 158), (6966, 13, 158)], 0.09660053, 'xrule'), ([(8365, 13, 1934), (158, 69, 1091), (158, 72, 1091)], 0.09390068, 'xrule')]"
8.996181,[1],1.0,[8.996181],"(7436, 217, 3433)",9.396436,"[(4683, 217, 3433), (7436, 108, 90), (7436, 166, 90), (1247, 217, 3433), (7735, 217, 3433), (1953, 217, 3433), (7436, 25, 62), (7727, 217, 3433)]",8,1,"[([(7436, 25, 62), (4683, 217, 3433)], 0.37549973, 'xrule'), ([(7436, 25, 62), (1247, 217, 3433)], 0.3366995, 'xrule'), ([(7436, 108, 90), (7436, 166, 90), (1953, 217, 3433)], 0.33409977, 'xrule'), ([(7436, 108, 90), (7436, 166, 90), (7727, 217, 3433)], 0.32619953, 'xrule'), ([(7436, 108, 90), (7436, 166, 90), (7735, 217, 3433)], 0.31059933, 'xrule')]"
8.415609,[1],1.0,[8.415609],"(2369, 182, 2517)",9.2232685,"[(3641, 182, 2517), (2070, 210, 2517), (2369, 10, 4491), (5312, 210, 2517), (2369, 10, 5312), (2369, 10, 9728), (9728, 210, 2517), (2369, 10, 2070)]",8,1,"[([(2369, 10, 5312), (5312, 210, 2517)], 0.23620033, 'xrule'), ([(2369, 10, 2070), (2070, 210, 2517)], 0.23260021, 'xrule'), ([(2369, 10, 9728), (9728, 210, 2517)], 0.22439957, 'xrule'), ([(2369, 10, 4491), (3641, 182, 2517)], 0.20940018, 'xrule'), ([(2369, 10, 2070), (3641, 182, 2517)], 0.19950008, 'xrule')]"
4.8516226,[4],4.0,[4.8516226],"(7479, 19, 2998)",6.0403447,"[(5167, 19, 2998), (2998, 47, 5167), (1370, 19, 2998), (7479, 19, 1857), (2998, 10, 1994), (2998, 47, 8493), (2998, 47, 798), (1857, 47, 7479), (8493, 19, 2998)]",9,1,"[([(7479, 19, 1857), (1857, 47, 7479), (2998, 10, 1994)], 0.4182005, 'xrule'), ([(7479, 19, 1857), (1857, 47, 7479), (5167, 19, 2998), (2998, 47, 5167)], 0.39750004, 'xrule'), ([(7479, 19, 1857), (1857, 47, 7479), (1370, 19, 2998)], 0.38230038, 'xrule'), ([(7479, 19, 1857), (1857, 47, 7479), (8493, 19, 2998), (2998, 47, 8493)], 0.36690044, 'xrule'), ([(7479, 19, 1857), (1857, 47, 7479), (2998, 47, 798)], 0.36190033, 'xrule')]"
9.112367,[1],1.0,[9.112367],"(2323, 91, 494)",9.398626,"[(2323, 107, 163), (63, 26, 494), (2323, 25, 62), (2587, 91, 494), (3858, 91, 494), (1203, 91, 494), (7318, 110, 494)]",7,1,"[([(2323, 25, 62), (63, 26, 494)], 0.9876995, 'xrule'), ([(2323, 25, 62), (7318, 110, 494)], 0.96899986, 'xrule'), ([(2323, 25, 62), (2587, 91, 494)], 0.9550991, 'xrule'), ([(2323, 25, 62), (3858, 91, 494)], 0.9406996, 'xrule'), ([(2323, 107, 163), (1203, 91, 494)], 0.44299984, 'xrule')]"
6.843563,[2],2.0,[6.843563],"(1727, 17, 432)",7.2044873,"[(431, 17, 432), (432, 181, 1002), (7848, 17, 432), (1727, 17, 10844), (4638, 20, 1727), (11706, 17, 432), (6385, 17, 432)]",7,1,"[([(4638, 20, 1727), (431, 17, 432)], 0.38839912, 'xrule'), ([(4638, 20, 1727), (6385, 17, 432)], 0.3529997, 'xrule'), ([(4638, 20, 1727), (11706, 17, 432)], 0.2824993, 'xrule'), ([(1727, 17, 10844), (432, 181, 1002)], 0.23939991, 'xrule'), ([(1727, 17, 10844), (7848, 17, 432)], 0.22059917, 'xrule')]"
6.5797577,[2],2.0,[6.5797577],"(13994, 133, 32)",7.4030623,"[(32, 154, 2438), (32, 152, 181), (181, 152, 32), (32, 15, 13150), (181, 218, 32), (32, 15, 3809), (32, 58, 181), (181, 58, 32), (6615, 205, 32), (13994, 154, 2438), (6615, 135, 32), (6615, 62, 32)]",12,1,"[([(13994, 154, 2438), (32, 15, 3809)], 1.1953001, 'xrule'), ([(13994, 154, 2438), (6615, 135, 32), (6615, 205, 32), (6615, 62, 32)], 1.1947994, 'xrule'), ([(13994, 154, 2438), (32, 154, 2438)], 1.1925001, 'xrule'), ([(13994, 154, 2438), (32, 15, 13150)], 1.1922998, 'xrule'), ([(13994, 154, 2438), (32, 152, 181), (181, 152, 32), (181, 218, 32), (181, 58, 32), (32, 58, 181)], 1.1445999, 'xrule')]"
6.5989656,[5],5.0,[6.5989656],"(705, 148, 2861)",6.9772243,"[(1327, 148, 2861), (2034, 231, 2861), (2861, 231, 7018), (705, 148, 4558), (705, 148, 1922), (705, 148, 2034), (2861, 231, 4558), (4558, 231, 2861), (2861, 231, 2034), (705, 148, 7018)]",10,1,"[([(705, 148, 4558), (1327, 148, 2861)], 0.081199646, 'xrule'), ([(705, 148, 7018), (2861, 231, 7018)], 0.07740021, 'xrule'), ([(705, 148, 4558), (2861, 231, 4558), (4558, 231, 2861)], 0.077199936, 'xrule'), ([(705, 148, 1922), (1327, 148, 2861)], 0.06470013, 'xrule'), ([(705, 148, 2034), (2034, 231, 2861), (2861, 231, 2034)], 0.05850029, 'xrule')]"
6.0657983,[1],1.0,[6.0657983],"(13557, 154, 2620)",6.6576047,"[(119, 15, 13557), (2613, 154, 2620), (3028, 154, 2620), (6679, 154, 2620), (637, 154, 2620), (119, 154, 2620)]",6,1,"[([(119, 15, 13557), (6679, 154, 2620)], 1.9679995, 'xrule'), ([(119, 15, 13557), (2613, 154, 2620)], 1.8831997, 'xrule'), ([(119, 15, 13557), (119, 154, 2620)], 1.7741995, 'xrule'), ([(119, 15, 13557), (3028, 154, 2620)], 1.7416992, 'xrule'), ([(119, 15, 13557), (637, 154, 2620)], 1.6398993, 'xrule')]"
7.059556,[1],1.0,[7.059556],"(10437, 43, 141)",8.017205,"[(1145, 43, 141), (11554, 43, 141), (10437, 48, 32), (4789, 43, 141), (4779, 43, 141), (3857, 43, 141)]",6,1,"[([(10437, 48, 32), (1145, 43, 141)], 0.8359995, 'xrule'), ([(10437, 48, 32), (11554, 43, 141)], 0.82870007, 'xrule'), ([(10437, 48, 32), (3857, 43, 141)], 0.82739925, 'xrule'), ([(10437, 48, 32), (4789, 43, 141)], 0.8248997, 'xrule'), ([(10437, 48, 32), (4779, 43, 141)], 0.7212992, 'xrule')]"
7.555319,[1],1.0,[7.555319],"(2611, 25, 62)",7.586446,"[(6128, 25, 62), (2211, 25, 62), (985, 92, 2611), (3405, 25, 62), (10706, 25, 62), (8209, 25, 62), (2611, 41, 985)]",7,1,"[([(2611, 41, 985), (985, 92, 2611), (6128, 25, 62)], 0.61450005, 'xrule'), ([(2611, 41, 985), (985, 92, 2611), (3405, 25, 62)], 0.6114998, 'xrule'), ([(2611, 41, 985), (985, 92, 2611), (8209, 25, 62)], 0.61100006, 'xrule'), ([(2611, 41, 985), (985, 92, 2611), (2211, 25, 62)], 0.6061001, 'xrule'), ([(2611, 41, 985), (985, 92, 2611), (10706, 25, 62)], 0.59329987, 'xrule')]"
