facts,original_score,new_rank,new_scores,prediction,new_score,new_ranks,original_rank,#facts
"[([(6485, 1, 30984)], 1.9948006, 'xrule'), ([(6485, 1, 30984)], 1.1585255218752126, 'kelpie'), ([(17895, 1, 957), (6485, 0, 17895), (30984, 0, 957), (957, 1, 17895)], 0.28590012, 'xrule'), ([(957, 1, 6485), (30984, 0, 957), (6485, 1, 957)], -0.038700104, 'xrule'), ([(30984, 1, 13642)], -0.18178458949696324, 'kelpie'), ([(30984, 1, 16988)], -0.18408962027966036, 'kelpie')]",9.050512,172.5,"[0.8975099, 1.6305857]","(30984, 1, 6485)",1.2640477,"[279, 66]",1,6
"[([(29963, 2, 1137)], 5.850420152190415, 'kelpie'), ([(39696, 5, 774), (29963, 2, 1137), (39696, 2, 1137)], 5.4474998, 'xrule'), ([(38592, 2, 1137), (29963, 2, 1137), (38592, 5, 774)], 5.4433994, 'xrule'), ([(20262, 2, 1137), (29963, 2, 1137), (20262, 5, 774)], 5.4174995, 'xrule'), ([(1914, 8, 29963)], -2.4283646194784576, 'kelpie')]",8.869197,10.0,"[8.788587, 7.3838196]","(29963, 5, 774)",8.086203,"[7, 13]",1,5
"[([(2573, 1, 17030)], 2.6565003, 'xrule'), ([(2573, 1, 17030)], 2.5545946662167798, 'kelpie'), ([(13110, 1, 17030), (2573, 0, 2574), (17030, 1, 13110), (13110, 0, 2574)], -0.27789974, 'xrule'), ([(17030, 0, 4127)], -0.2962712832927085, 'kelpie'), ([(17030, 1, 13110)], -0.31352515889692606, 'kelpie')]",8.604788,242.0,"[0.8248585, 0.91478133]","(17030, 1, 2573)",0.8698199,"[246, 238]",1,5
"[([(20114, 6, 20115)], 1.915011495332419, 'kelpie'), ([(20114, 6, 4716), (20114, 6, 20115), (4716, 2, 2580)], 1.8128996, 'xrule'), ([(20114, 6, 22561), (20114, 6, 20115), (22561, 2, 2580)], 1.8010998, 'xrule'), ([(30667, 2, 2580), (20114, 6, 20115), (20114, 6, 30667)], 1.7769995, 'xrule'), ([(12790, 8, 20115)], 0.5226307343383212, 'kelpie')]",8.1901455,113.5,"[4.288851, 2.7398205]","(20115, 2, 2580)",3.5143356,"[60, 167]",1,5
"[([(18271, 1, 3741)], 6.2082, 'xrule'), ([(18271, 1, 3741)], 1.0087214027226916, 'kelpie'), ([(3741, 6, 29582)], 0.05116275975132279, 'kelpie'), ([(23931, 0, 3741)], 0.04716781803019071, 'kelpie')]",10.975729,16466.5,"[-1.5081332, -0.45675665]","(3741, 1, 18271)",-0.9824449,"[24427, 8506]",1,4
"[([(7531, 1, 7532)], 4.1284995, 'xrule'), ([(7532, 1, 13150)], -0.039429624574681306, 'kelpie'), ([(7532, 1, 11527)], -0.08175464439692819, 'kelpie'), ([(7532, 1, 6969)], -0.1600532129225268, 'kelpie')]",8.390123,2808.0,"[0.43503225, 0.2787522]","(7532, 1, 7531)",0.35689223,"[2376, 3240]",1,4
"[([(36226, 1, 1771)], 2.6282, 'xrule'), ([(36226, 1, 1771)], 0.18369487983445115, 'kelpie'), ([(9610, 1, 1771)], 0.16147808288976823, 'kelpie'), ([(1771, 1, 7171)], -0.009615858127261819, 'kelpie'), ([(9610, 0, 9611), (36226, 0, 9611), (9610, 1, 1771)], -0.020199776, 'xrule')]",9.191784,40677.5,"[-2.8083158, -2.974669]","(1771, 1, 36226)",-2.8914924,"[40843, 40512]",1,5
"[([(10563, 9, 6882)], 2.2876997, 'xrule'), ([(10563, 9, 6882)], 1.3903198868821423, 'kelpie'), ([(9971, 1, 6882), (9971, 1, 10563), (6882, 1, 9971), (10563, 1, 9971)], 0.0015001297, 'xrule'), ([(6883, 1, 2955), (6882, 0, 6883), (2955, 1, 10563), (10563, 1, 2955), (2955, 1, 6883)], -0.018899918, 'xrule'), ([(9971, 1, 6882)], -0.13333698069551858, 'kelpie'), ([(6882, 1, 9971)], -0.13415332593025014, 'kelpie')]",10.239602,37918.5,"[-10.029243, -9.871937]","(6882, 9, 10563)",-9.95059,"[36766, 39071]",1,6
"[([(27614, 5, 172), (27614, 0, 28580)], 1.6579001, 'xrule'), ([(27614, 0, 28580)], 1.2990559933405887, 'kelpie'), ([(28580, 0, 13179)], -1.114551013583174, 'kelpie')]",7.0875874,1.0,"[10.403275, 9.783778]","(28580, 5, 172)",10.093527,"[1, 1]",1,3
"[([(28165, 1, 40453)], 15.1956005, 'xrule'), ([(28165, 1, 40453)], 11.62026042629262, 'kelpie')]",9.401691,15077.0,"[-3.037339, -3.793588]","(40453, 1, 28165)",-3.4154634,"[8602, 21552]",1,2
"[([(16026, 1, 21645)], 1.0545006, 'xrule'), ([(16026, 1, 21645)], 0.7970276346103573, 'kelpie'), ([(19508, 1, 14574), (21645, 1, 14574), (14574, 1, 19508), (16026, 1, 19508), (19508, 1, 16026), (14574, 1, 21645)], 0.10340023, 'xrule'), ([(14574, 1, 21645), (21645, 1, 14574), (16026, 0, 3818), (14574, 0, 3818)], -0.0069999695, 'xrule'), ([(21645, 1, 14574)], -0.06868930627752735, 'kelpie'), ([(14574, 1, 21645)], -0.07057567408466156, 'kelpie')]",9.251232,41.0,"[1.8684428, 2.063767]","(21645, 1, 16026)",1.9661049,"[49, 33]",1,6
"[([(13752, 1, 11251)], 4.1373, 'xrule'), ([(13752, 1, 11251)], 2.4058209782838564, 'kelpie'), ([(11251, 0, 23434)], 0.043190042442869156, 'kelpie'), ([(11251, 1, 5715)], -0.36298556965875156, 'kelpie')]",9.526362,19086.0,"[-1.0321324, -1.4978168]","(11251, 1, 13752)",-1.2649746,"[8418, 29754]",1,4
"[([(11702, 1, 26645)], 3.8939004, 'xrule'), ([(11702, 1, 26645)], 2.0796977101827254, 'kelpie'), ([(6759, 1, 129), (129, 1, 6759), (11702, 0, 6759), (6759, 5, 129), (26645, 5, 129)], 0.18400002, 'xrule'), ([(11590, 0, 26645)], -0.004055936839955445, 'kelpie'), ([(26645, 5, 129)], -0.22719951389826495, 'kelpie')]",10.44846,39337.5,"[-13.780918, -10.122723]","(26645, 1, 11702)",-11.95182,"[40056, 38619]",1,5
"[([(23887, 6, 31376), (23887, 6, 13632), (13632, 2, 743)], 1.7526002, 'xrule'), ([(23887, 6, 31376), (23887, 6, 742), (742, 2, 743)], 1.6515002, 'xrule'), ([(23887, 6, 31376)], 1.0763340523805784, 'kelpie'), ([(23887, 6, 31376), (23887, 6, 11979), (11979, 2, 743)], 1.0522003, 'xrule'), ([(10052, 6, 31376)], 0.126823465444857, 'kelpie'), ([(12272, 6, 31376)], -0.17348047040416817, 'kelpie')]",7.7001705,29.0,"[6.7249346, 5.5209537]","(31376, 2, 743)",6.122944,"[13, 45]",1,6
"[([(2601, 1, 5394)], 1.7930002, 'xrule'), ([(2601, 1, 5394)], 0.856279420986408, 'kelpie'), ([(20358, 0, 5394)], 0.17155555936997713, 'kelpie'), ([(19801, 1, 19802), (19801, 0, 5394), (19802, 1, 19801), (19802, 0, 2601)], 0.104400635, 'xrule'), ([(19801, 0, 5394)], 0.10427383616882158, 'kelpie'), ([(20359, 0, 2601), (20358, 1, 20359), (20358, 0, 5394), (20359, 1, 20358)], 0.054600716, 'xrule')]",9.64728,10.5,"[4.4483438, 4.4607205]","(5394, 1, 2601)",4.454532,"[9, 12]",1,6
"[([(2617, 1, 11144)], 2.4752998, 'xrule'), ([(2617, 1, 11144)], 1.828364456154238, 'kelpie'), ([(11144, 0, 21098), (21097, 1, 21098), (2617, 0, 21097)], 0.18379974, 'xrule'), ([(11144, 0, 21098)], -0.10830112258590158, 'kelpie')]",9.984545,25262.0,"[-4.6113014, -7.008472]","(11144, 1, 2617)",-5.809887,"[17368, 33156]",1,4
"[([(8153, 1, 10925)], 2.6174241690035895, 'kelpie'), ([(8153, 1, 10925)], 2.5667, 'xrule'), ([(12946, 1, 10925)], 0.05927852816956424, 'kelpie'), ([(12946, 1, 9917), (9917, 1, 12946), (8153, 1, 9917), (12946, 1, 10925), (9917, 1, 8153)], 0.0064001083, 'xrule'), ([(10925, 1, 5889)], -0.5419978665104451, 'kelpie')]",9.006329,567.5,"[0.26863128, 0.7830636]","(10925, 1, 8153)",0.52584743,"[783, 352]",1,5
"[([(15171, 1, 12999), (15729, 1, 16455), (16455, 1, 15729), (16455, 1, 15171), (12999, 1, 15171), (15171, 1, 16455)], 4.3131, 'xrule'), ([(15171, 1, 31425), (15171, 1, 12999), (12999, 1, 15171), (31425, 1, 15171), (15729, 1, 31425)], 4.1059, 'xrule'), ([(15730, 1, 15171), (15171, 1, 12999), (15729, 1, 15730), (12999, 1, 15171), (15730, 1, 15729), (15171, 1, 15730)], 3.9824, 'xrule'), ([(15171, 1, 12999)], 0.6256070577548827, 'kelpie'), ([(12999, 1, 15171)], 0.6216030560812194, 'kelpie'), ([(12999, 0, 30527)], -0.27171512346680166, 'kelpie')]",6.798723,36177.5,"[-4.611575, -3.3325608]","(12999, 1, 15729)",-3.9720678,"[36883, 35472]",1,6
"[([(19910, 9, 8634)], 5.0952997, 'xrule'), ([(19910, 9, 8634)], 3.515775560500913, 'kelpie'), ([(8634, 0, 30340)], 0.009503404549886532, 'kelpie'), ([(8634, 9, 5388)], -0.5617265269176765, 'kelpie')]",9.567928,5181.0,"[-0.07740855, -0.22575215]","(8634, 9, 19910)",-0.15158035,"[4448, 5914]",1,4
"[([(5596, 1, 32633)], 1.6665001, 'xrule'), ([(5596, 1, 32633)], 1.62142093291008, 'kelpie'), ([(5596, 1, 5176), (5176, 1, 5596), (32633, 0, 5176)], 0.06429958, 'xrule'), ([(32633, 0, 5176)], 0.0022764605868343855, 'kelpie'), ([(5596, 1, 5595), (5595, 0, 5176), (5595, 1, 5596), (32633, 0, 5176)], -0.020700455, 'xrule'), ([(6813, 1, 32633)], -0.30845351891299777, 'kelpie')]",9.348708,9.0,"[3.480952, 2.8882875]","(32633, 1, 5596)",3.18462,"[6, 12]",1,6
"[([(9012, 0, 2536), (2536, 9, 2537), (2537, 5, 7786), (2537, 9, 2536)], 11.879499, 'xrule'), ([(9012, 0, 2536), (12245, 0, 2536), (12245, 5, 7786)], 11.8431, 'xrule'), ([(9012, 0, 2536), (21593, 5, 7786), (21593, 0, 2536)], 11.8371, 'xrule'), ([(9012, 0, 2536)], 8.49486192369749, 'kelpie')]",8.305224,132.5,"[4.2172065, 2.8408089]","(9012, 5, 7786)",3.5290077,"[89, 176]",1,4
"[([(25496, 0, 25497), (5309, 0, 5310), (5309, 0, 25497)], 12.4868, 'xrule'), ([(25496, 0, 25497), (15830, 0, 5310), (15830, 0, 25497)], 12.4657, 'xrule'), ([(25496, 0, 25497)], 8.807988329841871, 'kelpie')]",7.0187235,8688.0,"[-6.3458996, -6.300253]","(25496, 0, 5310)",-6.3230762,"[7690, 9686]",1,3
"[([(4691, 1, 36188)], 1.8999996, 'xrule'), ([(4691, 1, 36188)], 0.9568014643397418, 'kelpie'), ([(36188, 3, 6093)], 0.010316888760716491, 'kelpie'), ([(36188, 1, 20727)], -0.17035003445940436, 'kelpie'), ([(36188, 1, 20727), (20727, 1, 36188), (4691, 0, 4692), (20727, 0, 4692)], -0.19050026, 'xrule')]",9.827701,39436.0,"[-13.120091, -11.075146]","(36188, 1, 4691)",-12.097618,"[38989, 39883]",1,5
"[([(8525, 4, 23270), (8525, 4, 21505), (23270, 0, 296)], 10.0375, 'xrule'), ([(8525, 4, 21505)], 5.344250407765095, 'kelpie')]",6.9597425,26.0,"[5.2540383, 5.48444]","(21505, 0, 296)",5.369239,"[28, 24]",1,2
"[([(16736, 1, 7605)], 3.5151005, 'xrule'), ([(16736, 1, 7605)], 1.895426838274759, 'kelpie'), ([(7605, 0, 5690)], -0.12468810832967205, 'kelpie'), ([(7605, 1, 7606)], -0.32939525307508155, 'kelpie'), ([(16736, 1, 7606), (7606, 1, 16736), (7606, 1, 7605), (7605, 1, 7606)], -1.3413, 'xrule')]",9.469548,36857.5,"[-11.028627, -9.382399]","(7605, 1, 16736)",-10.205513,"[36224, 37491]",1,5
"[([(14493, 1, 37743)], 2.9692998, 'xrule'), ([(14493, 1, 37743)], 2.2295199580398077, 'kelpie'), ([(37743, 0, 770)], -0.20626350174811992, 'kelpie'), ([(37743, 0, 25874)], -0.2165965629482028, 'kelpie'), ([(14493, 1, 25874), (25874, 1, 14493), (37743, 0, 25874)], -0.24450016, 'xrule')]",9.327404,23761.0,"[-9.528982, -2.7644956]","(37743, 1, 14493)",-6.146739,"[33111, 14411]",1,5
"[([(2944, 9, 2945)], 3.8788996, 'xrule'), ([(2944, 9, 2945)], 2.7375547253011034, 'kelpie'), ([(2944, 0, 203), (2945, 0, 203)], 0.2112999, 'xrule'), ([(2945, 0, 203)], -0.4187974511977462, 'kelpie')]",10.549395,35488.5,"[-14.849495, -6.1827006]","(2945, 9, 2944)",-10.516098,"[40524, 30453]",1,4
"[([(3408, 6, 2381)], 1.0165377175903225, 'kelpie'), ([(3684, 2, 12273), (3408, 6, 2381), (3408, 6, 3684)], 0.8423996, 'xrule'), ([(7129, 2, 12273), (3408, 6, 2381), (3408, 6, 7129)], 0.80009985, 'xrule'), ([(3408, 6, 16032), (3408, 6, 2381), (16032, 2, 12273)], 0.5843997, 'xrule'), ([(2380, 6, 2381)], 0.22233776325987809, 'kelpie'), ([(4109, 6, 2381)], 0.0297632617674887, 'kelpie')]",8.170172,1.0,"[5.775332, 5.5131693]","(2381, 2, 12273)",5.644251,"[1, 1]",1,6
"[([(3847, 1, 17802)], 1.7930002, 'xrule'), ([(3847, 1, 17802)], 0.8238506789272096, 'kelpie'), ([(17802, 1, 17801)], 0.0565357608499881, 'kelpie'), ([(17801, 1, 17802)], 0.05217842288198869, 'kelpie'), ([(24768, 1, 3847), (17802, 1, 17801), (17801, 1, 24768), (24768, 1, 17801), (3847, 1, 24768), (17801, 1, 17802)], -0.5225992, 'xrule')]",8.961193,16934.5,"[-0.5785433, -2.4674673]","(17802, 1, 3847)",-1.5230052,"[4153, 29716]",1,5
"[([(8629, 1, 7673)], 3.1420999, 'xrule'), ([(8629, 1, 7673)], 1.788355908824707, 'kelpie'), ([(7673, 0, 19841)], -0.03345390133042555, 'kelpie'), ([(7673, 1, 3533)], -0.1504630640300204, 'kelpie')]",9.002323,190.5,"[2.2274334, 1.141026]","(7673, 1, 8629)",1.6842297,"[52, 329]",1,4
"[([(16054, 1, 26644)], 2.1005, 'xrule'), ([(16054, 1, 26644)], 1.7735882612171359, 'kelpie'), ([(4985, 1, 26644)], 0.10800461014522174, 'kelpie'), ([(26644, 3, 16053)], -0.3826093258917952, 'kelpie'), ([(16053, 1, 16054), (16053, 1, 4985), (16054, 1, 16053), (4985, 1, 26644), (4985, 1, 16053)], -0.43779945, 'xrule'), ([(26644, 3, 16053), (16054, 1, 16053), (16053, 1, 16054), (16053, 3, 26644)], -0.63759995, 'xrule')]",9.2418165,29789.5,"[-8.249457, -5.6797886]","(26644, 1, 16054)",-6.964623,"[29991, 29588]",1,6
"[([(5305, 1, 29442)], 1.7723999, 'xrule'), ([(5305, 1, 29442)], 1.3064108491203312, 'kelpie'), ([(29442, 1, 8152)], -0.08282848167034196, 'kelpie'), ([(29442, 1, 17373)], -0.22872634651562304, 'kelpie'), ([(1754, 1, 8152), (8152, 1, 1754), (29442, 1, 8152), (8152, 1, 29442), (1754, 1, 5305), (5305, 1, 1754)], -0.2486, 'xrule')]",8.90522,404.0,"[0.41322237, 2.3687074]","(29442, 1, 5305)",1.3909649,"[776, 32]",1,5
"[([(1770, 1, 1771)], 1.9812002, 'xrule'), ([(1771, 1, 13508)], 0.02620510287889566, 'kelpie'), ([(1771, 1, 7171)], -0.01167579463978881, 'kelpie'), ([(1771, 1, 3480)], -0.0715694026842738, 'kelpie'), ([(21991, 0, 1771), (21991, 1, 1770), (1770, 1, 21991)], -0.1008997, 'xrule')]",8.726723,8054.5,"[0.6608808, -0.1783882]","(1771, 1, 1770)",0.24124631,"[2155, 13954]",1,5
"[([(512, 4, 22121)], 3.4291585396176596, 'kelpie'), ([(512, 4, 4929), (512, 4, 22121), (4929, 0, 351)], 2.7183995, 'xrule'), ([(512, 4, 15290), (15290, 0, 351), (512, 4, 22121)], 2.6837997, 'xrule'), ([(512, 4, 22121), (512, 4, 34879), (34879, 0, 351)], 2.5988994, 'xrule'), ([(22121, 4, 13498)], -1.1200894769922378, 'kelpie')]",8.308378,40.0,"[5.2859316, 4.003578]","(22121, 0, 351)",4.644755,"[26, 54]",1,5
"[([(4301, 1, 10990)], 1.7748995, 'xrule'), ([(6575, 0, 1380), (10990, 0, 1380), (4301, 1, 6575), (6575, 1, 4301)], -0.055900574, 'xrule'), ([(10990, 1, 23716)], -0.06969161797481448, 'kelpie'), ([(10990, 1, 35363)], -0.07619949149004207, 'kelpie'), ([(10990, 1, 10991)], -0.10804172317692355, 'kelpie')]",9.040138,5768.5,"[0.42740315, 0.29222873]","(10990, 1, 4301)",0.35981596,"[4362, 7175]",1,5
"[([(37187, 1, 22873)], 14.173201, 'xrule'), ([(22873, 1, 31727)], 0.015757600754400383, 'kelpie'), ([(22873, 1, 5829)], -0.008138616602782468, 'kelpie'), ([(22873, 1, 25501)], -0.014333684977082093, 'kelpie')]",9.392544,38357.5,"[-0.6278782, -1.7617517]","(22873, 1, 37187)",-1.1948149,"[35952, 40763]",1,4
"[([(13776, 2, 916)], 3.642136975996093, 'kelpie'), ([(27523, 2, 121), (27523, 2, 916), (13776, 2, 916)], 3.2749, 'xrule'), ([(6932, 2, 121), (6932, 2, 916), (13776, 2, 916)], 3.2345, 'xrule'), ([(9036, 2, 916), (9036, 2, 121), (13776, 2, 916)], 3.2338, 'xrule'), ([(2181, 6, 13776)], -0.34665771180427146, 'kelpie')]",8.00515,5.0,"[10.048454, 9.872612]","(13776, 2, 121)",9.960533,"[2, 8]",1,5
"[([(17464, 1, 17465)], 7.2282, 'xrule'), ([(17464, 1, 17465)], 1.6944523619900251, 'kelpie'), ([(17465, 0, 21131)], 0.12438205919160839, 'kelpie'), ([(17465, 1, 10330)], -0.29227443422392546, 'kelpie')]",9.928814,19590.5,"[-1.8725407, -1.4046769]","(17465, 1, 17464)",-1.6386088,"[18954, 20227]",1,4
"[([(33614, 0, 5517)], 1.6905718610091116, 'kelpie'), ([(33614, 0, 5517), (26672, 0, 5517), (26672, 5, 172)], 1.6791997, 'xrule'), ([(27866, 0, 5517), (33614, 0, 5517), (27866, 5, 172)], 1.6469998, 'xrule'), ([(23573, 0, 5517), (33614, 0, 5517), (23573, 5, 172)], 1.6334996, 'xrule'), ([(26515, 4, 33614)], 0.8566508771045944, 'kelpie')]",7.783125,1.0,"[10.40336, 9.783768]","(33614, 5, 172)",10.093564,"[1, 1]",1,5
"[([(8993, 1, 7948)], 4.8894997, 'xrule'), ([(8993, 1, 7948)], 1.0776157907043165, 'kelpie'), ([(7948, 0, 15464)], 0.055872957202378296, 'kelpie'), ([(7948, 1, 22982)], -0.12583347119506283, 'kelpie'), ([(9238, 0, 22982), (8993, 0, 9238), (7948, 1, 22982), (22982, 1, 7948)], -0.65390015, 'xrule')]",9.079611,40608.0,"[-11.442884, -4.9878807]","(7948, 1, 8993)",-8.215383,"[40615, 40601]",1,5
