new_ranks,original_rank,new_scores,new_score,#facts,new_rank,facts,prediction,original_score
"[5, 2]",1,"[0.8236111, 0.94382864]",0.88371986,11,3.5,"[([(2206, 2, 916), (2206, 2, 121), (30007, 2, 916)], 2.5162, 'xrule'), ([(1919, 2, 916), (1919, 2, 121), (30007, 2, 916)], 1.6055002, 'xrule'), ([(120, 2, 916), (30007, 2, 916), (120, 2, 121)], 0.9649, 'xrule'), ([(4649, 2, 121), (4649, 2, 916), (30007, 2, 916)], 0.5666008, 'xrule'), ([(1242, 2, 916), (30007, 2, 916), (1242, 2, 121)], 0.4993, 'xrule'), ([(3016, 2, 121), (3016, 2, 916), (30007, 2, 916)], 0.15350056, 'xrule'), ([(30007, 2, 916)], -0.026016195358920222, 92.49349630799031), ([(5151, 2, 121), (5151, 2, 916), (30007, 2, 916)], -0.38539982, 'xrule'), ([(4798, 2, 121), (4798, 2, 916), (30007, 2, 916)], -0.6704998, 'xrule'), ([(3306, 2, 916), (30007, 2, 916), (3306, 2, 121)], -0.85259914, 'xrule'), ([(2883, 2, 121), (30007, 2, 916), (2883, 2, 916)], -0.9359999, 'xrule')]","(30007, 2, 121)",0.6540674
"[39998, 37767]",1,"[6.4491262, 6.4062996]",6.427713,9,38882.5,"[([(18612, 0, 6720), (14219, 0, 6720), (12266, 4, 14219)], 0.8182993, 'xrule'), ([(18612, 0, 6720), (13105, 4, 12266), (13105, 4, 6720)], 0.36209965, 'xrule'), ([(18612, 0, 6720), (10298, 0, 6720), (12266, 4, 10298)], -0.17080021, 'xrule'), ([(12266, 0, 3640)], -0.2148675514017989, -76.55351118049111), ([(6962, 0, 6720), (18612, 0, 6720), (12266, 4, 6962)], -0.6339998, 'xrule'), ([(18612, 0, 6720), (12266, 4, 9695), (9695, 0, 6720)], -1.0952005, 'xrule'), ([(18612, 0, 6720), (1862, 0, 6720), (12266, 4, 1862)], -1.6104002, 'xrule'), ([(18612, 0, 6720), (12266, 4, 12267), (12267, 0, 6720)], -1.6182003, 'xrule'), ([(18612, 0, 6720), (12266, 4, 16385), (16385, 0, 6720)], -2.8806, 'xrule')]","(12266, 4, 18612)",1.0805113
"[299, 25730]",1,"[5.3067956, 5.0238867]",5.1653414,4,13014.5,"[([(1073, 4, 31237)], 1.5116453846750786, -8077.180695085241), ([(1073, 4, 31237), (1074, 0, 2110), (1073, 4, 1074)], -0.89089966, 'xrule'), ([(1073, 4, 31237), (34048, 0, 2110), (1073, 4, 34048)], -1.4231997, 'xrule'), ([(1073, 4, 31237), (12993, 0, 2110), (1073, 4, 12993)], -3.0273, 'xrule')]","(31237, 0, 2110)",1.3141148
"[635, 10945]",1,"[5.1831517, 5.417186]",5.300169,4,5790.0,"[([(24513, 4, 24514)], 2.3332039165830625, 1901.9115898831715), ([(17178, 4, 24513), (39700, 0, 4550), (17178, 4, 39700)], 2.1131, 'xrule'), ([(17178, 4, 24513), (17178, 4, 27816), (27816, 0, 4550)], 1.1192999, 'xrule'), ([(17178, 4, 24513), (17178, 4, 14360), (14360, 0, 4550)], -0.4012003, 'xrule')]","(24513, 0, 4550)",1.9245131
"[10, 3]",1,"[2.2493067, 1.1596172]",1.7044619,11,6.5,"[([(1513, 2, 916), (9258, 2, 121), (1513, 2, 121)], 4.4505005, 'xrule'), ([(9258, 2, 121), (19715, 2, 121), (19715, 2, 916)], 3.1043005, 'xrule'), ([(30719, 2, 916), (9258, 2, 121), (30719, 2, 121)], 2.7209005, 'xrule'), ([(9258, 2, 121), (6998, 2, 121), (6998, 2, 916)], 2.4583006, 'xrule'), ([(9258, 2, 121), (2883, 2, 121), (2883, 2, 916)], 2.3634005, 'xrule'), ([(35960, 2, 916), (9258, 2, 121), (35960, 2, 121)], 1.6543007, 'xrule'), ([(14172, 2, 121), (9258, 2, 121), (14172, 2, 916)], 1.4855003, 'xrule'), ([(9258, 2, 121), (29307, 2, 121), (29307, 2, 916)], 0.28040028, 'xrule'), ([(9258, 2, 121), (33253, 2, 121), (33253, 2, 916)], 0.19449997, 'xrule'), ([(3306, 2, 916), (9258, 2, 121), (3306, 2, 121)], -0.4052, 'xrule'), ([(9258, 2, 121)], -0.5201205779405504, 239.3728240289591)]","(9258, 2, 916)",0.6697103
"[6014, 68]",1,"[5.386059, 4.9908285]",5.1884437,4,3041.0,"[([(12825, 4, 32698), (32698, 0, 265), (12825, 4, 36270)], 2.7212, 'xrule'), ([(12825, 4, 16310), (16310, 0, 265), (12825, 4, 36270)], 2.3829002, 'xrule'), ([(12825, 4, 36270)], 0.18740467293258506, 289.54671451834724), ([(12825, 4, 16823), (16823, 0, 265), (12825, 4, 36270)], -0.34459972, 'xrule')]","(36270, 0, 265)",2.4774587
"[5540, 393]",1,"[5.2988963, 5.279489]",5.2891927,4,2966.5,"[([(25916, 6, 36297)], 1.0313935795618383, -2272.262814028909), ([(25916, 6, 36297), (25917, 0, 16303), (25916, 6, 25917)], 0.2826004, 'xrule'), ([(25916, 6, 36297), (26541, 0, 16303), (25916, 6, 26541)], -0.23579979, 'xrule'), ([(25916, 6, 36297), (23605, 0, 16303), (25916, 6, 23605)], -1.1451998, 'xrule')]","(36297, 0, 16303)",2.9325104
"[1, 8]",1,"[1.1007814, 2.2048054]",1.6527934,1,4.5,"[([(1131, 4, 15734)], 3.4439319129877073, 7914.9690496511475)]","(15734, 0, 184)",0.7776886
"[7173, 22913]",1,"[5.6620765, 5.9659944]",5.8140354,6,15043.0,"[([(4747, 5, 3149), (22951, 5, 3149)], 2.5515995, 'xrule'), ([(4747, 5, 3149), (3148, 5, 3149), (3148, 0, 22951)], 1.4729996, 'xrule'), ([(24714, 5, 3149), (4747, 5, 3149), (24714, 0, 22951)], 0.7502003, 'xrule'), ([(34665, 5, 3149), (4747, 5, 3149), (34665, 0, 22951)], -0.04600048, 'xrule'), ([(35121, 0, 22951), (4747, 5, 3149), (35121, 5, 3149)], -0.9406004, 'xrule'), ([(4747, 5, 3149)], -1.0160607778910848, 776.2657954131372)]","(4747, 0, 22951)",3.1222603
"[4, 1]",1,"[1.7120136, 1.8633606]",1.7876871,11,2.5,"[([(2930, 6, 18961)], 3.130199681702005, 105.95812139585479), ([(19812, 2, 7), (2930, 6, 19812), (2930, 6, 18961)], 2.3876991, 'xrule'), ([(9469, 2, 7), (2930, 6, 9469), (2930, 6, 18961)], 2.1629, 'xrule'), ([(37053, 2, 7), (2930, 6, 37053), (2930, 6, 18961)], 0.33379936, 'xrule'), ([(2931, 2, 7), (272, 6, 18961), (272, 6, 2931)], 0.32159996, 'xrule'), ([(28081, 2, 7), (272, 6, 18961), (272, 6, 28081)], 0.13000011, 'xrule'), ([(2931, 2, 7), (2930, 6, 2931), (2930, 6, 18961)], -0.3153, 'xrule'), ([(9687, 2, 7), (2930, 6, 9687), (2930, 6, 18961)], -0.5021, 'xrule'), ([(19812, 2, 7), (272, 6, 18961), (272, 6, 19812)], -1.2042999, 'xrule'), ([(22134, 2, 7), (272, 6, 18961), (272, 6, 22134)], -1.2446003, 'xrule'), ([(2930, 6, 12376), (12376, 2, 7), (2930, 6, 18961)], -1.5782003, 'xrule')]","(18961, 2, 7)",0.6120101
"[7383, 34537]",1,"[5.507429, 5.7806244]",5.6440268,12,20960.0,"[([(1038, 4, 39279), (9112, 0, 184), (1038, 4, 9112)], 1.4113998, 'xrule'), ([(1038, 4, 39279)], 0.9267540470206795, 438.7164162782435), ([(1038, 4, 39279), (6433, 0, 184), (1038, 4, 6433)], 0.9232998, 'xrule'), ([(1038, 4, 39279), (1038, 4, 9321), (9321, 0, 184)], 0.69970036, 'xrule'), ([(6598, 0, 184), (1038, 4, 39279), (1038, 4, 6598)], 0.65929985, 'xrule'), ([(1038, 4, 39279), (5267, 0, 184), (1038, 4, 5267)], 0.6430006, 'xrule'), ([(1038, 4, 6878), (1038, 4, 39279), (6878, 0, 184)], 0.4031, 'xrule'), ([(1038, 4, 39279), (2661, 0, 184), (1038, 4, 2661)], 0.15100002, 'xrule'), ([(1038, 4, 7356), (1038, 4, 39279), (7356, 0, 184)], -0.3249998, 'xrule'), ([(1038, 4, 6912), (1038, 4, 39279), (6912, 0, 184)], -0.33879948, 'xrule'), ([(1038, 4, 5292), (1038, 4, 39279), (5292, 0, 184)], -1.5775995, 'xrule'), ([(10117, 0, 184), (1038, 4, 39279), (1038, 4, 10117)], -1.9607, 'xrule')]","(39279, 0, 184)",0.8926251
"[17636, 3072]",1,"[4.9513044, 4.8969393]",4.924122,1,10354.0,"[([(17932, 4, 17933)], 0.9029512892408843, 5887.711555605686)]","(17933, 0, 160)",1.4126594
"[80, 65]",1,"[6.229273, 4.5282264]",5.37875,11,72.5,"[([(22077, 0, 3517)], 3.0603582813201466, 5.9552276123571), ([(40154, 0, 3517), (40154, 5, 6956), (22077, 0, 3517)], 1.1857996, 'xrule'), ([(31510, 0, 3517), (31510, 5, 6956), (22077, 0, 3517)], 0.67980003, 'xrule'), ([(3517, 5, 6956), (22077, 0, 3517)], -0.088900566, 'xrule'), ([(3516, 5, 6956), (3516, 0, 3517), (22077, 0, 3517)], -0.39000034, 'xrule'), ([(11959, 0, 3517), (11959, 5, 6956), (22077, 0, 3517)], -0.45020008, 'xrule'), ([(25797, 0, 3517), (25797, 5, 6956), (22077, 0, 3517)], -0.57299995, 'xrule'), ([(17475, 0, 3517), (17475, 5, 6956), (22077, 0, 3517)], -1.1871004, 'xrule'), ([(12495, 0, 3517), (12495, 5, 6956), (22077, 0, 3517)], -2.0254002, 'xrule'), ([(20087, 5, 6956), (20087, 0, 3517), (22077, 0, 3517)], -3.0200005, 'xrule'), ([(2485, 0, 3517), (2485, 5, 6956), (22077, 0, 3517)], -3.0227003, 'xrule')]","(22077, 5, 6956)",1.6869034
"[3, 1]",1,"[1.2477007, 0.883929]",1.0658149,1,2.0,"[([(10506, 4, 31801)], 0.037196199375039075, 19658.509297967845)]","(10506, 0, 296)",0.86584294
"[21, 42]",1,"[5.549997, 5.2490554]",5.399526,8,31.5,"[([(2899, 6, 36018), (2899, 6, 22501), (36018, 2, 1326)], 0.9356003, 'xrule'), ([(2899, 6, 22501), (15046, 2, 1326), (2899, 6, 15046)], 0.8785, 'xrule'), ([(2899, 6, 22501)], 0.49788383925146645, 211.6219618868422), ([(2899, 6, 22501), (2900, 2, 1326), (2899, 6, 2900)], 0.32829952, 'xrule'), ([(24664, 2, 1326), (2899, 6, 22501), (2899, 6, 24664)], -0.020500183, 'xrule'), ([(2899, 6, 22501), (2899, 6, 33533), (33533, 2, 1326)], -1.6618004, 'xrule'), ([(2899, 6, 33284), (2899, 6, 22501), (33284, 2, 1326)], -2.2364006, 'xrule'), ([(2899, 6, 20458), (2899, 6, 22501), (20458, 2, 1326)], -2.4786005, 'xrule')]","(22501, 2, 1326)",1.6838268
"[34047, 8]",1,"[5.315309, 4.796311]",5.05581,11,17027.5,"[([(3239, 4, 33666), (5942, 0, 278), (3239, 4, 5942)], 1.7068996, 'xrule'), ([(3239, 4, 33666), (8342, 0, 278), (3239, 4, 8342)], 1.0502005, 'xrule'), ([(3239, 4, 33666), (3239, 4, 4703), (4703, 0, 278)], 0.47630024, 'xrule'), ([(17896, 0, 278), (3239, 4, 33666), (3239, 4, 17896)], 0.3241005, 'xrule'), ([(3239, 4, 33666)], -0.03845687677985546, 3488.4903869555237), ([(3239, 4, 33666), (3239, 4, 15700), (15700, 0, 278)], -0.33139992, 'xrule'), ([(3239, 4, 16014), (3239, 4, 33666), (16014, 0, 278)], -0.68410015, 'xrule'), ([(3239, 4, 33666), (3239, 4, 1193), (1193, 0, 278)], -0.73209953, 'xrule'), ([(3239, 4, 33666), (19323, 0, 278), (3239, 4, 19323)], -0.74870014, 'xrule'), ([(3239, 4, 33666), (3239, 4, 18452), (18452, 0, 278)], -2.0263996, 'xrule'), ([(3239, 4, 33666), (8391, 0, 278), (3239, 4, 8391)], -2.3767996, 'xrule')]","(33666, 0, 278)",1.3730358
"[239, 3341]",1,"[4.37436, 6.2939205]",5.3341403,8,1790.0,"[([(34851, 0, 4448), (31737, 0, 4448), (34851, 0, 16660)], 1.3516006, 'xrule'), ([(14227, 0, 16660), (31737, 0, 4448), (14227, 0, 4448)], 1.2081003, 'xrule'), ([(4447, 0, 4448), (31737, 0, 4448), (4447, 0, 16660)], 0.28820038, 'xrule'), ([(31737, 0, 4448)], 0.17558483342494208, 40.543783768161276), ([(20439, 0, 16660), (31737, 0, 4448), (20439, 0, 4448)], 0.09360027, 'xrule'), ([(31737, 0, 4448), (22475, 0, 16660), (22475, 0, 4448)], -0.2081995, 'xrule'), ([(31985, 0, 16660), (31737, 0, 4448), (31985, 0, 4448)], -0.47289944, 'xrule'), ([(13469, 0, 4448), (31737, 0, 4448), (13469, 0, 16660)], -1.0200996, 'xrule')]","(31737, 0, 16660)",1.8926018
"[1672, 294]",1,"[5.5414844, 5.0361814]",5.2888327,2,983.0,"[([(13520, 4, 13521)], 1.5169468603425889, 2451.820088440194), ([(13520, 4, 13521), (13520, 4, 31693), (31693, 0, 427)], 1.3015995, 'xrule')]","(13521, 0, 427)",1.5232298
"[4, 3]",1,"[1.8772357, 1.8367114]",1.8569735,12,3.5,"[([(12815, 4, 16507), (12815, 4, 9392), (9392, 0, 184)], 2.0519, 'xrule'), ([(27991, 0, 184), (12815, 4, 16507), (12815, 4, 27991)], 0.86889935, 'xrule'), ([(12815, 4, 16507)], 0.86791234049729, -3657.29568889612), ([(12815, 4, 16507), (12815, 4, 5900), (5900, 0, 184)], 0.8572998, 'xrule'), ([(12815, 4, 16507), (12815, 4, 20176), (20176, 0, 184)], 0.5106993, 'xrule'), ([(25807, 0, 184), (12815, 4, 16507), (12815, 4, 25807)], 0.46299934, 'xrule'), ([(12815, 4, 24478), (12815, 4, 16507), (24478, 0, 184)], 0.054499626, 'xrule'), ([(12815, 4, 6858), (12815, 4, 16507), (6858, 0, 184)], -0.29590034, 'xrule'), ([(12815, 4, 29096), (29096, 0, 184), (12815, 4, 16507)], -0.44470024, 'xrule'), ([(12815, 4, 26693), (12815, 4, 16507), (26693, 0, 184)], -0.7218008, 'xrule'), ([(12815, 4, 18171), (18171, 0, 184), (12815, 4, 16507)], -0.7251005, 'xrule'), ([(12815, 4, 11270), (12815, 4, 16507), (11270, 0, 184)], -1.6336002, 'xrule')]","(16507, 0, 184)",1.0595998
"[144, 64]",1,"[5.254542, 4.6331816]",4.943862,11,104.0,"[([(19975, 2, 1137), (29963, 2, 1137), (19975, 5, 774)], 2.6353998, 'xrule'), ([(16671, 2, 1137), (29963, 2, 1137), (16671, 5, 774)], 1.8191996, 'xrule'), ([(22732, 2, 1137), (29963, 2, 1137), (22732, 5, 774)], 1.7119999, 'xrule'), ([(28565, 2, 1137), (29963, 2, 1137), (28565, 5, 774)], 1.5009995, 'xrule'), ([(10068, 2, 1137), (29963, 2, 1137), (10068, 5, 774)], 1.4941998, 'xrule'), ([(25704, 2, 1137), (29963, 2, 1137), (25704, 5, 774)], 1.0597, 'xrule'), ([(39696, 5, 774), (29963, 2, 1137), (39696, 2, 1137)], 1.0142002, 'xrule'), ([(21472, 5, 774), (29963, 2, 1137), (21472, 2, 1137)], 0.68239975, 'xrule'), ([(24912, 5, 774), (29963, 2, 1137), (24912, 2, 1137)], 0.29909992, 'xrule'), ([(15789, 5, 774), (29963, 2, 1137), (15789, 2, 1137)], 0.16349983, 'xrule'), ([(1914, 8, 29963)], -0.48572726779156095, -60.619099380546324)]","(29963, 5, 774)",1.4715588
"[40496, 16970]",1,"[7.8439116, 5.0283947]",6.4361534,11,28733.0,"[([(2173, 6, 25880)], 1.3867750793325515, 29441.80007689382), ([(5443, 6, 38083), (5443, 6, 25880), (2173, 6, 25880)], 0.4286003, 'xrule'), ([(5443, 6, 7021), (2173, 6, 7021), (5443, 6, 38083)], 0.3437996, 'xrule'), ([(5443, 6, 38083), (2173, 6, 10476), (5443, 6, 10476)], -0.121899605, 'xrule'), ([(7021, 2, 121), (2173, 6, 7021), (38083, 2, 121)], -0.22710037, 'xrule'), ([(5443, 6, 38083), (2173, 6, 24005), (5443, 6, 24005)], -0.43869972, 'xrule'), ([(5443, 6, 38083), (5443, 6, 25046), (2173, 6, 25046)], -0.67700005, 'xrule'), ([(5443, 6, 38083), (2173, 6, 30945), (5443, 6, 30945)], -0.90009975, 'xrule'), ([(5443, 6, 38083), (2173, 6, 2174), (5443, 6, 2174)], -1.5518999, 'xrule'), ([(5443, 6, 10711), (2173, 6, 10711), (5443, 6, 38083)], -2.4453, 'xrule'), ([(5443, 6, 38083), (5443, 6, 22326), (2173, 6, 22326)], -2.8416004, 'xrule')]","(2173, 6, 38083)",0.16975777
"[35518, 26588]",1,"[7.492403, 6.8466063]",7.1695046,4,31053.0,"[([(10444, 4, 38386)], 2.047360519022398, 25173.885680632036), ([(10444, 4, 38386), (10444, 4, 1903), (1903, 0, 1904)], -0.28100014, 'xrule'), ([(10444, 4, 38386), (10444, 4, 1904)], -1.3891001, 'xrule'), ([(10444, 4, 39173), (10444, 4, 38386), (39173, 0, 1904)], -4.2444, 'xrule')]","(38386, 0, 1904)",3.1416736
"[456, 545]",1,"[6.758952, 6.7863436]",6.772648,10,500.5,"[([(33711, 0, 21113), (19256, 5, 19257), (19256, 0, 21113)], 2.5979004, 'xrule'), ([(30935, 5, 19257), (33711, 5, 9528), (30935, 5, 9528)], 0.3593006, 'xrule'), ([(27098, 5, 19257), (33711, 5, 9528), (27098, 5, 9528)], 0.19649982, 'xrule'), ([(21113, 1, 9528), (21113, 5, 19257), (33711, 5, 9528), (21113, 1, 19257), (19257, 1, 21113), (21113, 5, 9528), (9528, 1, 21113)], 0.11270046, 'xrule'), ([(33711, 0, 21113)], -0.3675250593305501, 58.4091391795782), ([(33711, 0, 21113), (36696, 0, 21113), (36696, 5, 19257)], -1.3360996, 'xrule'), ([(22365, 5, 19257), (33711, 5, 9528), (22365, 5, 9528)], -1.5508003, 'xrule'), ([(27263, 5, 9528), (33711, 5, 9528), (27263, 5, 19257)], -1.6885996, 'xrule'), ([(33711, 0, 21113), (27263, 5, 19257), (27263, 0, 21113)], -1.8724003, 'xrule'), ([(19257, 1, 21113), (33711, 0, 21113), (21113, 1, 19257), (21113, 5, 19257)], -2.3856, 'xrule')]","(33711, 5, 19257)",1.6178828
"[4, 8]",1,"[4.9949193, 4.9946394]",4.9947796,11,6.0,"[([(18018, 2, 121), (8244, 2, 916), (8244, 2, 121)], 3.7617006, 'xrule'), ([(18018, 2, 121), (6864, 2, 121), (6864, 2, 916)], 2.8516006, 'xrule'), ([(18018, 2, 121), (3016, 2, 121), (3016, 2, 916)], 2.1996002, 'xrule'), ([(18018, 2, 121), (6266, 2, 916), (6266, 2, 121)], 2.0696, 'xrule'), ([(18018, 2, 121), (7511, 2, 916), (7511, 2, 121)], 1.8311005, 'xrule'), ([(18018, 2, 121), (3122, 2, 916), (3122, 2, 121)], 1.1067, 'xrule'), ([(18018, 2, 121)], 0.9774771240198925, -13.273392674122334), ([(18018, 2, 121), (1242, 2, 916), (1242, 2, 121)], 0.72380066, 'xrule'), ([(18018, 2, 121), (1513, 2, 121), (1513, 2, 916)], 0.64540005, 'xrule'), ([(18018, 2, 121), (1919, 2, 916), (1919, 2, 121)], -0.14190006, 'xrule'), ([(18018, 2, 121), (4774, 2, 121), (4774, 2, 916)], -0.19589996, 'xrule')]","(18018, 2, 916)",1.0748414
"[39804, 35596]",1,"[6.360075, 6.070482]",6.2152786,5,37700.0,"[([(3741, 6, 29582), (26307, 6, 11977), (26307, 6, 29582)], 3.6425, 'xrule'), ([(2857, 0, 3742), (2857, 6, 11977), (3741, 0, 3742)], 3.6314993, 'xrule'), ([(11976, 0, 3742), (11976, 6, 11977), (3741, 0, 3742)], 1.0318995, 'xrule'), ([(3741, 6, 9062), (11976, 6, 9062), (11976, 6, 11977)], 0.4712, 'xrule'), ([(23931, 0, 3741)], -1.6493572449468195, -1052.8388041713151)]","(3741, 6, 11977)",1.0016706
"[7, 1]",1,"[1.8335896, 2.071965]",1.9527773,7,4.0,"[([(9031, 0, 2687), (9031, 0, 19383), (19383, 4, 33791)], 1.1062994, 'xrule'), ([(19383, 4, 28231), (28231, 0, 2687), (19383, 4, 33791)], 1.0869999, 'xrule'), ([(19383, 4, 28466), (28466, 0, 2687), (19383, 4, 33791)], 0.9076996, 'xrule'), ([(33791, 4, 11695)], -0.4292563973378833, 22599.39430390099), ([(19383, 4, 6244), (6244, 0, 2687), (19383, 4, 33791)], -0.80529976, 'xrule'), ([(15809, 0, 2687), (19383, 4, 33791), (19383, 4, 15809)], -0.9695997, 'xrule'), ([(19382, 4, 2687), (19382, 4, 19383), (19383, 4, 33791)], -1.0550003, 'xrule')]","(33791, 0, 2687)",1.1540937
"[23, 26]",1,"[4.2745037, 4.3027344]",4.288619,8,24.5,"[([(219, 0, 220), (219, 5, 172), (36972, 0, 220)], 2.5538998, 'xrule'), ([(220, 5, 172), (36972, 0, 220)], 1.4136, 'xrule'), ([(36972, 0, 220)], 1.0735922386567773, 162.7452794498374), ([(3077, 0, 220), (36972, 0, 220), (3077, 5, 172)], -0.07390022, 'xrule'), ([(36972, 0, 220), (11515, 0, 220), (11515, 5, 172)], -1.5210009, 'xrule'), ([(36972, 0, 220), (13906, 5, 172), (13906, 0, 220)], -1.8406, 'xrule'), ([(21709, 0, 220), (36972, 0, 220), (21709, 5, 172)], -1.9434004, 'xrule'), ([(36972, 0, 220), (23386, 0, 220), (23386, 5, 172)], -2.4529, 'xrule')]","(36972, 5, 172)",4.8635826
"[60, 67]",1,"[1.9452819, 2.139542]",2.042412,2,63.5,"[([(18332, 4, 18333)], 0.9797945526346548, 829.7270674391945), ([(19658, 0, 1929), (18332, 4, 18333), (18332, 4, 19658)], 0.30340004, 'xrule')]","(18333, 0, 1929)",1.5995007
"[989, 792]",1,"[3.9677532, 4.334987]",4.15137,6,890.5,"[([(3408, 8, 27097)], 2.505333090103289, 906.9245148347522), ([(24530, 0, 10241), (3408, 8, 24530), (3408, 8, 27097)], -0.9236002, 'xrule'), ([(3408, 8, 16405), (16405, 0, 10241), (3408, 8, 27097)], -1.2155008, 'xrule'), ([(27782, 0, 10241), (3408, 8, 27782), (3408, 8, 27097)], -1.7861004, 'xrule'), ([(3408, 8, 133), (133, 0, 10241), (3408, 8, 27097)], -2.0355005, 'xrule'), ([(3408, 8, 34911), (3408, 8, 27097), (34911, 0, 10241)], -2.3885002, 'xrule')]","(27097, 0, 10241)",2.6455247
"[358, 16052]",1,"[5.142893, 4.9827204]",5.0628066,11,8205.0,"[([(2924, 4, 33324), (2924, 4, 16851), (16851, 0, 284)], 0.9982996, 'xrule'), ([(2924, 4, 33324), (8557, 0, 284), (2924, 4, 8557)], 0.3614998, 'xrule'), ([(2924, 4, 33324), (21268, 0, 284), (2924, 4, 21268)], -0.037700653, 'xrule'), ([(2924, 4, 33324), (22648, 0, 284), (2924, 4, 22648)], -0.108400345, 'xrule'), ([(2924, 4, 33324)], -0.6540174040115664, -8745.657915213578), ([(2924, 4, 33324), (2924, 4, 23718), (23718, 0, 284)], -1.0851002, 'xrule'), ([(2924, 4, 33324), (15811, 0, 284), (2924, 4, 15811)], -2.2953005, 'xrule'), ([(22837, 0, 284), (2924, 4, 33324), (2924, 4, 22837)], -2.3062, 'xrule'), ([(2924, 4, 33324), (2924, 4, 6543), (6543, 0, 284)], -2.5485, 'xrule'), ([(2924, 4, 33324), (2924, 4, 5059), (5059, 0, 284)], -3.5192003, 'xrule'), ([(2924, 4, 33324), (26529, 0, 284), (2924, 4, 26529)], -4.0453005, 'xrule')]","(33324, 0, 284)",0.75780964
"[1, 1]",1,"[0.6088619, 1.2049172]",0.90688956,1,1.0,"[([(3188, 8, 19442)], 0.7547188264634652, 737.6802060273095)]","(19442, 2, 1137)",1.2696587
"[1, 2]",1,"[1.2788924, 1.2335562]",1.2562243,7,1.5,"[([(20809, 4, 10021), (10021, 0, 1703), (20809, 4, 1864)], 2.4132996, 'xrule'), ([(20809, 4, 20647), (20647, 0, 1703), (20809, 4, 1864)], 2.1856995, 'xrule'), ([(34381, 0, 1703), (20809, 4, 34381), (20809, 4, 1864)], 1.5953999, 'xrule'), ([(1864, 4, 12569)], 0.9323578374346078, 11198.717553384658), ([(20809, 4, 1864), (20809, 0, 1703)], -0.35160065, 'xrule'), ([(20809, 4, 6992), (6992, 0, 1703), (20809, 4, 1864)], -1.0104008, 'xrule'), ([(9129, 0, 1703), (20809, 4, 9129), (20809, 4, 1864)], -2.3520002, 'xrule')]","(1864, 0, 1703)",1.4160054
"[36069, 36760]",1,"[8.279102, 8.565987]",8.4225445,11,36414.5,"[([(18451, 0, 17127)], 1.4522815401508045, 115.8103493069043), ([(18451, 5, 2971), (1237, 5, 1238), (1237, 5, 2971)], -0.26930046, 'xrule'), ([(18451, 0, 17127), (17127, 5, 1238)], -0.80060005, 'xrule'), ([(18451, 5, 2971), (19824, 5, 1238), (19824, 5, 2971)], -0.80599976, 'xrule'), ([(18451, 0, 17127), (8703, 5, 1238), (8703, 0, 17127)], -0.94799995, 'xrule'), ([(18451, 0, 17127), (23847, 0, 17127), (23847, 5, 1238)], -1.1512003, 'xrule'), ([(18451, 5, 2971), (28304, 5, 1238), (28304, 5, 2971)], -1.6233997, 'xrule'), ([(18451, 0, 17127), (1237, 0, 17127), (1237, 5, 1238)], -1.6254005, 'xrule'), ([(18451, 5, 2971), (19986, 5, 1238), (19986, 5, 2971)], -2.4708004, 'xrule'), ([(18451, 5, 2971), (23847, 5, 1238), (23847, 5, 2971)], -2.5959997, 'xrule'), ([(18451, 0, 17127), (17127, 5, 2971), (1238, 0, 2971)], -3.2052002, 'xrule')]","(18451, 5, 1238)",0.9023785
"[1, 1]",1,"[1.3758688, 1.169138]",1.2725034,11,1.0,"[([(7396, 4, 12341)], -0.14948268679430304, 27167.462698750685), ([(3608, 4, 7435), (3608, 4, 7396), (7435, 0, 39)], -0.19579983, 'xrule'), ([(3608, 4, 5173), (3608, 4, 7396), (5173, 0, 39)], -0.6985998, 'xrule'), ([(10388, 0, 39), (3608, 4, 7396), (3608, 4, 10388)], -1.1838999, 'xrule'), ([(28223, 0, 39), (3608, 4, 7396), (3608, 4, 28223)], -1.7825003, 'xrule'), ([(3608, 4, 7396), (16225, 0, 39), (3608, 4, 16225)], -2.0445004, 'xrule'), ([(3608, 4, 1826), (3608, 4, 7396), (1826, 0, 39)], -2.9524002, 'xrule'), ([(3608, 4, 7396), (17682, 0, 39), (3608, 4, 17682)], -3.4056005, 'xrule'), ([(3608, 4, 7396), (3608, 4, 40141), (40141, 0, 39)], -3.7553005, 'xrule'), ([(3608, 4, 7396), (7975, 0, 39), (3608, 4, 7975)], -3.8845005, 'xrule'), ([(13580, 0, 39), (3608, 4, 13580), (3608, 4, 7396)], -5.4172, 'xrule')]","(7396, 0, 39)",2.1907704
"[12, 2]",1,"[1.8250686, 2.4841454]",2.154607,1,7.0,"[([(15951, 4, 15952)], -0.3094853945175543, 13814.423240343196)]","(15952, 0, 3163)",2.5990837
