prediction,new_scores,new_ranks,facts,original_rank,new_score,#facts,new_rank,original_score
"(6383, 10, 7830)","[0.9914504885673523, 0.5299409031867981]","[1, 1]","[([(6383, 3, 10), (6383, 3, 733), (6383, 3, 748), (6383, 3, 6386)], 2.8836770664750153e-06, 'kelpie'), ([(6383, 3, 10), (6383, 3, 2539), (6383, 3, 2542), (6383, 3, 1526)], 2.8191829781357086e-06, 'kelpie'), ([(6383, 3, 7), (6383, 3, 6389), (6383, 2, 68)], 2.6479360396852578e-06, 'kelpie'), ([(6383, 3, 10), (16979, 10, 7830), (16979, 3, 10)], 0.0, 'xrule'), ([(6383, 3, 10), (21843, 10, 7830), (21843, 3, 10)], 0.0, 'xrule')]",1,0.7606956958770752,5,1.0,3.598073616828401e-09
"(5380, 10, 7830)","[0.9918515086174011, 0.14535538852214813]","[1, 1]","[([(5380, 3, 2127), (5380, 3, 476), (5380, 4, 66), (5380, 3, 2416)], 0.0007485177947195488, 'kelpie'), ([(5380, 3, 476), (5380, 4, 66), (5380, 2, 172), (5380, 3, 2416)], 0.0007461437367299956, 'kelpie'), ([(5380, 3, 5382), (5380, 4, 66), (5380, 3, 2416)], 0.0007416668684943704, 'kelpie'), ([(9644, 2, 31), (5380, 2, 31), (9644, 10, 7830)], 0.0, 'xrule'), ([(5380, 2, 31), (10373, 10, 7830), (10373, 2, 31)], 0.0, 'xrule'), ([(5380, 2, 31), (10561, 2, 31), (10561, 10, 7830)], 0.0, 'xrule')]",1,0.5686034485697746,6,1.0,9.406750933749208e-09
"(7097, 10, 7830)","[0.9797791838645935, 0.13989725708961487]","[1, 1]","[([(7097, 3, 7100), (7097, 3, 2173), (7097, 3, 1074), (7097, 4, 66)], 0.08969704343995719, 'kelpie'), ([(7097, 3, 733), (7097, 3, 2173), (7097, 3, 1855), (7097, 4, 66)], 0.08965548412978062, 'kelpie'), ([(7097, 3, 733), (7097, 4, 66), (7097, 3, 9), (7097, 3, 732)], 0.08965201958400291, 'kelpie'), ([(17113, 10, 7830), (7097, 3, 39), (17113, 3, 39)], 0.0, 'xrule'), ([(18970, 10, 7830), (18970, 3, 39), (7097, 3, 39)], 0.0, 'xrule'), ([(20890, 3, 39), (7097, 3, 39), (20890, 10, 7830)], 0.0, 'xrule')]",1,0.5598382204771042,6,1.0,3.679509363863076e-09
"(5665, 10, 7830)","[0.9788815975189209, 0.2492145597934723]","[1, 1]","[([(5665, 2, 30), (5665, 2, 69), (5665, 3, 9)], 5.996522791586709e-08, 'kelpie'), ([(5665, 3, 111), (5665, 3, 4549)], 5.984881258706607e-08, 'kelpie'), ([(5665, 2, 30), (5665, 3, 10), (5665, 3, 74), (5665, 3, 9)], 5.466833069118509e-08, 'kelpie'), ([(12570, 10, 7830), (5665, 3, 6), (12570, 3, 6)], 0.0, 'xrule'), ([(15839, 10, 7830), (5665, 3, 6), (15839, 3, 6)], 0.0, 'xrule'), ([(18260, 3, 6), (5665, 3, 6), (18260, 10, 7830)], 0.0, 'xrule')]",1,0.6140480786561966,6,1.0,1.1674138988837512e-07
"(6976, 11, 7956)","[0.0009306086576543748, 1.7461745301261544e-05]","[1, 2]","[([(6976, 3, 220), (6976, 2, 68)], 0.3792866286890365, 'kelpie'), ([(6976, 3, 220)], 0.2983614615275736, 'kelpie'), ([(6976, 3, 9)], 0.10696850257227523, 'kelpie'), ([(6976, 3, 6), (15619, 11, 7956), (15619, 3, 6)], 0.0, 'xrule'), ([(18454, 11, 7956), (6976, 3, 6), (18454, 3, 6)], 0.0, 'xrule'), ([(20818, 3, 6), (6976, 3, 6), (20818, 11, 7956)], 0.0, 'xrule')]",1,0.0004740352014778182,6,1.5,1.3795589438814204e-05
"(5627, 10, 7830)","[0.9745577573776245, 0.4006960093975067]","[1, 1]","[([(5627, 3, 7), (5627, 3, 3863), (5627, 3, 1407), (5627, 3, 40)], 0.00029244903885864906, 'kelpie'), ([(5627, 2, 27), (5627, 3, 666), (5627, 3, 3863), (5627, 3, 58)], 0.00029231073745334134, 'kelpie'), ([(5627, 2, 30), (5627, 3, 666), (5627, 3, 260), (5627, 3, 58)], 0.0002916268556307984, 'kelpie'), ([(5627, 3, 36), (22652, 3, 36), (22652, 10, 7830)], 0.0, 'xrule'), ([(11145, 3, 6), (11145, 10, 7830), (5627, 3, 6)], 0.0, 'xrule'), ([(19242, 10, 7830), (19242, 3, 6), (5627, 3, 6)], 0.0, 'xrule')]",1,0.6876268833875656,6,1.0,2.871291258088604e-07
"(5586, 10, 7830)","[0.9788641333580017, 0.21645186841487885]","[1, 1]","[([(5586, 1, 65), (5586, 3, 2417), (5586, 3, 88), (5586, 3, 506)], 0.007430613481130614, 'kelpie'), ([(5586, 1, 65), (5586, 3, 146), (5586, 3, 149)], 0.007430338271511123, 'kelpie'), ([(5586, 1, 65), (5586, 3, 506)], 0.007430275406369563, 'kelpie'), ([(5586, 1, 65), (16412, 10, 7830), (16412, 1, 65)], 0.0, 'xrule'), ([(9516, 3, 9), (9516, 10, 7830), (5586, 3, 9)], 0.0, 'xrule'), ([(12545, 3, 9), (12545, 10, 7830), (5586, 3, 9)], 0.0, 'xrule')]",1,0.5976580008864403,6,1.0,9.579575355189718e-09
"(5586, 12, 4492)","[0.0010812480468302965, 1.5746064718769048e-06]","[8, 476]","[([(23140, 3, 78), (23140, 12, 4492), (5586, 3, 78)], 0.5547, 'xrule'), ([(5586, 3, 6), (23140, 12, 4492), (23140, 3, 6)], 0.4261, 'xrule'), ([(23140, 2, 68), (23140, 12, 4492), (5586, 2, 68)], 0.4215, 'xrule'), ([(5586, 3, 279), (5586, 3, 10), (5586, 2, 728), (5586, 2, 68)], 0.03954415298818239, 'kelpie'), ([(5586, 3, 279)], 0.03938209542840156, 'kelpie'), ([(5586, 3, 6), (5586, 3, 88), (5586, 2, 68)], 0.03856177532919077, 'kelpie')]",1,0.0005414113266510867,6,242.0,0.07337050884962082
"(6900, 8, 7393)","[4.384370470844612e-12, 3.2787038861670226e-08]","[10, 2]","[([(6900, 3, 741), (21872, 8, 7393), (21872, 3, 741)], 0.017600004, 'xrule'), ([(6900, 3, 4052)], 0.0011979439095581282, 'kelpie'), ([(6900, 2, 2270)], 0.0011794813643165912, 'kelpie'), ([(6900, 5, 6901)], 0.0011301786441753462, 'kelpie'), ([(6900, 2, 68), (24326, 2, 68), (24326, 8, 7393)], -0.0013999939, 'xrule'), ([(6900, 2, 68), (22529, 8, 7393), (22529, 2, 68)], -0.0041999966, 'xrule')]",1,1.6395711616070535e-08,6,6.0,0.00042496295645833015
"(5645, 10, 7830)","[0.6754286885261536, 0.22108519077301025]","[1, 1]","[([(5645, 3, 20), (5645, 3, 5661), (5645, 1, 65)], 0.0002948266472354053, 'kelpie'), ([(5645, 2, 266), (5645, 1, 65), (5645, 3, 5648), (5645, 2, 30)], 0.00029474341027839446, 'kelpie'), ([(5645, 3, 75), (5645, 3, 2085), (5645, 1, 65), (5645, 3, 254)], 0.0002942719282148641, 'kelpie'), ([(11777, 10, 7830), (11777, 1, 65), (5645, 1, 65)], 0.0, 'xrule'), ([(22106, 10, 7830), (22106, 1, 65), (5645, 1, 65)], 0.0, 'xrule'), ([(22360, 1, 65), (22360, 10, 7830), (5645, 1, 65)], 0.0, 'xrule')]",1,0.4482569396495819,6,1.0,4.1949319573575394e-09
"(5844, 8, 7427)","[4.504925417620799e-14, 3.8064001950388615e-10]","[30, 13]","[([(5844, 2, 30), (25101, 8, 7427), (25101, 2, 30)], 0.2013, 'xrule'), ([(25101, 8, 7427), (25101, 3, 39), (5844, 3, 39)], 0.19829997, 'xrule'), ([(12095, 8, 7427), (12095, 3, 10), (5844, 3, 10)], 0.09289998, 'xrule'), ([(5844, 3, 2275), (5844, 5, 5845), (5844, 3, 276), (5844, 3, 10)], 0.0006797744219936952, 'kelpie'), ([(5844, 3, 2275), (5844, 5, 5845), (5844, 3, 1151)], 0.0006738594170220657, 'kelpie'), ([(5844, 3, 2275), (5844, 3, 276), (5844, 3, 10)], 0.0006329072963988497, 'kelpie')]",1,1.9034253437903118e-10,6,21.5,0.0008862688555382192
"(4870, 9, 8151)","[0.009800206869840622, 3.1645906801713863e-06]","[1, 6]","[([(16088, 2, 171), (16088, 9, 8151), (4870, 2, 171)], 0.07139999, 'xrule'), ([(24480, 2, 31), (24480, 9, 8151), (4870, 2, 31)], 0.03310001, 'xrule'), ([(4870, 2, 68), (21950, 2, 68), (21950, 9, 8151)], 0.022499979, 'xrule'), ([(4870, 3, 3987)], 0.008854888332447918, 'kelpie'), ([(4870, 2, 888), (4870, 3, 41), (4870, 3, 3987), (4870, 3, 88)], 0.007792264197857403, 'kelpie'), ([(4870, 3, 4879), (4870, 2, 1100), (4870, 3, 3987), (4870, 3, 88)], 0.001855912580309983, 'kelpie')]",1,0.004901685730260397,6,3.5,7.97808897914365e-05
"(6054, 9, 8151)","[0.006864405237138271, 2.0267092622816563e-05]","[1, 3]","[([(6054, 2, 171), (6054, 2, 305), (6054, 3, 6060), (6054, 3, 177)], 0.16624164138337746, 'kelpie'), ([(6054, 3, 177)], 0.16287982018952116, 'kelpie'), ([(6054, 3, 177), (6054, 3, 189)], 0.15935475679967842, 'kelpie'), ([(11633, 3, 6059), (11633, 9, 8151), (6054, 3, 6059)], 0.10780001, 'xrule'), ([(6054, 2, 305), (14192, 9, 8151), (14192, 2, 305)], -0.109799996, 'xrule'), ([(11633, 9, 8151), (11633, 3, 189), (6054, 3, 189)], -0.114700004, 'xrule')]",1,0.003442336164880544,6,2.0,0.00014518971147481352
"(6205, 8, 7410)","[4.9998290230224285e-11, 7.064899136821623e-07]","[9, 2]","[([(16437, 8, 7410), (16437, 3, 9), (6205, 3, 9)], 0.0023999999, 'xrule'), ([(12637, 8, 7410), (6205, 3, 10), (12637, 3, 10)], 0.0019999999, 'xrule'), ([(6205, 4, 485), (6205, 2, 30)], 0.0004745218523162351, 'kelpie'), ([(6205, 2, 30), (6205, 3, 6210), (6205, 3, 279), (6205, 3, 1395)], -0.0007142486473833092, 'kelpie'), ([(12781, 3, 10), (6205, 3, 10), (12781, 8, 7410)], -0.0016000001, 'xrule'), ([(6205, 4, 485), (6205, 3, 6210), (6205, 3, 279), (6205, 3, 1395)], -0.0025974354295532588, 'kelpie')]",1,3.5326995598619626e-07,6,5.5,0.014452626928687096
"(6004, 11, 7956)","[2.1241794456727803e-05, 3.2943629776127636e-05]","[1, 3]","[([(6004, 3, 930), (6004, 1, 2548), (6004, 3, 150), (6004, 4, 66)], 0.16176850648173113, 'kelpie'), ([(6004, 2, 68), (6004, 1, 2548), (6004, 3, 150), (6004, 4, 66)], 0.16153190586278343, 'kelpie'), ([(6004, 2, 68), (6004, 3, 78), (6004, 1, 2548), (6004, 4, 66)], 0.1610146269694271, 'kelpie'), ([(14665, 4, 66), (14665, 11, 7956), (6004, 4, 66)], 0.0, 'xrule'), ([(19349, 11, 7956), (19349, 4, 66), (6004, 4, 66)], 0.0, 'xrule'), ([(22349, 11, 7956), (22349, 4, 66), (6004, 4, 66)], 0.0, 'xrule')]",1,2.709271211642772e-05,6,2.0,0.00012833354412578046
"(6263, 11, 8038)","[5.807814886793494e-05, 3.97659187001409e-06]","[3, 4]","[([(6263, 3, 1840), (6263, 3, 1839), (6263, 2, 31), (6263, 1, 65)], 0.04410269759875134, 'kelpie'), ([(6263, 3, 1840), (6263, 2, 68), (6263, 1, 65)], 0.043889156525239545, 'kelpie'), ([(6263, 3, 1840), (6263, 2, 31)], 0.04122922473616416, 'kelpie'), ([(12589, 11, 8038), (6263, 3, 20), (12589, 3, 20)], 0.0, 'xrule'), ([(24421, 3, 56), (24421, 11, 8038), (6263, 3, 56)], 0.0, 'xrule'), ([(9725, 2, 68), (9725, 11, 8038), (6263, 2, 68)], 0.0, 'xrule')]",1,3.1027370368974516e-05,6,3.5,0.0002951537608169019
"(6914, 10, 7830)","[0.9879013299942017, 0.06394439935684204]","[1, 1]","[([(6914, 4, 66), (6914, 3, 220), (6914, 2, 266), (6914, 1, 2467)], 1.566980469365127e-05, 'kelpie'), ([(6914, 4, 66), (6914, 1, 2467), (6914, 2, 31)], 1.5600653992442632e-05, 'kelpie'), ([(6914, 4, 66), (6914, 3, 6916), (6914, 2, 28), (6914, 1, 2467)], 1.5451758795994806e-05, 'kelpie'), ([(10597, 2, 31), (10597, 10, 7830), (6914, 2, 31)], 0.0, 'xrule'), ([(12878, 2, 31), (12878, 10, 7830), (6914, 2, 31)], 0.0, 'xrule'), ([(19491, 2, 31), (19491, 10, 7830), (6914, 2, 31)], 0.0, 'xrule')]",1,0.5259228646755219,6,1.0,1.2131610382937197e-08
"(6344, 11, 7956)","[4.432158311828971e-05, 9.74910071818158e-05]","[2, 3]","[([(6344, 3, 88), (6344, 2, 31)], 0.041054296259393115, 'kelpie'), ([(6344, 3, 149), (6344, 2, 31), (6344, 3, 5203)], 0.04029904209036762, 'kelpie'), ([(6344, 3, 149), (6344, 3, 88), (6344, 2, 31), (6344, 3, 6353)], 0.0401192931172809, 'kelpie'), ([(13186, 2, 171), (13186, 11, 7956), (6344, 2, 171)], 0.0, 'xrule'), ([(21785, 2, 171), (21785, 11, 7956), (6344, 2, 171)], 0.0, 'xrule'), ([(6344, 4, 485), (16379, 11, 7956), (16379, 4, 485)], 0.0, 'xrule')]",1,7.090629515005276e-05,6,2.5,4.18413728766609e-05
"(7788, 10, 7830)","[0.9923684000968933, 0.31151726841926575]","[1, 1]","[([(7788, 3, 37), (7788, 3, 479), (7788, 5, 7789), (7788, 4, 66)], 0.0030302083485836215, 'kelpie'), ([(7788, 3, 37), (7788, 9, 7790), (7788, 4, 66), (7788, 2, 68)], 0.0030166853392730197, 'kelpie'), ([(7788, 9, 7790), (7788, 4, 66)], 0.0030019624930195145, 'kelpie'), ([(12437, 2, 31), (12437, 10, 7830), (7788, 2, 31)], 0.0, 'xrule'), ([(17546, 10, 7830), (17546, 2, 31), (7788, 2, 31)], 0.0, 'xrule'), ([(19633, 2, 31), (19633, 10, 7830), (7788, 2, 31)], 0.0, 'xrule')]",1,0.6519428342580795,6,1.0,1.025166298518343e-07
"(5920, 10, 7830)","[0.9388464689254761, 0.6051764488220215]","[1, 1]","[([(5920, 2, 30), (5920, 3, 74), (5920, 3, 748), (5920, 3, 6)], 1.9553087018209862e-07, 'kelpie'), ([(5920, 3, 593), (5920, 2, 30)], 1.9547266250980545e-07, 'kelpie'), ([(5920, 2, 30), (5920, 3, 748)], 1.9454133997562018e-07, 'kelpie'), ([(15839, 10, 7830), (15839, 2, 68), (5920, 2, 68)], 0.0, 'xrule'), ([(19767, 10, 7830), (19767, 2, 68), (5920, 2, 68)], 0.0, 'xrule'), ([(21418, 10, 7830), (21418, 2, 68), (5920, 2, 68)], 0.0, 'xrule')]",1,0.7720114588737488,6,1.0,2.1284087381445715e-08
"(6437, 11, 8038)","[3.008001840498764e-06, 7.623970077474951e-07]","[2, 5]","[([(6437, 2, 312), (6437, 1, 2467), (6437, 3, 91), (6437, 3, 4441)], 0.21483698060361198, 'kelpie'), ([(6437, 2, 312), (6437, 3, 6443), (6437, 1, 2467), (6437, 3, 91)], 0.2104363398790239, 'kelpie'), ([(6437, 2, 68), (6437, 2, 312), (6437, 1, 2467), (6437, 3, 4441)], 0.2093839602968688, 'kelpie'), ([(6437, 4, 66), (11340, 11, 8038), (11340, 4, 66)], 0.0, 'xrule'), ([(6437, 4, 66), (15849, 11, 8038), (15849, 4, 66)], 0.0, 'xrule'), ([(16799, 11, 8038), (16799, 4, 66), (6437, 4, 66)], 0.0, 'xrule')]",1,1.8851994241231296e-06,6,3.5,0.00044393775169737637
"(6848, 10, 7830)","[0.8132677674293518, 0.5168068408966064]","[1, 1]","[([(6848, 1, 65), (6848, 4, 66), (6848, 3, 479)], 0.008357623531448009, 'kelpie'), ([(6848, 1, 65), (6848, 4, 66), (6848, 3, 88), (6848, 3, 39)], 0.008357621668770467, 'kelpie'), ([(6848, 1, 65), (6848, 3, 7), (6848, 3, 40), (6848, 4, 66)], 0.008357619806092707, 'kelpie'), ([(11145, 10, 7830), (6848, 4, 66), (11145, 4, 66)], 0.0, 'xrule'), ([(21070, 10, 7830), (6848, 4, 66), (21070, 4, 66)], 0.0, 'xrule'), ([(21959, 4, 66), (6848, 4, 66), (21959, 10, 7830)], 0.0, 'xrule')]",1,0.6650373041629791,6,1.0,3.360280231845536e-08
"(7080, 8, 7410)","[2.0360536173713584e-12, 1.0359590518760342e-08]","[9, 4]","[([(21960, 3, 37), (7080, 3, 37), (21960, 8, 7410)], 0.1329, 'xrule'), ([(9442, 2, 68), (7080, 2, 68), (9442, 8, 7410)], 0.037400007, 'xrule'), ([(20319, 2, 30), (20319, 8, 7410), (7080, 2, 30)], 0.020900011, 'xrule'), ([(7080, 3, 1057)], 0.015127607579776228, 'kelpie'), ([(7080, 4, 485)], 0.015055809115016553, 'kelpie'), ([(7080, 3, 460)], 0.014166752786252792, 'kelpie')]",1,5.180813286188857e-09,6,6.5,0.0038276715204119682
"(5517, 9, 7903)","[0.0006105632637627423, 9.194821359415073e-06]","[2, 7]","[([(5517, 3, 1024), (5517, 2, 1323)], 0.13704238379524514, 'kelpie'), ([(5517, 3, 731)], 0.13662357174036116, 'kelpie'), ([(5517, 3, 1005), (5517, 2, 1323)], 0.13640731121577518, 'kelpie'), ([(23360, 2, 1188), (23360, 9, 7903), (5517, 2, 1188)], 0.0041999817, 'xrule'), ([(14219, 9, 7903), (14219, 2, 1323), (5517, 2, 1323)], 0.0027999878, 'xrule'), ([(19469, 2, 1188), (19469, 9, 7903), (5517, 2, 1188)], 0.0013999939, 'xrule')]",1,0.0003098790425610787,6,4.5,0.001694337697699666
"(7097, 8, 7567)","[1.7125182023326746e-13, 7.679370160607046e-12]","[60, 37]","[([(12800, 3, 10), (7097, 3, 10), (12800, 8, 7567)], 0.0413, 'xrule'), ([(7097, 3, 1352), (7097, 3, 476)], 0.013891441683812176, 'kelpie'), ([(7097, 3, 476)], 0.013761081667362824, 'kelpie'), ([(7097, 3, 733)], 0.009402096218564806, 'kelpie'), ([(7097, 1, 65), (23082, 1, 65), (23082, 8, 7567)], -0.078099996, 'xrule'), ([(12800, 3, 9), (7097, 3, 9), (12800, 8, 7567)], -0.1426, 'xrule')]",1,3.925310990420157e-12,6,48.5,0.00016190372116398066
"(5756, 8, 7410)","[5.513657863609467e-10, 1.3177563573663065e-07]","[5, 1]","[([(23900, 2, 31), (5756, 2, 31), (23900, 8, 7410)], 0.019900002, 'xrule'), ([(5756, 5, 5757), (5756, 2, 30)], 0.0009401204521032482, 'kelpie'), ([(5756, 2, 30), (5756, 4, 924)], -0.00011015746318419595, 'kelpie'), ([(5756, 5, 5757), (5756, 3, 5054), (5756, 2, 30), (5756, 3, 5761)], -0.0013414124993638206, 'kelpie'), ([(24713, 8, 7410), (5756, 3, 37), (24713, 3, 37)], -0.031899996, 'xrule'), ([(24713, 3, 50), (24713, 8, 7410), (5756, 3, 50)], -0.050199993, 'xrule')]",1,6.61635007614958e-08,6,3.0,0.011794748716056347
"(6394, 11, 8038)","[3.4289862469449872e-06, 5.7285145516061675e-08]","[5, 8]","[([(6394, 3, 891), (6394, 3, 6404), (6394, 5, 6395), (6394, 4, 66)], 0.004150638797269459, 'kelpie'), ([(6394, 3, 891), (6394, 3, 6404), (6394, 4, 66)], 0.004146482286734905, 'kelpie'), ([(6394, 3, 1839), (6394, 3, 6404), (6394, 4, 66)], 0.004060891402712403, 'kelpie'), ([(6394, 3, 20), (16972, 11, 8038), (16972, 3, 20)], 0.0, 'xrule'), ([(20543, 11, 8038), (6394, 3, 20), (20543, 3, 20)], 0.0, 'xrule'), ([(16972, 11, 8038), (16972, 4, 66), (6394, 4, 66)], 0.0, 'xrule')]",1,1.7431356962305244e-06,6,6.5,1.2339714885456488e-05
"(5447, 8, 7410)","[2.6525445034897288e-11, 4.879090056419955e-07]","[7, 3]","[([(17698, 3, 78), (5447, 3, 78), (17698, 8, 7410)], 0.07879996, 'xrule'), ([(5447, 1, 1054)], 0.00557393668693833, 'kelpie'), ([(5447, 3, 17)], 0.005068256029667275, 'kelpie'), ([(5447, 3, 1143)], 0.003821079564925577, 'kelpie'), ([(17698, 8, 7410), (17698, 3, 519), (5447, 3, 519)], -0.0066000223, 'xrule'), ([(14701, 3, 9), (14701, 8, 7410), (5447, 3, 9)], -0.023100019, 'xrule')]",1,2.439677655435152e-07,6,5.0,0.002314773853868246
"(5627, 11, 7956)","[2.7936886908719316e-05, 0.00016771718219388276]","[1, 2]","[([(5627, 3, 2042), (5627, 3, 666), (5627, 1, 864), (5627, 3, 278)], 0.4403948011431944, 'kelpie'), ([(5627, 3, 2042)], 0.4363426091410452, 'kelpie'), ([(5627, 3, 56), (5627, 3, 2042), (5627, 3, 3863), (5627, 3, 278)], 0.43205792919147074, 'kelpie'), ([(13224, 3, 6), (13224, 11, 7956), (5627, 3, 6)], 0.0, 'xrule'), ([(20519, 3, 6), (20519, 11, 7956), (5627, 3, 6)], 0.0, 'xrule'), ([(20757, 3, 6), (20757, 11, 7956), (5627, 3, 6)], 0.0, 'xrule')]",1,9.782703455130104e-05,6,1.5,0.00013240447151474655
"(7125, 11, 7956)","[0.0007054435554891825, 3.611955037285952e-07]","[1, 5]","[([(7125, 4, 66), (7125, 3, 7127), (7125, 3, 476)], 0.9419905442611237, 'kelpie'), ([(7125, 4, 66), (7125, 3, 476), (7125, 3, 0)], 0.8179159635156822, 'kelpie'), ([(7125, 4, 66), (7125, 3, 476), (7125, 3, 0), (7125, 2, 68)], 0.7773354517032515, 'kelpie'), ([(13012, 4, 66), (7125, 4, 66), (13012, 11, 7956)], 0.0, 'xrule'), ([(23089, 4, 66), (7125, 4, 66), (23089, 11, 7956)], 0.0, 'xrule'), ([(10988, 3, 40), (10988, 11, 7956), (7125, 3, 40)], 0.0, 'xrule')]",1,0.00035290237549645553,6,3.0,2.1323852706700563e-05
"(6722, 8, 7427)","[5.33068428537186e-14, 1.2463482468305642e-09]","[29, 6]","[([(14565, 2, 30), (14565, 8, 7427), (6722, 2, 30)], 0.268, 'xrule'), ([(6722, 3, 40), (23558, 3, 40), (23558, 8, 7427)], 0.2202, 'xrule'), ([(24894, 8, 7427), (6722, 2, 30), (24894, 2, 30)], 0.1627, 'xrule'), ([(6722, 3, 277), (6722, 3, 2638), (6722, 3, 1454), (6722, 1, 65)], 0.002752842094116097, 'kelpie'), ([(6722, 3, 2638), (6722, 2, 30)], 0.002736390540891737, 'kelpie'), ([(6722, 3, 2638), (6722, 3, 1341), (6722, 1, 65), (6722, 3, 111)], 0.0027012345039227133, 'kelpie')]",1,6.23200776836709e-10,6,17.5,0.0005110133206471801
"(4870, 8, 7567)","[3.0764388432580336e-13, 6.679370390116901e-10]","[28, 3]","[([(24472, 8, 7567), (24472, 3, 41), (4870, 3, 41)], 0.010399997, 'xrule'), ([(20555, 2, 709), (4870, 2, 709), (20555, 8, 7567)], 0.00069999695, 'xrule'), ([(4870, 2, 888), (4870, 3, 4876)], 0.0006945668530233824, 'kelpie'), ([(4870, 2, 888), (4870, 3, 4879)], 0.0006775898882280558, 'kelpie'), ([(4870, 3, 4876), (4870, 3, 4879), (4870, 3, 1101), (4870, 3, 88)], 0.0005380187310356743, 'kelpie'), ([(9370, 8, 7567), (9370, 2, 172), (4870, 2, 172)], 0.00049996376, 'xrule')]",1,3.3412234144800795e-10,6,15.5,0.023995403200387955
"(6213, 10, 7830)","[0.9597052335739136, 0.06786175072193146]","[1, 1]","[([(6213, 2, 266), (6213, 2, 31), (6213, 4, 485)], 0.0038292468281191667, 'kelpie'), ([(6213, 3, 1839), (6213, 4, 485), (6213, 2, 30)], 0.0038276423862745415, 'kelpie'), ([(6213, 3, 1839), (6213, 3, 75), (6213, 4, 485)], 0.0038230623579279784, 'kelpie'), ([(6213, 1, 65), (23221, 10, 7830), (23221, 1, 65)], 0.0, 'xrule'), ([(24093, 1, 65), (6213, 1, 65), (24093, 10, 7830)], 0.0, 'xrule'), ([(24276, 10, 7830), (6213, 1, 65), (24276, 1, 65)], 0.0, 'xrule')]",1,0.5137834921479225,6,1.0,2.007188548702743e-08
"(7499, 10, 7830)","[0.8929487466812134, 0.14662884175777435]","[1, 1]","[([(7499, 8, 7427), (7499, 4, 485), (7499, 2, 30), (7499, 2, 7501)], 6.454251402185094e-06, 'kelpie'), ([(7499, 3, 7507), (7499, 1, 264), (7499, 8, 7427), (7499, 4, 485)], 6.4541931945925864e-06, 'kelpie'), ([(7499, 2, 31), (7499, 1, 264), (7499, 8, 7427), (7499, 4, 485)], 6.447732144295718e-06, 'kelpie'), ([(7499, 8, 7427), (14580, 10, 7830), (14580, 8, 7427)], 0.0, 'xrule'), ([(7499, 8, 7427), (17655, 8, 7427), (17655, 10, 7830)], 0.0, 'xrule'), ([(7499, 8, 7427), (18068, 8, 7427), (18068, 10, 7830)], 0.0, 'xrule')]",1,0.5197887942194939,6,1.0,8.690136610312038e-09
"(5930, 8, 7427)","[2.89211336086323e-14, 1.3393700593056224e-09]","[36, 11]","[([(5930, 3, 1155)], 0.0007351450484461372, 'kelpie'), ([(5930, 3, 237)], 0.0006869829759782197, 'kelpie'), ([(5930, 2, 2270)], 0.0004663452471123675, 'kelpie')]",1,6.696994902196155e-10,3,23.5,0.00019900716142728925
"(6983, 10, 7830)","[0.8815270662307739, 0.48136061429977417]","[1, 1]","[([(6983, 1, 1054), (6983, 2, 30), (6983, 3, 6991)], 0.00023792289512082176, 'kelpie'), ([(6983, 3, 6992), (6983, 1, 1054)], 0.00023771445348402513, 'kelpie'), ([(6983, 1, 1054), (6983, 2, 30), (6983, 3, 892)], 0.00023750758345417812, 'kelpie'), ([(6983, 3, 78), (9516, 10, 7830), (9516, 3, 78)], 0.0, 'xrule'), ([(13114, 3, 78), (6983, 3, 78), (13114, 10, 7830)], 0.0, 'xrule'), ([(6983, 3, 78), (18760, 10, 7830), (18760, 3, 78)], 0.0, 'xrule')]",1,0.681443840265274,6,1.0,8.622164315852388e-09
"(6300, 10, 7830)","[0.7565797567367554, 0.1276112049818039]","[1, 1]","[([(6300, 2, 68), (6300, 3, 460), (6300, 4, 207), (6300, 3, 1825)], 2.7058308175611584e-05, 'kelpie'), ([(6300, 2, 68), (6300, 2, 266), (6300, 1, 168), (6300, 4, 207)], 2.7055339584965593e-05, 'kelpie'), ([(6300, 2, 68), (6300, 2, 30), (6300, 4, 207)], 2.7052836655556364e-05, 'kelpie'), ([(6300, 3, 40), (8104, 10, 7830), (8104, 3, 40)], 0.0, 'xrule'), ([(6300, 3, 40), (14576, 3, 40), (14576, 10, 7830)], 0.0, 'xrule'), ([(14712, 10, 7830), (6300, 3, 40), (14712, 3, 40)], 0.0, 'xrule')]",1,0.44209548085927963,6,1.0,9.566154979268049e-09
"(7335, 8, 7410)","[3.6298999830236545e-12, 1.8615959334056242e-06]","[12, 2]","[([(23089, 8, 7410), (7335, 2, 30), (23089, 2, 30)], 0.10429996, 'xrule'), ([(7335, 3, 40), (20705, 8, 7410), (20705, 3, 40)], 0.0916, 'xrule'), ([(20719, 2, 30), (20719, 8, 7410), (7335, 2, 30)], 0.03850001, 'xrule'), ([(7335, 3, 40)], 0.003765669164857883, 'kelpie'), ([(7335, 3, 40), (7335, 3, 390)], 0.003573209950111303, 'kelpie'), ([(7335, 3, 391), (7335, 3, 40), (7335, 3, 88), (7335, 3, 2013)], 0.00329111279160559, 'kelpie')]",1,9.307997816528036e-07,6,7.0,0.003208134090527892
