original_score,exp,original_rank,facts,exp_length,new_score,new_rank,prediction,new_scores,new_ranks
7.586446,"[(7884, 25, 62), (1271, 92, 2611), (1271, 92, 7884)]",1,"[({(1271, 92, 2611)}, 1.2260002262073406, 'baseline'), ({(529, 20, 2611)}, 0.03982756309809729, 'baseline'), ({(6196, 76, 2611)}, -0.3486768848153659, 'baseline'), ({(2804, 76, 2611)}, -1.5422954024993742, 'baseline'), ({(4528, 76, 2611)}, -1.7919216071927346, 'baseline')]",3,7.720935,1.0,"(2611, 25, 62)",[7.720935],[1]
8.844319,[],1,[],0,8.754847,1.0,"(3120, 220, 6386)",[8.754847],[1]
7.1964135,[],1,[],0,7.8221407,1.0,"(13433, 17, 862)",[7.8221407],[1]
6.7144117,"[(2474, 18, 10398), (7692, 35, 2474), (7692, 35, 1551)]",1,"[({(7692, 35, 1551)}, 0.4987932848579709, 'baseline'), ({(2617, 35, 1551)}, -0.6371320874806544, 'baseline'), ({(2473, 35, 1551)}, -3.913869875206006, 'baseline')]",3,6.782303,1.0,"(1551, 18, 10398)",[6.782303],[1]
8.074702,"[(3016, 76, 6053), (3016, 76, 9502), (9502, 48, 32)]",1,"[({(3016, 76, 6053)}, 1.4947852006998592, 'baseline'), ({(8719, 3, 6053)}, 0.5892106845446068, 'baseline'), ({(10512, 8, 6053)}, 0.23662423936667398, 'baseline'), ({(1846, 47, 6053)}, -1.3479082944879461, 'baseline'), ({(8619, 77, 6053)}, -2.9927936520674976, 'baseline')]",3,8.068286,1.0,"(6053, 48, 32)",[8.068286],[1]
5.7034497,[],1,[],0,6.01595,1.0,"(7744, 13, 2046)",[6.01595],[1]
7.9445515,"[(2118, 21, 4819), (2118, 85, 434)]",1,"[({(2118, 21, 4819)}, 1.7923200683081981, 'baseline'), ({(8160, 21, 4819)}, 1.4132721718921744, 'baseline'), ({(8657, 21, 4819)}, -2.5782718979620696, 'baseline')]",2,7.8555794,1.0,"(4819, 85, 434)",[7.8555794],[1]
6.1227975,[],1,[],0,5.92357,1.0,"(1759, 10, 6825)",[5.92357],[1]
6.9438825,"[(6758, 27, 5255), (5255, 85, 434), (6758, 27, 5090)]",1,"[({(6758, 27, 5090)}, 2.2212574279122146, 'baseline'), ({(5478, 12, 5090)}, 1.2653511596977456, 'baseline'), ({(4622, 47, 5090)}, -0.027584289730520604, 'baseline'), ({(2149, 47, 5090)}, -0.25200360439998487, 'baseline'), ({(600, 8, 5090)}, -0.34055093609117165, 'baseline'), ({(8066, 27, 5090)}, -0.6243661326028952, 'baseline'), ({(2610, 47, 5090)}, -0.9197828454056431, 'baseline'), ({(7599, 12, 5090)}, -1.298891720082408, 'baseline'), ({(677, 47, 5090)}, -1.3997410092172664, 'baseline'), ({(600, 3, 5090)}, -4.6483413336836525, 'baseline')]",3,6.7919765,1.0,"(5090, 85, 434)",[6.7919765],[1]
8.100239,"[(2355, 82, 1771), (3075, 1, 2348), (3075, 12, 2355)]",1,"[({(3075, 1, 2348)}, -0.6041751189131187, 'baseline'), ({(2444, 119, 2348)}, -0.8139968986725119, 'baseline')]",3,8.112799,1.0,"(2348, 82, 1771)",[8.112799],[1]
7.7511554,[],1,[],0,7.9059734,1.0,"(166, 19, 559)",[7.9059734],[1]
6.5151615,"[(65, 27, 2719), (65, 27, 11945), (570, 92, 11945)]",1,"[({(65, 27, 2719)}, -0.434460021484435, 'baseline')]",3,6.6325583,1.0,"(2719, 41, 570)",[6.6325583],[1]
8.216557,"[(32, 15, 127), (2027, 38, 1843), (127, 22, 2027)]",1,"[({(2027, 38, 1843)}, 2.4193582175926793, 'baseline'), ({(6371, 6, 1843)}, 2.121218062208456, 'baseline'), ({(2551, 38, 1843)}, 1.0611918472136177, 'baseline'), ({(12179, 38, 1843)}, 1.0565577239127917, 'baseline'), ({(12179, 6, 1843)}, -0.13609461543041695, 'baseline'), ({(931, 7, 1843)}, -0.14359505717012633, 'baseline'), ({(1465, 38, 1843)}, -0.6821608838178853, 'baseline'), ({(2820, 7, 1843)}, -0.7169509652858976, 'baseline'), ({(9791, 6, 1843)}, -0.7430254865437871, 'baseline'), ({(46, 7, 1843)}, -1.9083215026293776, 'baseline')]",3,8.261393,1.0,"(1843, 28, 32)",[8.261393],[1]
7.1832814,"[(4661, 38, 4660), (4, 2, 5074), (4661, 6, 5074)]",1,"[({(4661, 38, 4660)}, 1.8706218219138555, 'baseline'), ({(3312, 38, 4660)}, 0.43755070206893565, 'baseline'), ({(5269, 38, 4660)}, 0.3246939426318103, 'baseline'), ({(1469, 7, 4660)}, -0.6020909454951804, 'baseline'), ({(5119, 103, 4660)}, -0.911931395300242, 'baseline'), ({(869, 145, 4660)}, -1.2658853532021812, 'baseline'), ({(9025, 103, 4660)}, -2.1113053317821113, 'baseline'), ({(3312, 145, 4660)}, -4.060072153846366, 'baseline')]",3,6.799864,1.0,"(4660, 107, 4)",[6.799864],[1]
6.4405465,"[(4552, 35, 12545), (7680, 93, 786), (7680, 93, 4552)]",1,"[({(7680, 93, 786)}, 0.7681440352279567, 'baseline')]",3,6.3697214,2.0,"(786, 35, 12545)",[6.3697214],[2]
7.7915053,"[(117, 130, 13197), (117, 178, 9)]",1,"[({(117, 130, 13197)}, -1.7278401997369006, 'baseline')]",2,7.798336,1.0,"(13197, 5, 9)",[7.798336],[1]
7.577811,"[(268, 76, 4675), (4675, 85, 434), (268, 8, 4093)]",1,"[({(268, 8, 4093)}, 3.719321742441427, 'baseline'), ({(41, 119, 4093)}, 1.4304564394468888, 'baseline'), ({(3385, 47, 4093)}, 0.7434495745199791, 'baseline'), ({(4925, 192, 4093)}, 0.5140349615782626, 'baseline'), ({(8004, 8, 4093)}, 0.39855101938830806, 'baseline'), ({(7864, 215, 4093)}, -0.2828332820237563, 'baseline'), ({(7245, 8, 4093)}, -3.790437975630819, 'baseline'), ({(3492, 8, 4093)}, -3.9495283335391558, 'baseline')]",3,7.4382114,1.0,"(4093, 85, 434)",[7.4382114],[1]
8.374424,"[(4413, 44, 7956), (13753, 198, 160), (4413, 63, 13753)]",1,"[({(4413, 44, 7956)}, 3.319139871106615, 'baseline'), ({(1296, 44, 7956)}, -1.6499295353144434, 'baseline')]",3,8.548386,1.0,"(7956, 198, 160)",[8.548386],[1]
8.788849,[],1,[],0,8.84923,1.0,"(12458, 85, 434)",[8.84923],[1]
6.3626885,"[(9730, 8, 4567), (4567, 8, 4931), (9730, 19, 9014)]",1,"[({(4567, 8, 4931)}, 2.4320481359819377, 'baseline'), ({(948, 8, 4931)}, 0.6607017639601058, 'baseline'), ({(6979, 8, 4931)}, 0.13513185381814022, 'baseline'), ({(11088, 8, 4931)}, -0.21062524927332363, 'baseline')]",3,5.8791037,3.0,"(4931, 19, 9014)",[5.8791037],[3]
6.7542014,"[(1177, 89, 501), (1177, 189, 5072), (249, 15, 501)]",1,"[({(1177, 189, 5072)}, 1.637701064973454, 'baseline'), ({(3730, 140, 5072)}, -1.735482094345968, 'baseline')]",3,7.15355,1.0,"(5072, 66, 249)",[7.15355],[1]
5.891928,"[(2160, 84, 5078), (2160, 84, 461), (461, 48, 181)]",1,"[({(2160, 84, 5078)}, 3.1928544726733468, 'baseline'), ({(9215, 84, 5078)}, -0.6266112219316279, 'baseline'), ({(598, 47, 5078)}, -1.8838206292470354, 'baseline')]",3,6.169723,1.0,"(5078, 48, 181)",[6.169723],[1]
5.7745996,"[(6471, 13, 1682), (6471, 30, 1148), (1148, 7, 1580)]",1,"[({(1148, 7, 1580)}, 1.7533520951285644, 'baseline'), ({(2363, 7, 1580)}, 1.5060690946106712, 'baseline'), ({(3411, 38, 1580)}, 0.17818078545243282, 'baseline'), ({(3250, 7, 1580)}, 0.14840970107650167, 'baseline'), ({(2941, 7, 1580)}, -0.7294778675215638, 'baseline'), ({(3411, 6, 1580)}, -3.0020293958329543, 'baseline')]",3,5.3741627,3.0,"(1580, 13, 1682)",[5.3741627],[3]
7.008473,[],1,[],0,7.2955647,1.0,"(476, 46, 1407)",[7.2955647],[1]
