facts,exp_length,new_ranks,original_score,new_scores,exp,new_score,new_rank,prediction,original_rank
"[({(6752, 1, 3450), (13763, 1, 3450), (3450, 1, 13763)}, 1.4872441957016924, 'baseline'), ({(6752, 1, 3450), (3450, 1, 12980), (13763, 1, 3450), (3450, 1, 13763)}, 1.4820633597633583, 'baseline'), ({(6752, 1, 3450), (3450, 1, 15388), (3450, 1, 13763), (13763, 1, 3450)}, 1.455267017687169, 'baseline'), ({(6752, 1, 3450), (3450, 1, 13763)}, 1.3821058897139822, 'baseline'), ({(6752, 1, 3450), (3450, 1, 12980), (13968, 1, 3450), (3450, 1, 13763)}, 1.3458195343117652, 'baseline'), ({(6752, 1, 3450), (3450, 1, 15388), (3450, 1, 13763)}, 1.340868057038706, 'baseline'), ({(6752, 1, 3450), (19171, 0, 3450), (3450, 1, 13763)}, 1.3214722281034514, 'baseline'), ({(3450, 1, 15388), (6752, 1, 3450), (13968, 1, 3450), (3450, 1, 13763)}, 1.291423856749288, 'baseline'), ({(6752, 1, 3450), (3450, 1, 15388), (3450, 1, 13763)}, 1.2576952561159422, 'baseline'), ({(6752, 1, 3450), (3450, 1, 12980), (3450, 1, 15388), (3450, 1, 13763)}, 1.224845943238682, 'baseline')]",9,[3260],8.6875305,[0.344179],"[(15388, 1, 2604), (13763, 1, 2604), (3450, 1, 12980), (2604, 1, 12980), (3450, 1, 13763), (6752, 1, 3450), (6752, 1, 2604), (3450, 1, 15388), (13763, 1, 3450)]",0.344179,3260.0,"(3450, 1, 6752)",1
"[({(1287, 1, 18173), (23932, 1, 18173)}, 4.275698448043939, 'baseline'), ({(1287, 1, 18173)}, 2.734903987258514, 'baseline'), ({(1287, 1, 18173)}, 2.603176272698727, 'baseline'), ({(23932, 1, 18173)}, 0.04913620182303801, 'baseline')]",4,[2402],8.870047,[-0.045966677],"[(1287, 1, 18173), (23932, 1, 18173), (406, 1, 23932), (1287, 1, 406)]",-0.045966677,2402.0,"(18173, 1, 1287)",1
"[({(17826, 3, 14917), (14917, 3, 17825)}, 2.174474825239134, 'baseline'), ({(17826, 3, 14917), (14917, 3, 17825)}, 2.1050716478716884, 'baseline'), ({(17826, 3, 14917), (14917, 3, 17825)}, 2.0425210982582596, 'baseline'), ({(17826, 3, 14917)}, 1.550883362473587, 'baseline'), ({(17826, 3, 14917)}, 1.549109051248064, 'baseline'), ({(17826, 3, 14917)}, 1.4991179182242247, 'baseline'), ({(17826, 3, 14917)}, 1.4966645910294119, 'baseline'), ({(17826, 3, 14917)}, 1.4719320002511935, 'baseline'), ({(17826, 3, 14917)}, 1.371906342503569, 'baseline'), ({(17826, 3, 14917)}, 1.346543373132026, 'baseline')]",3,[3785],8.515327,[-0.043969512],"[(17826, 3, 17825), (17826, 3, 14917), (14917, 3, 17825)]",-0.043969512,3785.0,"(14917, 3, 17826)",1
"[({(1019, 4, 28305)}, 5.472718732849443, 'baseline')]",3,[24],8.571083,[2.1318228],"[(1019, 4, 39576), (1019, 4, 28305), (39576, 0, 3141)]",2.1318228,24.0,"(28305, 0, 3141)",1
"[({(4747, 5, 3149)}, 10.38888355347207, 'baseline')]",2,[2706],7.647258,[-3.0372167],"[(4747, 5, 3149), (22951, 5, 3149)]",-3.0372167,2706.0,"(4747, 0, 22951)",1
"[({(9037, 1, 26613)}, 4.965049290459993, 'baseline'), ({(9037, 1, 26613)}, 3.702782579823611, 'baseline'), ({(9037, 1, 26613)}, 3.694446509192479, 'baseline'), ({(9037, 1, 26613)}, 3.4442676067055342, 'baseline'), ({(9037, 1, 26613)}, 3.0730097274310095, 'baseline'), ({(9037, 1, 26613)}, 2.6795641656846674, 'baseline'), ({(9037, 1, 26613)}, 2.5365392248181418, 'baseline')]",1,[1700],9.101814,[0.14515811],"[(9037, 1, 26613)]",0.14515811,1700.0,"(26613, 1, 9037)",1
"[({(7315, 0, 15497), (2938, 1, 15497)}, 3.502260560244116, 'baseline'), ({(7315, 0, 15497), (2938, 1, 15497)}, 3.4905532508072947, 'baseline'), ({(7315, 0, 15497), (2938, 1, 15497)}, 3.0416271601215037, 'baseline'), ({(7315, 0, 15497), (2938, 1, 15497)}, 2.9080006730492913, 'baseline'), ({(7315, 0, 15497), (2938, 1, 15497)}, 2.862685876090067, 'baseline'), ({(7315, 0, 15497), (2938, 1, 15497)}, 2.8251392348102145, 'baseline'), ({(7315, 0, 15497), (2938, 1, 15497)}, 2.538471846217861, 'baseline'), ({(7315, 0, 15497), (2938, 1, 15497)}, 2.46471895711726, 'baseline'), ({(7315, 0, 15497), (2938, 1, 15497)}, 2.419830455588393, 'baseline'), ({(7315, 0, 15497), (2938, 1, 15497)}, 2.40475000197692, 'baseline')]",4,[8962],9.88568,[-0.740011],"[(5712, 0, 2938), (7315, 1, 5712), (7315, 0, 15497), (2938, 1, 15497)]",-0.740011,8962.0,"(15497, 1, 2938)",1
"[({(5862, 1, 14121)}, 1.717003899839, 'baseline'), ({(5862, 1, 14121)}, 1.5529952742986857, 'baseline')]",1,[372],7.876352,[0.9066105],"[(5862, 1, 14121)]",0.9066105,372.0,"(14121, 1, 5862)",1
"[({(1038, 4, 39279)}, 11.377097941626898, 'baseline')]",3,[4],8.77287,[2.4802527],"[(20385, 0, 184), (1038, 4, 39279), (1038, 4, 20385)]",2.4802527,4.0,"(39279, 0, 184)",1
"[({(7514, 1, 3331), (21485, 1, 7514), (7514, 1, 21485), (25165, 1, 7514)}, 1.2083588210832272, 'baseline'), ({(7514, 1, 3331), (3331, 1, 7514), (7514, 1, 21485), (25165, 1, 7514)}, 1.1470594952644775, 'baseline'), ({(7514, 1, 3331), (7514, 1, 21485), (25165, 1, 7514)}, 0.9253263965713994, 'baseline'), ({(7514, 1, 3331), (7514, 1, 21485), (25165, 1, 7514)}, 0.9153461945749755, 'baseline'), ({(7514, 1, 3331), (7514, 1, 21485), (25165, 1, 7514)}, 0.90861420748716, 'baseline'), ({(7514, 1, 3331), (7514, 1, 21485), (25165, 1, 7514)}, 0.9029541502899622, 'baseline'), ({(7514, 1, 3331), (7514, 1, 21485), (25165, 1, 7514)}, 0.9023151884496768, 'baseline'), ({(7514, 1, 3331), (7514, 1, 21485), (25165, 1, 7514)}, 0.8975639829443062, 'baseline'), ({(7514, 1, 3331), (7514, 1, 21485), (25165, 1, 7514)}, 0.8934631833028376, 'baseline'), ({(7514, 1, 3331), (7514, 1, 21485), (25165, 1, 7514)}, 0.8923893459833526, 'baseline')]",8,[257],9.075606,[0.6555835],"[(5598, 1, 3331), (5598, 1, 21485), (7514, 1, 3331), (7514, 1, 21485), (21485, 1, 7514), (3331, 1, 7514), (25165, 1, 5598), (25165, 1, 7514)]",0.6555835,257.0,"(7514, 1, 25165)",1
"[({(16314, 1, 15028), (15028, 1, 21701), (5116, 1, 15028), (21701, 1, 15028)}, 1.181199129405232, 'baseline'), ({(16314, 1, 15028), (15028, 1, 21701), (5116, 1, 15028)}, 0.7179346538486979, 'baseline'), ({(16314, 1, 15028), (5116, 1, 15028), (21701, 1, 15028)}, 0.7139168238668346, 'baseline'), ({(16314, 1, 15028), (15028, 1, 21701), (5116, 1, 15028), (15028, 1, 6422)}, 0.6815996618520043, 'baseline'), ({(16314, 1, 15028), (15028, 1, 21701), (5116, 1, 15028), (6422, 1, 15028)}, 0.679096266743491, 'baseline'), ({(16314, 1, 15028), (21701, 1, 15028), (5116, 1, 15028), (15028, 1, 6422)}, 0.678391501362159, 'baseline'), ({(16314, 1, 15028), (21701, 1, 15028), (5116, 1, 15028), (6422, 1, 15028)}, 0.6760378331400451, 'baseline'), ({(16314, 1, 15028), (15028, 1, 21701), (5116, 1, 15028)}, 0.6054487666419394, 'baseline'), ({(16314, 1, 15028), (5116, 1, 15028), (21701, 1, 15028)}, 0.6006699045751355, 'baseline'), ({(15028, 1, 21701), (21701, 1, 15028), (5116, 1, 15028), (15028, 1, 6422)}, 0.5166035125776341, 'baseline')]",7,[3],9.27175,[5.4353304],"[(15028, 1, 21701), (19324, 0, 21701), (5116, 1, 19324), (19324, 1, 16314), (16314, 1, 15028), (5116, 1, 15028), (21701, 1, 15028)]",5.4353304,3.0,"(15028, 1, 5116)",1
"[({(5782, 1, 6726)}, 0.7091360544646822, 'baseline'), ({(5782, 1, 6726)}, 0.691611334977131, 'baseline'), ({(5782, 1, 6726)}, 0.6425419296244679, 'baseline'), ({(5782, 1, 6726)}, 0.6360063994733747, 'baseline'), ({(5782, 1, 6726)}, 0.6359539473873179, 'baseline'), ({(5782, 1, 6726)}, 0.6043711146348305, 'baseline'), ({(5782, 1, 6726)}, 0.5963859994584851, 'baseline'), ({(5782, 1, 6726)}, 0.5718565420478909, 'baseline'), ({(5782, 1, 6726)}, 0.5458288623087194, 'baseline'), ({(5782, 1, 6726)}, 0.5446615649608566, 'baseline')]",1,[15784],9.564367,[-0.31438124],"[(5782, 1, 6726)]",-0.31438124,15784.0,"(6726, 1, 5782)",1
"[({(5329, 1, 12530)}, 5.646607391180238, 'baseline'), ({(5329, 1, 12530)}, 3.6638335519725187, 'baseline')]",1,[34236],10.27132,[-2.7131672],"[(5329, 1, 12530)]",-2.7131672,34236.0,"(12530, 1, 5329)",1
"[({(14159, 1, 40286)}, 6.316315010999121, 'baseline')]",1,[33005],10.40897,[-2.8425999],"[(14159, 1, 40286)]",-2.8425999,33005.0,"(40286, 1, 14159)",1
"[({(26785, 0, 17167), (7703, 1, 26785)}, 11.619010487346765, 'baseline'), ({(7703, 1, 26785)}, 4.2271616360393125, 'baseline'), ({(26785, 0, 17167)}, -0.4836616092258507, 'baseline')]",4,[1765],10.314679,[-1.0488209],"[(26785, 0, 17167), (707, 1, 7703), (7703, 1, 26785), (707, 0, 17167)]",-1.0488209,1765.0,"(26785, 1, 7703)",1
"[({(7329, 1, 5855), (5855, 1, 28317)}, 0.7330465773151928, 'baseline'), ({(11474, 0, 5855), (5855, 1, 28317)}, 0.01399234956739735, 'baseline'), ({(5855, 1, 28317)}, -0.011226614036461776, 'baseline'), ({(28317, 1, 5855), (5855, 1, 28317)}, -0.048681219140092054, 'baseline'), ({(5855, 1, 28317)}, -0.07681651879179138, 'baseline'), ({(5855, 1, 28317)}, -0.08004470635149347, 'baseline'), ({(5855, 1, 28317)}, -0.08919425770568781, 'baseline'), ({(5855, 1, 28317)}, -0.11344524184763609, 'baseline'), ({(5855, 1, 28317)}, -0.11642356672139567, 'baseline'), ({(5855, 1, 28317)}, -0.14135833535292905, 'baseline')]",6,[38],8.925503,[2.3253083],"[(28317, 0, 7329), (11474, 0, 5855), (8458, 0, 7329), (11474, 1, 8458), (5855, 1, 28317), (7329, 1, 5855)]",2.3253083,38.0,"(5855, 1, 7329)",1
"[({(30984, 0, 957), (6485, 1, 30984)}, 2.6311337159342596, 'baseline'), ({(30984, 0, 957), (6485, 1, 30984)}, 2.6133667609924625, 'baseline'), ({(30984, 0, 957), (6485, 1, 30984)}, 2.241563912220751, 'baseline'), ({(30984, 0, 957), (6485, 1, 30984)}, 2.2179595169879094, 'baseline'), ({(30984, 0, 957), (6485, 1, 30984)}, 2.1814700269418825, 'baseline'), ({(6485, 1, 30984)}, 0.9773245361271083, 'baseline'), ({(6485, 1, 30984)}, 0.8753452782570192, 'baseline'), ({(6485, 1, 30984)}, 0.8388548372162286, 'baseline'), ({(6485, 1, 30984)}, 0.786779450226543, 'baseline'), ({(30984, 0, 957)}, -0.21967025524838935, 'baseline')]",3,[3713],9.050512,[0.33947134],"[(957, 1, 6485), (30984, 0, 957), (6485, 1, 30984)]",0.33947134,3713.0,"(30984, 1, 6485)",1
"[({(29963, 2, 1137)}, 9.43367015565907, 'baseline'), ({(29963, 2, 1137)}, 5.850205576318439, 'baseline')]",2,[2],8.869197,[4.6311445],"[(1137, 5, 774), (29963, 2, 1137)]",4.6311445,2.0,"(29963, 5, 774)",1
"[({(2573, 1, 17030), (17030, 1, 13110)}, 2.751958070718457, 'baseline'), ({(2573, 1, 17030)}, 2.5550586287568864, 'baseline'), ({(17030, 1, 13110)}, -0.31346603108464693, 'baseline'), ({(13110, 1, 17030)}, -0.31417556476259145, 'baseline')]",4,[526],8.604788,[0.416479],"[(2573, 1, 17030), (2573, 0, 2574), (17030, 1, 13110), (13110, 0, 2574)]",0.416479,526.0,"(17030, 1, 2573)",1
"[({(20114, 6, 20115)}, 8.240134011872255, 'baseline'), ({(20114, 6, 20115)}, 1.9145518242296435, 'baseline')]",3,[12],8.1901455,[4.075374],"[(39563, 2, 2580), (20114, 6, 20115), (20114, 6, 39563)]",4.075374,12.0,"(20115, 2, 2580)",1
"[({(18271, 1, 3741)}, 4.503165691737374, 'baseline'), ({(18271, 1, 3741)}, 2.7246705832847953, 'baseline'), ({(18271, 1, 3741)}, 2.238618011954583, 'baseline'), ({(18271, 1, 3741)}, 1.8716889293643326, 'baseline'), ({(18271, 1, 3741)}, 1.8234530330498608, 'baseline'), ({(18271, 1, 3741)}, 1.7488871412592457, 'baseline'), ({(18271, 1, 3741)}, 1.6673537049411573, 'baseline'), ({(18271, 1, 3741)}, 1.3993206654431418, 'baseline'), ({(18271, 1, 3741)}, 1.2741013158800292, 'baseline'), ({(18271, 1, 3741)}, 1.2724705327039965, 'baseline')]",1,[11503],10.975729,[-0.7587812],"[(18271, 1, 3741)]",-0.7587812,11503.0,"(3741, 1, 18271)",1
"[({(7531, 1, 7532)}, 1.8874450605014916, 'baseline'), ({(7531, 1, 7532)}, 1.787390790302112, 'baseline'), ({(7531, 1, 7532)}, 1.7594347798081578, 'baseline'), ({(7531, 1, 7532)}, 1.5828448048825638, 'baseline'), ({(7531, 1, 7532)}, 1.5201817237994253, 'baseline')]",1,[36439],8.390123,[-2.6555648],"[(7531, 1, 7532)]",-2.6555648,36439.0,"(7532, 1, 7531)",1
"[({(9610, 1, 1771), (36226, 1, 1771)}, 0.4696436350932111, 'baseline'), ({(9610, 1, 1771), (36226, 1, 1771)}, 0.4520206872289172, 'baseline'), ({(9610, 1, 1771), (36226, 1, 1771)}, 0.44091801071687764, 'baseline'), ({(9610, 1, 1771), (36226, 1, 1771)}, 0.43408874890063814, 'baseline'), ({(9610, 1, 1771), (36226, 1, 1771)}, 0.43271355051200777, 'baseline'), ({(9610, 1, 1771), (36226, 1, 1771)}, 0.43209175482856516, 'baseline'), ({(9610, 1, 1771), (36226, 1, 1771)}, 0.4308519782484528, 'baseline'), ({(9610, 1, 1771), (36226, 1, 1771)}, 0.40913872122617245, 'baseline'), ({(9610, 1, 1771), (36226, 1, 1771)}, 0.3963804661056957, 'baseline'), ({(9610, 1, 1771), (36226, 1, 1771)}, 0.3875647006539765, 'baseline')]",4,[31835],9.191784,[-1.1787269],"[(9610, 0, 9611), (36226, 0, 9611), (9610, 1, 1771), (36226, 1, 1771)]",-1.1787269,31835.0,"(1771, 1, 36226)",1
"[({(9971, 1, 6882), (6882, 0, 6883), (10563, 9, 6882), (6882, 1, 9971)}, 11.37333574644977, 'baseline'), ({(9971, 1, 6882), (10563, 9, 6882), (6882, 1, 9971)}, 4.866602308571166, 'baseline'), ({(9971, 1, 6882), (6882, 0, 6883), (10563, 9, 6882)}, 1.6564894465614892, 'baseline'), ({(6882, 0, 6883), (10563, 9, 6882)}, 1.6532784249754071, 'baseline'), ({(6882, 0, 6883), (10563, 9, 6882), (6882, 1, 9971)}, 1.6517887855984568, 'baseline'), ({(10563, 9, 6882), (6882, 1, 9971)}, 1.5441580508398762, 'baseline'), ({(9971, 1, 6882), (10563, 9, 6882)}, 1.5412445756907012, 'baseline'), ({(10563, 9, 6882)}, 1.3925572068666292, 'baseline'), ({(9971, 1, 6882), (6882, 1, 9971)}, 0.024462739886757946, 'baseline'), ({(9971, 1, 6882)}, -0.13327499185110678, 'baseline')]",7,[22729],10.239602,[-2.6328092],"[(10563, 1, 2955), (10563, 9, 6882), (10563, 1, 9971), (6883, 1, 2955), (6882, 0, 6883), (9971, 1, 6882), (6882, 1, 9971)]",-2.6328092,22729.0,"(6882, 9, 10563)",1
"[({(27614, 0, 28580)}, 1.2990288135985217, 'baseline')]",2,[1],7.0875874,[6.3506293],"[(27614, 5, 172), (27614, 0, 28580)]",6.3506293,1.0,"(28580, 5, 172)",1
"[({(28165, 1, 40453)}, 11.620920026172994, 'baseline')]",1,[7340],9.401691,[-1.8496207],"[(28165, 1, 40453)]",-1.8496207,7340.0,"(40453, 1, 28165)",1
"[({(14574, 1, 21645), (21645, 1, 14574), (21645, 1, 32962), (16026, 1, 21645)}, 1.929538817147687, 'baseline'), ({(14574, 1, 21645), (21645, 1, 32962), (32962, 1, 21645), (16026, 1, 21645)}, 1.3251515037676584, 'baseline'), ({(21645, 1, 32962), (21645, 1, 14574), (32962, 1, 21645), (16026, 1, 21645)}, 1.3226385718735432, 'baseline'), ({(21645, 1, 32962), (32962, 1, 21645), (16026, 1, 21645)}, 1.3224239951510228, 'baseline'), ({(21645, 1, 14574), (16026, 1, 21645)}, 0.9419184226702696, 'baseline'), ({(21645, 1, 14574), (32962, 1, 21645), (16026, 1, 21645)}, 0.7981024255655886, 'baseline'), ({(21645, 1, 32962), (21645, 1, 14574), (16026, 1, 21645)}, 0.7971840371781124, 'baseline'), ({(14574, 1, 21645), (21645, 1, 32962), (16026, 1, 21645)}, 0.7963476647640937, 'baseline'), ({(21645, 1, 32962), (16026, 1, 21645)}, 0.7906465996268731, 'baseline'), ({(21645, 1, 32962), (21645, 1, 14574)}, -0.3542556349729868, 'baseline')]",9,[15484],9.251232,[-2.398878],"[(16026, 0, 3818), (16026, 1, 19508), (16026, 1, 21645), (19508, 1, 32962), (21645, 1, 14574), (14574, 1, 21645), (21645, 1, 32962), (14574, 0, 3818), (32962, 1, 21645)]",-2.398878,15484.0,"(21645, 1, 16026)",1
"[({(13752, 1, 11251)}, 4.083378451690376, 'baseline'), ({(13752, 1, 11251)}, 4.075182569798328, 'baseline'), ({(13752, 1, 11251)}, 2.408649576704291, 'baseline'), ({(13752, 1, 11251)}, 2.2904015785841385, 'baseline'), ({(13752, 1, 11251)}, 2.279558300505041, 'baseline')]",1,[1780],9.526362,[-0.029478595],"[(13752, 1, 11251)]",-0.029478595,1780.0,"(11251, 1, 13752)",1
"[({(11702, 1, 26645)}, 5.603516928027346, 'baseline'), ({(11702, 1, 26645)}, 2.079753977062925, 'baseline'), ({(26645, 5, 129)}, -0.22722812416488447, 'baseline')]",4,[30394],10.44846,[-3.2260957],"[(11702, 0, 6759), (11702, 1, 26645), (129, 1, 6759), (26645, 5, 129)]",-3.2260957,30394.0,"(26645, 1, 11702)",1
"[({(23887, 6, 31376), (12272, 6, 31376), (10052, 6, 31376)}, 7.782435107807749, 'baseline'), ({(23887, 6, 31376), (10052, 6, 31376)}, 1.7147975741205699, 'baseline'), ({(23887, 6, 31376), (12272, 6, 31376)}, 1.3769608165451195, 'baseline'), ({(23887, 6, 31376)}, 1.0762687256661247, 'baseline'), ({(10052, 6, 31376), (12272, 6, 31376)}, 0.32381490996152235, 'baseline'), ({(10052, 6, 31376)}, 0.12671760758721762, 'baseline'), ({(12272, 6, 31376)}, -0.17350765013526334, 'baseline')]",8,[22],7.7001705,[2.56069],"[(32045, 2, 743), (12272, 6, 33423), (23887, 6, 32045), (23887, 6, 31376), (10052, 6, 31376), (33423, 2, 743), (12272, 6, 31376), (10052, 6, 33423)]",2.56069,22.0,"(31376, 2, 743)",1
"[({(13722, 0, 5394), (2601, 1, 5394), (20358, 0, 5394), (19801, 0, 5394)}, 2.0782280979767433, 'baseline'), ({(19801, 0, 5394), (2601, 1, 5394), (20358, 0, 5394)}, 1.8319931870431663, 'baseline'), ({(19801, 0, 5394), (2601, 1, 5394), (20358, 0, 5394)}, 1.684557036799218, 'baseline'), ({(13722, 0, 5394), (2601, 1, 5394), (20358, 0, 5394)}, 1.6735258853741672, 'baseline'), ({(13722, 0, 5394), (2601, 1, 5394), (20358, 0, 5394)}, 1.6676884446476548, 'baseline'), ({(19801, 0, 5394), (2601, 1, 5394), (20358, 0, 5394)}, 1.6459275029984197, 'baseline'), ({(19801, 0, 5394), (2601, 1, 5394), (20358, 0, 5394)}, 1.6251679194743813, 'baseline'), ({(13722, 0, 5394), (2601, 1, 5394), (20358, 0, 5394)}, 1.6150160558869306, 'baseline'), ({(19801, 0, 5394), (2601, 1, 5394), (20358, 0, 5394)}, 1.611510348872375, 'baseline'), ({(13722, 0, 5394), (2601, 1, 5394), (20358, 0, 5394)}, 1.6103401904380656, 'baseline')]",10,[12224],9.64728,[-0.7982447],"[(15112, 1, 13722), (13722, 0, 5394), (19801, 1, 19802), (20358, 1, 20359), (20358, 0, 5394), (20359, 0, 2601), (2601, 1, 5394), (15112, 0, 2601), (19801, 0, 5394), (19802, 0, 2601)]",-0.7982447,12224.0,"(5394, 1, 2601)",1
"[({(2617, 1, 11144), (11144, 0, 21098)}, 11.370128722895142, 'baseline'), ({(2617, 1, 11144)}, 1.8283835295428252, 'baseline'), ({(11144, 0, 21098)}, -0.10830684467311966, 'baseline')]",4,[33120],9.984545,[-3.3007462],"[(2617, 1, 11144), (11144, 0, 21098), (21097, 1, 21098), (2617, 0, 21097)]",-3.3007462,33120.0,"(11144, 1, 2617)",1
"[({(8153, 1, 10925), (12946, 1, 10925)}, 5.409812798706697, 'baseline'), ({(8153, 1, 10925)}, 2.617432275214876, 'baseline'), ({(8153, 1, 10925)}, 2.245944615528751, 'baseline'), ({(12946, 1, 10925)}, 0.05919746585102212, 'baseline')]",4,[2720],9.006329,[0.02080854],"[(8153, 1, 10925), (12946, 1, 10925), (9917, 1, 8153), (9917, 1, 12946)]",0.02080854,2720.0,"(10925, 1, 8153)",1
"[({(15171, 1, 12999), (12999, 1, 15171)}, 4.276040817291763, 'baseline'), ({(15171, 1, 12999)}, 0.6255469762817228, 'baseline'), ({(12999, 1, 15171)}, 0.6216288052742442, 'baseline')]",4,[1234],6.798723,[0.1746664],"[(12999, 1, 15171), (15171, 1, 31425), (15171, 1, 12999), (15729, 1, 31425)]",0.1746664,1234.0,"(12999, 1, 15729)",1
"[({(19910, 9, 8634)}, 3.515860437521252, 'baseline')]",1,[4203],9.567928,[-0.12402034],"[(19910, 9, 8634)]",-0.12402034,4203.0,"(8634, 9, 19910)",1
"[({(32633, 1, 6813), (6813, 1, 32633), (32633, 0, 5176), (5596, 1, 32633)}, 10.877393076622123, 'baseline'), ({(32633, 1, 6813), (32633, 0, 5176), (5596, 1, 32633)}, 2.6258994737868364, 'baseline'), ({(32633, 0, 5176), (5596, 1, 32633)}, 2.6224176084125497, 'baseline'), ({(6813, 1, 32633), (32633, 0, 5176), (5596, 1, 32633)}, 2.6189166694803916, 'baseline'), ({(32633, 1, 6813), (6813, 1, 32633), (5596, 1, 32633)}, 2.54217162620928, 'baseline'), ({(5596, 1, 32633)}, 1.6206751595005502, 'baseline'), ({(32633, 1, 6813), (5596, 1, 32633)}, 1.5491657948639252, 'baseline'), ({(6813, 1, 32633), (5596, 1, 32633)}, 1.5433865282864518, 'baseline'), ({(32633, 0, 5176)}, 0.0022249621667344774, 'baseline'), ({(32633, 1, 6813), (32633, 0, 5176)}, -0.533857302653982, 'baseline')]",6,[25087],9.348708,[-2.9023423],"[(5176, 1, 5596), (32633, 0, 5176), (5596, 1, 32633), (5176, 1, 6813), (6813, 1, 32633), (32633, 1, 6813)]",-2.9023423,25087.0,"(32633, 1, 5596)",1
"[({(8525, 4, 21505)}, 5.345688077271449, 'baseline')]",3,[76],6.9597425,[0.58482575],"[(8525, 4, 23270), (8525, 4, 21505), (23270, 0, 296)]",0.58482575,76.0,"(21505, 0, 296)",1
"[({(25496, 0, 25497)}, 8.808676888685573, 'baseline')]",3,[1439],7.0187235,[-2.3572357],"[(25496, 0, 25497), (15830, 0, 5310), (15830, 0, 25497)]",-2.3572357,1439.0,"(25496, 0, 5310)",1
"[({(36188, 1, 20727), (20727, 1, 36188), (4691, 1, 36188)}, 10.8731013671524, 'baseline'), ({(36188, 1, 20727), (20727, 1, 36188), (4691, 1, 36188)}, 4.141348534632987, 'baseline'), ({(36188, 1, 20727), (4691, 1, 36188)}, 1.3549261706609388, 'baseline'), ({(20727, 1, 36188), (4691, 1, 36188)}, 1.3520250933244047, 'baseline'), ({(4691, 1, 36188)}, 1.3507414475798643, 'baseline'), ({(20727, 1, 36188), (4691, 1, 36188)}, 1.0535746142169968, 'baseline'), ({(36188, 1, 20727), (4691, 1, 36188)}, 1.0531349703825834, 'baseline'), ({(4691, 1, 36188)}, 0.9567652247416728, 'baseline'), ({(36188, 1, 20727)}, -0.17041869902694914, 'baseline')]",5,[31633],9.827701,[-2.5078356],"[(4691, 1, 36188), (4691, 0, 4692), (20727, 0, 4692), (36188, 1, 20727), (20727, 1, 36188)]",-2.5078356,31633.0,"(36188, 1, 4691)",1
"[({(9012, 0, 2536)}, 8.495271018397517, 'baseline')]",2,[23],8.305224,[3.105366],"[(9012, 0, 2536), (2536, 5, 7786)]",3.105366,23.0,"(9012, 5, 7786)",1
"[({(16736, 1, 7605), (7606, 1, 7605), (7605, 1, 7606)}, 5.141494573135414, 'baseline'), ({(16736, 1, 7605)}, 2.597772753401021, 'baseline'), ({(16736, 1, 7605), (7605, 1, 7606)}, 2.5942603702767166, 'baseline'), ({(16736, 1, 7605), (7605, 1, 7606)}, 1.9407206492421925, 'baseline'), ({(16736, 1, 7605), (7606, 1, 7605)}, 1.938458533599271, 'baseline'), ({(16736, 1, 7605)}, 1.895258037883981, 'baseline'), ({(7606, 1, 7605)}, -0.32428546614077025, 'baseline'), ({(7605, 1, 7606)}, -0.32973857583669847, 'baseline'), ({(7605, 1, 7606)}, -0.6524838957011313, 'baseline')]",4,[18435],9.469548,[-2.446493],"[(16736, 1, 7605), (16736, 1, 7606), (7606, 1, 7605), (7605, 1, 7606)]",-2.446493,18435.0,"(7605, 1, 16736)",1
"[({(14493, 1, 37743), (37743, 0, 25874)}, 10.801783458002804, 'baseline'), ({(14493, 1, 37743), (37743, 0, 25874)}, 3.808675283580008, 'baseline'), ({(14493, 1, 37743)}, 3.118537672672482, 'baseline'), ({(14493, 1, 37743)}, 2.2295199580398077, 'baseline'), ({(37743, 0, 25874)}, -0.2165965629482028, 'baseline'), ({(37743, 0, 25874)}, -0.8225335603373944, 'baseline')]",3,[12091],9.327404,[-2.1108587],"[(14493, 1, 37743), (14493, 1, 25874), (37743, 0, 25874)]",-2.1108587,12091.0,"(37743, 1, 14493)",1
"[({(2944, 9, 2945), (2945, 0, 203)}, 11.16754995356278, 'baseline'), ({(2944, 9, 2945)}, 2.737439330761382, 'baseline'), ({(2945, 0, 203)}, -0.41884513494347136, 'baseline')]",3,[20290],10.549395,[-2.5012693],"[(2944, 9, 2945), (2944, 0, 203), (2945, 0, 203)]",-2.5012693,20290.0,"(2945, 9, 2944)",1
