#facts,new_scores,new_score,original_score,new_rank,prediction,original_rank,new_ranks,facts
11,"[2.9915805, 3.7595077]",3.375544,3.9894578,1.5,"(5107, 11, 7869)",4,"[1, 2]","[([(5107, 3, 10), (21088, 3, 10), (21088, 11, 7869)], 1.3827, 'xrule'), ([(5107, 2, 68), (13761, 2, 68), (13761, 11, 7869)], 1.2793007, 'xrule'), ([(5107, 3, 1061), (21088, 3, 1061), (21088, 11, 7869)], 0.83820057, 'xrule'), ([(5107, 3, 1061)], 0.35341553044954227, 3498.5874455803882), ([(5107, 2, 68), (23513, 11, 7869), (23513, 2, 68)], -0.028899193, 'xrule'), ([(5107, 3, 10), (11759, 3, 10), (11759, 11, 7869)], -0.6499996, 'xrule'), ([(5107, 2, 68), (11759, 2, 68), (11759, 11, 7869)], -0.89979935, 'xrule'), ([(5107, 2, 68), (21088, 2, 68), (21088, 11, 7869)], -1.3869991, 'xrule'), ([(5107, 3, 149), (11759, 3, 149), (11759, 11, 7869)], -1.4031, 'xrule'), ([(5107, 3, 149), (21088, 3, 149), (21088, 11, 7869)], -2.1168995, 'xrule'), ([(5107, 3, 10), (23513, 11, 7869), (23513, 3, 10)], -2.5527, 'xrule')]"
1,"[4.5045643, 3.4693594]",3.9869618,2.7237372,1.0,"(7628, 12, 4492)",3,"[1, 1]","[([(7628, 3, 38)], 0.11709789474757638, 18188.529241058728)]"
11,"[2.9264185, 2.9846694]",2.955544,2.8545017,1.0,"(7201, 10, 7830)",4,"[1, 1]","[([(8476, 10, 7830), (8476, 2, 31), (7201, 2, 31)], 2.3393002, 'xrule'), ([(7201, 3, 1266)], 1.7937031610525445, 22081.85738068504), ([(10755, 10, 7830), (7201, 3, 75), (10755, 3, 75)], 1.3015003, 'xrule'), ([(14936, 10, 7830), (7201, 3, 75), (14936, 3, 75)], 0.50580025, 'xrule'), ([(11697, 10, 7830), (11697, 2, 31), (7201, 2, 31)], -0.27769947, 'xrule'), ([(9105, 10, 7830), (7201, 3, 75), (9105, 3, 75)], -0.30889988, 'xrule'), ([(9105, 10, 7830), (7201, 4, 66), (9105, 4, 66)], -1.1243, 'xrule'), ([(10456, 2, 31), (7201, 2, 31), (10456, 10, 7830)], -1.1760998, 'xrule'), ([(12537, 2, 31), (12537, 10, 7830), (7201, 2, 31)], -1.3650999, 'xrule'), ([(11697, 10, 7830), (11697, 1, 168), (7201, 1, 168)], -1.5121994, 'xrule'), ([(11697, 10, 7830), (7201, 4, 66), (11697, 4, 66)], -2.5985994, 'xrule')]"
12,"[2.367851, 3.4000168]",2.883934,2.8960073,1.0,"(6983, 11, 7956)",2,"[1, 1]","[([(22917, 2, 31), (22917, 11, 7956), (6983, 2, 31)], 3.4040003, 'xrule'), ([(19447, 3, 40), (19447, 11, 7956), (6983, 3, 40)], 2.9365005, 'xrule'), ([(20431, 2, 31), (6983, 2, 31), (20431, 11, 7956)], 1.7802, 'xrule'), ([(24494, 11, 7956), (24494, 3, 40), (6983, 3, 40)], 1.0809002, 'xrule'), ([(15851, 11, 7956), (6983, 2, 31), (15851, 2, 31)], 0.5755005, 'xrule'), ([(15851, 11, 7956), (6983, 3, 40), (15851, 3, 40)], 0.35690022, 'xrule'), ([(22917, 3, 40), (22917, 11, 7956), (6983, 3, 40)], 0.02230072, 'xrule'), ([(19447, 2, 31), (19447, 11, 7956), (6983, 2, 31)], -0.3863001, 'xrule'), ([(6983, 2, 31), (13240, 2, 31), (13240, 11, 7956)], -0.8621998, 'xrule'), ([(13240, 3, 40), (6983, 3, 40), (13240, 11, 7956)], -0.9726, 'xrule'), ([(17455, 11, 7956), (6983, 3, 40), (17455, 3, 40)], -1.0972996, 'xrule'), ([(6983, 3, 6994)], -3.130956400286215, 890.0418482314959)]"
11,"[3.040402, 3.995448]",3.517925,4.1423807,1.0,"(5558, 11, 7956)",5,"[1, 1]","[([(24889, 1, 65), (24889, 11, 7956), (5558, 1, 65)], 3.4560003, 'xrule'), ([(17729, 11, 7956), (17729, 2, 31), (5558, 2, 31)], 2.5537996, 'xrule'), ([(24889, 2, 31), (24889, 11, 7956), (5558, 2, 31)], 1.2226, 'xrule'), ([(5558, 4, 169), (18921, 11, 7956), (18921, 4, 169)], 1.0225, 'xrule'), ([(5558, 2, 2083)], 0.8868732936290125, 18413.70824449895), ([(18842, 2, 31), (18842, 11, 7956), (5558, 2, 31)], 0.38010025, 'xrule'), ([(18921, 11, 7956), (5558, 1, 65), (18921, 1, 65)], 0.33780003, 'xrule'), ([(25461, 2, 31), (25461, 11, 7956), (5558, 2, 31)], 0.11769962, 'xrule'), ([(25461, 11, 7956), (5558, 1, 65), (25461, 1, 65)], -0.5664997, 'xrule'), ([(18921, 2, 31), (18921, 11, 7956), (5558, 2, 31)], -0.64050007, 'xrule'), ([(24469, 11, 7956), (5558, 1, 65), (24469, 1, 65)], -1.6471996, 'xrule')]"
11,"[2.3819053, 2.493204]",2.4375548,5.1274643,2.5,"(4870, 8, 7410)",2,"[2, 3]","[([(23558, 2, 68), (4870, 2, 68), (23558, 8, 7410)], 4.4855995, 'xrule'), ([(4870, 3, 10), (4870, 1, 864), (4870, 2, 172)], 1.6211558114106397, 368.8349544586507), ([(17655, 8, 7410), (4870, 2, 68), (17655, 2, 68)], 1.1954994, 'xrule'), ([(22946, 8, 7410), (22946, 3, 7), (4870, 3, 7)], 0.90499973, 'xrule'), ([(22137, 8, 7410), (4870, 2, 68), (22137, 2, 68)], 0.7781, 'xrule'), ([(22946, 2, 68), (4870, 2, 68), (22946, 8, 7410)], 0.6747999, 'xrule'), ([(23558, 2, 172), (23558, 8, 7410), (4870, 2, 172)], 0.114500046, 'xrule'), ([(19795, 2, 68), (4870, 2, 68), (19795, 8, 7410)], 0.11079979, 'xrule'), ([(24668, 8, 7410), (24668, 3, 7), (4870, 3, 7)], -0.09000015, 'xrule'), ([(4870, 2, 68), (16149, 8, 7410), (16149, 2, 68)], -1.2788, 'xrule'), ([(24668, 8, 7410), (24668, 2, 172), (4870, 2, 172)], -1.7169008, 'xrule')]"
1,"[2.5677426, 3.5382817]",3.0530121,3.7088525,1.0,"(5073, 11, 7956)",5,"[1, 1]","[([(5073, 3, 1335)], -2.01426973251018, 17024.117712803985)]"
11,"[3.1211152, 3.184666]",3.1528907,4.007418,1.0,"(7125, 10, 7830)",5,"[1, 1]","[([(7125, 3, 479)], 1.3385887753781582, 257.7922577602698), ([(25427, 10, 7830), (7125, 4, 66), (25427, 4, 66)], -0.24769974, 'xrule'), ([(20213, 3, 9), (7125, 3, 9), (20213, 10, 7830)], -0.6588993, 'xrule'), ([(20213, 10, 7830), (20213, 4, 66), (7125, 4, 66)], -0.68589973, 'xrule'), ([(20213, 3, 476), (7125, 3, 476), (20213, 10, 7830)], -1.4179993, 'xrule'), ([(25427, 10, 7830), (7125, 3, 2593), (25427, 3, 2593)], -1.9954996, 'xrule'), ([(25427, 10, 7830), (25427, 3, 476), (7125, 3, 476)], -2.1056995, 'xrule'), ([(20213, 10, 7830), (20213, 2, 31), (7125, 2, 31)], -2.1304998, 'xrule'), ([(20213, 10, 7830), (20213, 3, 40), (7125, 3, 40)], -2.8457994, 'xrule'), ([(20213, 10, 7830), (20213, 2, 172), (7125, 2, 172)], -3.2136993, 'xrule'), ([(20213, 10, 7830), (20213, 2, 68), (7125, 2, 68)], -3.6034994, 'xrule')]"
11,"[3.0584621, 3.1205854]",3.0895238,3.974818,1.0,"(5269, 10, 7830)",5,"[1, 1]","[([(5269, 3, 220), (25362, 10, 7830), (25362, 3, 220)], 3.6692, 'xrule'), ([(5269, 3, 220), (25687, 10, 7830), (25687, 3, 220)], 2.0109997, 'xrule'), ([(5269, 3, 75), (25526, 3, 75), (25526, 10, 7830)], 1.2973003, 'xrule'), ([(24469, 2, 266), (24469, 10, 7830), (5269, 2, 266)], 1.2062998, 'xrule'), ([(5269, 3, 220), (25526, 3, 220), (25526, 10, 7830)], 1.1067, 'xrule'), ([(5269, 3, 220), (24469, 10, 7830), (24469, 3, 220)], 0.87730026, 'xrule'), ([(25526, 3, 38), (5269, 3, 38), (25526, 10, 7830)], 0.4793005, 'xrule'), ([(24469, 3, 891), (5269, 3, 891), (24469, 10, 7830)], 0.24370003, 'xrule'), ([(5269, 3, 506)], -0.5157441665462034, 12.373847917167803), ([(25526, 3, 55), (5269, 3, 55), (25526, 10, 7830)], -0.7062998, 'xrule'), ([(25687, 10, 7830), (5269, 3, 75), (25687, 3, 75)], -1.4642, 'xrule')]"
12,"[2.9304328, 2.9920917]",2.9612622,2.8969355,1.0,"(6383, 10, 7830)",4,"[1, 1]","[([(6383, 2, 812), (25765, 10, 7830), (25765, 2, 812)], 0.77420044, 'xrule'), ([(6383, 3, 40)], -0.5206822921217014, 8941.372692694813), ([(23409, 3, 220), (6383, 3, 220), (23409, 10, 7830)], -0.53609943, 'xrule'), ([(23409, 2, 31), (6383, 2, 31), (23409, 10, 7830)], -1.2714996, 'xrule'), ([(10608, 10, 7830), (6383, 2, 31), (10608, 2, 31)], -1.6518002, 'xrule'), ([(10608, 10, 7830), (6383, 3, 56), (10608, 3, 56)], -1.7473001, 'xrule'), ([(6383, 2, 31), (15177, 2, 31), (15177, 10, 7830)], -1.7863998, 'xrule'), ([(19179, 3, 220), (19179, 10, 7830), (6383, 3, 220)], -1.9267998, 'xrule'), ([(20589, 2, 31), (6383, 2, 31), (20589, 10, 7830)], -2.5264997, 'xrule'), ([(10608, 10, 7830), (6383, 2, 729), (10608, 2, 729)], -2.8183994, 'xrule'), ([(25765, 2, 31), (6383, 2, 31), (25765, 10, 7830)], -3.3474998, 'xrule'), ([(19179, 2, 31), (6383, 2, 31), (19179, 10, 7830)], -3.3772001, 'xrule')]"
11,"[2.8559992, 2.9405541]",2.8982768,2.6694508,1.0,"(5380, 10, 7830)",2,"[1, 1]","[([(23193, 10, 7830), (23193, 3, 476), (5380, 3, 476)], 1.6871004, 'xrule'), ([(5380, 3, 2508)], 0.7229061581493862, 10.673246641595076), ([(17014, 10, 7830), (5380, 3, 39), (17014, 3, 39)], 0.59920025, 'xrule'), ([(5380, 3, 39), (17731, 10, 7830), (17731, 3, 39)], -0.7348995, 'xrule'), ([(5380, 3, 39), (20586, 10, 7830), (20586, 3, 39)], -0.7549, 'xrule'), ([(17731, 10, 7830), (5380, 3, 6), (17731, 3, 6)], -1.0484991, 'xrule'), ([(20586, 3, 6), (5380, 3, 6), (20586, 10, 7830)], -1.2619991, 'xrule'), ([(23193, 1, 65), (5380, 1, 65), (23193, 10, 7830)], -1.3238993, 'xrule'), ([(23193, 3, 39), (5380, 3, 39), (23193, 10, 7830)], -1.5204992, 'xrule'), ([(14691, 10, 7830), (5380, 3, 6), (14691, 3, 6)], -1.5744991, 'xrule'), ([(17014, 10, 7830), (5380, 3, 6), (17014, 3, 6)], -2.5300999, 'xrule')]"
10,"[2.2652915, 2.5044432]",2.3848672,4.018502,2.0,"(5620, 8, 7410)",1,"[1, 3]","[([(12572, 3, 39), (12572, 8, 7410), (5620, 3, 39)], -0.36089897, 'xrule'), ([(5620, 3, 277), (5620, 3, 39), (5620, 3, 386)], -0.4301185189306041, 24.3940980207015), ([(5620, 3, 39), (23242, 3, 39), (23242, 8, 7410)], -2.4092999, 'xrule'), ([(5620, 3, 189), (23329, 8, 7410), (23329, 3, 189)], -2.8289995, 'xrule'), ([(18504, 3, 39), (18504, 8, 7410), (5620, 3, 39)], -3.354, 'xrule'), ([(16645, 3, 39), (16645, 8, 7410), (5620, 3, 39)], -3.5367994, 'xrule'), ([(23047, 3, 154), (23047, 8, 7410), (5620, 3, 154)], -3.8104, 'xrule'), ([(8628, 3, 39), (8628, 8, 7410), (5620, 3, 39)], -4.3004, 'xrule'), ([(5620, 3, 314), (23329, 8, 7410), (23329, 3, 314)], -4.582299, 'xrule'), ([(5620, 3, 346), (14879, 8, 7410), (14879, 3, 346)], -5.1117992, 'xrule')]"
12,"[2.933082, 3.9868138]",3.459948,3.5179758,1.5,"(6812, 11, 7869)",3,"[1, 2]","[([(6812, 3, 9), (23558, 3, 9), (23558, 11, 7869)], 2.9586, 'xrule'), ([(6812, 3, 10), (23558, 3, 10), (23558, 11, 7869)], 2.6005, 'xrule'), ([(23558, 11, 7869), (6812, 2, 31), (23558, 2, 31)], 1.6745005, 'xrule'), ([(23998, 3, 7), (6812, 3, 7), (23998, 11, 7869)], 1.5599003, 'xrule'), ([(25223, 2, 172), (6812, 2, 172), (25223, 11, 7869)], 1.3551006, 'xrule'), ([(17502, 2, 31), (6812, 2, 31), (17502, 11, 7869)], 0.9054003, 'xrule'), ([(17502, 2, 172), (6812, 2, 172), (17502, 11, 7869)], 0.61810017, 'xrule'), ([(6812, 3, 519)], 0.35773090675111335, 3664.5884910298096), ([(23558, 11, 7869), (6812, 2, 172), (23558, 2, 172)], -0.11749935, 'xrule'), ([(6812, 3, 9), (23998, 3, 9), (23998, 11, 7869)], -0.29189968, 'xrule'), ([(6812, 3, 10), (25223, 3, 10), (25223, 11, 7869)], -1.4721994, 'xrule'), ([(6812, 2, 31), (25223, 11, 7869), (25223, 2, 31)], -1.6791992, 'xrule')]"
11,"[2.4236662, 2.5702698]",2.496968,4.404839,6.0,"(6115, 8, 7566)",1,"[8, 4]","[([(10112, 8, 7566), (10112, 3, 40), (6115, 3, 40)], 4.635499, 'xrule'), ([(18607, 8, 7566), (18607, 4, 66), (6115, 4, 66)], 3.6074, 'xrule'), ([(10112, 8, 7566), (10112, 2, 30), (6115, 2, 30)], 3.3214998, 'xrule'), ([(18607, 8, 7566), (18607, 3, 40), (6115, 3, 40)], 3.1159992, 'xrule'), ([(10112, 8, 7566), (10112, 4, 66), (6115, 4, 66)], 2.9084997, 'xrule'), ([(8872, 3, 212), (8872, 8, 7566), (6115, 3, 212)], 2.6457996, 'xrule'), ([(10112, 8, 7566), (10112, 3, 6), (6115, 3, 6)], 2.4993992, 'xrule'), ([(8872, 8, 7566), (8872, 3, 6), (6115, 3, 6)], 2.3677998, 'xrule'), ([(18607, 8, 7566), (18607, 3, 6), (6115, 3, 6)], 1.8643999, 'xrule'), ([(24422, 8, 7566), (24422, 3, 40), (6115, 3, 40)], 1.8318996, 'xrule'), ([(6115, 3, 1074)], -2.8903406045244577, 24422.052633122323)]"
1,"[2.3994484, 2.5753188]",2.4873836,5.8348927,1.5,"(4952, 8, 7410)",2,"[1, 2]","[([(4952, 2, 30)], 0.30749325076877876, 17973.576273264458)]"
1,"[4.456483, 4.6722865]",4.5643845,3.447898,1.0,"(6966, 10, 8697)",4,"[1, 1]","[([(6966, 2, 68)], -1.441182071875606, 320.191362354695)]"
11,"[2.640644, 2.5313587]",2.5860014,4.3664303,1.0,"(5279, 8, 7429)",1,"[1, 1]","[([(21853, 8, 7429), (5279, 2, 30), (21853, 2, 30)], 1.4137001, 'xrule'), ([(5279, 3, 2758)], 1.176375444641346, 5.764295463328022), ([(5279, 3, 38), (9623, 3, 38), (9623, 8, 7429)], 0.79920006, 'xrule'), ([(5279, 2, 30), (24230, 8, 7429), (24230, 2, 30)], -0.018699646, 'xrule'), ([(5279, 3, 38), (21853, 8, 7429), (21853, 3, 38)], -0.5369997, 'xrule'), ([(23098, 8, 7429), (5279, 2, 30), (23098, 2, 30)], -1.3400002, 'xrule'), ([(19911, 2, 30), (5279, 2, 30), (19911, 8, 7429)], -1.4408998, 'xrule'), ([(18934, 8, 7429), (5279, 2, 30), (18934, 2, 30)], -2.2107, 'xrule'), ([(5279, 2, 30), (9623, 2, 30), (9623, 8, 7429)], -2.4336004, 'xrule'), ([(25221, 8, 7429), (5279, 2, 30), (25221, 2, 30)], -2.6062002, 'xrule'), ([(9346, 2, 30), (5279, 2, 30), (9346, 8, 7429)], -2.6316996, 'xrule')]"
1,"[2.3944738, 2.5453544]",2.469914,4.519601,5.5,"(6619, 8, 7410)",3,"[4, 7]","[([(6619, 3, 1872)], 0.3046236447524321, 17932.575572404283)]"
11,"[2.8081777, 3.1430902]",2.975634,3.2503138,1.0,"(5498, 10, 7830)",5,"[1, 1]","[([(5498, 3, 185)], 0.9996362240873362, 2476.730987039936), ([(17213, 3, 220), (5498, 3, 220), (17213, 10, 7830)], 0.33990002, 'xrule'), ([(5498, 3, 220), (23793, 3, 220), (23793, 10, 7830)], 0.23559952, 'xrule'), ([(5498, 3, 220), (8674, 3, 220), (8674, 10, 7830)], -1.1386003, 'xrule'), ([(14536, 10, 7830), (5498, 3, 75), (14536, 3, 75)], -1.1747999, 'xrule'), ([(8674, 3, 75), (5498, 3, 75), (8674, 10, 7830)], -1.4252005, 'xrule'), ([(5498, 3, 220), (14721, 10, 7830), (14721, 3, 220)], -1.5532007, 'xrule'), ([(15839, 3, 75), (15839, 10, 7830), (5498, 3, 75)], -1.5733004, 'xrule'), ([(14536, 10, 7830), (5498, 3, 220), (14536, 3, 220)], -1.8009005, 'xrule'), ([(8674, 10, 7830), (8674, 3, 9), (5498, 3, 9)], -2.1886005, 'xrule'), ([(14721, 3, 75), (14721, 10, 7830), (5498, 3, 75)], -2.2746, 'xrule')]"
11,"[4.733661, 3.6388924]",4.186277,3.338922,2.0,"(5586, 12, 4492)",2,"[2, 2]","[([(10198, 2, 68), (10198, 12, 4492), (5586, 2, 68)], 1.9111004, 'xrule'), ([(14606, 12, 4492), (5586, 3, 7), (14606, 3, 7)], 0.6108999, 'xrule'), ([(5586, 2, 31), (10198, 12, 4492), (10198, 2, 31)], 0.43490028, 'xrule'), ([(14606, 12, 4492), (14606, 3, 279), (5586, 3, 279)], 0.13710022, 'xrule'), ([(14606, 12, 4492), (14606, 2, 31), (5586, 2, 31)], 0.12460041, 'xrule'), ([(5586, 3, 88)], -0.17863174217527683, 22540.45546042703), ([(4492, 3, 83), (5586, 3, 6), (83, 0, 6)], -0.18480015, 'xrule'), ([(14606, 2, 68), (14606, 12, 4492), (5586, 2, 68)], -0.7343998, 'xrule'), ([(4492, 3, 83), (5586, 3, 7), (83, 0, 7)], -0.96899986, 'xrule'), ([(14606, 12, 4492), (14606, 3, 10), (5586, 3, 10)], -1.2662001, 'xrule'), ([(14606, 12, 4492), (5586, 3, 6), (14606, 3, 6)], -2.4195004, 'xrule')]"
11,"[2.3605998, 2.4484096]",2.4045048,5.230544,1.0,"(7335, 8, 7429)",7,"[1, 1]","[([(7335, 2, 31), (16057, 8, 7429), (16057, 2, 31)], 1.2339001, 'xrule'), ([(15851, 8, 7429), (15851, 3, 88), (7335, 3, 88)], 0.95479965, 'xrule'), ([(7335, 3, 7346), (7335, 3, 6183)], 0.9132519257480144, 10.713665136154622), ([(7335, 2, 31), (14580, 2, 31), (14580, 8, 7429)], 0.4159994, 'xrule'), ([(7335, 2, 31), (20989, 8, 7429), (20989, 2, 31)], 0.35099983, 'xrule'), ([(7335, 2, 31), (18600, 2, 31), (18600, 8, 7429)], -0.20410061, 'xrule'), ([(7335, 2, 31), (24453, 2, 31), (24453, 8, 7429)], -0.2442007, 'xrule'), ([(7335, 2, 31), (13541, 8, 7429), (13541, 2, 31)], -0.48230076, 'xrule'), ([(18600, 8, 7429), (7335, 3, 88), (18600, 3, 88)], -0.5185003, 'xrule'), ([(7335, 2, 31), (15487, 8, 7429), (15487, 2, 31)], -0.8131008, 'xrule'), ([(20989, 8, 7429), (20989, 3, 88), (7335, 3, 88)], -1.2052002, 'xrule')]"
11,"[3.0135581, 3.164908]",3.089233,3.5500622,1.0,"(5645, 10, 7830)",5,"[1, 1]","[([(5645, 3, 1200)], 1.3311329492718627, 256.7910279661329), ([(23699, 10, 7830), (23699, 3, 9), (5645, 3, 9)], 1.3054991, 'xrule'), ([(23699, 2, 31), (5645, 2, 31), (23699, 10, 7830)], 1.2369995, 'xrule'), ([(5645, 2, 30), (23699, 10, 7830), (23699, 2, 30)], -0.14080048, 'xrule'), ([(23699, 3, 75), (23699, 10, 7830), (5645, 3, 75)], -0.7623005, 'xrule'), ([(5645, 4, 66), (23699, 10, 7830), (23699, 4, 66)], -0.9354, 'xrule'), ([(5645, 2, 30), (20586, 10, 7830), (20586, 2, 30)], -1.2025003, 'xrule'), ([(20586, 3, 20), (5645, 3, 20), (20586, 10, 7830)], -1.7619009, 'xrule'), ([(5645, 2, 30), (24794, 2, 30), (24794, 10, 7830)], -1.7822008, 'xrule'), ([(5645, 3, 9), (24794, 10, 7830), (24794, 3, 9)], -2.1824007, 'xrule'), ([(5645, 2, 31), (24794, 2, 31), (24794, 10, 7830)], -2.4026003, 'xrule')]"
11,"[2.4468307, 2.7885656]",2.6176982,5.7202277,6.0,"(7058, 8, 7566)",1,"[8, 4]","[([(7058, 2, 132)], 0.6306372129674516, 173.65263392426172), ([(24271, 3, 10), (7058, 3, 10), (24271, 8, 7566)], -0.22729969, 'xrule'), ([(7058, 3, 10), (11328, 3, 10), (11328, 8, 7566)], -0.2631998, 'xrule'), ([(11328, 8, 7566), (7058, 3, 220), (11328, 3, 220)], -0.37489986, 'xrule'), ([(7058, 3, 39), (11328, 8, 7566), (11328, 3, 39)], -0.6137991, 'xrule'), ([(20172, 3, 10), (7058, 3, 10), (20172, 8, 7566)], -0.62739944, 'xrule'), ([(7058, 3, 10), (23538, 3, 10), (23538, 8, 7566)], -0.8967991, 'xrule'), ([(13486, 3, 10), (7058, 3, 10), (13486, 8, 7566)], -1.2577991, 'xrule'), ([(8355, 3, 10), (7058, 3, 10), (8355, 8, 7566)], -1.2719994, 'xrule'), ([(15818, 3, 10), (15818, 8, 7566), (7058, 3, 10)], -2.8315992, 'xrule'), ([(7058, 3, 10), (20958, 8, 7566), (20958, 3, 10)], -3.5398998, 'xrule')]"
12,"[2.84824, 3.7353725]",3.2918062,3.5952108,1.5,"(6914, 11, 7869)",3,"[1, 2]","[([(10701, 2, 30), (10701, 11, 7869), (6914, 2, 30)], 2.481001, 'xrule'), ([(10701, 11, 7869), (6914, 4, 66), (10701, 4, 66)], 1.8806, 'xrule'), ([(13631, 11, 7869), (6914, 3, 46), (13631, 3, 46)], 1.8098001, 'xrule'), ([(13631, 11, 7869), (6914, 4, 66), (13631, 4, 66)], 1.0184002, 'xrule'), ([(13631, 11, 7869), (6914, 2, 30), (13631, 2, 30)], 0.8619003, 'xrule'), ([(13631, 11, 7869), (6914, 3, 35), (13631, 3, 35)], 0.7765007, 'xrule'), ([(14991, 11, 7869), (6914, 2, 30), (14991, 2, 30)], 0.61980057, 'xrule'), ([(6914, 4, 66), (12158, 11, 7869), (12158, 4, 66)], 0.34930038, 'xrule'), ([(14398, 4, 66), (6914, 4, 66), (14398, 11, 7869)], -0.005399704, 'xrule'), ([(6914, 3, 35)], -0.18509383935640264, 8.453858188804656), ([(6914, 2, 30), (12158, 11, 7869), (12158, 2, 30)], -0.43699932, 'xrule'), ([(9970, 2, 30), (6914, 2, 30), (9970, 11, 7869)], -0.87859917, 'xrule')]"
1,"[2.301, 2.5857742]",2.443387,5.323513,3.0,"(6492, 8, 7410)",4,"[2, 4]","[([(6492, 3, 6493)], -0.3993367732922798, 38.40147168766214)]"
1,"[3.5806062, 3.6717556]",3.626181,3.5309901,2.0,"(6587, 9, 8151)",36,"[3, 1]","[([(6587, 3, 78)], -0.0863504008937408, 19391.47842579358)]"
1,"[2.8200703, 2.9955454]",2.9078078,3.39451,1.0,"(5717, 10, 7830)",5,"[1, 1]","[([(5717, 3, 192)], 2.3360453895263555, 20975.91181862049)]"
11,"[2.2781165, 2.5852232]",2.4316697,4.6961765,1.0,"(5498, 8, 7429)",1,"[1, 1]","[([(5498, 3, 78), (14130, 3, 78), (14130, 8, 7429)], 3.2901, 'xrule'), ([(14130, 8, 7429), (14130, 3, 10), (5498, 3, 10)], 2.8635998, 'xrule'), ([(5498, 3, 78), (12405, 8, 7429), (12405, 3, 78)], 2.4853, 'xrule'), ([(9160, 8, 7429), (9160, 3, 476), (5498, 3, 476)], 1.9268999, 'xrule'), ([(9160, 8, 7429), (9160, 3, 10), (5498, 3, 10)], 1.8813, 'xrule'), ([(5498, 3, 78), (9160, 8, 7429), (9160, 3, 78)], 1.5284004, 'xrule'), ([(5498, 2, 30), (9160, 8, 7429), (9160, 2, 30)], 0.4993, 'xrule'), ([(5498, 3, 78), (21708, 3, 78), (21708, 8, 7429)], 0.41120052, 'xrule'), ([(21708, 8, 7429), (5498, 3, 476), (21708, 3, 476)], 0.06360054, 'xrule'), ([(9160, 3, 39), (5498, 3, 39), (9160, 8, 7429)], -0.7249994, 'xrule'), ([(5498, 3, 243), (5498, 3, 731), (5498, 3, 1024), (5498, 3, 78)], -1.1706313533279726, 998.2367408731477)]"
1,"[2.4976366, 2.5819762]",2.5398064,5.671821,6.5,"(6195, 8, 7566)",3,"[9, 4]","[([(6195, 3, 39)], 0.47780899464220117, 4.617230357460529)]"
11,"[2.5868754, 2.6803308]",2.633603,5.7716856,4.0,"(4952, 8, 7567)",2,"[4, 4]","[([(23692, 8, 7567), (23692, 4, 66), (4952, 4, 66)], 1.3810997, 'xrule'), ([(4952, 3, 706), (4952, 3, 175)], 1.0940981443134892, 28.749152633104337), ([(4952, 2, 30), (19211, 2, 30), (19211, 8, 7567)], 0.3941002, 'xrule'), ([(4952, 2, 30), (24153, 2, 30), (24153, 8, 7567)], 0.078499794, 'xrule'), ([(4952, 2, 30), (23785, 8, 7567), (23785, 2, 30)], -0.38510036, 'xrule'), ([(23692, 8, 7567), (23692, 1, 941), (4952, 1, 941)], -0.56340027, 'xrule'), ([(19211, 4, 66), (4952, 4, 66), (19211, 8, 7567)], -0.9786997, 'xrule'), ([(4952, 2, 30), (24283, 2, 30), (24283, 8, 7567)], -1.4728003, 'xrule'), ([(4952, 2, 30), (24921, 2, 30), (24921, 8, 7567)], -2.2817001, 'xrule'), ([(4952, 2, 30), (23692, 8, 7567), (23692, 2, 30)], -2.4078999, 'xrule'), ([(4952, 2, 30), (25174, 8, 7567), (25174, 2, 30)], -2.755, 'xrule')]"
12,"[2.9826593, 2.9467044]",2.9646819,3.4012923,1.0,"(7655, 10, 7830)",5,"[1, 1]","[([(21959, 10, 7830), (21959, 3, 10), (7655, 3, 10)], 5.530199, 'xrule'), ([(19911, 3, 10), (19911, 10, 7830), (7655, 3, 10)], 4.977, 'xrule'), ([(25714, 3, 39), (25714, 10, 7830), (7655, 3, 39)], 4.0027, 'xrule'), ([(13749, 3, 39), (13749, 10, 7830), (7655, 3, 39)], 3.9091997, 'xrule'), ([(25621, 3, 10), (7655, 3, 10), (25621, 10, 7830)], 3.1386995, 'xrule'), ([(25651, 10, 7830), (25651, 3, 39), (7655, 3, 39)], 3.0142002, 'xrule'), ([(13749, 10, 7830), (13749, 3, 10), (7655, 3, 10)], 2.1289997, 'xrule'), ([(25621, 10, 7830), (25621, 3, 39), (7655, 3, 39)], 2.0523996, 'xrule'), ([(25714, 3, 10), (25714, 10, 7830), (7655, 3, 10)], 1.7018003, 'xrule'), ([(19650, 10, 7830), (19650, 3, 10), (7655, 3, 10)], 1.4389, 'xrule'), ([(19911, 3, 39), (19911, 10, 7830), (7655, 3, 39)], 0.93879986, 'xrule'), ([(7655, 3, 476), (7655, 3, 2132), (7655, 3, 7660)], -0.6771668940169576, 30.33689390553598)]"
